B06001PR_001E,B06001PR_001EA,B06001PR_001M,B06001PR_001MA,B06001PR_002E,B06001PR_002EA,B06001PR_002M,B06001PR_002MA,B06001PR_003E,B06001PR_003EA,B06001PR_003M,B06001PR_003MA,B06001PR_004E,B06001PR_004EA,B06001PR_004M,B06001PR_004MA,B06001PR_005E,B06001PR_005EA,B06001PR_005M,B06001PR_005MA,B06001PR_006E,B06001PR_006EA,B06001PR_006M,B06001PR_006MA,B06001PR_007E,B06001PR_007EA,B06001PR_007M,B06001PR_007MA,B06001PR_008E,B06001PR_008EA,B06001PR_008M,B06001PR_008MA,B06001PR_009E,B06001PR_009EA,B06001PR_009M,B06001PR_009MA,B06001PR_010E,B06001PR_010EA,B06001PR_010M,B06001PR_010MA,B06001PR_011E,B06001PR_011EA,B06001PR_011M,B06001PR_011MA,B06001PR_012E,B06001PR_012EA,B06001PR_012M,B06001PR_012MA,B06001PR_013E,B06001PR_013EA,B06001PR_013M,B06001PR_013MA,B06001PR_014E,B06001PR_014EA,B06001PR_014M,B06001PR_014MA,B06001PR_015E,B06001PR_015EA,B06001PR_015M,B06001PR_015MA,B06001PR_016E,B06001PR_016EA,B06001PR_016M,B06001PR_016MA,B06001PR_017E,B06001PR_017EA,B06001PR_017M,B06001PR_017MA,B06001PR_018E,B06001PR_018EA,B06001PR_018M,B06001PR_018MA,B06001PR_019E,B06001PR_019EA,B06001PR_019M,B06001PR_019MA,B06001PR_020E,B06001PR_020EA,B06001PR_020M,B06001PR_020MA,B06001PR_021E,B06001PR_021EA,B06001PR_021M,B06001PR_021MA,B06001PR_022E,B06001PR_022EA,B06001PR_022M,B06001PR_022MA,B06001PR_023E,B06001PR_023EA,B06001PR_023M,B06001PR_023MA,B06001PR_024E,B06001PR_024EA,B06001PR_024M,B06001PR_024MA,B06001PR_025E,B06001PR_025EA,B06001PR_025M,B06001PR_025MA,B06001PR_026E,B06001PR_026EA,B06001PR_026M,B06001PR_026MA,B06001PR_027E,B06001PR_027EA,B06001PR_027M,B06001PR_027MA,B06001PR_028E,B06001PR_028EA,B06001PR_028M,B06001PR_028MA,B06001PR_029E,B06001PR_029EA,B06001PR_029M,B06001PR_029MA,B06001PR_030E,B06001PR_030EA,B06001PR_030M,B06001PR_030MA,B06001PR_031E,B06001PR_031EA,B06001PR_031M,B06001PR_031MA,B06001PR_032E,B06001PR_032EA,B06001PR_032M,B06001PR_032MA,B06001PR_033E,B06001PR_033EA,B06001PR_033M,B06001PR_033MA,B06001PR_034E,B06001PR_034EA,B06001PR_034M,B06001PR_034MA,B06001PR_035E,B06001PR_035EA,B06001PR_035M,B06001PR_035MA,B06001PR_036E,B06001PR_036EA,B06001PR_036M,B06001PR_036MA,B06001PR_037E,B06001PR_037EA,B06001PR_037M,B06001PR_037MA,B06001PR_038E,B06001PR_038EA,B06001PR_038M,B06001PR_038MA,B06001PR_039E,B06001PR_039EA,B06001PR_039M,B06001PR_039MA,B06001PR_040E,B06001PR_040EA,B06001PR_040M,B06001PR_040MA,B06001PR_041E,B06001PR_041EA,B06001PR_041M,B06001PR_041MA,B06001PR_042E,B06001PR_042EA,B06001PR_042M,B06001PR_042MA,B06001PR_043E,B06001PR_043EA,B06001PR_043M,B06001PR_043MA,B06001PR_044E,B06001PR_044EA,B06001PR_044M,B06001PR_044MA,B06001PR_045E,B06001PR_045EA,B06001PR_045M,B06001PR_045MA,B06001PR_046E,B06001PR_046EA,B06001PR_046M,B06001PR_046MA,B06001PR_047E,B06001PR_047EA,B06001PR_047M,B06001PR_047MA,B06001PR_048E,B06001PR_048EA,B06001PR_048M,B06001PR_048MA,B06001PR_049E,B06001PR_049EA,B06001PR_049M,B06001PR_049MA,B06001PR_050E,B06001PR_050EA,B06001PR_050M,B06001PR_050MA,B06001PR_051E,B06001PR_051EA,B06001PR_051M,B06001PR_051MA,B06001PR_052E,B06001PR_052EA,B06001PR_052M,B06001PR_052MA,B06001PR_053E,B06001PR_053EA,B06001PR_053M,B06001PR_053MA,B06001PR_054E,B06001PR_054EA,B06001PR_054M,B06001PR_054MA,B06001PR_055E,B06001PR_055EA,B06001PR_055M,B06001PR_055MA,B06001PR_056E,B06001PR_056EA,B06001PR_056M,B06001PR_056MA,B06001PR_057E,B06001PR_057EA,B06001PR_057M,B06001PR_057MA,B06001PR_058E,B06001PR_058EA,B06001PR_058M,B06001PR_058MA,B06001PR_059E,B06001PR_059EA,B06001PR_059M,B06001PR_059MA,B06001PR_060E,B06001PR_060EA,B06001PR_060M,B06001PR_060MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US06,California,06
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US12,Florida,12
