B08412_001E,B08412_001EA,B08412_001M,B08412_001MA,B08412_002E,B08412_002EA,B08412_002M,B08412_002MA,B08412_003E,B08412_003EA,B08412_003M,B08412_003MA,B08412_004E,B08412_004EA,B08412_004M,B08412_004MA,B08412_005E,B08412_005EA,B08412_005M,B08412_005MA,B08412_006E,B08412_006EA,B08412_006M,B08412_006MA,B08412_007E,B08412_007EA,B08412_007M,B08412_007MA,B08412_008E,B08412_008EA,B08412_008M,B08412_008MA,B08412_009E,B08412_009EA,B08412_009M,B08412_009MA,B08412_010E,B08412_010EA,B08412_010M,B08412_010MA,B08412_011E,B08412_011EA,B08412_011M,B08412_011MA,B08412_012E,B08412_012EA,B08412_012M,B08412_012MA,B08412_013E,B08412_013EA,B08412_013M,B08412_013MA,B08412_014E,B08412_014EA,B08412_014M,B08412_014MA,B08412_015E,B08412_015EA,B08412_015M,B08412_015MA,B08412_016E,B08412_016EA,B08412_016M,B08412_016MA,B08412_017E,B08412_017EA,B08412_017M,B08412_017MA,B08412_018E,B08412_018EA,B08412_018M,B08412_018MA,B08412_019E,B08412_019EA,B08412_019M,B08412_019MA,B08412_020E,B08412_020EA,B08412_020M,B08412_020MA,B08412_021E,B08412_021EA,B08412_021M,B08412_021MA,B08412_022E,B08412_022EA,B08412_022M,B08412_022MA,B08412_023E,B08412_023EA,B08412_023M,B08412_023MA,B08412_024E,B08412_024EA,B08412_024M,B08412_024MA,B08412_025E,B08412_025EA,B08412_025M,B08412_025MA,B08412_026E,B08412_026EA,B08412_026M,B08412_026MA,B08412_027E,B08412_027EA,B08412_027M,B08412_027MA,B08412_028E,B08412_028EA,B08412_028M,B08412_028MA,B08412_029E,B08412_029EA,B08412_029M,B08412_029MA,B08412_030E,B08412_030EA,B08412_030M,B08412_030MA,B08412_031E,B08412_031EA,B08412_031M,B08412_031MA,B08412_032E,B08412_032EA,B08412_032M,B08412_032MA,B08412_033E,B08412_033EA,B08412_033M,B08412_033MA,B08412_034E,B08412_034EA,B08412_034M,B08412_034MA,B08412_035E,B08412_035EA,B08412_035M,B08412_035MA,B08412_036E,B08412_036EA,B08412_036M,B08412_036MA,B08412_037E,B08412_037EA,B08412_037M,B08412_037MA,B08412_038E,B08412_038EA,B08412_038M,B08412_038MA,B08412_039E,B08412_039EA,B08412_039M,B08412_039MA,GEO_ID,NAME,state
1871352,null,14518,null,60384,null,4234,null,196057,null,8145,null,294022,null,8071,null,313516,null,8618,null,300584,null,11236,null,120967,null,5632,null,245859,null,7533,null,51326,null,3726,null,53627,null,3844,null,131500,null,6155,null,71845,null,5474,null,31665,null,2792,null,988096,null,11550,null,31226,null,3413,null,93901,null,5541,null,141779,null,5735,null,155619,null,5730,null,156675,null,6885,null,61199,null,4333,null,142812,null,6304,null,27881,null,2467,null,30301,null,2869,null,76725,null,4391,null,47775,null,4104,null,22203,null,2200,null,883256,null,11248,null,29158,null,2736,null,102156,null,5521,null,152243,null,5902,null,157897,null,5785,null,143909,null,7041,null,59768,null,3713,null,103047,null,4599,null,23445,null,2572,null,23326,null,2354,null,54775,null,4286,null,24070,null,2571,null,9462,null,1473,null,0400000US01,Alabama,01
327153,null,6801,null,30902,null,2401,null,60683,null,3458,null,62647,null,3958,null,58460,null,4486,null,42363,null,4017,null,13838,null,2054,null,26083,null,2704,null,3499,null,983,null,4178,null,1184,null,9943,null,1658,null,8830,null,1518,null,5727,null,1191,null,178793,null,4428,null,18524,null,1756,null,31122,null,2499,null,31826,null,2671,null,28970,null,2644,null,23934,null,2745,null,6258,null,1405,null,15744,null,2091,null,2350,null,796,null,2646,null,823,null,6111,null,1061,null,6275,null,1218,null,5033,null,1089,null,148360,null,4160,null,12378,null,1436,null,29561,null,2545,null,30821,null,3338,null,29490,null,2980,null,18429,null,2640,null,7580,null,1450,null,10339,null,1570,null,1149,null,531,null,1532,null,684,null,3832,null,966,null,2555,null,783,null,694,null,387,null,0400000US02,Alaska,02
2587695,null,20818,null,77240,null,5943,null,275826,null,9865,null,366103,null,12721,null,407110,null,10613,null,379117,null,11487,null,164284,null,7496,null,401130,null,11952,null,71468,null,5162,null,105111,null,6303,null,190595,null,8070,null,108545,null,5614,null,41166,null,4358,null,1408332,null,14939,null,40155,null,4388,null,136412,null,6836,null,181511,null,8225,null,214201,null,8112,null,201320,null,7879,null,88110,null,4986,null,240062,null,9569,null,40989,null,3683,null,57809,null,4548,null,113632,null,7152,null,67853,null,4725,null,26278,null,3278,null,1179363,null,12880,null,37085,null,4039,null,139414,null,6032,null,184592,null,8365,null,192909,null,7522,null,177797,null,7687,null,76174,null,5039,null,161068,null,7505,null,30479,null,3206,null,47302,null,4088,null,76963,null,4283,null,40692,null,3529,null,14888,null,2368,null,0400000US04,Arizona,04
1181966,null,15192,null,58123,null,4184,null,174584,null,7769,null,208992,null,7839,null,203187,null,6938,null,162023,null,6463,null,64899,null,4781,null,141745,null,6001,null,25021,null,2554,null,25863,null,2701,null,63108,null,3808,null,37476,null,3194,null,16945,null,2065,null,630394,null,10567,null,30612,null,2965,null,86529,null,5201,null,107630,null,5479,null,105594,null,5480,null,83768,null,4723,null,35542,null,3257,null,77043,null,4186,null,14107,null,1680,null,14304,null,2053,null,36713,null,2677,null,25158,null,2570,null,13394,null,1874,null,551572,null,8943,null,27511,null,2855,null,88055,null,5077,null,101362,null,5482,null,97593,null,4681,null,78255,null,4325,null,29357,null,3037,null,64702,null,4099,null,10914,null,1778,null,11559,null,1606,null,26395,null,2346,null,12318,null,1895,null,3551,null,832,null,0400000US05,Arkansas,05
15307553,null,42824,null,348095,null,12575,null,1387039,null,18786,null,2118497,null,25797,null,2412566,null,29478,null,2261682,null,28150,null,890865,null,16056,null,2264796,null,25618,null,384737,null,10532,null,594403,null,14624,null,1198857,null,22340,null,998180,null,16320,null,447836,null,13054,null,8441015,null,34026,null,181211,null,8928,null,669196,null,11351,null,1079403,null,16943,null,1273150,null,20738,null,1246159,null,20267,null,491979,null,11393,null,1295082,null,20719,null,221702,null,8035,null,348111,null,10804,null,711763,null,14994,null,621037,null,15341,null,302222,null,9428,null,6866538,null,27178,null,166884,null,7153,null,717843,null,14503,null,1039094,null,17366,null,1139416,null,17320,null,1015523,null,15119,null,398886,null,10763,null,969714,null,14796,null,163035,null,6668,null,246292,null,7932,null,487094,null,12937,null,377143,null,8254,null,145614,null,6690,null,0400000US06,California,06
2287284,null,17319,null,83125,null,5454,null,242447,null,8191,null,336166,null,8980,null,348449,null,10814,null,352866,null,8383,null,165479,null,8086,null,300961,null,8395,null,62848,null,3768,null,74458,null,4526,null,178834,null,7322,null,95350,null,5835,null,46301,null,3765,null,1239772,null,12768,null,41711,null,3681,null,120946,null,5811,null,167577,null,6223,null,179326,null,6875,null,185896,null,7002,null,93313,null,5886,null,171018,null,6106,null,34353,null,2860,null,42467,null,3254,null,108287,null,5964,null,62583,null,4398,null,32295,null,3092,null,1047512,null,10606,null,41414,null,3383,null,121501,null,5668,null,168589,null,6016,null,169123,null,7523,null,166970,null,5484,null,72166,null,4297,null,129943,null,5674,null,28495,null,2328,null,31991,null,2685,null,70547,null,4316,null,32767,null,3246,null,14006,null,2029,null,0400000US08,Colorado,08
1624825,null,12159,null,50934,null,4187,null,181246,null,6877,null,260904,null,7197,null,267796,null,9079,null,255387,null,7783,null,107926,null,5632,null,199111,null,6289,null,43765,null,3392,null,56683,null,3794,null,101521,null,4603,null,68771,null,3958,null,30781,null,2686,null,836029,null,9379,null,24649,null,2618,null,81396,null,4769,null,125399,null,5430,null,130364,null,6065,null,129855,null,6155,null,55814,null,3456,null,110233,null,4621,null,22529,null,2323,null,31559,null,2905,null,58225,null,3643,null,44228,null,3293,null,21778,null,2413,null,788796,null,8803,null,26285,null,2636,null,99850,null,4572,null,135505,null,5157,null,137432,null,6380,null,125532,null,5169,null,52112,null,3977,null,88878,null,4212,null,21236,null,2406,null,25124,null,2264,null,43296,null,3147,null,24543,null,2353,null,9003,null,1371,null,0400000US09,Connecticut,09
403227,null,8703,null,9749,null,1343,null,42181,null,4268,null,58302,null,3403,null,71834,null,4339,null,72120,null,4181,null,28189,null,2843,null,50096,null,3847,null,10132,null,1796,null,13503,null,1657,null,25407,null,2638,null,15524,null,1998,null,6190,null,1467,null,203568,null,5463,null,4411,null,961,null,18581,null,2524,null,26910,null,2397,null,38021,null,3051,null,35834,null,2966,null,12824,null,1957,null,26635,null,2698,null,4777,null,1074,null,7838,null,1289,null,14507,null,1621,null,8770,null,1484,null,4460,null,1273,null,199659,null,5355,null,5338,null,1240,null,23600,null,2603,null,31392,null,2715,null,33813,null,3012,null,36286,null,2514,null,15365,null,1887,null,23461,null,2635,null,5355,null,1364,null,5665,null,1123,null,10900,null,1966,null,6754,null,1233,null,1730,null,553,null,0400000US10,Delaware,10
743648,null,11802,null,3929,null,982,null,15172,null,2285,null,29489,null,3006,null,44456,null,3364,null,76313,null,5275,null,38740,null,3692,null,128846,null,5735,null,32600,null,2891,null,50959,null,3902,null,132993,null,5407,null,136505,null,6925,null,53646,null,3669,null,385130,null,9118,null,2754,null,931,null,8408,null,1534,null,16893,null,2203,null,23701,null,2491,null,38672,null,3625,null,20505,null,2392,null,64485,null,4768,null,18108,null,2155,null,27208,null,2925,null,67113,null,4026,null,70208,null,4794,null,27075,null,2877,null,358518,null,8289,null,1175,null,435,null,6764,null,1581,null,12596,null,1804,null,20755,null,2531,null,37641,null,3300,null,18235,null,2364,null,64361,null,3422,null,14492,null,2114,null,23751,null,2403,null,65880,null,4111,null,66297,null,5095,null,26571,null,2701,null,0400000US11,District of Columbia,11
7476832,null,37497,null,164697,null,7847,null,635734,null,16132,null,996071,null,16173,null,1180809,null,18634,null,1229656,null,19507,null,484508,null,13399,null,1211286,null,21013,null,222261,null,9986,null,283294,null,10586,null,590033,null,16571,null,341499,null,12441,null,136984,null,6569,null,3914939,null,24558,null,83366,null,4887,null,306817,null,11204,null,482654,null,12542,null,597184,null,13934,null,634632,null,13986,null,254779,null,9301,null,659083,null,13397,null,120410,null,7610,null,154514,null,7147,null,328672,null,11981,null,204365,null,8708,null,88463,null,5335,null,3561893,null,24317,null,81331,null,5363,null,328917,null,10128,null,513417,null,12977,null,583625,null,11256,null,595024,null,10769,null,229729,null,8924,null,552203,null,14041,null,101851,null,5498,null,128780,null,6806,null,261361,null,9836,null,137134,null,7148,null,48521,null,4265,null,0400000US12,Florida,12
