B08505G_001E,B08505G_001EA,B08505G_001M,B08505G_001MA,B08505G_002E,B08505G_002EA,B08505G_002M,B08505G_002MA,B08505G_003E,B08505G_003EA,B08505G_003M,B08505G_003MA,B08505G_004E,B08505G_004EA,B08505G_004M,B08505G_004MA,B08505G_005E,B08505G_005EA,B08505G_005M,B08505G_005MA,B08505G_006E,B08505G_006EA,B08505G_006M,B08505G_006MA,B08505G_007E,B08505G_007EA,B08505G_007M,B08505G_007MA,GEO_ID,NAME,state
16550,null,2229,null,13198,null,1907,null,2357,null,879,null,109,null,125,null,366,null,322,null,303,null,327,null,217,null,223,null,0400000US01,Alabama,01
16668,null,2166,null,10528,null,1807,null,2501,null,960,null,551,null,436,null,1343,null,420,null,1103,null,612,null,642,null,503,null,0400000US02,Alaska,02
49850,null,4346,null,35720,null,3852,null,7892,null,1663,null,1833,null,942,null,1017,null,497,null,1141,null,587,null,2247,null,764,null,0400000US04,Arizona,04
18352,null,2208,null,14371,null,1970,null,2901,null,1006,null,123,null,168,null,169,null,175,null,11,null,20,null,777,null,573,null,0400000US05,Arkansas,05
445598,null,13592,null,317235,null,12129,null,52616,null,3952,null,27237,null,2933,null,14050,null,2203,null,12014,null,2130,null,22446,null,2462,null,0400000US06,California,06
51776,null,4172,null,38313,null,3236,null,5862,null,1256,null,2069,null,834,null,1314,null,566,null,1663,null,805,null,2555,null,892,null,0400000US08,Colorado,08
22993,null,2521,null,16839,null,2034,null,2418,null,871,null,855,null,483,null,1925,null,761,null,601,null,450,null,355,null,312,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
16050,null,2046,null,6017,null,1360,null,1639,null,634,null,6268,null,1303,null,1273,null,647,null,391,null,377,null,462,null,355,null,0400000US11,District of Columbia,11
112846,null,6584,null,87454,null,5592,null,12862,null,1941,null,2899,null,1003,null,2335,null,809,null,2230,null,1000,null,5066,null,1130,null,0400000US12,Florida,12
48679,null,4646,null,35519,null,4001,null,6398,null,1592,null,1437,null,754,null,1128,null,456,null,570,null,362,null,3627,null,1168,null,0400000US13,Georgia,13
127500,null,6985,null,92582,null,5722,null,17595,null,2170,null,6229,null,1162,null,4075,null,867,null,2634,null,1110,null,4385,null,984,null,0400000US15,Hawaii,15
10589,null,1797,null,7547,null,1688,null,1615,null,713,null,112,null,148,null,356,null,306,null,167,null,200,null,792,null,421,null,0400000US16,Idaho,16
64049,null,4625,null,41748,null,3427,null,7717,null,1412,null,7728,null,1591,null,3243,null,925,null,1059,null,466,null,2554,null,758,null,0400000US17,Illinois,17
30263,null,2647,null,22488,null,2339,null,3720,null,889,null,904,null,568,null,1394,null,446,null,460,null,391,null,1297,null,615,null,0400000US18,Indiana,18
14459,null,2130,null,9939,null,1657,null,2325,null,792,null,485,null,297,null,894,null,510,null,521,null,383,null,295,null,169,null,0400000US19,Iowa,19
24597,null,2418,null,19821,null,2156,null,2737,null,910,null,141,null,151,null,876,null,425,null,518,null,303,null,504,null,329,null,0400000US20,Kansas,20
15056,null,1949,null,11037,null,1751,null,2296,null,717,null,227,null,212,null,606,null,409,null,181,null,120,null,709,null,426,null,0400000US21,Kentucky,21
17930,null,2434,null,12119,null,1893,null,3627,null,1271,null,60,null,75,null,676,null,472,null,831,null,427,null,617,null,340,null,0400000US22,Louisiana,22
9590,null,1860,null,6467,null,1385,null,1552,null,915,null,367,null,415,null,546,null,376,null,560,null,431,null,98,null,115,null,0400000US23,Maine,23
40402,null,3581,null,27184,null,3252,null,6023,null,1444,null,2974,null,963,null,2395,null,984,null,327,null,302,null,1499,null,498,null,0400000US24,Maryland,24
51181,null,5137,null,26203,null,3078,null,10060,null,2337,null,8217,null,1987,null,4339,null,1120,null,907,null,611,null,1455,null,611,null,0400000US25,Massachusetts,25
53087,null,3823,null,41697,null,3387,null,6118,null,1480,null,1030,null,476,null,1839,null,705,null,1176,null,551,null,1227,null,525,null,0400000US26,Michigan,26
26690,null,2452,null,18894,null,1961,null,3185,null,950,null,1714,null,691,null,1560,null,677,null,420,null,286,null,917,null,361,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
38561,null,3804,null,29356,null,3176,null,5008,null,1187,null,910,null,565,null,1091,null,512,null,559,null,384,null,1637,null,601,null,0400000US29,Missouri,29
6312,null,1465,null,4519,null,1244,null,707,null,432,null,0,null,271,null,713,null,544,null,266,null,252,null,107,null,96,null,0400000US30,Montana,30
12762,null,1790,null,9268,null,1470,null,2592,null,1063,null,1,null,4,null,701,null,365,null,63,null,106,null,137,null,149,null,0400000US31,Nebraska,31
27059,null,2785,null,19949,null,2371,null,3261,null,907,null,1633,null,624,null,760,null,458,null,614,null,418,null,842,null,550,null,0400000US32,Nevada,32
7116,null,1149,null,4765,null,866,null,853,null,474,null,43,null,72,null,573,null,364,null,247,null,208,null,635,null,431,null,0400000US33,New Hampshire,33
64643,null,5842,null,39505,null,4246,null,10239,null,2475,null,7287,null,1833,null,4073,null,1140,null,2017,null,1056,null,1522,null,689,null,0400000US34,New Jersey,34
19755,null,2312,null,14081,null,1998,null,3656,null,989,null,212,null,203,null,873,null,508,null,278,null,315,null,655,null,468,null,0400000US35,New Mexico,35
130500,null,6512,null,51206,null,3893,null,11147,null,1880,null,49269,null,3964,null,10202,null,1828,null,3689,null,973,null,4987,null,1394,null,0400000US36,New York,36
52585,null,4092,null,39124,null,3730,null,6521,null,1563,null,788,null,490,null,3297,null,1117,null,692,null,356,null,2163,null,1069,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
51750,null,4557,null,40066,null,3879,null,6334,null,1314,null,1197,null,622,null,2521,null,1159,null,449,null,269,null,1183,null,473,null,0400000US39,Ohio,39
84691,null,4815,null,67881,null,4667,null,10071,null,1762,null,191,null,169,null,1810,null,762,null,1052,null,476,null,3686,null,1137,null,0400000US40,Oklahoma,40
44417,null,3743,null,30452,null,3312,null,5345,null,1023,null,2288,null,784,null,3271,null,1265,null,1323,null,601,null,1738,null,708,null,0400000US41,Oregon,41
50866,null,3810,null,32939,null,2629,null,6730,null,1396,null,4471,null,1519,null,3380,null,828,null,1484,null,583,null,1862,null,612,null,0400000US42,Pennsylvania,42
6307,null,1501,null,4571,null,1085,null,426,null,375,null,390,null,359,null,430,null,359,null,426,null,426,null,64,null,66,null,0400000US44,Rhode Island,44
14817,null,2194,null,12060,null,2009,null,947,null,528,null,696,null,654,null,554,null,237,null,265,null,314,null,295,null,302,null,0400000US45,South Carolina,45
5601,null,1631,null,3905,null,1142,null,813,null,568,null,0,null,271,null,261,null,215,null,357,null,333,null,265,null,331,null,0400000US46,South Dakota,46
27418,null,3031,null,21720,null,2695,null,3636,null,1287,null,230,null,288,null,534,null,357,null,239,null,220,null,1059,null,510,null,0400000US47,Tennessee,47
179956,null,8630,null,137297,null,7389,null,26203,null,3199,null,3583,null,904,null,3979,null,1229,null,4034,null,1310,null,4860,null,1039,null,0400000US48,Texas,48
16560,null,2005,null,12789,null,1885,null,2248,null,790,null,846,null,511,null,317,null,241,null,83,null,101,null,277,null,209,null,0400000US49,Utah,49
3578,null,867,null,2459,null,739,null,636,null,467,null,16,null,26,null,134,null,143,null,0,null,271,null,333,null,196,null,0400000US50,Vermont,50
54625,null,4623,null,40599,null,3998,null,6583,null,1635,null,2027,null,852,null,2149,null,953,null,630,null,418,null,2637,null,958,null,0400000US51,Virginia,51
86428,null,5050,null,57685,null,4393,null,12237,null,1469,null,7388,null,1492,null,3815,null,1093,null,1760,null,711,null,3543,null,847,null,0400000US53,Washington,53
