B08513_001E,B08513_001EA,B08513_001M,B08513_001MA,B08513_002E,B08513_002EA,B08513_002M,B08513_002MA,B08513_003E,B08513_003EA,B08513_003M,B08513_003MA,B08513_004E,B08513_004EA,B08513_004M,B08513_004MA,B08513_005E,B08513_005EA,B08513_005M,B08513_005MA,B08513_006E,B08513_006EA,B08513_006M,B08513_006MA,B08513_007E,B08513_007EA,B08513_007M,B08513_007MA,B08513_008E,B08513_008EA,B08513_008M,B08513_008MA,B08513_009E,B08513_009EA,B08513_009M,B08513_009MA,B08513_010E,B08513_010EA,B08513_010M,B08513_010MA,B08513_011E,B08513_011EA,B08513_011M,B08513_011MA,B08513_012E,B08513_012EA,B08513_012M,B08513_012MA,B08513_013E,B08513_013EA,B08513_013M,B08513_013MA,B08513_014E,B08513_014EA,B08513_014M,B08513_014MA,B08513_015E,B08513_015EA,B08513_015M,B08513_015MA,B08513_016E,B08513_016EA,B08513_016M,B08513_016MA,B08513_017E,B08513_017EA,B08513_017M,B08513_017MA,B08513_018E,B08513_018EA,B08513_018M,B08513_018MA,B08513_019E,B08513_019EA,B08513_019M,B08513_019MA,B08513_020E,B08513_020EA,B08513_020M,B08513_020MA,B08513_021E,B08513_021EA,B08513_021M,B08513_021MA,B08513_022E,B08513_022EA,B08513_022M,B08513_022MA,B08513_023E,B08513_023EA,B08513_023M,B08513_023MA,B08513_024E,B08513_024EA,B08513_024M,B08513_024MA,B08513_025E,B08513_025EA,B08513_025M,B08513_025MA,B08513_026E,B08513_026EA,B08513_026M,B08513_026MA,B08513_027E,B08513_027EA,B08513_027M,B08513_027MA,B08513_028E,B08513_028EA,B08513_028M,B08513_028MA,B08513_029E,B08513_029EA,B08513_029M,B08513_029MA,B08513_030E,B08513_030EA,B08513_030M,B08513_030MA,B08513_031E,B08513_031EA,B08513_031M,B08513_031MA,B08513_032E,B08513_032EA,B08513_032M,B08513_032MA,B08513_033E,B08513_033EA,B08513_033M,B08513_033MA,B08513_034E,B08513_034EA,B08513_034M,B08513_034MA,B08513_035E,B08513_035EA,B08513_035M,B08513_035MA,B08513_036E,B08513_036EA,B08513_036M,B08513_036MA,B08513_037E,B08513_037EA,B08513_037M,B08513_037MA,B08513_038E,B08513_038EA,B08513_038M,B08513_038MA,B08513_039E,B08513_039EA,B08513_039M,B08513_039MA,B08513_040E,B08513_040EA,B08513_040M,B08513_040MA,B08513_041E,B08513_041EA,B08513_041M,B08513_041MA,B08513_042E,B08513_042EA,B08513_042M,B08513_042MA,B08513_043E,B08513_043EA,B08513_043M,B08513_043MA,B08513_044E,B08513_044EA,B08513_044M,B08513_044MA,B08513_045E,B08513_045EA,B08513_045M,B08513_045MA,B08513_046E,B08513_046EA,B08513_046M,B08513_046MA,B08513_047E,B08513_047EA,B08513_047M,B08513_047MA,B08513_048E,B08513_048EA,B08513_048M,B08513_048MA,B08513_049E,B08513_049EA,B08513_049M,B08513_049MA,B08513_050E,B08513_050EA,B08513_050M,B08513_050MA,B08513_051E,B08513_051EA,B08513_051M,B08513_051MA,B08513_052E,B08513_052EA,B08513_052M,B08513_052MA,B08513_053E,B08513_053EA,B08513_053M,B08513_053MA,B08513_054E,B08513_054EA,B08513_054M,B08513_054MA,B08513_055E,B08513_055EA,B08513_055M,B08513_055MA,B08513_056E,B08513_056EA,B08513_056M,B08513_056MA,GEO_ID,NAME,state
1919778,null,14797,null,1820743,null,14969,null,60725,null,3683,null,21673,null,2384,null,39052,null,3386,null,38310,null,2829,null,26197,null,2615,null,12113,null,1490,null,1621511,null,16572,null,1552257,null,16116,null,39806,null,3562,null,17120,null,2140,null,22686,null,3029,null,29448,null,2290,null,20854,null,2120,null,8594,null,1386,null,197367,null,6981,null,173192,null,6657,null,18432,null,2460,null,3594,null,989,null,14838,null,2316,null,5743,null,1288,null,3185,null,951,null,2558,null,721,null,8172,null,1778,null,7966,null,1734,null,134,null,168,null,69,null,119,null,65,null,112,null,72,null,86,null,0,null,271,null,72,null,86,null,25155,null,2368,null,22009,null,2292,null,1231,null,547,null,567,null,377,null,664,null,445,null,1915,null,1087,null,1213,null,955,null,702,null,469,null,19147,null,2640,null,18092,null,2637,null,725,null,477,null,139,null,168,null,586,null,482,null,330,null,259,null,286,null,248,null,44,null,72,null,48426,null,3670,null,47227,null,3602,null,397,null,216,null,184,null,178,null,213,null,135,null,802,null,461,null,659,null,423,null,143,null,162,null,0400000US01,Alabama,01
342551,null,6394,null,288011,null,6214,null,15537,null,2341,null,10401,null,1618,null,5136,null,1944,null,39003,null,3022,null,22553,null,2556,null,16450,null,1988,null,230130,null,6492,null,200875,null,6573,null,10338,null,1817,null,7091,null,1387,null,3247,null,1257,null,18917,null,2500,null,11607,null,2032,null,7310,null,1593,null,45078,null,3523,null,37060,null,3211,null,2327,null,1021,null,1207,null,594,null,1120,null,907,null,5691,null,1257,null,2731,null,909,null,2960,null,955,null,4707,null,1325,null,4000,null,1218,null,132,null,152,null,132,null,152,null,0,null,271,null,575,null,356,null,215,null,167,null,360,null,263,null,28020,null,2370,null,18023,null,2231,null,961,null,445,null,598,null,345,null,363,null,248,null,9036,null,1634,null,4487,null,1043,null,4549,null,886,null,19218,null,2048,null,14712,null,1819,null,991,null,770,null,656,null,668,null,335,null,354,null,3515,null,865,null,2497,null,697,null,1018,null,473,null,15398,null,2206,null,13341,null,2012,null,788,null,480,null,717,null,467,null,71,null,136,null,1269,null,566,null,1016,null,533,null,253,null,171,null,0400000US02,Alaska,02
2729757,null,21363,null,1995659,null,20850,null,568552,null,11925,null,318094,null,10956,null,250458,null,9265,null,165546,null,9022,null,118895,null,7812,null,46651,null,4989,null,2070957,null,22259,null,1543479,null,19689,null,406718,null,10267,null,244551,null,9505,null,162167,null,8882,null,120760,null,7613,null,88603,null,6675,null,32157,null,3504,null,323352,null,13342,null,205188,null,9402,null,96283,null,6778,null,42712,null,3886,null,53571,null,5484,null,21881,null,3209,null,13961,null,2443,null,7920,null,1966,null,55861,null,4907,null,36375,null,3404,null,16268,null,3218,null,6346,null,1573,null,9922,null,3055,null,3218,null,1129,null,1795,null,701,null,1423,null,900,null,65173,null,7222,null,44652,null,4992,null,14415,null,2836,null,6446,null,1512,null,7969,null,2325,null,6106,null,1961,null,4862,null,1690,null,1244,null,767,null,72352,null,6325,null,49914,null,4189,null,17495,null,3252,null,7760,null,2121,null,9735,null,2573,null,4943,null,1336,null,3084,null,1010,null,1859,null,814,null,142062,null,7340,null,116051,null,6159,null,17373,null,2717,null,10279,null,2145,null,7094,null,1762,null,8638,null,2031,null,6590,null,1825,null,2048,null,795,null,0400000US04,Arizona,04
1224374,null,14588,null,1137614,null,13967,null,64126,null,3151,null,26172,null,2773,null,37954,null,2630,null,22634,null,2722,null,14320,null,2243,null,8314,null,1679,null,991971,null,14852,null,932712,null,13833,null,42240,null,3305,null,20219,null,2550,null,22021,null,2719,null,17019,null,2167,null,11226,null,1848,null,5793,null,1278,null,144175,null,7103,null,123978,null,5995,null,16531,null,2307,null,4064,null,1194,null,12467,null,2138,null,3666,null,1032,null,2142,null,809,null,1524,null,730,null,5105,null,1496,null,4868,null,1509,null,43,null,87,null,43,null,87,null,0,null,271,null,194,null,184,null,194,null,184,null,0,null,271,null,22228,null,3276,null,19727,null,3109,null,1726,null,767,null,441,null,294,null,1285,null,665,null,775,null,473,null,296,null,301,null,479,null,341,null,18487,null,2572,null,16764,null,2418,null,1561,null,681,null,450,null,392,null,1111,null,644,null,162,null,182,null,74,null,144,null,88,null,102,null,42408,null,3585,null,39565,null,3347,null,2025,null,897,null,955,null,574,null,1070,null,738,null,818,null,690,null,388,null,358,null,430,null,420,null,0400000US05,Arkansas,05
16139699,null,40928,null,9159895,null,39884,null,4528271,null,27825,null,2151166,null,26045,null,2377105,null,26509,null,2451533,null,23165,null,1505220,null,20955,null,946313,null,17088,null,11783251,null,46402,null,6952755,null,42315,null,3060185,null,27832,null,1634580,null,24968,null,1425605,null,22896,null,1770311,null,20993,null,1116444,null,19424,null,653867,null,12729,null,1870263,null,25078,null,813119,null,18439,null,734413,null,17622,null,268739,null,11028,null,465674,null,13385,null,322731,null,11593,null,180336,null,7619,null,142395,null,7807,null,838055,null,18386,null,370285,null,10397,null,333449,null,12413,null,90880,null,5704,null,242569,null,10322,null,134321,null,6690,null,76510,null,4590,null,57811,null,4899,null,446576,null,11846,null,235121,null,8429,null,146625,null,6964,null,54827,null,3688,null,91798,null,5942,null,64830,null,4929,null,35609,null,3730,null,29221,null,3020,null,369408,null,11995,null,208371,null,8640,null,117168,null,6619,null,35196,null,3545,null,81972,null,5600,null,43869,null,3204,null,26448,null,2814,null,17421,null,2269,null,832146,null,16574,null,580244,null,14812,null,136431,null,6431,null,66944,null,4626,null,69487,null,4404,null,115471,null,6118,null,69873,null,4298,null,45598,null,3944,null,0400000US06,California,06
2453377,null,15718,null,2081072,null,16025,null,254500,null,9709,null,121298,null,5820,null,133202,null,8064,null,117805,null,5991,null,81729,null,4930,null,36076,null,3835,null,1826923,null,16239,null,1570922,null,17090,null,173529,null,6214,null,87719,null,4903,null,85810,null,5109,null,82472,null,5051,null,57488,null,4326,null,24984,null,2866,null,246331,null,9296,null,183959,null,6415,null,48088,null,5660,null,18732,null,2509,null,29356,null,4949,null,14284,null,1641,null,9030,null,1453,null,5254,null,1176,null,81687,null,4896,null,60111,null,3732,null,14885,null,2726,null,4134,null,1348,null,10751,null,2338,null,6691,null,1449,null,3873,null,936,null,2818,null,1103,null,72303,null,4895,null,62219,null,4578,null,6359,null,1713,null,3031,null,1075,null,3328,null,1238,null,3725,null,830,null,2819,null,679,null,906,null,514,null,60040,null,5083,null,51100,null,4507,null,5601,null,1222,null,3181,null,934,null,2420,null,745,null,3339,null,1251,null,2285,null,1050,null,1054,null,524,null,166093,null,6611,null,152761,null,6058,null,6038,null,1325,null,4501,null,1178,null,1537,null,584,null,7294,null,1561,null,6234,null,1343,null,1060,null,543,null,0400000US08,Colorado,08
1694719,null,12924,null,1353392,null,14488,null,162354,null,5893,null,91081,null,4537,null,71273,null,5323,null,178973,null,8525,null,113706,null,6930,null,65267,null,4395,null,1356814,null,14404,null,1120911,null,14206,null,102173,null,4865,null,67094,null,3959,null,35079,null,3012,null,133730,null,7113,null,91331,null,6046,null,42399,null,3567,null,145095,null,7150,null,93897,null,5075,null,29574,null,3544,null,11127,null,1671,null,18447,null,3357,null,21624,null,2728,null,8858,null,1512,null,12766,null,2178,null,54408,null,4545,null,33399,null,3227,null,12657,null,2510,null,4341,null,1188,null,8316,null,2021,null,8352,null,1780,null,3674,null,1008,null,4678,null,1438,null,49594,null,4461,null,32807,null,3371,null,9312,null,1857,null,4743,null,1116,null,4569,null,1541,null,7475,null,1682,null,4603,null,1218,null,2872,null,929,null,18914,null,2839,null,11614,null,2183,null,4797,null,1456,null,2120,null,797,null,2677,null,1163,null,2503,null,1053,null,1019,null,436,null,1484,null,914,null,69894,null,4619,null,60764,null,4249,null,3841,null,1177,null,1656,null,718,null,2185,null,983,null,5289,null,861,null,4221,null,779,null,1068,null,477,null,0400000US09,Connecticut,09
416661,null,8712,null,363721,null,8855,null,24335,null,2488,null,13058,null,2276,null,11277,null,1994,null,28605,null,3283,null,20667,null,2509,null,7938,null,1854,null,337594,null,8077,null,300054,null,7362,null,16584,null,2481,null,10607,null,2187,null,5977,null,1372,null,20956,null,2799,null,15801,null,2196,null,5155,null,1487,null,37204,null,4139,null,28024,null,3354,null,4489,null,1639,null,857,null,454,null,3632,null,1570,null,4691,null,1631,null,2778,null,1224,null,1913,null,888,null,13826,null,2495,null,11886,null,2157,null,1302,null,874,null,662,null,546,null,640,null,508,null,638,null,458,null,515,null,394,null,123,null,150,null,9395,null,1662,null,7619,null,1753,null,941,null,557,null,680,null,485,null,261,null,245,null,835,null,686,null,583,null,569,null,252,null,309,null,5208,null,1200,null,3960,null,1120,null,905,null,606,null,203,null,220,null,702,null,560,null,343,null,346,null,287,null,332,null,56,null,92,null,13434,null,1820,null,12178,null,1655,null,114,null,132,null,49,null,85,null,65,null,102,null,1142,null,767,null,703,null,502,null,439,null,472,null,0400000US10,Delaware,10
758689,null,11963,null,605057,null,11241,null,59429,null,4540,null,33166,null,3246,null,26263,null,3329,null,94203,null,5147,null,71945,null,4215,null,22258,null,2586,null,324665,null,8094,null,257683,null,6963,null,24057,null,2865,null,14712,null,2314,null,9345,null,1906,null,42925,null,3628,null,33249,null,2887,null,9676,null,1693,null,85945,null,4905,null,63449,null,4133,null,11542,null,2049,null,5158,null,1394,null,6384,null,1602,null,10954,null,1765,null,7811,null,1435,null,3143,null,842,null,282845,null,10150,null,231132,null,8799,null,19482,null,3010,null,10526,null,1681,null,8956,null,2165,null,32231,null,2881,null,24364,null,2664,null,7867,null,1471,null,33220,null,2951,null,26771,null,2455,null,2537,null,1265,null,1661,null,781,null,876,null,1086,null,3912,null,993,null,3081,null,930,null,831,null,529,null,16973,null,2320,null,13398,null,2303,null,921,null,506,null,596,null,418,null,325,null,275,null,2654,null,794,null,2083,null,708,null,571,null,407,null,15041,null,1984,null,12624,null,1908,null,890,null,599,null,513,null,331,null,377,null,394,null,1527,null,621,null,1357,null,549,null,170,null,167,null,0400000US11,District of Columbia,11
7851983,null,36622,null,5594800,null,30602,null,1677295,null,20025,null,888621,null,18312,null,788674,null,17696,null,579888,null,15145,null,357334,null,12584,null,222554,null,8673,null,6229212,null,33057,null,4540273,null,29164,null,1250988,null,18266,null,720822,null,16335,null,530166,null,12751,null,437951,null,13718,null,281288,null,10497,null,156663,null,7789,null,816433,null,19773,null,506123,null,14869,null,230248,null,12321,null,89178,null,5850,null,141070,null,10369,null,80062,null,5600,null,42882,null,3733,null,37180,null,3575,null,146595,null,9206,null,74927,null,5849,null,52321,null,6166,null,15403,null,2423,null,36918,null,5581,null,19347,null,3015,null,6949,null,1667,null,12398,null,2436,null,116256,null,8564,null,79622,null,6460,null,27441,null,3352,null,10835,null,2217,null,16606,null,2868,null,9193,null,1885,null,5238,null,1400,null,3955,null,1184,null,168336,null,9515,null,110441,null,6586,null,47559,null,6523,null,15815,null,2410,null,31744,null,5582,null,10336,null,1913,null,3987,null,1200,null,6349,null,1580,null,375151,null,11634,null,283414,null,10055,null,68738,null,6279,null,36568,null,4233,null,32170,null,4235,null,22999,null,2892,null,16990,null,2191,null,6009,null,1575,null,0400000US12,Florida,12
