B18108_001E,B18108_001EA,B18108_001M,B18108_001MA,B18108_002E,B18108_002EA,B18108_002M,B18108_002MA,B18108_003E,B18108_003EA,B18108_003M,B18108_003MA,B18108_004E,B18108_004EA,B18108_004M,B18108_004MA,B18108_005E,B18108_005EA,B18108_005M,B18108_005MA,B18108_006E,B18108_006EA,B18108_006M,B18108_006MA,B18108_007E,B18108_007EA,B18108_007M,B18108_007MA,B18108_008E,B18108_008EA,B18108_008M,B18108_008MA,B18108_009E,B18108_009EA,B18108_009M,B18108_009MA,B18108_010E,B18108_010EA,B18108_010M,B18108_010MA,B18108_011E,B18108_011EA,B18108_011M,B18108_011MA,B18108_012E,B18108_012EA,B18108_012M,B18108_012MA,B18108_013E,B18108_013EA,B18108_013M,B18108_013MA,B18108_014E,B18108_014EA,B18108_014M,B18108_014MA,B18108_015E,B18108_015EA,B18108_015M,B18108_015MA,B18108_016E,B18108_016EA,B18108_016M,B18108_016MA,B18108_017E,B18108_017EA,B18108_017M,B18108_017MA,B18108_018E,B18108_018EA,B18108_018M,B18108_018MA,B18108_019E,B18108_019EA,B18108_019M,B18108_019MA,B18108_020E,B18108_020EA,B18108_020M,B18108_020MA,B18108_021E,B18108_021EA,B18108_021M,B18108_021MA,B18108_022E,B18108_022EA,B18108_022M,B18108_022MA,B18108_023E,B18108_023EA,B18108_023M,B18108_023MA,B18108_024E,B18108_024EA,B18108_024M,B18108_024MA,B18108_025E,B18108_025EA,B18108_025M,B18108_025MA,GEO_ID,NAME,state
4616028,null,1808,null,313845,null,2934,null,2046,null,895,null,49,null,91,null,311750,null,2988,null,810382,null,3150,null,40496,null,3192,null,16228,null,2123,null,753658,null,4960,null,1053679,null,5993,null,46850,null,3832,null,33466,null,3150,null,973363,null,7620,null,1814037,null,6362,null,173702,null,6649,null,170729,null,7427,null,1469606,null,10334,null,350345,null,2936,null,61489,null,3512,null,60492,null,2992,null,228364,null,4431,null,273740,null,2454,null,52672,null,3004,null,101590,null,4088,null,119478,null,4246,null,0400000US01,Alabama,01
678081,null,2615,null,54781,null,1295,null,343,null,259,null,0,null,244,null,54438,null,1340,null,128480,null,1220,null,4870,null,923,null,1674,null,570,null,121936,null,1397,null,172796,null,3363,null,8620,null,2196,null,3734,null,1248,null,160442,null,4053,null,270931,null,3054,null,20954,null,2499,null,15537,null,2365,null,234440,null,5095,null,31931,null,1531,null,6324,null,1030,null,4199,null,964,null,21408,null,1548,null,19162,null,1037,null,5003,null,972,null,7671,null,1064,null,6488,null,1177,null,0400000US02,Alaska,02
6501531,null,2050,null,516430,null,1566,null,2826,null,1160,null,717,null,480,null,512887,null,1768,null,1213384,null,1719,null,41242,null,4600,null,16928,null,2625,null,1155214,null,5311,null,1526954,null,3800,null,41856,null,3852,null,31595,null,3860,null,1453503,null,5958,null,2390687,null,3952,null,161818,null,7066,null,145087,null,8117,null,2083782,null,10620,null,451538,null,2080,null,62404,null,3793,null,49101,null,3586,null,340033,null,5572,null,402538,null,2285,null,79779,null,3309,null,121060,null,4735,null,201699,null,5071,null,0400000US04,Arizona,04
2833391,null,1646,null,202311,null,2239,null,1912,null,749,null,419,null,488,null,199980,null,2421,null,504373,null,2893,null,27982,null,3039,null,6761,null,1134,null,469630,null,4148,null,642221,null,4114,null,35765,null,3944,null,22985,null,2992,null,583471,null,5654,null,1092661,null,4732,null,108507,null,5339,null,112090,null,5054,null,872064,null,7725,null,217417,null,2142,null,36383,null,2663,null,37355,null,2293,null,143679,null,3504,null,174408,null,2298,null,35691,null,2665,null,65508,null,3718,null,73209,null,3685,null,0400000US05,Arkansas,05
36376938,null,5731,null,2748826,null,3295,null,13554,null,2146,null,5957,null,1314,null,2729315,null,4325,null,6673860,null,3828,null,174839,null,8478,null,78341,null,5163,null,6420680,null,11702,null,8851433,null,7264,null,237959,null,11398,null,155302,null,6940,null,8458172,null,14774,null,14078403,null,7272,null,768339,null,14320,null,689064,null,13338,null,12621000,null,18880,null,2155916,null,3745,null,278722,null,7764,null,265036,null,8958,null,1612158,null,11108,null,1868500,null,4783,null,340901,null,9150,null,629182,null,11197,null,898417,null,10512,null,0400000US06,California,06
4930142,null,2876,null,364714,null,1862,null,1239,null,613,null,765,null,497,null,362710,null,1815,null,860497,null,2169,null,26920,null,2588,null,9951,null,1755,null,823626,null,3997,null,1187799,null,4499,null,35146,null,3128,null,22589,null,2964,null,1130064,null,5895,null,2000490,null,4825,null,115694,null,5307,null,84075,null,5235,null,1800721,null,7267,null,294263,null,1975,null,41375,null,2754,null,24200,null,1854,null,228688,null,3818,null,222379,null,2875,null,47243,null,2441,null,67037,null,3894,null,108099,null,3787,null,0400000US08,Colorado,08
3456856,null,1297,null,209369,null,1147,null,1172,null,515,null,0,null,277,null,208197,null,1201,null,597430,null,1317,null,22104,null,2410,null,6412,null,997,null,568914,null,3088,null,735012,null,2632,null,23547,null,2732,null,14380,null,2082,null,697085,null,4320,null,1455054,null,2966,null,83783,null,5304,null,62549,null,2880,null,1308722,null,5758,null,244461,null,1298,null,29576,null,2332,null,20285,null,1988,null,194600,null,3268,null,215530,null,2044,null,40441,null,2290,null,55964,null,2844,null,119125,null,3220,null,0400000US09,Connecticut,09
869483,null,1017,null,59461,null,256,null,295,null,343,null,0,null,263,null,59166,null,466,null,147303,null,374,null,6881,null,1456,null,1175,null,417,null,139247,null,1611,null,193219,null,1259,null,7132,null,1703,null,6497,null,1482,null,179590,null,2616,null,348173,null,1656,null,25312,null,2397,null,20090,null,2332,null,302771,null,3522,null,66695,null,1023,null,7755,null,1324,null,8207,null,1539,null,50733,null,1818,null,54632,null,1342,null,11104,null,1442,null,16759,null,1614,null,26769,null,1917,null,0400000US10,Delaware,10
589408,null,861,null,38152,null,772,null,285,null,392,null,0,null,296,null,37867,null,796,null,75558,null,772,null,5283,null,1461,null,1189,null,687,null,69086,null,1815,null,181604,null,999,null,4957,null,1095,null,3165,null,1092,null,173482,null,2161,null,228330,null,1114,null,18614,null,2307,null,14902,null,2449,null,194814,null,3462,null,37420,null,930,null,5364,null,1104,null,5366,null,992,null,26690,null,1524,null,28344,null,1154,null,5657,null,1068,null,7584,null,1215,null,15103,null,1695,null,0400000US11,District of Columbia,11
18192784,null,3804,null,1163157,null,2501,null,6390,null,1577,null,1451,null,789,null,1155316,null,3206,null,2887504,null,3407,null,102920,null,5757,null,38068,null,3019,null,2746516,null,7256,null,3890948,null,8540,null,126249,null,6727,null,86587,null,5827,null,3678112,null,13306,null,7132770,null,10236,null,456529,null,12088,null,402116,null,10770,null,6274125,null,19098,null,1547566,null,5244,null,202388,null,7233,null,161214,null,6552,null,1183964,null,9968,null,1570839,null,6299,null,298398,null,8142,null,444521,null,12093,null,827920,null,13040,null,0400000US12,Florida,12
9594277,null,7331,null,744399,null,2958,null,4425,null,1038,null,2002,null,1158,null,737972,null,3619,null,1831290,null,4092,null,66793,null,4682,null,22955,null,2436,null,1741542,null,6541,null,2266557,null,10384,null,75807,null,6220,null,48061,null,4536,null,2142689,null,11248,null,3776954,null,9400,null,258479,null,8687,null,237169,null,9342,null,3281306,null,15139,null,574409,null,4713,null,86873,null,3946,null,81394,null,4761,null,406142,null,6164,null,400668,null,4418,null,74755,null,3677,null,143124,null,4347,null,182789,null,5591,null,0400000US13,Georgia,13
1231549,null,4784,null,88446,null,578,null,218,null,186,null,0,null,275,null,88228,null,623,null,199498,null,1905,null,5246,null,1305,null,1182,null,459,null,193070,null,2293,null,273509,null,3800,null,6603,null,1448,null,3593,null,1051,null,263313,null,4129,null,489481,null,3075,null,28241,null,2733,null,20195,null,2386,null,441045,null,4356,null,89818,null,959,null,12687,null,1475,null,7985,null,1334,null,69146,null,1950,null,90797,null,1899,null,15161,null,1347,null,29324,null,2085,null,46312,null,2365,null,0400000US15,Hawaii,15
1520563,null,1085,null,123376,null,1773,null,835,null,420,null,193,null,200,null,122348,null,1866,null,294796,null,1801,null,10015,null,1922,null,3421,null,828,null,281360,null,2393,null,360066,null,2332,null,14740,null,2155,null,7665,null,1798,null,337661,null,3559,null,563918,null,2631,null,44627,null,3197,null,32752,null,3050,null,486539,null,4835,null,100354,null,1501,null,16415,null,1663,null,10120,null,1276,null,73819,null,2247,null,78053,null,1400,null,17217,null,1463,null,24264,null,2101,null,36572,null,2059,null,0400000US16,Idaho,16
12719575,null,2242,null,892537,null,2301,null,4563,null,1271,null,1416,null,766,null,886558,null,2545,null,2275721,null,3220,null,74259,null,4671,null,24375,null,2582,null,2177087,null,5820,null,3027087,null,5216,null,77047,null,4548,null,52169,null,4704,null,2897871,null,7896,null,5006884,null,5775,null,269622,null,7865,null,239112,null,8417,null,4498150,null,12251,null,825666,null,2820,null,114713,null,4576,null,86966,null,3987,null,623987,null,5494,null,691680,null,4276,null,132449,null,4427,null,208132,null,5712,null,351099,null,6175,null,0400000US17,Illinois,17
6316260,null,1620,null,443811,null,2227,null,2456,null,811,null,608,null,374,null,440747,null,2386,null,1138959,null,2943,null,52254,null,3925,null,15595,null,2056,null,1071110,null,5309,null,1456817,null,4823,null,55657,null,3561,null,32215,null,2775,null,1368945,null,6634,null,2492462,null,6276,null,183676,null,6891,null,155881,null,6772,null,2152905,null,9480,null,429237,null,1992,null,65675,null,3190,null,51622,null,3201,null,311940,null,4730,null,354974,null,3142,null,70835,null,2681,null,110782,null,4561,null,173357,null,4648,null,0400000US18,Indiana,18
2956722,null,916,null,198655,null,1793,null,991,null,518,null,63,null,106,null,197601,null,1895,null,508218,null,2150,null,21264,null,2452,null,6887,null,1440,null,480067,null,3334,null,683406,null,3374,null,22880,null,2543,null,12445,null,1645,null,648081,null,4152,null,1151840,null,3691,null,77048,null,4378,null,55248,null,3548,null,1019544,null,5087,null,213663,null,1770,null,29068,null,1873,null,19754,null,1817,null,164841,null,2928,null,200940,null,2043,null,41637,null,2185,null,48854,null,2734,null,110449,null,2705,null,0400000US19,Iowa,19
