B19080_001E,B19080_001EA,B19080_001M,B19080_001MA,B19080_002E,B19080_002EA,B19080_002M,B19080_002MA,B19080_003E,B19080_003EA,B19080_003M,B19080_003MA,B19080_004E,B19080_004EA,B19080_004M,B19080_004MA,B19080_005E,B19080_005EA,B19080_005M,B19080_005MA,GEO_ID,NAME,state
16148,null,339,null,31447,null,731,null,50684,null,724,null,82304,null,832,null,147354,null,2601,null,0400000US01,Alabama,01
31375,null,1372,null,54321,null,2253,null,81705,null,2030,null,117532,null,3000,null,193793,null,10653,null,0400000US02,Alaska,02
20963,null,328,null,39087,null,626,null,60218,null,287,null,94117,null,1113,null,164408,null,2984,null,0400000US04,Arizona,04
15860,null,429,null,29892,null,436,null,47606,null,1047,null,74958,null,735,null,134287,null,2966,null,0400000US05,Arkansas,05
24332,null,320,null,46432,null,455,null,73979,null,420,null,117843,null,640,null,212824,null,1854,null,0400000US06,California,06
23932,null,172,null,44054,null,597,null,68753,null,1030,null,105512,null,1033,null,185528,null,2456,null,0400000US08,Colorado,08
26985,null,637,null,52270,null,1292,null,83185,null,1580,null,129340,null,1637,null,249104,null,4330,null,0400000US09,Connecticut,09
24929,null,834,null,45836,null,1761,null,69749,null,1596,null,107031,null,3363,null,180614,null,7318,null,0400000US10,Delaware,10
19543,null,1537,null,44839,null,1874,null,77657,null,3303,null,135925,null,6739,null,279845,null,11720,null,0400000US11,District of Columbia,11
19936,null,32,null,35875,null,97,null,55270,null,536,null,88335,null,657,null,163409,null,1648,null,0400000US12,Florida,12
19272,null,444,null,36949,null,372,null,59474,null,788,null,94323,null,792,null,171518,null,3127,null,0400000US13,Georgia,13
27670,null,1148,null,50728,null,1683,null,78113,null,1396,null,115157,null,2030,null,194760,null,6914,null,0400000US15,Hawaii,15
21047,null,687,null,36313,null,868,null,54310,null,1132,null,82232,null,1155,null,138566,null,4076,null,0400000US16,Idaho,16
22025,null,183,null,42400,null,569,null,67265,null,564,null,104593,null,916,null,190423,null,2540,null,0400000US17,Illinois,17
20168,null,390,null,36550,null,538,null,55840,null,531,null,85623,null,879,null,145861,null,2041,null,0400000US18,Indiana,18
21047,null,392,null,38498,null,704,null,58789,null,626,null,88878,null,860,null,146747,null,3035,null,0400000US19,Iowa,19
21026,null,330,null,38597,null,924,null,59778,null,602,null,90654,null,998,null,162391,null,2772,null,0400000US20,Kansas,20
15942,null,237,null,31039,null,408,null,50126,null,301,null,80291,null,706,null,138955,null,2184,null,0400000US21,Kentucky,21
16943,null,222,null,33083,null,426,null,53795,null,994,null,88195,null,1302,null,155621,null,2838,null,0400000US22,Louisiana,22
20011,null,226,null,36473,null,934,null,55502,null,950,null,84704,null,1615,null,146473,null,5599,null,0400000US23,Maine,23
30109,null,294,null,55109,null,364,null,85059,null,713,null,130768,null,1193,null,226453,null,3063,null,0400000US24,Maryland,24
24547,null,583,null,49912,null,277,null,79773,null,547,null,124552,null,724,null,220490,null,3725,null,0400000US25,Massachusetts,25
19190,null,270,null,35875,null,187,null,56140,null,427,null,88893,null,785,null,154440,null,1953,null,0400000US26,Michigan,26
24087,null,384,null,44448,null,663,null,67999,null,514,null,101155,null,940,null,178396,null,3142,null,0400000US27,Minnesota,27
14436,null,457,null,27920,null,441,null,46863,null,718,null,75668,null,1163,null,132337,null,2554,null,0400000US28,Mississippi,28
19484,null,547,null,35894,null,271,null,55837,null,532,null,87118,null,954,null,151223,null,2492,null,0400000US29,Missouri,29
18523,null,1063,null,34315,null,1369,null,52553,null,1425,null,80291,null,1219,null,134057,null,5576,null,0400000US30,Montana,30
20924,null,656,null,37494,null,1014,null,57967,null,884,null,87109,null,1170,null,149463,null,2101,null,0400000US31,Nebraska,31
24648,null,766,null,43054,null,1035,null,64774,null,516,null,98816,null,1689,null,166401,null,4289,null,0400000US32,Nevada,32
26524,null,993,null,48325,null,1437,null,73775,null,1917,null,110464,null,1263,null,186290,null,6795,null,0400000US33,New Hampshire,33
27569,null,538,null,53663,null,814,null,85321,null,718,null,131541,null,883,null,240873,null,2699,null,0400000US34,New Jersey,34
18068,null,702,null,34020,null,820,null,53846,null,998,null,86190,null,1576,null,150827,null,2757,null,0400000US35,New Mexico,35
20925,null,157,null,42181,null,423,null,69747,null,225,null,113133,null,718,null,219041,null,2716,null,0400000US36,New York,36
18433,null,347,null,34548,null,446,null,54803,null,296,null,87251,null,737,null,155539,null,1845,null,0400000US37,North Carolina,37
20073,null,986,null,37809,null,1520,null,59210,null,1845,null,89677,null,2054,null,149562,null,7230,null,0400000US38,North Dakota,38
19109,null,218,null,35871,null,176,null,56294,null,508,null,87841,null,646,null,152187,null,1469,null,0400000US39,Ohio,39
18045,null,206,null,32981,null,497,null,52189,null,691,null,82223,null,1120,null,144844,null,3508,null,0400000US40,Oklahoma,40
20925,null,255,null,38193,null,722,null,59829,null,321,null,91870,null,1272,null,158614,null,3546,null,0400000US41,Oregon,41
20788,null,249,null,39179,null,348,null,61136,null,454,null,95635,null,570,null,173652,null,1793,null,0400000US42,Pennsylvania,42
21188,null,1417,null,42999,null,1471,null,68609,null,2288,null,105131,null,1757,null,183188,null,5363,null,0400000US44,Rhode Island,44
17310,null,442,null,33384,null,663,null,52849,null,536,null,84677,null,796,null,146948,null,2778,null,0400000US45,South Carolina,45
19446,null,1231,null,35672,null,1119,null,54704,null,1079,null,81704,null,2049,null,140574,null,4545,null,0400000US46,South Dakota,46
17056,null,341,null,32742,null,636,null,51908,null,384,null,81706,null,613,null,150186,null,1592,null,0400000US47,Tennessee,47
20044,null,64,null,37863,null,200,null,60134,null,139,null,97646,null,525,null,179727,null,1130,null,0400000US48,Texas,48
26566,null,889,null,45357,null,805,null,66169,null,1005,null,98546,null,1648,null,164175,null,4037,null,0400000US49,Utah,49
22377,null,714,null,41848,null,1092,null,61577,null,1645,null,94660,null,1984,null,160975,null,5663,null,0400000US50,Vermont,50
25591,null,569,null,47628,null,643,null,74002,null,663,null,117664,null,1208,null,214229,null,2328,null,0400000US51,Virginia,51
24761,null,600,null,45056,null,284,null,69747,null,305,null,106114,null,959,null,183689,null,2287,null,0400000US53,Washington,53
15446,null,585,null,29230,null,776,null,47067,null,939,null,74836,null,990,null,129506,null,3677,null,0400000US54,West Virginia,54
21937,null,267,null,39978,null,219,null,60867,null,478,null,91571,null,693,null,152693,null,1648,null,0400000US55,Wisconsin,55
24060,null,1326,null,42989,null,1449,null,64753,null,1747,null,95546,null,2067,null,152552,null,6203,null,0400000US56,Wyoming,56
6377,null,184,null,13804,null,295,null,24184,null,388,null,42797,null,583,null,84737,null,1664,null,0400000US72,Puerto Rico,72
