B19081_001E,B19081_001EA,B19081_001M,B19081_001MA,B19081_002E,B19081_002EA,B19081_002M,B19081_002MA,B19081_003E,B19081_003EA,B19081_003M,B19081_003MA,B19081_004E,B19081_004EA,B19081_004M,B19081_004MA,B19081_005E,B19081_005EA,B19081_005M,B19081_005MA,B19081_006E,B19081_006EA,B19081_006M,B19081_006MA,GEO_ID,NAME,state
8857,null,206,null,23565,null,376,null,40801,null,509,null,64978,null,610,null,139512,null,2344,null,239475,null,7856,null,0400000US01,Alabama,01
17883,null,1170,null,42981,null,1623,null,67552,null,2062,null,97571,null,1794,null,181367,null,8669,null,289929,null,30637,null,0400000US02,Alaska,02
11450,null,261,null,29791,null,384,null,48964,null,470,null,75187,null,631,null,157563,null,2616,null,269919,null,8588,null,0400000US04,Arizona,04
8972,null,278,null,22525,null,441,null,38038,null,627,null,59468,null,825,null,127616,null,3227,null,218209,null,10617,null,0400000US05,Arkansas,05
13506,null,117,null,35093,null,220,null,59263,null,274,null,93448,null,372,null,202786,null,1573,null,353080,null,5241,null,0400000US06,California,06
12836,null,312,null,33827,null,427,null,55825,null,608,null,85826,null,661,null,179712,null,3182,null,312370,null,10752,null,0400000US08,Colorado,08
14525,null,460,null,39911,null,702,null,67332,null,953,null,103911,null,1260,null,238354,null,6092,null,445558,null,18402,null,0400000US09,Connecticut,09
14400,null,712,null,35051,null,1242,null,57079,null,1519,null,86896,null,2086,null,173115,null,7119,null,287718,null,22400,null,0400000US10,Delaware,10
8854,null,812,null,32391,null,1378,null,59910,null,1816,null,102961,null,2695,null,256226,null,10441,null,463834,null,32064,null,0400000US11,District of Columbia,11
10992,null,141,null,27731,null,183,null,45072,null,275,null,69898,null,420,null,158510,null,1653,null,288443,null,5523,null,0400000US12,Florida,12
10324,null,181,null,27918,null,352,null,47530,null,417,null,74748,null,583,null,161784,null,2124,null,280316,null,6556,null,0400000US13,Georgia,13
14908,null,830,null,39105,null,1296,null,64309,null,1373,null,95198,null,1564,null,183125,null,5447,null,297723,null,17063,null,0400000US15,Hawaii,15
12046,null,457,null,28437,null,661,null,45167,null,828,null,66982,null,1060,null,131664,null,3944,null,220269,null,13325,null,0400000US16,Idaho,16
12039,null,177,null,32066,null,299,null,54396,null,365,null,84094,null,489,null,184271,null,2557,null,332015,null,9139,null,0400000US17,Illinois,17
11369,null,244,null,28299,null,318,null,45749,null,379,null,69334,null,565,null,138604,null,1882,null,230077,null,6513,null,0400000US18,Indiana,18
12224,null,276,null,29734,null,386,null,48132,null,439,null,72406,null,617,null,143667,null,2822,null,243444,null,9576,null,0400000US19,Iowa,19
12064,null,299,null,29417,null,454,null,48205,null,669,null,73229,null,884,null,152397,null,2888,null,260320,null,9384,null,0400000US20,Kansas,20
8734,null,216,null,23365,null,352,null,40309,null,493,null,63901,null,669,null,134029,null,2517,null,227689,null,8325,null,0400000US21,Kentucky,21
9315,null,251,null,24623,null,382,null,42879,null,570,null,69492,null,829,null,148787,null,3056,null,254657,null,10473,null,0400000US22,Louisiana,22
11671,null,361,null,27874,null,679,null,45780,null,804,null,68823,null,1020,null,137613,null,4273,null,228464,null,13239,null,0400000US23,Maine,23
16242,null,406,null,42693,null,496,null,69526,null,668,null,105928,null,953,null,220008,null,3073,null,381672,null,10414,null,0400000US24,Maryland,24
13007,null,269,null,37161,null,483,null,64246,null,637,null,100031,null,817,null,213124,null,3281,null,374927,null,10898,null,0400000US25,Massachusetts,25
10371,null,201,null,27277,null,258,null,45529,null,297,null,70872,null,444,null,146464,null,1642,null,245688,null,5189,null,0400000US26,Michigan,26
13543,null,232,null,34158,null,372,null,55803,null,433,null,83175,null,582,null,170032,null,2277,null,293772,null,7089,null,0400000US27,Minnesota,27
8032,null,271,null,20880,null,376,null,36903,null,642,null,59825,null,833,null,125888,null,3340,null,212498,null,11420,null,0400000US28,Mississippi,28
10696,null,212,null,27441,null,355,null,45395,null,436,null,69890,null,572,null,145115,null,1982,null,248446,null,6312,null,0400000US29,Missouri,29
10640,null,511,null,26043,null,898,null,42762,null,1100,null,65358,null,1270,null,127559,null,3859,null,209464,null,12519,null,0400000US30,Montana,30
12018,null,404,null,29241,null,641,null,47285,null,751,null,71067,null,938,null,146977,null,3446,null,256146,null,11704,null,0400000US31,Nebraska,31
13691,null,451,null,33579,null,692,null,53689,null,864,null,79708,null,1222,null,162464,null,3795,null,279067,null,13565,null,0400000US32,Nevada,32
15274,null,605,null,37593,null,860,null,60683,null,1186,null,90657,null,1442,null,180834,null,6185,null,306389,null,20455,null,0400000US33,New Hampshire,33
15040,null,329,null,40369,null,519,null,68778,null,623,null,106115,null,740,null,229236,null,2906,null,404824,null,9530,null,0400000US34,New Jersey,34
9906,null,393,null,25761,null,594,null,43326,null,856,null,68173,null,1020,null,140068,null,3285,null,230670,null,9619,null,0400000US35,New Mexico,35
11277,null,134,null,31302,null,244,null,55234,null,357,null,88907,null,435,null,213017,null,2321,null,400541,null,8060,null,0400000US36,New York,36
10171,null,163,null,26333,null,277,null,43976,null,356,null,69168,null,475,null,148853,null,2112,null,259248,null,7358,null,0400000US37,North Carolina,37
11212,null,622,null,28762,null,896,null,47694,null,1086,null,72985,null,1482,null,150688,null,7630,null,269506,null,25859,null,0400000US38,North Dakota,38
10291,null,156,null,27309,null,227,null,45615,null,303,null,70388,null,351,null,145866,null,1430,null,248351,null,4925,null,0400000US39,Ohio,39
10023,null,228,null,25391,null,397,null,42171,null,494,null,65851,null,715,null,140531,null,2718,null,247439,null,9115,null,0400000US40,Oklahoma,40
11699,null,279,null,29426,null,459,null,48489,null,598,null,74034,null,798,null,151174,null,2787,null,254790,null,8705,null,0400000US41,Oregon,41
11660,null,158,null,29693,null,196,null,49696,null,271,null,76764,null,424,null,164649,null,1667,null,288694,null,5491,null,0400000US42,Pennsylvania,42
11362,null,592,null,31856,null,1043,null,54822,null,1456,null,84949,null,1606,null,174219,null,7339,null,295028,null,24767,null,0400000US44,Rhode Island,44
9330,null,249,null,25182,null,350,null,42742,null,518,null,66968,null,662,null,141088,null,2754,null,242621,null,9221,null,0400000US45,South Carolina,45
10811,null,522,null,27209,null,829,null,44901,null,1024,null,67027,null,1335,null,143371,null,9084,null,265339,null,32015,null,0400000US46,South Dakota,46
9451,null,203,null,24813,null,354,null,42034,null,431,null,65542,null,540,null,142111,null,2611,null,250820,null,9039,null,0400000US47,Tennessee,47
11021,null,139,null,28627,null,205,null,48384,null,260,null,76793,null,362,null,170844,null,1403,null,302285,null,4510,null,0400000US48,Texas,48
