B19313F_001E,B19313F_001EA,B19313F_001M,B19313F_001MA,GEO_ID,NAME,state
528006700,null,86562836,null,0400000US01,Alabama,01
235321500,null,56532128,null,0400000US02,Alaska,02
5952224800,null,394561624,null,0400000US04,Arizona,04
641483600,null,76096736,null,0400000US05,Arkansas,05
74287915600,null,1487608249,null,0400000US06,California,06
3434161200,null,253390876,null,0400000US08,Colorado,08
2825277500,null,249085504,null,0400000US09,Connecticut,09
234224800,null,54617050,null,0400000US10,Delaware,10
388450400,null,97927851,null,0400000US11,District of Columbia,11
7811725200,null,509190657,null,0400000US12,Florida,12
3420767500,null,268719994,null,0400000US13,Georgia,13
302384700,null,92086172,null,0400000US15,Hawaii,15
344824100,null,44614402,null,0400000US16,Idaho,16
12083127600,null,428882181,null,0400000US17,Illinois,17
1679484200,null,148989885,null,0400000US18,Indiana,18
648855200,null,91247693,null,0400000US19,Iowa,19
984381100,null,175695314,null,0400000US20,Kansas,20
457516900,null,89326327,null,0400000US21,Kentucky,21
671701600,null,107421566,null,0400000US22,Louisiana,22
45395200,null,21377093,null,0400000US23,Maine,23
2921913200,null,246544601,null,0400000US24,Maryland,24
3555300600,null,262089089,null,0400000US25,Massachusetts,25
1717396600,null,139866690,null,0400000US26,Michigan,26
1219237300,null,239486624,null,0400000US27,Minnesota,27
317742400,null,75881956,null,0400000US28,Mississippi,28
829853800,null,129047774,null,0400000US29,Missouri,29
135059600,null,45904164,null,0400000US30,Montana,30
609620600,null,86012146,null,0400000US31,Nebraska,31
2032278800,null,241868854,null,0400000US32,Nevada,32
160798200,null,45262535,null,0400000US33,New Hampshire,33
8315865800,null,480677272,null,0400000US34,New Jersey,34
3897115600,null,277056815,null,0400000US35,New Mexico,35
21739195300,null,655001331,null,0400000US36,New York,36
3143574600,null,237201981,null,0400000US37,North Carolina,37
70546200,null,24064497,null,0400000US38,North Dakota,38
966884700,null,98470623,null,0400000US39,Ohio,39
1025719600,null,116835920,null,0400000US40,Oklahoma,40
1897737500,null,194700993,null,0400000US41,Oregon,41
2644912800,null,188287236,null,0400000US42,Pennsylvania,42
939489200,null,150423628,null,0400000US44,Rhode Island,44
701618300,null,118652754,null,0400000US45,South Carolina,45
97025900,null,32322304,null,0400000US46,South Dakota,46
783358700,null,141496171,null,0400000US47,Tennessee,47
28393686400,null,780756304,null,0400000US48,Texas,48
1148313900,null,125698294,null,0400000US49,Utah,49
41477600,null,24879065,null,0400000US50,Vermont,50
3149939200,null,258880194,null,0400000US51,Virginia,51
3483675800,null,232128653,null,0400000US53,Washington,53
67664000,null,38597624,null,0400000US54,West Virginia,54
822076600,null,93000707,null,0400000US55,Wisconsin,55
168658600,null,39694948,null,0400000US56,Wyoming,56
2736098000,null,169259783,null,0400000US72,Puerto Rico,72
