B23002F_001E,B23002F_001EA,B23002F_001M,B23002F_001MA,B23002F_002E,B23002F_002EA,B23002F_002M,B23002F_002MA,B23002F_003E,B23002F_003EA,B23002F_003M,B23002F_003MA,B23002F_004E,B23002F_004EA,B23002F_004M,B23002F_004MA,B23002F_005E,B23002F_005EA,B23002F_005M,B23002F_005MA,B23002F_006E,B23002F_006EA,B23002F_006M,B23002F_006MA,B23002F_007E,B23002F_007EA,B23002F_007M,B23002F_007MA,B23002F_008E,B23002F_008EA,B23002F_008M,B23002F_008MA,B23002F_009E,B23002F_009EA,B23002F_009M,B23002F_009MA,B23002F_010E,B23002F_010EA,B23002F_010M,B23002F_010MA,B23002F_011E,B23002F_011EA,B23002F_011M,B23002F_011MA,B23002F_012E,B23002F_012EA,B23002F_012M,B23002F_012MA,B23002F_013E,B23002F_013EA,B23002F_013M,B23002F_013MA,B23002F_014E,B23002F_014EA,B23002F_014M,B23002F_014MA,B23002F_015E,B23002F_015EA,B23002F_015M,B23002F_015MA,B23002F_016E,B23002F_016EA,B23002F_016M,B23002F_016MA,B23002F_017E,B23002F_017EA,B23002F_017M,B23002F_017MA,B23002F_018E,B23002F_018EA,B23002F_018M,B23002F_018MA,B23002F_019E,B23002F_019EA,B23002F_019M,B23002F_019MA,B23002F_020E,B23002F_020EA,B23002F_020M,B23002F_020MA,B23002F_021E,B23002F_021EA,B23002F_021M,B23002F_021MA,B23002F_022E,B23002F_022EA,B23002F_022M,B23002F_022MA,B23002F_023E,B23002F_023EA,B23002F_023M,B23002F_023MA,B23002F_024E,B23002F_024EA,B23002F_024M,B23002F_024MA,B23002F_025E,B23002F_025EA,B23002F_025M,B23002F_025MA,B23002F_026E,B23002F_026EA,B23002F_026M,B23002F_026MA,B23002F_027E,B23002F_027EA,B23002F_027M,B23002F_027MA,B23002F_028E,B23002F_028EA,B23002F_028M,B23002F_028MA,B23002F_029E,B23002F_029EA,B23002F_029M,B23002F_029MA,B23002F_030E,B23002F_030EA,B23002F_030M,B23002F_030MA,B23002F_031E,B23002F_031EA,B23002F_031M,B23002F_031MA,B23002F_032E,B23002F_032EA,B23002F_032M,B23002F_032MA,B23002F_033E,B23002F_033EA,B23002F_033M,B23002F_033MA,B23002F_034E,B23002F_034EA,B23002F_034M,B23002F_034MA,B23002F_035E,B23002F_035EA,B23002F_035M,B23002F_035MA,B23002F_036E,B23002F_036EA,B23002F_036M,B23002F_036MA,B23002F_037E,B23002F_037EA,B23002F_037M,B23002F_037MA,B23002F_038E,B23002F_038EA,B23002F_038M,B23002F_038MA,B23002F_039E,B23002F_039EA,B23002F_039M,B23002F_039MA,B23002F_040E,B23002F_040EA,B23002F_040M,B23002F_040MA,B23002F_041E,B23002F_041EA,B23002F_041M,B23002F_041MA,B23002F_042E,B23002F_042EA,B23002F_042M,B23002F_042MA,B23002F_043E,B23002F_043EA,B23002F_043M,B23002F_043MA,B23002F_044E,B23002F_044EA,B23002F_044M,B23002F_044MA,B23002F_045E,B23002F_045EA,B23002F_045M,B23002F_045MA,B23002F_046E,B23002F_046EA,B23002F_046M,B23002F_046MA,B23002F_047E,B23002F_047EA,B23002F_047M,B23002F_047MA,B23002F_048E,B23002F_048EA,B23002F_048M,B23002F_048MA,B23002F_049E,B23002F_049EA,B23002F_049M,B23002F_049MA,B23002F_050E,B23002F_050EA,B23002F_050M,B23002F_050MA,B23002F_051E,B23002F_051EA,B23002F_051M,B23002F_051MA,B23002F_052E,B23002F_052EA,B23002F_052M,B23002F_052MA,B23002F_053E,B23002F_053EA,B23002F_053M,B23002F_053MA,B23002F_054E,B23002F_054EA,B23002F_054M,B23002F_054MA,B23002F_055E,B23002F_055EA,B23002F_055M,B23002F_055MA,B23002F_056E,B23002F_056EA,B23002F_056M,B23002F_056MA,B23002F_057E,B23002F_057EA,B23002F_057M,B23002F_057MA,B23002F_058E,B23002F_058EA,B23002F_058M,B23002F_058MA,B23002F_059E,B23002F_059EA,B23002F_059M,B23002F_059MA,B23002F_060E,B23002F_060EA,B23002F_060M,B23002F_060MA,B23002F_061E,B23002F_061EA,B23002F_061M,B23002F_061MA,B23002F_062E,B23002F_062EA,B23002F_062M,B23002F_062MA,B23002F_063E,B23002F_063EA,B23002F_063M,B23002F_063MA,B23002F_064E,B23002F_064EA,B23002F_064M,B23002F_064MA,B23002F_065E,B23002F_065EA,B23002F_065M,B23002F_065MA,B23002F_066E,B23002F_066EA,B23002F_066M,B23002F_066MA,B23002F_067E,B23002F_067EA,B23002F_067M,B23002F_067MA,B23002F_068E,B23002F_068EA,B23002F_068M,B23002F_068MA,B23002F_069E,B23002F_069EA,B23002F_069M,B23002F_069MA,B23002F_070E,B23002F_070EA,B23002F_070M,B23002F_070MA,B23002F_071E,B23002F_071EA,B23002F_071M,B23002F_071MA,B23002F_072E,B23002F_072EA,B23002F_072M,B23002F_072MA,B23002F_073E,B23002F_073EA,B23002F_073M,B23002F_073MA,B23002F_074E,B23002F_074EA,B23002F_074M,B23002F_074MA,B23002F_075E,B23002F_075EA,B23002F_075M,B23002F_075MA,B23002F_076E,B23002F_076EA,B23002F_076M,B23002F_076MA,B23002F_077E,B23002F_077EA,B23002F_077M,B23002F_077MA,B23002F_078E,B23002F_078EA,B23002F_078M,B23002F_078MA,B23002F_079E,B23002F_079EA,B23002F_079M,B23002F_079MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
277498,null,13563,null,144666,null,8138,null,13373,null,2026,null,6140,null,1557,null,0,null,305,null,6140,null,1557,null,3624,null,1151,null,2516,null,1070,null,7233,null,1422,null,16736,null,2842,null,13776,null,2636,null,997,null,721,null,12779,null,2377,null,11079,null,2151,null,1700,null,654,null,2960,null,1130,null,94579,null,6593,null,82066,null,5962,null,387,null,370,null,81679,null,5955,null,71866,null,5851,null,9813,null,1845,null,12513,null,2113,null,12093,null,1987,null,8434,null,1718,null,0,null,305,null,8434,null,1718,null,7699,null,1602,null,735,null,361,null,3659,null,777,null,2587,null,634,null,1125,null,479,null,1019,null,491,null,106,null,140,null,1462,null,500,null,5298,null,1148,null,161,null,185,null,161,null,185,null,0,null,305,null,5137,null,1109,null,132832,null,7625,null,14237,null,2338,null,6130,null,1362,null,0,null,305,null,6130,null,1362,null,4378,null,1224,null,1752,null,568,null,8107,null,1876,null,13056,null,2204,null,8565,null,1859,null,152,null,153,null,8413,null,1852,null,6933,null,1587,null,1480,null,821,null,4491,null,1383,null,84646,null,5245,null,61774,null,4441,null,80,null,134,null,61694,null,4426,null,53973,null,4005,null,7721,null,1676,null,22872,null,3267,null,11070,null,1609,null,4848,null,833,null,0,null,305,null,4848,null,833,null,4219,null,769,null,629,null,382,null,6222,null,1408,null,3203,null,840,null,1184,null,550,null,1184,null,550,null,0,null,305,null,2019,null,731,null,6620,null,1115,null,241,null,191,null,207,null,183,null,34,null,54,null,6379,null,1106,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
3613288,null,52997,null,1900622,null,31340,null,186394,null,6972,null,68555,null,4707,null,899,null,443,null,67656,null,4705,null,43803,null,4155,null,23853,null,2561,null,117839,null,5452,null,234544,null,8042,null,191073,null,6896,null,4131,null,1534,null,186942,null,6657,null,151354,null,6377,null,35588,null,3470,null,43471,null,3654,null,1243518,null,22882,null,1123081,null,22208,null,3735,null,1082,null,1119346,null,22237,null,1009016,null,20399,null,110330,null,7244,null,120437,null,6749,null,144231,null,5388,null,103031,null,4479,null,0,null,294,null,103031,null,4479,null,93143,null,3974,null,9888,null,1575,null,41200,null,3720,null,36197,null,2906,null,11534,null,1699,null,10583,null,1708,null,951,null,366,null,24663,null,2351,null,55738,null,3397,null,5876,null,1341,null,5318,null,1354,null,558,null,364,null,49862,null,3461,null,1712666,null,25776,null,177606,null,6453,null,61087,null,3701,null,0,null,294,null,61087,null,3701,null,39973,null,3207,null,21114,null,2340,null,116519,null,5326,null,205599,null,7694,null,142561,null,6370,null,661,null,615,null,141900,null,6363,null,115978,null,5906,null,25922,null,2651,null,63038,null,4583,null,1063277,null,15875,null,755904,null,13892,null,148,null,148,null,755756,null,13909,null,666503,null,13410,null,89253,null,4219,null,307373,null,9965,null,146261,null,5379,null,80291,null,4562,null,0,null,294,null,80291,null,4562,null,73493,null,4447,null,6798,null,1276,null,65970,null,4335,null,37953,null,3120,null,7331,null,1260,null,6842,null,1249,null,489,null,441,null,30622,null,2586,null,81970,null,4327,null,3072,null,945,null,2820,null,936,null,252,null,215,null,78898,null,4248,null,0400000US06,California,06
157393,null,10652,null,81470,null,6864,null,7128,null,1491,null,3970,null,1156,null,0,null,279,null,3970,null,1156,null,2773,null,835,null,1197,null,727,null,3158,null,902,null,8155,null,1813,null,7276,null,1687,null,202,null,245,null,7074,null,1672,null,6215,null,1575,null,859,null,523,null,879,null,488,null,55034,null,5476,null,50197,null,5199,null,120,null,145,null,50077,null,5188,null,44305,null,4714,null,5772,null,1856,null,4837,null,1122,null,7450,null,1325,null,5638,null,1154,null,0,null,279,null,5638,null,1154,null,4884,null,1125,null,754,null,576,null,1812,null,707,null,1619,null,535,null,333,null,201,null,296,null,184,null,37,null,63,null,1286,null,516,null,2084,null,584,null,349,null,254,null,349,null,254,null,0,null,279,null,1735,null,527,null,75923,null,5071,null,7526,null,1474,null,3162,null,1040,null,0,null,279,null,3162,null,1040,null,1657,null,911,null,1505,null,598,null,4364,null,1199,null,8514,null,1253,null,6002,null,1160,null,0,null,279,null,6002,null,1160,null,5030,null,1081,null,972,null,549,null,2512,null,898,null,49162,null,3755,null,35496,null,3382,null,0,null,279,null,35496,null,3382,null,30574,null,2871,null,4922,null,1442,null,13666,null,2002,null,5445,null,1021,null,2750,null,746,null,0,null,279,null,2750,null,746,null,2615,null,726,null,135,null,142,null,2695,null,853,null,1144,null,476,null,58,null,95,null,58,null,95,null,0,null,279,null,1086,null,463,null,4132,null,939,null,349,null,286,null,287,null,269,null,62,null,102,null,3783,null,894,null,0400000US08,Colorado,08
132661,null,8617,null,69666,null,4966,null,8675,null,1444,null,4712,null,1252,null,33,null,43,null,4679,null,1255,null,2384,null,882,null,2295,null,1092,null,3963,null,991,null,8601,null,1625,null,7341,null,1559,null,32,null,42,null,7309,null,1562,null,5659,null,1406,null,1650,null,687,null,1260,null,547,null,45797,null,3458,null,40140,null,3472,null,219,null,227,null,39921,null,3487,null,33028,null,3035,null,6893,null,1705,null,5657,null,1215,null,3584,null,876,null,1800,null,526,null,0,null,277,null,1800,null,526,null,1595,null,538,null,205,null,203,null,1784,null,768,null,1247,null,489,null,147,null,174,null,88,null,145,null,59,null,98,null,1100,null,436,null,1762,null,683,null,353,null,349,null,353,null,349,null,0,null,277,null,1409,null,525,null,62995,null,4613,null,6829,null,1525,null,3548,null,1102,null,0,null,277,null,3548,null,1102,null,2717,null,938,null,831,null,456,null,3281,null,1035,null,7070,null,1337,null,5704,null,1198,null,0,null,277,null,5704,null,1198,null,3893,null,1186,null,1811,null,704,null,1366,null,756,null,40287,null,2938,null,30707,null,2667,null,0,null,277,null,30707,null,2667,null,25222,null,2176,null,5485,null,1339,null,9580,null,1451,null,4581,null,1108,null,2215,null,809,null,0,null,277,null,2215,null,809,null,1973,null,799,null,242,null,234,null,2366,null,753,null,1055,null,417,null,214,null,197,null,214,null,197,null,0,null,277,null,841,null,393,null,3173,null,859,null,0,null,277,null,0,null,277,null,0,null,277,null,3173,null,859,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
386764,null,20111,null,206734,null,13154,null,16620,null,2176,null,8112,null,1446,null,0,null,305,null,8112,null,1446,null,4691,null,1150,null,3421,null,903,null,8508,null,1818,null,30204,null,4089,null,24400,null,3625,null,135,null,150,null,24265,null,3622,null,21329,null,3379,null,2936,null,997,null,5804,null,1925,null,136162,null,9935,null,123915,null,9232,null,630,null,402,null,123285,null,9273,null,109514,null,8836,null,13771,null,2779,null,12247,null,2233,null,13248,null,2270,null,9905,null,1957,null,0,null,305,null,9905,null,1957,null,8613,null,1872,null,1292,null,679,null,3343,null,1164,null,4674,null,1252,null,1739,null,802,null,1531,null,698,null,208,null,356,null,2935,null,976,null,5826,null,1400,null,630,null,443,null,429,null,326,null,201,null,200,null,5196,null,1312,null,180030,null,9525,null,17571,null,2012,null,5839,null,1308,null,0,null,305,null,5839,null,1308,null,4623,null,1225,null,1216,null,549,null,11732,null,1585,null,21283,null,2988,null,16215,null,2684,null,0,null,305,null,16215,null,2684,null,13498,null,2589,null,2717,null,885,null,5068,null,1272,null,107468,null,7025,null,81499,null,5971,null,0,null,305,null,81499,null,5971,null,70334,null,5222,null,11165,null,2007,null,25969,null,3021,null,17416,null,2296,null,9922,null,1811,null,0,null,305,null,9922,null,1811,null,8253,null,1530,null,1669,null,830,null,7494,null,1532,null,4757,null,1186,null,1004,null,499,null,771,null,459,null,233,null,248,null,3753,null,1117,null,11535,null,1893,null,530,null,351,null,530,null,351,null,0,null,305,null,11005,null,1865,null,0400000US12,Florida,12
