B23002H_001E,B23002H_001EA,B23002H_001M,B23002H_001MA,B23002H_002E,B23002H_002EA,B23002H_002M,B23002H_002MA,B23002H_003E,B23002H_003EA,B23002H_003M,B23002H_003MA,B23002H_004E,B23002H_004EA,B23002H_004M,B23002H_004MA,B23002H_005E,B23002H_005EA,B23002H_005M,B23002H_005MA,B23002H_006E,B23002H_006EA,B23002H_006M,B23002H_006MA,B23002H_007E,B23002H_007EA,B23002H_007M,B23002H_007MA,B23002H_008E,B23002H_008EA,B23002H_008M,B23002H_008MA,B23002H_009E,B23002H_009EA,B23002H_009M,B23002H_009MA,B23002H_010E,B23002H_010EA,B23002H_010M,B23002H_010MA,B23002H_011E,B23002H_011EA,B23002H_011M,B23002H_011MA,B23002H_012E,B23002H_012EA,B23002H_012M,B23002H_012MA,B23002H_013E,B23002H_013EA,B23002H_013M,B23002H_013MA,B23002H_014E,B23002H_014EA,B23002H_014M,B23002H_014MA,B23002H_015E,B23002H_015EA,B23002H_015M,B23002H_015MA,B23002H_016E,B23002H_016EA,B23002H_016M,B23002H_016MA,B23002H_017E,B23002H_017EA,B23002H_017M,B23002H_017MA,B23002H_018E,B23002H_018EA,B23002H_018M,B23002H_018MA,B23002H_019E,B23002H_019EA,B23002H_019M,B23002H_019MA,B23002H_020E,B23002H_020EA,B23002H_020M,B23002H_020MA,B23002H_021E,B23002H_021EA,B23002H_021M,B23002H_021MA,B23002H_022E,B23002H_022EA,B23002H_022M,B23002H_022MA,B23002H_023E,B23002H_023EA,B23002H_023M,B23002H_023MA,B23002H_024E,B23002H_024EA,B23002H_024M,B23002H_024MA,B23002H_025E,B23002H_025EA,B23002H_025M,B23002H_025MA,B23002H_026E,B23002H_026EA,B23002H_026M,B23002H_026MA,B23002H_027E,B23002H_027EA,B23002H_027M,B23002H_027MA,B23002H_028E,B23002H_028EA,B23002H_028M,B23002H_028MA,B23002H_029E,B23002H_029EA,B23002H_029M,B23002H_029MA,B23002H_030E,B23002H_030EA,B23002H_030M,B23002H_030MA,B23002H_031E,B23002H_031EA,B23002H_031M,B23002H_031MA,B23002H_032E,B23002H_032EA,B23002H_032M,B23002H_032MA,B23002H_033E,B23002H_033EA,B23002H_033M,B23002H_033MA,B23002H_034E,B23002H_034EA,B23002H_034M,B23002H_034MA,B23002H_035E,B23002H_035EA,B23002H_035M,B23002H_035MA,B23002H_036E,B23002H_036EA,B23002H_036M,B23002H_036MA,B23002H_037E,B23002H_037EA,B23002H_037M,B23002H_037MA,B23002H_038E,B23002H_038EA,B23002H_038M,B23002H_038MA,B23002H_039E,B23002H_039EA,B23002H_039M,B23002H_039MA,B23002H_040E,B23002H_040EA,B23002H_040M,B23002H_040MA,B23002H_041E,B23002H_041EA,B23002H_041M,B23002H_041MA,B23002H_042E,B23002H_042EA,B23002H_042M,B23002H_042MA,B23002H_043E,B23002H_043EA,B23002H_043M,B23002H_043MA,B23002H_044E,B23002H_044EA,B23002H_044M,B23002H_044MA,B23002H_045E,B23002H_045EA,B23002H_045M,B23002H_045MA,B23002H_046E,B23002H_046EA,B23002H_046M,B23002H_046MA,B23002H_047E,B23002H_047EA,B23002H_047M,B23002H_047MA,B23002H_048E,B23002H_048EA,B23002H_048M,B23002H_048MA,B23002H_049E,B23002H_049EA,B23002H_049M,B23002H_049MA,B23002H_050E,B23002H_050EA,B23002H_050M,B23002H_050MA,B23002H_051E,B23002H_051EA,B23002H_051M,B23002H_051MA,B23002H_052E,B23002H_052EA,B23002H_052M,B23002H_052MA,B23002H_053E,B23002H_053EA,B23002H_053M,B23002H_053MA,B23002H_054E,B23002H_054EA,B23002H_054M,B23002H_054MA,B23002H_055E,B23002H_055EA,B23002H_055M,B23002H_055MA,B23002H_056E,B23002H_056EA,B23002H_056M,B23002H_056MA,B23002H_057E,B23002H_057EA,B23002H_057M,B23002H_057MA,B23002H_058E,B23002H_058EA,B23002H_058M,B23002H_058MA,B23002H_059E,B23002H_059EA,B23002H_059M,B23002H_059MA,B23002H_060E,B23002H_060EA,B23002H_060M,B23002H_060MA,B23002H_061E,B23002H_061EA,B23002H_061M,B23002H_061MA,B23002H_062E,B23002H_062EA,B23002H_062M,B23002H_062MA,B23002H_063E,B23002H_063EA,B23002H_063M,B23002H_063MA,B23002H_064E,B23002H_064EA,B23002H_064M,B23002H_064MA,B23002H_065E,B23002H_065EA,B23002H_065M,B23002H_065MA,B23002H_066E,B23002H_066EA,B23002H_066M,B23002H_066MA,B23002H_067E,B23002H_067EA,B23002H_067M,B23002H_067MA,B23002H_068E,B23002H_068EA,B23002H_068M,B23002H_068MA,B23002H_069E,B23002H_069EA,B23002H_069M,B23002H_069MA,B23002H_070E,B23002H_070EA,B23002H_070M,B23002H_070MA,B23002H_071E,B23002H_071EA,B23002H_071M,B23002H_071MA,B23002H_072E,B23002H_072EA,B23002H_072M,B23002H_072MA,B23002H_073E,B23002H_073EA,B23002H_073M,B23002H_073MA,B23002H_074E,B23002H_074EA,B23002H_074M,B23002H_074MA,B23002H_075E,B23002H_075EA,B23002H_075M,B23002H_075MA,B23002H_076E,B23002H_076EA,B23002H_076M,B23002H_076MA,B23002H_077E,B23002H_077EA,B23002H_077M,B23002H_077MA,B23002H_078E,B23002H_078EA,B23002H_078M,B23002H_078MA,B23002H_079E,B23002H_079EA,B23002H_079M,B23002H_079MA,GEO_ID,NAME,state
2594482,null,2928,null,1254406,null,2345,null,85872,null,2730,null,37484,null,2951,null,871,null,802,null,36613,null,2942,null,26323,null,2407,null,10290,null,1703,null,48388,null,3394,null,101812,null,1903,null,76792,null,3079,null,2683,null,649,null,74109,null,3133,null,60627,null,3095,null,13482,null,1768,null,25020,null,2794,null,645672,null,1840,null,569080,null,4415,null,11917,null,2020,null,557163,null,4950,null,516294,null,5360,null,40869,null,3506,null,76592,null,4012,null,200636,null,166,null,133140,null,3481,null,100,null,125,null,133040,null,3488,null,124535,null,3414,null,8505,null,1430,null,67496,null,3494,null,74000,null,3057,null,23287,null,1642,null,21686,null,1616,null,1601,null,505,null,50713,null,2772,null,146414,null,3010,null,18720,null,1854,null,17569,null,1763,null,1151,null,439,null,127694,null,3025,null,1340076,null,2779,null,78100,null,3038,null,31337,null,2293,null,0,null,273,null,31337,null,2293,null,22471,null,1987,null,8866,null,1618,null,46763,null,2890,null,100953,null,1691,null,68843,null,3686,null,222,null,224,null,68621,null,3694,null,60036,null,3477,null,8585,null,1569,null,32110,null,3389,null,648202,null,1752,null,468014,null,6187,null,1284,null,695,null,466730,null,6279,null,433142,null,6351,null,33588,null,2835,null,180188,null,6039,null,213538,null,351,null,110947,null,3539,null,73,null,118,null,110874,null,3542,null,103800,null,3416,null,7074,null,1365,null,102591,null,3538,null,81784,null,2868,null,19110,null,1869,null,18142,null,1861,null,968,null,524,null,62674,null,3037,null,217499,null,2880,null,13711,null,1429,null,13433,null,1406,null,278,null,182,null,203788,null,3094,null,0400000US01,Alabama,01
364448,null,978,null,192162,null,784,null,13516,null,1115,null,6904,null,1139,null,72,null,156,null,6832,null,1148,null,4643,null,928,null,2189,null,819,null,6612,null,1265,null,20049,null,890,null,16309,null,1108,null,2397,null,1028,null,13912,null,1331,null,11810,null,1374,null,2102,null,874,null,3740,null,915,null,106851,null,905,null,97298,null,1721,null,7440,null,1703,null,89858,null,2240,null,82592,null,2592,null,7266,null,1317,null,9553,null,1605,null,32630,null,348,null,23743,null,1117,null,87,null,122,null,23656,null,1114,null,21919,null,1278,null,1737,null,634,null,8887,null,1104,null,8007,null,770,null,3254,null,729,null,3077,null,708,null,177,null,153,null,4753,null,776,null,11109,null,832,null,1916,null,674,null,1872,null,669,null,44,null,53,null,9193,null,859,null,172286,null,671,null,12151,null,1141,null,6698,null,1136,null,50,null,99,null,6648,null,1134,null,4669,null,1169,null,1979,null,971,null,5453,null,1114,null,15191,null,965,null,11166,null,1212,null,429,null,313,null,10737,null,1187,null,10131,null,1286,null,606,null,467,null,4025,null,1136,null,97619,null,631,null,75312,null,2206,null,1368,null,795,null,73944,null,2281,null,69951,null,2340,null,3993,null,1461,null,22307,null,2282,null,27940,null,137,null,17935,null,1371,null,0,null,244,null,17935,null,1371,null,17337,null,1343,null,598,null,293,null,10005,null,1364,null,6653,null,899,null,2452,null,654,null,2322,null,634,null,130,null,155,null,4201,null,765,null,12732,null,894,null,2220,null,667,null,2142,null,675,null,78,null,126,null,10512,null,884,null,0400000US02,Alaska,02
3132139,null,3724,null,1529618,null,2647,null,83324,null,2430,null,36440,null,2721,null,588,null,318,null,35852,null,2735,null,26259,null,2130,null,9593,null,2011,null,46884,null,3048,null,107327,null,1101,null,86510,null,3040,null,3183,null,799,null,83327,null,3084,null,70932,null,3207,null,12395,null,2266,null,20817,null,2702,null,764405,null,1267,null,674638,null,5699,null,7614,null,1387,null,667024,null,5760,null,609624,null,7452,null,57400,null,4723,null,89767,null,5613,null,251174,null,556,null,165958,null,3860,null,102,null,121,null,165856,null,3869,null,150948,null,4255,null,14908,null,1792,null,85216,null,3838,null,95343,null,3271,null,29165,null,2346,null,26680,null,2351,null,2485,null,659,null,66178,null,3154,null,228045,null,3244,null,25781,null,2848,null,23412,null,2733,null,2369,null,813,null,202264,null,3797,null,1602521,null,2300,null,79394,null,2024,null,36944,null,2277,null,92,null,113,null,36852,null,2266,null,29353,null,2212,null,7499,null,1370,null,42450,null,2629,null,101188,null,1270,null,79286,null,2435,null,509,null,264,null,78777,null,2457,null,70321,null,2759,null,8456,null,1625,null,21902,null,2463,null,755106,null,1206,null,577288,null,8212,null,978,null,508,null,576310,null,8185,null,536963,null,7844,null,39347,null,3244,null,177818,null,8192,null,275145,null,292,null,152057,null,4347,null,0,null,305,null,152057,null,4347,null,142765,null,4344,null,9292,null,1432,null,123088,null,4327,null,106525,null,3220,null,26601,null,2327,null,25250,null,2262,null,1351,null,574,null,79924,null,3007,null,285163,null,3225,null,14856,null,1779,null,13529,null,1791,null,1327,null,572,null,270307,null,3713,null,0400000US04,Arizona,04
1752128,null,2968,null,849018,null,1917,null,57191,null,2771,null,24250,null,2770,null,0,null,273,null,24250,null,2770,null,19015,null,2426,null,5235,null,1243,null,32941,null,2572,null,68540,null,2066,null,56415,null,2839,null,1283,null,789,null,55132,null,2738,null,46454,null,2554,null,8678,null,1423,null,12125,null,2018,null,430718,null,2289,null,372222,null,4060,null,4455,null,1027,null,367767,null,4204,null,341901,null,5441,null,25866,null,2913,null,58496,null,3723,null,135385,null,296,null,87876,null,2542,null,236,null,245,null,87640,null,2528,null,83884,null,2497,null,3756,null,794,null,47509,null,2559,null,50395,null,2092,null,15571,null,1358,null,14393,null,1262,null,1178,null,510,null,34824,null,2053,null,106789,null,2139,null,11995,null,1715,null,11665,null,1694,null,330,null,245,null,94794,null,2312,null,903110,null,2160,null,52400,null,2451,null,22435,null,1955,null,114,null,202,null,22321,null,1966,null,17479,null,1648,null,4842,null,1112,null,29965,null,2387,null,64847,null,2236,null,46067,null,2722,null,164,null,198,null,45903,null,2720,null,40752,null,2560,null,5151,null,1178,null,18780,null,2081,null,435625,null,1397,null,326237,null,5164,null,795,null,512,null,325442,null,5099,null,303736,null,5819,null,21706,null,2311,null,109388,null,5099,null,144354,null,608,null,76884,null,2936,null,0,null,273,null,76884,null,2936,null,73341,null,2845,null,3543,null,996,null,67470,null,2961,null,56165,null,2253,null,12544,null,1543,null,12182,null,1532,null,362,null,290,null,43621,null,2426,null,149719,null,2253,null,9851,null,1480,null,9787,null,1489,null,64,null,73,null,139868,null,2631,null,0400000US05,Arkansas,05
12937735,null,7770,null,6380836,null,5916,null,378760,null,4266,null,135403,null,4460,null,6941,null,1762,null,128462,null,4608,null,88915,null,4660,null,39547,null,3082,null,243357,null,5734,null,500740,null,2034,null,386603,null,5767,null,33043,null,3246,null,353560,null,6126,null,285720,null,6559,null,67840,null,4292,null,114137,null,5975,null,3299969,null,2927,null,2926786,null,11440,null,45438,null,3552,null,2881348,null,11501,null,2620595,null,12107,null,260753,null,8837,null,373183,null,10554,null,1078285,null,949,null,771251,null,7625,null,452,null,403,null,770799,null,7670,null,702540,null,7629,null,68259,null,3576,null,307034,null,7574,null,355658,null,5129,null,136808,null,4322,null,126164,null,4116,null,10644,null,1542,null,218850,null,5224,null,767424,null,5350,null,103635,null,4781,null,96656,null,4520,null,6979,null,1194,null,663789,null,6380,null,6556899,null,5171,null,351859,null,4656,null,137502,null,5348,null,1169,null,647,null,136333,null,5310,null,102417,null,4758,null,33916,null,2288,null,214357,null,6545,null,455993,null,1624,null,338354,null,5734,null,3012,null,931,null,335342,null,5759,null,297096,null,6204,null,38246,null,3527,null,117639,null,5650,null,3168996,null,2206,null,2442841,null,13556,null,5705,null,1320,null,2437136,null,13621,null,2234721,null,14205,null,202415,null,6366,null,726155,null,13679,null,1105811,null,714,null,676664,null,7588,null,0,null,294,null,676664,null,7588,null,629709,null,7104,null,46955,null,3420,null,429147,null,7536,null,384699,null,6583,null,114145,null,5022,null,105538,null,4726,null,8607,null,1501,null,270554,null,5900,null,1089541,null,6488,null,74040,null,3362,null,69755,null,3388,null,4285,null,788,null,1015501,null,6814,null,0400000US06,California,06
2906798,null,4317,null,1439309,null,3115,null,91166,null,2295,null,44259,null,2848,null,2114,null,549,null,42145,null,2739,null,30014,null,2405,null,12131,null,1792,null,46907,null,3071,null,128000,null,1890,null,104459,null,3410,null,6675,null,1065,null,97784,null,3412,null,82217,null,3511,null,15567,null,1983,null,23541,null,2665,null,788266,null,2292,null,723191,null,4422,null,12143,null,1985,null,711048,null,5128,null,667025,null,5850,null,44023,null,3331,null,65075,null,4401,null,234125,null,474,null,178231,null,3183,null,113,null,135,null,178118,null,3203,null,165893,null,3587,null,12225,null,1508,null,55894,null,3178,null,68462,null,2216,null,25942,null,2121,null,24256,null,2059,null,1686,null,687,null,42520,null,2305,null,129290,null,2201,null,19669,null,1928,null,18390,null,1885,null,1279,null,551,null,109621,null,2315,null,1467489,null,2434,null,82095,null,2585,null,38668,null,2502,null,624,null,349,null,38044,null,2448,null,30345,null,2381,null,7699,null,1431,null,43427,null,2556,null,118166,null,1607,null,92749,null,3046,null,955,null,358,null,91794,null,2982,null,83157,null,3238,null,8637,null,1954,null,25417,null,2933,null,775090,null,1202,null,623221,null,5799,null,2268,null,668,null,620953,null,5721,null,587289,null,6320,null,33664,null,3147,null,151869,null,5695,null,239952,null,117,null,157982,null,3583,null,0,null,279,null,157982,null,3583,null,148653,null,3570,null,9329,null,1220,null,81970,null,3603,null,77652,null,2598,null,22720,null,1798,null,21521,null,1760,null,1199,null,472,null,54932,null,3050,null,174534,null,2596,null,13137,null,1492,null,12576,null,1507,null,561,null,270,null,161397,null,2556,null,0400000US08,Colorado,08
2114815,null,3497,null,1015132,null,2233,null,69992,null,1726,null,30614,null,2057,null,706,null,506,null,29908,null,2137,null,22989,null,1732,null,6919,null,1448,null,39378,null,2322,null,78899,null,350,null,59629,null,2583,null,962,null,445,null,58667,null,2555,null,50115,null,2606,null,8552,null,1446,null,19270,null,2537,null,518390,null,1237,null,478959,null,3223,null,2942,null,774,null,476017,null,3254,null,443222,null,4338,null,32795,null,2562,null,39431,null,3105,null,169923,null,204,null,134904,null,2288,null,0,null,277,null,134904,null,2288,null,125642,null,2300,null,9262,null,1255,null,35019,null,2298,null,56235,null,2264,null,26391,null,1914,null,24325,null,1829,null,2066,null,605,null,29844,null,2027,null,121693,null,2281,null,19095,null,1966,null,17380,null,1915,null,1715,null,543,null,102598,null,2436,null,1099683,null,1813,null,68027,null,1161,null,33693,null,1901,null,57,null,64,null,33636,null,1890,null,27286,null,1821,null,6350,null,1333,null,34334,null,2095,null,76111,null,499,null,58771,null,2242,null,407,null,382,null,58364,null,2330,null,52766,null,2558,null,5598,null,1300,null,17340,null,2154,null,527193,null,874,null,429938,null,4450,null,208,null,200,null,429730,null,4464,null,404401,null,4940,null,25329,null,2576,null,97255,null,4578,null,178746,null,627,null,124467,null,2935,null,0,null,277,null,124467,null,2935,null,117675,null,2898,null,6792,null,1163,null,54279,null,2990,null,62149,null,1894,null,23662,null,1598,null,21673,null,1597,null,1989,null,517,null,38487,null,1924,null,187457,null,1876,null,14089,null,1704,null,13169,null,1622,null,920,null,342,null,173368,null,2388,null,0400000US09,Connecticut,09
492582,null,1298,null,235960,null,918,null,15671,null,848,null,6162,null,1043,null,0,null,263,null,6162,null,1043,null,4580,null,888,null,1582,null,557,null,9509,null,1233,null,18037,null,71,null,13926,null,1223,null,399,null,473,null,13527,null,1233,null,12300,null,1286,null,1227,null,608,null,4111,null,1238,null,117451,null,145,null,108010,null,1345,null,2666,null,817,null,105344,null,1604,null,97791,null,1950,null,7553,null,1446,null,9441,null,1330,null,38722,null,147,null,26867,null,1312,null,0,null,263,null,26867,null,1312,null,24986,null,1354,null,1881,null,534,null,11855,null,1309,null,13072,null,928,null,4800,null,800,null,4590,null,792,null,210,null,151,null,8272,null,984,null,33007,null,928,null,4592,null,961,null,4239,null,881,null,353,null,205,null,28415,null,1210,null,256622,null,887,null,15659,null,824,null,7022,null,1161,null,0,null,263,null,7022,null,1161,null,5644,null,1120,null,1378,null,548,null,8637,null,1263,null,17155,null,181,null,14006,null,815,null,19,null,31,null,13987,null,812,null,12688,null,1099,null,1299,null,701,null,3149,null,748,null,121824,null,195,null,99216,null,2235,null,98,null,114,null,99118,null,2265,null,94125,null,2463,null,4993,null,991,null,22608,null,2212,null,42564,null,140,null,24945,null,1446,null,0,null,263,null,24945,null,1446,null,23349,null,1475,null,1596,null,500,null,17619,null,1458,null,17395,null,1071,null,4803,null,725,null,4283,null,684,null,520,null,412,null,12592,null,1153,null,42025,null,1071,null,3714,null,813,null,3369,null,738,null,345,null,253,null,38311,null,1192,null,0400000US10,Delaware,10
178615,null,664,null,87824,null,284,null,5054,null,902,null,229,null,179,null,0,null,296,null,229,null,179,null,167,null,153,null,62,null,99,null,4825,null,902,null,7238,null,856,null,3038,null,798,null,21,null,34,null,3017,null,795,null,2899,null,765,null,118,null,119,null,4200,null,969,null,54749,null,193,null,51978,null,1042,null,1657,null,796,null,50321,null,1334,null,48988,null,1334,null,1333,null,486,null,2771,null,1005,null,10567,null,296,null,8616,null,604,null,0,null,296,null,8616,null,604,null,8183,null,693,null,433,null,304,null,1951,null,604,null,3717,null,611,null,2073,null,590,null,2010,null,574,null,63,null,98,null,1644,null,580,null,6499,null,611,null,2269,null,711,null,2203,null,683,null,66,null,112,null,4230,null,715,null,90791,null,707,null,7953,null,1235,null,915,null,386,null,0,null,296,null,915,null,386,null,696,null,312,null,219,null,191,null,7038,null,1204,null,8871,null,1111,null,5857,null,1051,null,27,null,46,null,5830,null,1047,null,5530,null,999,null,300,null,232,null,3014,null,823,null,51669,null,311,null,45560,null,1188,null,201,null,163,null,45359,null,1168,null,44013,null,1326,null,1346,null,745,null,6109,null,1130,null,10715,null,325,null,7697,null,678,null,0,null,296,null,7697,null,678,null,7444,null,653,null,253,null,210,null,3018,null,615,null,4086,null,564,null,2070,null,593,null,2013,null,593,null,57,null,91,null,2016,null,571,null,7497,null,564,null,1158,null,434,null,1026,null,466,null,132,null,160,null,6339,null,594,null,0400000US11,District of Columbia,11
9276876,null,6581,null,4493647,null,4510,null,246491,null,5685,null,100972,null,3506,null,2677,null,1039,null,98295,null,3667,null,68555,null,3537,null,29740,null,3079,null,145519,null,5598,null,314428,null,4382,null,240838,null,5332,null,10156,null,1688,null,230682,null,5729,null,189412,null,6180,null,41270,null,3870,null,73590,null,4829,null,2086815,null,2425,null,1846666,null,10395,null,28763,null,2574,null,1817903,null,10340,null,1626675,null,11456,null,191228,null,8993,null,240149,null,10196,null,737311,null,821,null,491515,null,6030,null,65,null,109,null,491450,null,6053,null,443539,null,6351,null,47911,null,4450,null,245796,null,6144,null,305899,null,5245,null,95806,null,3739,null,86476,null,3688,null,9330,null,1273,null,210093,null,5032,null,802703,null,5166,null,89140,null,4449,null,81308,null,4464,null,7832,null,1096,null,713563,null,6391,null,4783229,null,3866,null,231491,null,3701,null,94359,null,4836,null,362,null,282,null,93997,null,4851,null,68402,null,4080,null,25595,null,2907,null,137132,null,4954,null,295301,null,2149,null,220620,null,5399,null,1321,null,620,null,219299,null,5334,null,189989,null,5359,null,29310,null,2977,null,74681,null,4922,null,2077964,null,2020,null,1620730,null,10547,null,3524,null,1184,null,1617206,null,10661,null,1480769,null,10843,null,136437,null,6948,null,457234,null,10535,null,801134,null,1425,null,453311,null,7314,null,0,null,305,null,453311,null,7314,null,415976,null,7517,null,37335,null,3362,null,347823,null,7164,null,341661,null,5971,null,83317,null,3432,null,76304,null,3096,null,7013,null,1268,null,258344,null,5345,null,1035678,null,5851,null,62253,null,3163,null,56807,null,2974,null,5446,null,912,null,973425,null,5856,null,0400000US12,Florida,12
