B24010B_001E,B24010B_001EA,B24010B_001M,B24010B_001MA,B24010B_002E,B24010B_002EA,B24010B_002M,B24010B_002MA,B24010B_003E,B24010B_003EA,B24010B_003M,B24010B_003MA,B24010B_004E,B24010B_004EA,B24010B_004M,B24010B_004MA,B24010B_005E,B24010B_005EA,B24010B_005M,B24010B_005MA,B24010B_006E,B24010B_006EA,B24010B_006M,B24010B_006MA,B24010B_007E,B24010B_007EA,B24010B_007M,B24010B_007MA,B24010B_008E,B24010B_008EA,B24010B_008M,B24010B_008MA,B24010B_009E,B24010B_009EA,B24010B_009M,B24010B_009MA,B24010B_010E,B24010B_010EA,B24010B_010M,B24010B_010MA,B24010B_011E,B24010B_011EA,B24010B_011M,B24010B_011MA,B24010B_012E,B24010B_012EA,B24010B_012M,B24010B_012MA,B24010B_013E,B24010B_013EA,B24010B_013M,B24010B_013MA,B24010B_014E,B24010B_014EA,B24010B_014M,B24010B_014MA,B24010B_015E,B24010B_015EA,B24010B_015M,B24010B_015MA,B24010B_016E,B24010B_016EA,B24010B_016M,B24010B_016MA,B24010B_017E,B24010B_017EA,B24010B_017M,B24010B_017MA,B24010B_018E,B24010B_018EA,B24010B_018M,B24010B_018MA,B24010B_019E,B24010B_019EA,B24010B_019M,B24010B_019MA,B24010B_020E,B24010B_020EA,B24010B_020M,B24010B_020MA,B24010B_021E,B24010B_021EA,B24010B_021M,B24010B_021MA,B24010B_022E,B24010B_022EA,B24010B_022M,B24010B_022MA,B24010B_023E,B24010B_023EA,B24010B_023M,B24010B_023MA,B24010B_024E,B24010B_024EA,B24010B_024M,B24010B_024MA,B24010B_025E,B24010B_025EA,B24010B_025M,B24010B_025MA,B24010B_026E,B24010B_026EA,B24010B_026M,B24010B_026MA,B24010B_027E,B24010B_027EA,B24010B_027M,B24010B_027MA,B24010B_028E,B24010B_028EA,B24010B_028M,B24010B_028MA,B24010B_029E,B24010B_029EA,B24010B_029M,B24010B_029MA,B24010B_030E,B24010B_030EA,B24010B_030M,B24010B_030MA,B24010B_031E,B24010B_031EA,B24010B_031M,B24010B_031MA,B24010B_032E,B24010B_032EA,B24010B_032M,B24010B_032MA,B24010B_033E,B24010B_033EA,B24010B_033M,B24010B_033MA,B24010B_034E,B24010B_034EA,B24010B_034M,B24010B_034MA,B24010B_035E,B24010B_035EA,B24010B_035M,B24010B_035MA,B24010B_036E,B24010B_036EA,B24010B_036M,B24010B_036MA,B24010B_037E,B24010B_037EA,B24010B_037M,B24010B_037MA,B24010B_038E,B24010B_038EA,B24010B_038M,B24010B_038MA,B24010B_039E,B24010B_039EA,B24010B_039M,B24010B_039MA,B24010B_040E,B24010B_040EA,B24010B_040M,B24010B_040MA,B24010B_041E,B24010B_041EA,B24010B_041M,B24010B_041MA,B24010B_042E,B24010B_042EA,B24010B_042M,B24010B_042MA,B24010B_043E,B24010B_043EA,B24010B_043M,B24010B_043MA,B24010B_044E,B24010B_044EA,B24010B_044M,B24010B_044MA,B24010B_045E,B24010B_045EA,B24010B_045M,B24010B_045MA,B24010B_046E,B24010B_046EA,B24010B_046M,B24010B_046MA,B24010B_047E,B24010B_047EA,B24010B_047M,B24010B_047MA,B24010B_048E,B24010B_048EA,B24010B_048M,B24010B_048MA,B24010B_049E,B24010B_049EA,B24010B_049M,B24010B_049MA,B24010B_050E,B24010B_050EA,B24010B_050M,B24010B_050MA,B24010B_051E,B24010B_051EA,B24010B_051M,B24010B_051MA,B24010B_052E,B24010B_052EA,B24010B_052M,B24010B_052MA,B24010B_053E,B24010B_053EA,B24010B_053M,B24010B_053MA,B24010B_054E,B24010B_054EA,B24010B_054M,B24010B_054MA,B24010B_055E,B24010B_055EA,B24010B_055M,B24010B_055MA,B24010B_056E,B24010B_056EA,B24010B_056M,B24010B_056MA,B24010B_057E,B24010B_057EA,B24010B_057M,B24010B_057MA,B24010B_058E,B24010B_058EA,B24010B_058M,B24010B_058MA,B24010B_059E,B24010B_059EA,B24010B_059M,B24010B_059MA,B24010B_060E,B24010B_060EA,B24010B_060M,B24010B_060MA,B24010B_061E,B24010B_061EA,B24010B_061M,B24010B_061MA,B24010B_062E,B24010B_062EA,B24010B_062M,B24010B_062MA,B24010B_063E,B24010B_063EA,B24010B_063M,B24010B_063MA,GEO_ID,NAME,state
464073,null,8185,null,208579,null,6104,null,32206,null,3358,null,10569,null,1728,null,7273,null,1556,null,378,null,370,null,2918,null,844,null,21637,null,2841,null,3104,null,1268,null,3535,null,1335,null,689,null,431,null,2980,null,1023,null,623,null,490,null,5239,null,1396,null,2330,null,903,null,3137,null,981,null,44151,null,3512,null,2577,null,1040,null,9136,null,1749,null,15063,null,2113,null,13703,null,2062,null,3672,null,1108,null,32902,null,3573,null,13918,null,2397,null,18984,null,2751,null,2332,null,999,null,26845,null,3015,null,15235,null,2211,null,11610,null,2157,null,70143,null,4663,null,29212,null,2916,null,40931,null,3637,null,255494,null,6229,null,76267,null,4279,null,22174,null,2637,null,11189,null,2015,null,66,null,105,null,10919,null,1901,null,54093,null,4090,null,2612,null,929,null,516,null,390,null,1594,null,837,null,5088,null,1527,null,1014,null,598,null,20820,null,2782,null,1226,null,591,null,21223,null,2450,null,69186,null,4320,null,18505,null,2412,null,4002,null,1142,null,19796,null,2561,null,13981,null,1927,null,12902,null,2122,null,80195,null,4716,null,31634,null,3928,null,48561,null,3545,null,290,null,240,null,1719,null,859,null,960,null,648,null,759,null,532,null,27837,null,2963,null,20538,null,2684,null,7299,null,1607,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
95588,null,4938,null,49193,null,3494,null,14613,null,2223,null,5558,null,1360,null,3151,null,1005,null,0,null,305,null,2407,null,914,null,9055,null,1715,null,717,null,436,null,1574,null,802,null,312,null,273,null,2255,null,1015,null,185,null,229,null,1772,null,1199,null,1084,null,528,null,1156,null,566,null,11347,null,2105,null,973,null,716,null,2665,null,973,null,4351,null,1133,null,2317,null,957,null,1041,null,596,null,10876,null,1940,null,5152,null,1276,null,5724,null,1636,null,144,null,160,null,4333,null,990,null,1923,null,847,null,2410,null,629,null,7880,null,1497,null,1485,null,652,null,6395,null,1323,null,46395,null,3329,null,17687,null,2079,null,6814,null,1560,null,4006,null,1090,null,0,null,305,null,2808,null,1078,null,10873,null,1783,null,912,null,432,null,101,null,128,null,56,null,113,null,3066,null,902,null,180,null,187,null,2449,null,816,null,245,null,335,null,3864,null,1344,null,8604,null,1857,null,2097,null,780,null,575,null,327,null,1657,null,875,null,1121,null,631,null,3154,null,1069,null,17932,null,2757,null,5039,null,1482,null,12893,null,2310,null,0,null,305,null,48,null,81,null,48,null,81,null,0,null,305,null,2124,null,779,null,1352,null,632,null,772,null,495,null,0400000US04,Arizona,04
165067,null,5394,null,73917,null,3579,null,10296,null,1777,null,4533,null,1229,null,3393,null,1114,null,17,null,30,null,1123,null,545,null,5763,null,1369,null,628,null,409,null,337,null,237,null,161,null,258,null,663,null,412,null,224,null,202,null,2609,null,1087,null,215,null,212,null,926,null,467,null,16357,null,2155,null,700,null,523,null,2160,null,801,null,6723,null,1578,null,5634,null,1483,null,1140,null,681,null,11176,null,1618,null,5991,null,1449,null,5185,null,1250,null,1886,null,702,null,7674,null,1643,null,3770,null,1175,null,3904,null,1275,null,26528,null,2512,null,13483,null,1974,null,13045,null,2020,null,91150,null,3616,null,26100,null,2052,null,7457,null,1247,null,4584,null,1097,null,16,null,29,null,2857,null,962,null,18643,null,1883,null,875,null,558,null,147,null,258,null,220,null,217,null,3162,null,974,null,251,null,257,null,8644,null,1493,null,218,null,212,null,5126,null,1328,null,25007,null,2322,null,7585,null,1668,null,1320,null,486,null,6221,null,1425,null,4812,null,1175,null,5069,null,1295,null,29027,null,2740,null,11742,null,1929,null,17285,null,2320,null,27,null,36,null,617,null,425,null,479,null,391,null,138,null,172,null,10372,null,1663,null,7313,null,1506,null,3059,null,843,null,0400000US05,Arkansas,05
867171,null,11719,null,409970,null,9282,null,120353,null,5911,null,47860,null,3471,null,32013,null,2913,null,132,null,162,null,15715,null,2333,null,72493,null,4163,null,8583,null,1628,null,9052,null,1914,null,1920,null,631,null,11310,null,1871,null,5670,null,1278,null,14679,null,2355,null,10025,null,1968,null,11254,null,2139,null,90294,null,6087,null,5401,null,1278,null,35388,null,3428,null,14001,null,2170,null,20541,null,2650,null,14963,null,2553,null,90796,null,6349,null,41135,null,4485,null,49661,null,4347,null,900,null,602,null,37365,null,3600,null,20828,null,3096,null,16537,null,2367,null,70262,null,5222,null,17500,null,2428,null,52762,null,4564,null,457201,null,7902,null,176473,null,7448,null,66222,null,4882,null,38803,null,3973,null,95,null,111,null,27324,null,3096,null,110251,null,6029,null,7189,null,1749,null,1633,null,701,null,2233,null,761,null,19869,null,2586,null,6275,null,1329,null,32396,null,3210,null,6765,null,1643,null,33891,null,3312,null,103825,null,5791,null,25690,null,3304,null,12695,null,2074,null,17033,null,2545,null,6703,null,1280,null,41704,null,3689,null,156206,null,5951,null,42744,null,3272,null,113462,null,5376,null,496,null,440,null,2052,null,761,null,821,null,508,null,1231,null,567,null,18149,null,2300,null,5892,null,1556,null,12257,null,1945,null,0400000US06,California,06
79157,null,3721,null,41262,null,2859,null,10322,null,1647,null,4913,null,1287,null,2770,null,953,null,0,null,279,null,2143,null,983,null,5409,null,1035,null,1367,null,576,null,680,null,412,null,0,null,279,null,436,null,327,null,158,null,224,null,1351,null,673,null,558,null,337,null,859,null,441,null,7385,null,1430,null,204,null,154,null,2948,null,1001,null,1916,null,892,null,1730,null,786,null,587,null,393,null,9908,null,1726,null,4263,null,1420,null,5645,null,1441,null,332,null,428,null,4301,null,1226,null,2017,null,824,null,2284,null,907,null,9014,null,2180,null,1278,null,695,null,7736,null,1968,null,37895,null,2348,null,12129,null,1753,null,4633,null,1099,null,2698,null,821,null,0,null,279,null,1935,null,762,null,7496,null,1557,null,728,null,455,null,155,null,250,null,44,null,74,null,843,null,461,null,381,null,324,null,2723,null,915,null,324,null,288,null,2298,null,843,null,7910,null,1551,null,1964,null,825,null,931,null,706,null,2513,null,1185,null,513,null,364,null,1989,null,666,null,15212,null,1607,null,5037,null,1063,null,10175,null,1477,null,0,null,279,null,269,null,250,null,176,null,191,null,93,null,160,null,2375,null,916,null,1609,null,803,null,766,null,466,null,0400000US08,Colorado,08
152038,null,5194,null,69086,null,3127,null,16050,null,2298,null,5160,null,1193,null,3560,null,1029,null,0,null,277,null,1600,null,679,null,10890,null,2002,null,1669,null,612,null,987,null,540,null,212,null,266,null,3796,null,1256,null,272,null,244,null,1966,null,685,null,504,null,421,null,1484,null,725,null,13893,null,1952,null,1062,null,549,null,3070,null,1090,null,3064,null,1094,null,4808,null,1152,null,1889,null,935,null,14443,null,2226,null,7425,null,1790,null,7018,null,1441,null,0,null,277,null,7408,null,1746,null,4526,null,1364,null,2882,null,919,null,17292,null,1963,null,5974,null,1355,null,11318,null,1849,null,82952,null,3523,null,26282,null,2732,null,8433,null,1873,null,4705,null,1203,null,0,null,277,null,3728,null,1246,null,17849,null,2247,null,638,null,424,null,349,null,420,null,209,null,262,null,3082,null,1149,null,418,null,257,null,5823,null,1360,null,653,null,397,null,6677,null,1595,null,26070,null,2737,null,12901,null,1973,null,1546,null,601,null,2608,null,741,null,2898,null,881,null,6117,null,1288,null,25815,null,2407,null,7639,null,1339,null,18176,null,2351,null,0,null,277,null,199,null,198,null,0,null,277,null,199,null,198,null,4586,null,1193,null,2979,null,946,null,1607,null,640,null,0400000US09,Connecticut,09
80962,null,3320,null,35886,null,2328,null,7805,null,1352,null,2835,null,758,null,2067,null,644,null,0,null,263,null,768,null,433,null,4970,null,1179,null,322,null,383,null,322,null,326,null,293,null,195,null,1536,null,679,null,232,null,231,null,990,null,432,null,262,null,307,null,1013,null,641,null,9835,null,1680,null,1223,null,732,null,1644,null,567,null,3507,null,1186,null,2314,null,845,null,1147,null,618,null,5067,null,1410,null,1849,null,847,null,3218,null,1175,null,251,null,210,null,3115,null,844,null,1810,null,752,null,1305,null,617,null,9813,null,2029,null,2396,null,741,null,7417,null,1863,null,45076,null,2326,null,16922,null,2152,null,4655,null,1090,null,2631,null,834,null,0,null,263,null,2024,null,739,null,12267,null,2053,null,385,null,336,null,289,null,262,null,121,null,164,null,1780,null,752,null,477,null,293,null,4654,null,1459,null,207,null,196,null,4354,null,1348,null,10805,null,1898,null,3458,null,1146,null,635,null,486,null,2456,null,1024,null,2024,null,933,null,2232,null,776,null,13626,null,1828,null,4433,null,1146,null,9193,null,1549,null,57,null,103,null,266,null,404,null,0,null,263,null,266,null,404,null,3400,null,1023,null,1277,null,600,null,2123,null,800,null,0400000US10,Delaware,10
124894,null,4483,null,54819,null,2464,null,17666,null,2075,null,6165,null,1485,null,4330,null,1256,null,0,null,296,null,1835,null,718,null,11501,null,1585,null,2235,null,942,null,718,null,570,null,485,null,406,null,1179,null,419,null,1277,null,851,null,2550,null,775,null,2050,null,803,null,1007,null,552,null,14178,null,2005,null,946,null,522,null,4260,null,1190,null,3029,null,1135,null,4179,null,1009,null,1764,null,777,null,10318,null,1540,null,3683,null,1007,null,6635,null,1478,null,0,null,296,null,5117,null,1159,null,3228,null,844,null,1889,null,757,null,7540,null,1417,null,493,null,352,null,7047,null,1373,null,70075,null,3526,null,27047,null,2597,null,10626,null,1713,null,5247,null,1210,null,76,null,123,null,5303,null,1220,null,16421,null,1869,null,837,null,547,null,40,null,68,null,1212,null,783,null,2885,null,965,null,2004,null,716,null,5461,null,1297,null,890,null,524,null,3092,null,970,null,17795,null,2590,null,3553,null,937,null,3872,null,1274,null,3844,null,1306,null,2948,null,855,null,3578,null,938,null,23093,null,2862,null,5320,null,1343,null,17773,null,2575,null,0,null,296,null,290,null,222,null,144,null,176,null,146,null,179,null,1850,null,864,null,222,null,228,null,1628,null,820,null,0400000US11,District of Columbia,11
1134623,null,15762,null,507695,null,10712,null,98075,null,5371,null,40537,null,3448,null,30831,null,3441,null,119,null,204,null,9587,null,1759,null,57538,null,4793,null,9824,null,1881,null,5800,null,1392,null,1926,null,836,null,9188,null,1870,null,2202,null,919,null,13791,null,2517,null,5718,null,1517,null,9089,null,1684,null,132629,null,6981,null,9219,null,2406,null,30519,null,3373,null,41042,null,3862,null,43656,null,4223,null,8193,null,1934,null,102155,null,5821,null,50504,null,4444,null,51651,null,4416,null,3266,null,1060,null,70810,null,4154,null,41593,null,3509,null,29217,null,2440,null,100760,null,4977,null,29700,null,3636,null,71060,null,5027,null,626928,null,9864,null,202224,null,8406,null,61223,null,4662,null,33120,null,4128,null,110,null,130,null,27993,null,2911,null,141001,null,7938,null,4768,null,1246,null,506,null,347,null,3090,null,1050,null,20353,null,2943,null,4625,null,1489,null,49343,null,4763,null,4528,null,1154,null,53788,null,4425,null,196246,null,6941,null,68032,null,4948,null,16376,null,2448,null,36744,null,3158,null,38812,null,3834,null,36282,null,3398,null,193762,null,7928,null,66463,null,4765,null,127299,null,6382,null,1139,null,662,null,2672,null,1101,null,1520,null,893,null,1152,null,558,null,30885,null,3648,null,18763,null,2779,null,12122,null,2082,null,0400000US12,Florida,12
