B24032_001E,B24032_001EA,B24032_001M,B24032_001MA,B24032_002E,B24032_002EA,B24032_002M,B24032_002MA,B24032_003E,B24032_003EA,B24032_003M,B24032_003MA,B24032_004E,B24032_004EA,B24032_004M,B24032_004MA,B24032_005E,B24032_005EA,B24032_005M,B24032_005MA,B24032_006E,B24032_006EA,B24032_006M,B24032_006MA,B24032_007E,B24032_007EA,B24032_007M,B24032_007MA,B24032_008E,B24032_008EA,B24032_008M,B24032_008MA,B24032_009E,B24032_009EA,B24032_009M,B24032_009MA,B24032_010E,B24032_010EA,B24032_010M,B24032_010MA,B24032_011E,B24032_011EA,B24032_011M,B24032_011MA,B24032_012E,B24032_012EA,B24032_012M,B24032_012MA,B24032_013E,B24032_013EA,B24032_013M,B24032_013MA,B24032_014E,B24032_014EA,B24032_014M,B24032_014MA,B24032_015E,B24032_015EA,B24032_015M,B24032_015MA,B24032_016E,B24032_016EA,B24032_016M,B24032_016MA,B24032_017E,B24032_017EA,B24032_017M,B24032_017MA,B24032_018E,B24032_018EA,B24032_018M,B24032_018MA,B24032_019E,B24032_019EA,B24032_019M,B24032_019MA,B24032_020E,B24032_020EA,B24032_020M,B24032_020MA,B24032_021E,B24032_021EA,B24032_021M,B24032_021MA,B24032_022E,B24032_022EA,B24032_022M,B24032_022MA,B24032_023E,B24032_023EA,B24032_023M,B24032_023MA,B24032_024E,B24032_024EA,B24032_024M,B24032_024MA,B24032_025E,B24032_025EA,B24032_025M,B24032_025MA,B24032_026E,B24032_026EA,B24032_026M,B24032_026MA,B24032_027E,B24032_027EA,B24032_027M,B24032_027MA,B24032_028E,B24032_028EA,B24032_028M,B24032_028MA,B24032_029E,B24032_029EA,B24032_029M,B24032_029MA,B24032_030E,B24032_030EA,B24032_030M,B24032_030MA,B24032_031E,B24032_031EA,B24032_031M,B24032_031MA,B24032_032E,B24032_032EA,B24032_032M,B24032_032MA,B24032_033E,B24032_033EA,B24032_033M,B24032_033MA,B24032_034E,B24032_034EA,B24032_034M,B24032_034MA,B24032_035E,B24032_035EA,B24032_035M,B24032_035MA,B24032_036E,B24032_036EA,B24032_036M,B24032_036MA,B24032_037E,B24032_037EA,B24032_037M,B24032_037MA,B24032_038E,B24032_038EA,B24032_038M,B24032_038MA,B24032_039E,B24032_039EA,B24032_039M,B24032_039MA,B24032_040E,B24032_040EA,B24032_040M,B24032_040MA,B24032_041E,B24032_041EA,B24032_041M,B24032_041MA,B24032_042E,B24032_042EA,B24032_042M,B24032_042MA,B24032_043E,B24032_043EA,B24032_043M,B24032_043MA,B24032_044E,B24032_044EA,B24032_044M,B24032_044MA,B24032_045E,B24032_045EA,B24032_045M,B24032_045MA,B24032_046E,B24032_046EA,B24032_046M,B24032_046MA,B24032_047E,B24032_047EA,B24032_047M,B24032_047MA,B24032_048E,B24032_048EA,B24032_048M,B24032_048MA,B24032_049E,B24032_049EA,B24032_049M,B24032_049MA,B24032_050E,B24032_050EA,B24032_050M,B24032_050MA,B24032_051E,B24032_051EA,B24032_051M,B24032_051MA,B24032_052E,B24032_052EA,B24032_052M,B24032_052MA,B24032_053E,B24032_053EA,B24032_053M,B24032_053MA,B24032_054E,B24032_054EA,B24032_054M,B24032_054MA,GEO_ID,NAME,state
34621,null,686,null,29583,null,2410,null,23691,null,2129,null,51106,null,10314,null,27686,null,1588,null,39941,null,1139,null,37396,null,2610,null,24615,null,1019,null,43146,null,2206,null,40148,null,2131,null,53206,null,6787,null,39912,null,5565,null,43941,null,4513,null,58746,null,5531,null,30217,null,1606,null,38909,null,1869,null,67633,null,2852,null,28895,null,2786,null,23077,null,2054,null,43336,null,2835,null,41911,null,2342,null,45056,null,4187,null,12086,null,1254,null,15942,null,4196,null,11601,null,1261,null,26863,null,1366,null,47861,null,2242,null,23297,null,399,null,25424,null,10674,null,19892,null,8267,null,58217,null,19619,null,31246,null,4257,null,24414,null,938,null,30204,null,3174,null,16071,null,869,null,30953,null,2017,null,28423,null,3105,null,39234,null,3940,null,30893,null,3544,null,29544,null,972,null,30575,null,1479,null,23427,null,3447,null,28509,null,1800,null,36768,null,2366,null,20792,null,8618,null,16744,null,1722,null,27681,null,1009,null,32946,null,1599,null,25568,null,980,null,10061,null,696,null,11142,null,2779,null,9931,null,635,null,14698,null,961,null,32228,null,1643,null,0400000US01,Alabama,01
43162,null,1517,null,74574,null,11798,null,46120,null,5861,null,86597,null,6845,null,43575,null,3763,null,31927,null,7722,null,56324,null,19749,null,28961,null,3873,null,51195,null,3317,null,50862,null,3876,null,53590,null,10208,null,52125,null,15703,null,41391,null,7780,null,55427,null,27229,null,40354,null,8273,null,50332,null,7996,null,63885,null,11311,null,-666666666,-,0,**,30670,null,12399,null,44599,null,3524,null,44764,null,9529,null,44508,null,3490,null,17935,null,3615,null,19892,null,15036,null,17455,null,4292,null,37089,null,7428,null,58400,null,2259,null,29177,null,1155,null,46299,null,8095,null,24211,null,25264,null,50271,null,10305,null,39392,null,27253,null,23247,null,6084,null,28981,null,20722,null,19022,null,2391,null,30697,null,5582,null,29130,null,3831,null,41759,null,3543,null,36268,null,3237,null,36886,null,3415,null,38428,null,5555,null,35667,null,4458,null,32590,null,6343,null,38283,null,4808,null,-666666666,-,0,**,25491,null,6404,null,32027,null,2042,null,30884,null,3314,null,32684,null,2371,null,18412,null,3520,null,27007,null,3924,null,16851,null,3422,null,14756,null,3297,null,43762,null,5389,null,0400000US02,Alaska,02
35098,null,590,null,33932,null,6173,null,24551,null,1920,null,54421,null,2273,null,30457,null,1925,null,47538,null,2814,null,40112,null,2111,null,26487,null,1284,null,41303,null,1520,null,38229,null,2434,null,53125,null,7186,null,46717,null,4874,null,44506,null,2871,null,50805,null,2664,null,34324,null,2941,null,36778,null,1802,null,62717,null,2989,null,36436,null,20554,null,23401,null,1193,null,37854,null,1516,null,34104,null,1409,null,44783,null,3301,null,17503,null,1029,null,23660,null,2351,null,16349,null,1164,null,27759,null,2744,null,51395,null,1213,null,27094,null,523,null,15956,null,4814,null,12164,null,4656,null,38409,null,9390,null,33272,null,2325,null,32357,null,2180,null,32991,null,2686,null,18625,null,871,null,33194,null,2123,null,31027,null,2046,null,45755,null,8893,null,28978,null,4489,null,35140,null,1474,null,37077,null,1450,null,28607,null,3253,null,26998,null,1456,null,35733,null,2240,null,31658,null,25835,null,19452,null,1624,null,30236,null,724,null,30801,null,1249,null,29982,null,726,null,14124,null,752,null,17632,null,1849,null,13365,null,814,null,16967,null,1529,null,36587,null,1241,null,0400000US04,Arizona,04
30467,null,427,null,28808,null,1450,null,24312,null,2756,null,49355,null,3108,null,27523,null,1700,null,33292,null,1084,null,37316,null,2752,null,27065,null,1600,null,38482,null,2031,null,37153,null,2404,null,48986,null,5975,null,37751,null,4180,null,37052,null,5617,null,58595,null,11642,null,23626,null,5361,null,29494,null,2590,null,48702,null,4353,null,74981,null,10020,null,20536,null,2091,null,32668,null,2228,null,31671,null,2656,null,33915,null,4822,null,12621,null,1027,null,15290,null,4881,null,12063,null,1224,null,24804,null,2050,null,38864,null,2497,null,22360,null,469,null,23591,null,2556,null,22400,null,4027,null,31354,null,3401,null,23804,null,2483,null,24964,null,1175,null,26507,null,4189,null,16084,null,882,null,28521,null,1745,null,28913,null,2375,null,26949,null,7349,null,27931,null,2833,null,27838,null,1177,null,28538,null,1115,null,21679,null,4133,null,23249,null,1791,null,29195,null,2083,null,41019,null,32254,null,15980,null,2137,null,25780,null,1206,null,30259,null,1405,null,24068,null,860,null,10858,null,932,null,13629,null,3677,null,10552,null,1082,null,14116,null,1829,null,29728,null,1436,null,0400000US05,Arkansas,05
38412,null,243,null,20776,null,584,null,19627,null,411,null,61333,null,3343,null,34593,null,759,null,46998,null,1056,null,40853,null,877,null,27623,null,615,null,43403,null,1095,null,39050,null,830,null,76158,null,3087,null,60289,null,1468,null,50808,null,1029,null,61437,null,2027,null,38127,null,1074,null,46107,null,1336,null,74845,null,1506,null,101726,null,48839,null,23619,null,514,null,46129,null,1357,null,44822,null,1476,null,47645,null,1202,null,19710,null,325,null,26748,null,1182,null,18297,null,338,null,27989,null,789,null,70263,null,1037,null,28782,null,195,null,13831,null,841,null,13517,null,825,null,44112,null,13227,null,36901,null,1684,null,32325,null,873,null,30623,null,1210,null,18427,null,373,null,39153,null,1114,null,35865,null,1445,null,59828,null,2141,null,45625,null,2506,null,38906,null,545,null,41819,null,823,null,31791,null,1362,null,37893,null,591,null,48061,null,821,null,43630,null,7046,null,21341,null,758,null,32241,null,411,null,34626,null,1007,null,31383,null,427,null,14469,null,264,null,19880,null,1126,null,13514,null,271,null,17001,null,574,null,45812,null,1005,null,0400000US06,California,06
39335,null,432,null,40790,null,4810,null,24590,null,2787,null,70694,null,5027,null,34399,null,1526,null,50788,null,1997,null,45617,null,2254,null,27668,null,1284,null,44636,null,2655,null,41192,null,2480,null,57541,null,4645,null,53412,null,5965,null,49291,null,1716,null,57379,null,4236,null,40512,null,2597,null,53108,null,3290,null,72215,null,2423,null,97797,null,60679,null,24285,null,1865,null,41428,null,1438,null,38596,null,2364,null,47195,null,3614,null,16835,null,1107,null,22043,null,3924,null,15497,null,1508,null,30247,null,2626,null,59653,null,1923,null,28117,null,385,null,22746,null,6026,null,14223,null,3370,null,54357,null,7123,null,31624,null,2569,null,37661,null,2762,null,34938,null,4954,null,18574,null,715,null,32760,null,2267,null,29973,null,3467,null,43377,null,5886,null,38884,null,3559,null,37847,null,1372,null,39909,null,1566,null,29482,null,1900,null,36013,null,1609,null,43553,null,2166,null,38610,null,12472,null,20998,null,2455,null,29675,null,667,null,29759,null,1243,null,29622,null,903,null,12960,null,865,null,14573,null,2775,null,12699,null,888,null,17625,null,1624,null,43711,null,1563,null,0400000US08,Colorado,08
49332,null,552,null,36179,null,7011,null,33680,null,7734,null,66680,null,81726,null,40897,null,1825,null,59375,null,1309,null,53677,null,5483,null,28252,null,2094,null,50063,null,2050,null,45468,null,3220,null,72503,null,3666,null,56867,null,7800,null,86564,null,4753,null,95684,null,6228,null,44248,null,9536,null,60891,null,3081,null,80904,null,3342,null,134578,null,47662,null,34511,null,4189,null,48678,null,1607,null,48053,null,2115,null,49849,null,3255,null,21870,null,1444,null,28463,null,3130,null,19194,null,1875,null,34173,null,2525,null,67623,null,2416,null,31958,null,567,null,20475,null,13734,null,18928,null,6230,null,46921,null,16050,null,36158,null,4611,null,38844,null,1823,null,40754,null,4795,null,18367,null,1567,null,39270,null,6081,null,33963,null,6747,null,52394,null,12858,null,39994,null,4126,null,45193,null,2669,null,48280,null,2284,null,33922,null,3689,null,37661,null,1980,null,44701,null,2796,null,60404,null,13900,null,24380,null,3523,null,34242,null,1104,null,35705,null,2394,null,33710,null,1243,null,15499,null,1365,null,21538,null,3135,null,13890,null,1388,null,16614,null,1477,null,49155,null,2055,null,0400000US09,Connecticut,09
40031,null,1073,null,28404,null,14335,null,27478,null,9368,null,42723,null,23870,null,38589,null,2168,null,55667,null,4146,null,48826,null,2907,null,26153,null,1392,null,52144,null,2857,null,51400,null,2196,null,78951,null,16245,null,39668,null,8489,null,61367,null,7484,null,71917,null,8699,null,41496,null,11731,null,40409,null,4763,null,73758,null,9603,null,51358,null,55418,null,24127,null,6167,null,43175,null,4705,null,41117,null,2986,null,48814,null,7698,null,15562,null,1900,null,25158,null,8301,null,14317,null,1291,null,27199,null,4226,null,48614,null,3466,null,28192,null,916,null,26638,null,12387,null,26638,null,12387,null,-666666666,-,0,**,38959,null,8142,null,42887,null,8524,null,28482,null,4600,null,17772,null,1373,null,34467,null,7550,null,33027,null,6466,null,53798,null,12004,null,26966,null,8872,null,37654,null,2399,null,39620,null,3078,null,23314,null,3378,null,31953,null,4241,null,40334,null,3367,null,-666666666,-,0,**,19923,null,2346,null,30853,null,1436,null,29790,null,2537,null,31286,null,1625,null,13345,null,2052,null,20993,null,5857,null,11814,null,2847,null,17846,null,5843,null,39385,null,3714,null,0400000US10,Delaware,10
50609,null,2166,null,-666666666,-,0,**,-666666666,-,0,**,-666666666,-,0,**,33602,null,3848,null,72844,null,40451,null,41457,null,4061,null,26887,null,7451,null,39552,null,9280,null,39430,null,9338,null,57743,null,44445,null,69478,null,13033,null,72373,null,9176,null,99451,null,21845,null,45817,null,21776,null,75145,null,10326,null,88853,null,8133,null,-666666666,-,0,**,29432,null,6497,null,42709,null,3185,null,46598,null,4347,null,37747,null,9878,null,24929,null,4086,null,31684,null,10981,null,24263,null,2901,null,50944,null,13783,null,71740,null,6992,null,44548,null,2244,null,23542,null,70171,null,22694,null,16535,null,-666666666,-,0,**,44646,null,47232,null,98761,null,40986,null,24411,null,6127,null,15978,null,2150,null,34656,null,9412,null,34298,null,7677,null,47224,null,107925,null,66627,null,7251,null,53743,null,10903,null,58971,null,9745,null,41054,null,12698,null,54557,null,8430,null,65818,null,5065,null,-666666666,-,0,**,21640,null,3387,null,36655,null,3720,null,42252,null,4237,null,33228,null,2143,null,21203,null,3374,null,40220,null,10401,null,14739,null,3169,null,41505,null,3803,null,61890,null,2863,null,0400000US11,District of Columbia,11
32041,null,250,null,21106,null,2178,null,19184,null,1772,null,48199,null,3168,null,28759,null,541,null,39587,null,921,null,38782,null,1396,null,25047,null,790,null,40009,null,961,null,37604,null,1143,null,51089,null,2138,null,41651,null,1877,null,40226,null,1361,null,50975,null,2086,null,30443,null,1705,null,35346,null,1089,null,57893,null,1148,null,64848,null,23115,null,23534,null,657,null,39699,null,659,null,38402,null,714,null,42484,null,1816,null,18787,null,538,null,23796,null,1410,null,17434,null,756,null,25416,null,1186,null,48473,null,974,null,25225,null,221,null,14294,null,1378,null,13668,null,1276,null,38564,null,1015,null,30560,null,1735,null,28485,null,1161,null,29344,null,1371,null,17776,null,383,null,31389,null,1339,null,29868,null,1305,null,41525,null,4826,null,32196,null,1976,null,32601,null,734,null,35052,null,832,null,26822,null,1261,null,28702,null,595,null,34403,null,1368,null,52624,null,14874,null,21588,null,947,null,29370,null,379,null,33249,null,855,null,28054,null,431,null,14097,null,429,null,17729,null,871,null,13403,null,454,null,15552,null,744,null,35713,null,1050,null,0400000US12,Florida,12
