B99193_001E,B99193_001EA,B99193_002E,B99193_002EA,B99193_003E,B99193_003EA,B99193_004E,B99193_004EA,B99193_005E,B99193_005EA,B99193_006E,B99193_006EA,B99193_007E,B99193_007EA,B99193_008E,B99193_008EA,GEO_ID,NAME,state
1246056,null,925781,null,31008,null,32401,null,25268,null,39894,null,67009,null,124695,null,0400000US01,Alabama,01
159940,null,125585,null,1756,null,6367,null,3435,null,5141,null,9787,null,7869,null,0400000US02,Alaska,02
1514235,null,1103791,null,29480,null,35650,null,31875,null,44484,null,69139,null,199816,null,0400000US04,Arizona,04
768492,null,566980,null,15182,null,21933,null,17356,null,25013,null,40563,null,81465,null,0400000US05,Arkansas,05
8366253,null,6065597,null,181380,null,259168,null,213738,null,296475,null,494544,null,855351,null,0400000US06,California,06
1233139,null,984124,null,21577,null,32873,null,26148,null,27488,null,46103,null,94826,null,0400000US08,Colorado,08
890530,null,638783,null,19507,null,32018,null,21679,null,27829,null,48698,null,102016,null,0400000US09,Connecticut,09
220655,null,164479,null,5252,null,7304,null,4620,null,7509,null,9572,null,21919,null,0400000US10,Delaware,10
109030,null,77105,null,1837,null,3449,null,2381,null,4205,null,8044,null,12009,null,0400000US11,District of Columbia,11
4542466,null,3275751,null,119681,null,110568,null,102852,null,137561,null,222055,null,573998,null,0400000US12,Florida,12
2370143,null,1668533,null,56318,null,65243,null,45777,null,72653,null,119300,null,342319,null,0400000US13,Georgia,13
310366,null,218760,null,5967,null,10061,null,8248,null,13052,null,23131,null,31147,null,0400000US15,Hawaii,15
397214,null,314093,null,7768,null,11698,null,7278,null,9929,null,14422,null,32026,null,0400000US16,Idaho,16
3120138,null,2282787,null,63925,null,94066,null,73045,null,94724,null,149220,null,362371,null,0400000US17,Illinois,17
1657555,null,1278645,null,35011,null,45421,null,34896,null,41275,null,68699,null,153608,null,0400000US18,Indiana,18
798262,null,635719,null,12444,null,25088,null,13183,null,19504,null,31998,null,60326,null,0400000US19,Iowa,19
722181,null,574347,null,12646,null,19139,null,12498,null,19603,null,30596,null,53352,null,0400000US20,Kansas,20
1146621,null,889860,null,25042,null,27547,null,23573,null,30494,null,51659,null,98446,null,0400000US21,Kentucky,21
1128899,null,786953,null,24388,null,29471,null,30833,null,39103,null,63203,null,154948,null,0400000US22,Louisiana,22
347561,null,273216,null,5993,null,12121,null,7827,null,9883,null,13896,null,24625,null,0400000US23,Maine,23
1391688,null,1042127,null,28871,null,48424,null,31746,null,44386,null,68159,null,127975,null,0400000US24,Maryland,24
1557057,null,1114997,null,35376,null,55884,null,38006,null,54891,null,78337,null,179566,null,0400000US25,Massachusetts,25
2523758,null,1890953,null,56467,null,71874,null,57387,null,67107,null,111481,null,268489,null,0400000US26,Michigan,26
1349167,null,1069687,null,26193,null,39036,null,26284,null,32052,null,52534,null,103381,null,0400000US27,Minnesota,27
754131,null,522672,null,16719,null,19393,null,18152,null,26144,null,48528,null,102523,null,0400000US28,Mississippi,28
1543375,null,1162594,null,31071,null,43469,null,31756,null,42308,null,72670,null,159507,null,0400000US29,Missouri,29
235940,null,176354,null,3567,null,7630,null,4756,null,6883,null,11432,null,25318,null,0400000US30,Montana,30
457966,null,357382,null,8228,null,14050,null,9149,null,12253,null,19944,null,36960,null,0400000US31,Nebraska,31
632236,null,462966,null,11953,null,16426,null,13675,null,16287,null,31141,null,79788,null,0400000US32,Nevada,32
336491,null,256198,null,5606,null,9934,null,8201,null,10347,null,14211,null,31994,null,0400000US33,New Hampshire,33
2172031,null,1556836,null,54110,null,69852,null,53985,null,69240,null,108279,null,259729,null,0400000US34,New Jersey,34
489296,null,355663,null,9602,null,13933,null,10652,null,16610,null,26258,null,56578,null,0400000US35,New Mexico,35
4606840,null,3144979,null,107331,null,144742,null,121252,null,167621,null,268805,null,652110,null,0400000US36,New York,36
2430277,null,1791232,null,51783,null,60480,null,49734,null,74407,null,124466,null,278175,null,0400000US37,North Carolina,37
172152,null,130038,null,2769,null,5953,null,3260,null,5236,null,7139,null,17757,null,0400000US38,North Dakota,38
2947214,null,2288024,null,65865,null,80128,null,57626,null,76705,null,122759,null,256107,null,0400000US39,Ohio,39
949299,null,721425,null,16745,null,25464,null,22627,null,24850,null,46613,null,91575,null,0400000US40,Oklahoma,40
956627,null,754016,null,17814,null,26875,null,20596,null,24123,null,39338,null,73865,null,0400000US41,Oregon,41
3195832,null,2372353,null,72392,null,97559,null,72389,null,94754,null,149381,null,337004,null,0400000US42,Pennsylvania,42
257514,null,178758,null,5100,null,7869,null,7397,null,9504,null,17487,null,31399,null,0400000US44,Rhode Island,44
1163764,null,813754,null,26163,null,29741,null,24501,null,34294,null,70524,null,164787,null,0400000US45,South Carolina,45
204649,null,160213,null,3972,null,4766,null,4454,null,5539,null,10051,null,15654,null,0400000US46,South Dakota,46
1638789,null,1223853,null,39047,null,40948,null,34869,null,48373,null,82324,null,169375,null,0400000US47,Tennessee,47
5956367,null,4340961,null,116576,null,154254,null,131143,null,190525,null,294321,null,728587,null,0400000US48,Texas,48
648732,null,512200,null,12916,null,20772,null,14531,null,19272,null,24570,null,44471,null,0400000US49,Utah,49
159445,null,122242,null,3170,null,5534,null,3936,null,5720,null,6991,null,11852,null,0400000US50,Vermont,50
1987501,null,1519239,null,38631,null,58918,null,40213,null,56568,null,86205,null,187727,null,0400000US51,Virginia,51
1650519,null,1321376,null,32380,null,44862,null,31132,null,39200,null,62315,null,119254,null,0400000US53,Washington,53
492279,null,357666,null,10080,null,16160,null,12032,null,15133,null,24381,null,56827,null,0400000US54,West Virginia,54
1476615,null,1136549,null,28381,null,42219,null,29670,null,39351,null,62335,null,138110,null,0400000US55,Wisconsin,55
143459,null,114159,null,1644,null,4176,null,3225,null,3851,null,4644,null,11760,null,0400000US56,Wyoming,56
877711,null,666377,null,15932,null,14128,null,17459,null,35041,null,56536,null,72238,null,0400000US72,Puerto Rico,72
