C06003_001E,C06003_001EA,C06003_001M,C06003_001MA,C06003_002E,C06003_002EA,C06003_002M,C06003_002MA,C06003_003E,C06003_003EA,C06003_003M,C06003_003MA,C06003_004E,C06003_004EA,C06003_004M,C06003_004MA,C06003_005E,C06003_005EA,C06003_005M,C06003_005MA,C06003_006E,C06003_006EA,C06003_006M,C06003_006MA,C06003_007E,C06003_007EA,C06003_007M,C06003_007MA,C06003_008E,C06003_008EA,C06003_008M,C06003_008MA,C06003_009E,C06003_009EA,C06003_009M,C06003_009MA,C06003_010E,C06003_010EA,C06003_010M,C06003_010MA,C06003_011E,C06003_011EA,C06003_011M,C06003_011MA,C06003_012E,C06003_012EA,C06003_012M,C06003_012MA,C06003_013E,C06003_013EA,C06003_013M,C06003_013MA,GEO_ID,NAME,state
4708708,null,0,*****,2280784,null,4739,null,2427924,null,4739,null,3304598,null,18840,null,1587045,null,11824,null,1717553,null,11331,null,1219841,null,18034,null,597506,null,11259,null,622335,null,11068,null,37270,null,3229,null,17566,null,2443,null,19704,null,1964,null,146999,null,4422,null,0400000US01,Alabama,01
698473,null,0,*****,360688,null,1510,null,337785,null,1510,null,281461,null,6860,null,143690,null,4712,null,137771,null,3900,null,351932,null,6470,null,184806,null,4883,null,167126,null,3552,null,16231,null,2333,null,8362,null,1676,null,7869,null,1388,null,48849,null,3412,null,0400000US02,Alaska,02
6595778,null,0,*****,3307075,null,2761,null,3288703,null,2761,null,2484600,null,24067,null,1250533,null,15486,null,1234067,null,16076,null,3111835,null,25694,null,1545345,null,15114,null,1566490,null,16458,null,73967,null,5172,null,37081,null,3079,null,36886,null,3470,null,925376,null,20437,null,0400000US04,Arizona,04
2889450,null,0,*****,1413505,null,3495,null,1475945,null,3495,null,1767599,null,15241,null,849862,null,9275,null,917737,null,10005,null,983126,null,15399,null,491622,null,9745,null,491504,null,9991,null,18494,null,2311,null,9614,null,1584,null,8880,null,1684,null,120231,null,4717,null,0400000US05,Arkansas,05
36961664,null,0,*****,18517377,null,4701,null,18444287,null,4701,null,19849289,null,56259,null,10032634,null,34705,null,9816655,null,34638,null,6741857,null,41438,null,3341937,null,26440,null,3399920,null,26848,null,423760,null,12810,null,213433,null,7960,null,210327,null,9160,null,9946758,null,47007,null,0400000US06,California,06
5024748,null,0,*****,2529083,null,3213,null,2495665,null,3213,null,2127589,null,18706,null,1073026,null,12852,null,1054563,null,12378,null,2344863,null,20730,null,1177262,null,12139,null,1167601,null,13785,null,65681,null,4562,null,31079,null,3258,null,34602,null,2803,null,486615,null,14663,null,0400000US08,Colorado,08
3518288,null,0,*****,1716182,null,1743,null,1802106,null,1743,null,1973670,null,16511,null,976741,null,10920,null,996929,null,8863,null,963259,null,13079,null,453087,null,8500,null,510172,null,7876,null,121844,null,6367,null,56636,null,3659,null,65208,null,4028,null,459515,null,11635,null,0400000US09,Connecticut,09
885122,null,0,*****,428865,null,1313,null,456257,null,1313,null,406521,null,7961,null,197610,null,4874,null,208911,null,4866,null,392105,null,8423,null,187630,null,5521,null,204475,null,5203,null,12463,null,1928,null,5936,null,1402,null,6527,null,1063,null,74033,null,4941,null,0400000US10,Delaware,10
599657,null,0,*****,281649,null,880,null,318008,null,880,null,243641,null,5817,null,114362,null,3727,null,129279,null,4322,null,275265,null,6449,null,128582,null,4050,null,146683,null,4695,null,8641,null,1563,null,4225,null,1012,null,4416,null,1180,null,72110,null,4747,null,0400000US11,District of Columbia,11
18537969,null,0,*****,9111329,null,6056,null,9426640,null,6056,null,6548331,null,38743,null,3286026,null,26272,null,3262305,null,21569,null,7936994,null,38625,null,3849788,null,28391,null,4087206,null,21043,null,568503,null,18076,null,284491,null,10945,null,284012,null,10764,null,3484141,null,36609,null,0400000US12,Florida,12
