C15010F_001E,C15010F_001EA,C15010F_001M,C15010F_001MA,C15010F_002E,C15010F_002EA,C15010F_002M,C15010F_002MA,C15010F_003E,C15010F_003EA,C15010F_003M,C15010F_003MA,C15010F_004E,C15010F_004EA,C15010F_004M,C15010F_004MA,C15010F_005E,C15010F_005EA,C15010F_005M,C15010F_005MA,C15010F_006E,C15010F_006EA,C15010F_006M,C15010F_006MA,GEO_ID,NAME,state
2931,null,1179,null,850,null,525,null,392,null,429,null,1134,null,757,null,223,null,201,null,332,null,273,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
22111,null,3077,null,6739,null,1695,null,1387,null,565,null,5697,null,1705,null,3596,null,1297,null,4692,null,1365,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
219148,null,9959,null,80075,null,5290,null,16152,null,2744,null,45426,null,4019,null,20853,null,2493,null,56642,null,4780,null,0400000US06,California,06
14725,null,2374,null,5829,null,1408,null,862,null,484,null,3792,null,1088,null,1213,null,534,null,3029,null,1032,null,0400000US08,Colorado,08
10948,null,2004,null,5266,null,1646,null,267,null,264,null,2084,null,816,null,1118,null,503,null,2213,null,937,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
2472,null,820,null,701,null,378,null,0,null,296,null,490,null,344,null,438,null,347,null,843,null,513,null,0400000US11,District of Columbia,11
44817,null,4244,null,15011,null,2354,null,3440,null,887,null,13259,null,1945,null,4946,null,1307,null,8161,null,1776,null,0400000US12,Florida,12
16401,null,2369,null,6615,null,1538,null,1453,null,802,null,4754,null,1315,null,1719,null,608,null,1860,null,638,null,0400000US13,Georgia,13
2053,null,768,null,638,null,372,null,87,null,146,null,129,null,182,null,295,null,234,null,904,null,593,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
39433,null,3926,null,13759,null,2010,null,4608,null,1418,null,8027,null,1802,null,5595,null,1360,null,7444,null,1497,null,0400000US17,Illinois,17
7264,null,1814,null,2668,null,1032,null,929,null,501,null,1121,null,460,null,1110,null,803,null,1436,null,831,null,0400000US18,Indiana,18
1792,null,753,null,747,null,422,null,396,null,513,null,242,null,202,null,38,null,62,null,369,null,261,null,0400000US19,Iowa,19
3439,null,935,null,859,null,407,null,157,null,156,null,1279,null,506,null,554,null,331,null,590,null,402,null,0400000US20,Kansas,20
2068,null,797,null,638,null,492,null,285,null,301,null,405,null,316,null,286,null,271,null,454,null,319,null,0400000US21,Kentucky,21
3936,null,996,null,1388,null,617,null,237,null,198,null,1335,null,606,null,563,null,334,null,413,null,324,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
15962,null,2666,null,5858,null,1612,null,1671,null,755,null,3930,null,1313,null,2254,null,850,null,2249,null,938,null,0400000US24,Maryland,24
17870,null,3133,null,5775,null,1707,null,1308,null,649,null,4046,null,1359,null,1922,null,749,null,4819,null,1375,null,0400000US25,Massachusetts,25
5745,null,1287,null,2104,null,695,null,622,null,309,null,949,null,424,null,974,null,689,null,1096,null,569,null,0400000US26,Michigan,26
5530,null,1465,null,2367,null,836,null,551,null,317,null,680,null,348,null,633,null,426,null,1299,null,662,null,0400000US27,Minnesota,27
