C17010I_001E,C17010I_001EA,C17010I_001M,C17010I_001MA,C17010I_002E,C17010I_002EA,C17010I_002M,C17010I_002MA,C17010I_003E,C17010I_003EA,C17010I_003M,C17010I_003MA,C17010I_004E,C17010I_004EA,C17010I_004M,C17010I_004MA,C17010I_005E,C17010I_005EA,C17010I_005M,C17010I_005MA,C17010I_006E,C17010I_006EA,C17010I_006M,C17010I_006MA,C17010I_007E,C17010I_007EA,C17010I_007M,C17010I_007MA,C17010I_008E,C17010I_008EA,C17010I_008M,C17010I_008MA,C17010I_009E,C17010I_009EA,C17010I_009M,C17010I_009MA,C17010I_010E,C17010I_010EA,C17010I_010M,C17010I_010MA,C17010I_011E,C17010I_011EA,C17010I_011M,C17010I_011MA,C17010I_012E,C17010I_012EA,C17010I_012M,C17010I_012MA,C17010I_013E,C17010I_013EA,C17010I_013M,C17010I_013MA,C17010I_014E,C17010I_014EA,C17010I_014M,C17010I_014MA,C17010I_015E,C17010I_015EA,C17010I_015M,C17010I_015MA,C17010I_016E,C17010I_016EA,C17010I_016M,C17010I_016MA,C17010I_017E,C17010I_017EA,C17010I_017M,C17010I_017MA,GEO_ID,NAME,state
27684,null,2234,null,8131,null,1543,null,4517,null,1017,null,4396,null,981,null,3614,null,1070,null,702,null,451,null,691,null,448,null,2912,null,972,null,2886,null,974,null,19553,null,2068,null,12516,null,1656,null,8383,null,1325,null,7037,null,1194,null,4332,null,914,null,1922,null,857,null,2705,null,752,null,1614,null,622,null,0400000US01,Alabama,01
7977,null,1007,null,857,null,349,null,63,null,106,null,63,null,106,null,794,null,340,null,37,null,68,null,37,null,68,null,757,null,334,null,757,null,334,null,7120,null,987,null,5511,null,986,null,3318,null,830,null,1609,null,634,null,680,null,473,null,287,null,259,null,929,null,444,null,777,null,424,null,0400000US02,Alaska,02
381668,null,7055,null,87863,null,6064,null,42456,null,4327,null,35899,null,3807,null,45407,null,3755,null,10677,null,1692,null,9376,null,1741,null,34730,null,3454,null,32891,null,3347,null,293805,null,7626,null,204139,null,7285,null,130879,null,5898,null,89666,null,5046,null,33333,null,3475,null,22081,null,3154,null,56333,null,3993,null,39526,null,3806,null,0400000US04,Arizona,04
34925,null,1695,null,11978,null,1617,null,7139,null,1440,null,6276,null,1438,null,4839,null,1087,null,1034,null,521,null,855,null,524,null,3805,null,1008,null,3805,null,1008,null,22947,null,1978,null,17936,null,1854,null,13139,null,1699,null,5011,null,1089,null,2525,null,721,null,1756,null,679,null,2486,null,852,null,1930,null,814,null,0400000US05,Arkansas,05
2679041,null,15940,null,490528,null,10003,null,221578,null,7584,null,192882,null,7231,null,268950,null,8516,null,63118,null,5327,null,55069,null,4505,null,205832,null,6873,null,188502,null,6813,null,2188513,null,17483,null,1507726,null,20273,null,1017527,null,15634,null,680787,null,16588,null,264272,null,10766,null,157474,null,7239,null,416515,null,10840,null,272224,null,8450,null,0400000US06,California,06
208182,null,5166,null,48735,null,3703,null,23543,null,2756,null,19096,null,2539,null,25192,null,3171,null,4177,null,1028,null,3520,null,985,null,21015,null,2768,null,19312,null,2634,null,159447,null,5352,null,115623,null,4956,null,71760,null,3864,null,43824,null,3263,null,17342,null,2168,null,10627,null,1824,null,26482,null,2406,null,18296,null,2241,null,0400000US08,Colorado,08
95523,null,2790,null,22922,null,2210,null,4752,null,1120,null,3926,null,1102,null,18170,null,1821,null,1992,null,684,null,1495,null,672,null,16178,null,1724,null,14053,null,1671,null,72601,null,3118,null,46752,null,2939,null,27833,null,3121,null,25849,null,2158,null,7141,null,1415,null,4134,null,1084,null,18708,null,1917,null,14225,null,1597,null,0400000US09,Connecticut,09
11189,null,1198,null,2341,null,748,null,760,null,467,null,680,null,416,null,1581,null,706,null,228,null,255,null,228,null,255,null,1353,null,604,null,1218,null,587,null,8848,null,1060,null,5901,null,1095,null,4066,null,896,null,2947,null,673,null,1428,null,623,null,413,null,379,null,1519,null,459,null,1184,null,420,null,0400000US10,Delaware,10
8429,null,1225,null,601,null,399,null,198,null,249,null,198,null,249,null,403,null,282,null,184,null,142,null,184,null,142,null,219,null,242,null,219,null,242,null,7828,null,1172,null,4234,null,1007,null,2688,null,800,null,3594,null,925,null,995,null,390,null,594,null,305,null,2599,null,888,null,1102,null,489,null,0400000US11,District of Columbia,11
892223,null,11882,null,140379,null,5568,null,65420,null,4482,null,42985,null,3859,null,74959,null,4667,null,15695,null,2666,null,11885,null,2314,null,59264,null,4438,null,50916,null,4188,null,751844,null,12519,null,539789,null,12053,null,284862,null,9255,null,212055,null,8735,null,70928,null,4849,null,36422,null,3792,null,141127,null,7042,null,85849,null,4947,null,0400000US12,Florida,12
