C18130_001E,C18130_001EA,C18130_001M,C18130_001MA,C18130_002E,C18130_002EA,C18130_002M,C18130_002MA,C18130_003E,C18130_003EA,C18130_003M,C18130_003MA,C18130_004E,C18130_004EA,C18130_004M,C18130_004MA,C18130_005E,C18130_005EA,C18130_005M,C18130_005MA,C18130_006E,C18130_006EA,C18130_006M,C18130_006MA,C18130_007E,C18130_007EA,C18130_007M,C18130_007MA,C18130_008E,C18130_008EA,C18130_008M,C18130_008MA,C18130_009E,C18130_009EA,C18130_009M,C18130_009MA,C18130_010E,C18130_010EA,C18130_010M,C18130_010MA,C18130_011E,C18130_011EA,C18130_011M,C18130_011MA,C18130_012E,C18130_012EA,C18130_012M,C18130_012MA,C18130_013E,C18130_013EA,C18130_013M,C18130_013MA,C18130_014E,C18130_014EA,C18130_014M,C18130_014MA,C18130_015E,C18130_015EA,C18130_015M,C18130_015MA,C18130_016E,C18130_016EA,C18130_016M,C18130_016MA,C18130_017E,C18130_017EA,C18130_017M,C18130_017MA,C18130_018E,C18130_018EA,C18130_018M,C18130_018MA,C18130_019E,C18130_019EA,C18130_019M,C18130_019MA,C18130_020E,C18130_020EA,C18130_020M,C18130_020MA,C18130_021E,C18130_021EA,C18130_021M,C18130_021MA,C18130_022E,C18130_022EA,C18130_022M,C18130_022MA,GEO_ID,NAME,state
4570286,null,2777,null,1113587,null,3610,null,57823,null,3714,null,24342,null,2691,null,33481,null,3261,null,1055764,null,5173,null,250564,null,9907,null,805200,null,10647,null,2832614,null,3592,null,423067,null,9946,null,127531,null,6477,null,295536,null,8562,null,2409547,null,10549,null,331767,null,11596,null,2077780,null,13811,null,624085,null,2739,null,276243,null,6067,null,43037,null,3058,null,233206,null,6002,null,347842,null,5811,null,27319,null,2872,null,320523,null,5475,null,0400000US01,Alabama,01
669435,null,2355,null,180409,null,1614,null,6602,null,1102,null,1058,null,470,null,5544,null,988,null,173807,null,1738,null,22061,null,3115,null,151746,null,3564,null,437933,null,2718,null,48730,null,4999,null,7314,null,1925,null,41416,null,4334,null,389203,null,5240,null,29392,null,2606,null,359811,null,5519,null,51093,null,1407,null,23197,null,1904,null,954,null,382,null,22243,null,1879,null,27896,null,1870,null,701,null,368,null,27195,null,1844,null,0400000US02,Alaska,02
6459484,null,5326,null,1704419,null,4877,null,59606,null,5383,null,15460,null,2458,null,44146,null,4604,null,1644813,null,7166,null,382600,null,16599,null,1262213,null,18408,null,3900989,null,3398,null,379316,null,11020,null,100921,null,7497,null,278395,null,8693,null,3521673,null,11410,null,498592,null,14459,null,3023081,null,15932,null,854076,null,2282,null,312344,null,7615,null,34482,null,3325,null,277862,null,7087,null,541732,null,7667,null,37256,null,3575,null,504476,null,7592,null,0400000US04,Arizona,04
2797577,null,2603,null,696739,null,2678,null,36171,null,3263,null,14226,null,2319,null,21945,null,2625,null,660568,null,4219,null,174972,null,8527,null,485596,null,9258,null,1709013,null,3211,null,277717,null,8941,null,80576,null,5934,null,197141,null,7559,null,1431296,null,9372,null,210415,null,8841,null,1220881,null,13025,null,391825,null,2339,null,174937,null,4885,null,28782,null,2304,null,146155,null,4819,null,216888,null,4956,null,18084,null,1800,null,198804,null,5132,null,0400000US05,Arkansas,05
36088833,null,11483,null,9285210,null,9875,null,265870,null,10961,null,70579,null,4919,null,195291,null,8745,null,9019340,null,16549,null,1776162,null,31882,null,7243178,null,33732,null,22779207,null,7604,null,1845880,null,20627,null,438894,null,12924,null,1406986,null,18123,null,20933327,null,21218,null,2488890,null,32931,null,18444437,null,41615,null,4024416,null,5114,null,1513841,null,15267,null,178782,null,7377,null,1335059,null,15116,null,2510575,null,15272,null,173315,null,6738,null,2337260,null,16689,null,0400000US06,California,06
4892137,null,3619,null,1211884,null,2849,null,37840,null,3606,null,6616,null,1615,null,31224,null,3234,null,1174044,null,4141,null,203882,null,11586,null,970162,null,12058,null,3163611,null,3786,null,256208,null,8292,null,52368,null,4139,null,203840,null,7243,null,2907403,null,8772,null,326403,null,13048,null,2581000,null,14358,null,516642,null,2502,null,179855,null,5062,null,19706,null,2369,null,160149,null,4838,null,336787,null,5145,null,24936,null,2606,null,311851,null,5585,null,0400000US08,Colorado,08
3403567,null,2329,null,799678,null,2127,null,28744,null,2629,null,5855,null,1309,null,22889,null,2256,null,770934,null,3470,null,91038,null,7570,null,679896,null,8758,null,2143898,null,2469,null,183013,null,6862,null,42331,null,3865,null,140682,null,6375,null,1960885,null,7286,null,151630,null,8565,null,1809255,null,10669,null,459991,null,1990,null,146266,null,4645,null,15674,null,1750,null,130592,null,4330,null,313725,null,4577,null,13941,null,2006,null,299784,null,4593,null,0400000US09,Connecticut,09
856425,null,1789,null,203253,null,1500,null,7941,null,1486,null,1952,null,868,null,5989,null,1196,null,195312,null,2216,null,31556,null,5485,null,163756,null,5487,null,531845,null,1554,null,58943,null,4330,null,11735,null,1933,null,47208,null,3759,null,472902,null,4581,null,40098,null,4892,null,432804,null,7523,null,121327,null,1136,null,43825,null,2586,null,4143,null,986,null,39682,null,2457,null,77502,null,2755,null,3733,null,947,null,73769,null,2710,null,0400000US10,Delaware,10
567810,null,1273,null,112536,null,885,null,6757,null,1598,null,3461,null,1295,null,3296,null,1121,null,105779,null,1790,null,29672,null,4490,null,76107,null,4754,null,389510,null,1340,null,41241,null,4203,null,16052,null,2509,null,25189,null,3085,null,348269,null,4368,null,45709,null,4241,null,302560,null,6509,null,65764,null,1189,null,23971,null,1726,null,5651,null,1085,null,18320,null,1558,null,41793,null,2215,null,3955,null,1017,null,37838,null,2226,null,0400000US11,District of Columbia,11
18070029,null,6455,null,3994164,null,7309,null,145302,null,6648,null,43260,null,4231,null,102042,null,5473,null,3848862,null,10346,null,808543,null,22729,null,3040319,null,23036,null,10957460,null,10121,null,1069420,null,19399,null,275469,null,10639,null,793951,null,16543,null,9888040,null,22558,null,1262502,null,24806,null,8625538,null,31359,null,3118405,null,8168,null,1106521,null,17507,null,142828,null,8263,null,963693,null,16463,null,2011884,null,16856,null,174726,null,7810,null,1837158,null,16170,null,0400000US12,Florida,12
9485463,null,8128,null,2544732,null,5787,null,93421,null,6013,null,26750,null,3478,null,66671,null,4851,null,2451311,null,8153,null,541574,null,19117,null,1909737,null,18441,null,5965654,null,7989,null,615190,null,14900,null,169249,null,8699,null,445941,null,12273,null,5350464,null,15845,null,720180,null,18764,null,4630284,null,23483,null,975077,null,4009,null,386146,null,7396,null,60772,null,3496,null,325374,null,6806,null,588931,null,7465,null,54899,null,4008,null,534032,null,7920,null,0400000US13,Georgia,13
1223281,null,4350,null,284248,null,2042,null,6338,null,1365,null,1225,null,684,null,5113,null,1207,null,277910,null,2399,null,38016,null,4420,null,239894,null,4809,null,758418,null,4335,null,58447,null,3868,null,12505,null,1786,null,45942,null,3831,null,699971,null,5085,null,65243,null,5629,null,634728,null,7175,null,180615,null,2101,null,65157,null,2713,null,7180,null,1225,null,57977,null,2716,null,115458,null,3238,null,6005,null,1075,null,109453,null,3377,null,0400000US15,Hawaii,15
1507239,null,1793,null,413719,null,1978,null,13596,null,1760,null,3753,null,1095,null,9843,null,1423,null,400123,null,2630,null,71255,null,6052,null,328868,null,6514,null,915113,null,2501,null,99131,null,5085,null,23019,null,3269,null,76112,null,4677,null,815982,null,5125,null,103144,null,6189,null,712838,null,8193,null,178407,null,2008,null,68016,null,2687,null,7497,null,1196,null,60519,null,2794,null,110391,null,2678,null,7399,null,1247,null,102992,null,2653,null,0400000US16,Idaho,16
12559019,null,4962,null,3130850,null,5106,null,101838,null,5224,null,30041,null,3249,null,71797,null,4381,null,3029012,null,6951,null,561357,null,20412,null,2467655,null,20831,null,7910823,null,5617,null,634588,null,13431,null,159123,null,7216,null,475465,null,12344,null,7276235,null,13670,null,794913,null,21722,null,6481322,null,22195,null,1517346,null,4915,null,542260,null,8804,null,68566,null,3989,null,473694,null,9046,null,975086,null,8394,null,62829,null,4410,null,912257,null,8092,null,0400000US17,Illinois,17
6221842,null,3733,null,1558703,null,4055,null,69037,null,4441,null,22082,null,2632,null,46955,null,3264,null,1489666,null,6497,null,288949,null,12536,null,1200717,null,14541,null,3878928,null,4477,null,424293,null,10509,null,110975,null,5762,null,313318,null,8541,null,3454635,null,10623,null,412969,null,12714,null,3041666,null,16206,null,784211,null,3269,null,298914,null,5726,null,33064,null,2898,null,265850,null,5189,null,485297,null,6148,null,28720,null,2773,null,456577,null,6489,null,0400000US18,Indiana,18
2901855,null,2330,null,697160,null,2545,null,28206,null,2705,null,8012,null,1611,null,20194,null,2181,null,668954,null,3640,null,101411,null,6859,null,567543,null,7599,null,1790092,null,2917,null,166535,null,6061,null,39837,null,3789,null,126698,null,5380,null,1623557,null,5917,null,163177,null,6786,null,1460380,null,7906,null,414603,null,2313,null,139313,null,3785,null,14483,null,1580,null,124830,null,3430,null,275290,null,4233,null,15897,null,1848,null,259393,null,3987,null,0400000US19,Iowa,19
2716687,null,3152,null,689021,null,2992,null,29021,null,2573,null,8612,null,1646,null,20409,null,2210,null,660000,null,4028,null,112783,null,8372,null,547217,null,9190,null,1685626,null,3121,null,176472,null,6538,null,45304,null,3735,null,131168,null,5805,null,1509154,null,6945,null,171188,null,7296,null,1337966,null,8534,null,342040,null,1941,null,129953,null,4234,null,15071,null,1725,null,114882,null,3855,null,212087,null,4690,null,11753,null,1461,null,200334,null,4685,null,0400000US20,Kansas,20
4172902,null,3753,null,997930,null,4212,null,58177,null,4499,null,23438,null,2931,null,34739,null,3186,null,939753,null,5787,null,231978,null,11368,null,707775,null,11265,null,2630836,null,3657,null,413724,null,11007,null,138056,null,6779,null,275668,null,9974,null,2217112,null,11461,null,314181,null,12382,null,1902931,null,13943,null,544136,null,2417,null,238288,null,5157,null,40015,null,3217,null,198273,null,4797,null,305848,null,5393,null,28920,null,2708,null,276928,null,5729,null,0400000US21,Kentucky,21
