B06002_004E,B06002_004M,B06002_005E,B06002_005M,GEO_ID,B06002_001E,B06002_001M,B06002_002E,B06002_002M,B06002_003E,B06002_003M,B06002_004MA,B06002_004EA,B06002_005EA,B06002_005MA,NAME,B06002_001MA,B06002_001EA,B06002_002MA,B06002_002EA,B06002_003EA,B06002_003MA,state
37.3,2.6,33.6,1.0,0400000US01,37.8,0.2,35.6,0.3,42.8,0.5,null,null,null,null,Alabama,null,null,null,null,null,null,01
32.2,4.3,43.7,1.7,0400000US02,33.8,0.3,18.7,0.4,43.7,0.6,null,null,null,null,Alaska,null,null,null,null,null,null,02
34.1,1.9,40.7,0.5,0400000US04,35.9,0.1,17.8,0.2,48.7,0.3,null,null,null,null,Arizona,null,null,null,null,null,null,04
29.6,6.1,35.0,1.2,0400000US05,37.3,0.2,33.1,0.4,44.2,0.5,null,null,null,null,Arkansas,null,null,null,null,null,null,05
39.1,0.7,43.0,0.1,0400000US06,35.2,0.1,22.3,0.2,53.1,0.2,null,null,null,null,California,null,null,null,null,null,null,06
35.4,1.8,37.8,0.5,0400000US08,36.0,0.2,22.5,0.3,45.4,0.3,null,null,null,null,Colorado,null,null,null,null,null,null,08
42.6,1.5,42.4,0.5,0400000US09,40.0,0.1,32.7,0.5,47.6,0.5,null,null,null,null,Connecticut,null,null,null,null,null,null,09
33.2,9.1,38.5,1.1,0400000US10,38.8,0.3,27.8,0.8,47.0,0.7,null,null,null,null,Delaware,null,null,null,null,null,null,10
32.9,3.2,38.3,1.4,0400000US11,33.9,0.2,26.5,0.7,35.5,0.5,null,null,null,null,District of Columbia,null,null,null,null,null,null,11
40.7,0.8,45.5,0.2,0400000US12,40.7,0.1,20.0,0.2,52.2,0.2,null,null,null,null,Florida,null,null,null,null,null,null,12
35.1,1.9,37.2,0.3,0400000US13,35.4,0.2,28.4,0.3,41.9,0.2,null,null,null,null,Georgia,null,null,null,null,null,null,13
33.5,3.3,47.5,0.9,0400000US15,38.7,0.2,32.2,0.7,41.0,0.8,null,null,null,null,Hawaii,null,null,null,null,null,null,15
36.7,6.0,37.7,1.4,0400000US16,34.7,0.2,24.6,0.5,43.3,0.6,null,null,null,null,Idaho,null,null,null,null,null,null,16
42.5,1.4,41.0,0.3,0400000US17,36.6,0.1,31.4,0.2,45.9,0.3,null,null,null,null,Illinois,null,null,null,null,null,null,17
33.6,2.5,36.0,0.6,0400000US18,36.9,0.2,33.3,0.3,44.7,0.4,null,null,null,null,Indiana,null,null,null,null,null,null,18
29.4,5.0,35.2,1.0,0400000US19,38.2,0.2,37.8,0.3,40.2,0.6,null,null,null,null,Iowa,null,null,null,null,null,null,19
32.7,2.4,37.1,0.7,0400000US20,36.2,0.2,31.0,0.3,42.4,0.6,null,null,null,null,Kansas,null,null,null,null,null,null,20
