GEO_ID,B08528_001E,B08528_001M,B08528_002E,B08528_002M,B08528_003E,B08528_003M,B08528_004E,B08528_004M,B08528_005E,B08528_005M,B08528_006E,B08528_006M,B08528_007E,B08528_007M,B08528_008E,B08528_008M,B08528_009E,B08528_009M,B08528_010E,B08528_010M,B08528_011E,B08528_011M,B08528_012E,B08528_012M,B08528_013E,B08528_013M,B08528_014E,B08528_014M,B08528_015E,B08528_015M,B08528_016E,B08528_016M,B08528_017E,B08528_017M,B08528_018E,B08528_018M,B08528_019E,B08528_019M,B08528_020E,B08528_020M,B08528_021E,B08528_021M,B08528_022E,B08528_022M,B08528_023E,B08528_023M,B08528_024E,B08528_024M,B08528_025E,B08528_025M,B08528_026E,B08528_026M,B08528_027E,B08528_027M,B08528_028E,B08528_028M,B08528_029E,B08528_029M,B08528_030E,B08528_030M,B08528_031E,B08528_031M,B08528_032E,B08528_032M,B08528_033E,B08528_033M,B08528_034E,B08528_034M,B08528_035E,B08528_035M,B08528_036E,B08528_036M,B08528_037E,B08528_037M,B08528_038E,B08528_038M,B08528_039E,B08528_039M,B08528_040E,B08528_040M,B08528_041E,B08528_041M,B08528_042E,B08528_042M,B08528_043E,B08528_043M,B08528_044E,B08528_044M,B08528_045E,B08528_045M,B08528_046E,B08528_046M,B08528_047E,B08528_047M,B08528_048E,B08528_048M,B08528_049E,B08528_049M,B08528_050E,B08528_050M,B08528_051E,B08528_051M,B08528_052E,B08528_052M,B08528_053E,B08528_053M,B08528_054E,B08528_054M,B08528_055E,B08528_055M,B08528_056E,B08528_056M,B08528_057E,B08528_057M,B08528_058E,B08528_058M,B08528_059E,B08528_059M,B08528_060E,B08528_060M,B08528_061E,B08528_061M,B08528_062E,B08528_062M,B08528_063E,B08528_063M,B08528_064E,B08528_064M,B08528_065E,B08528_065M,B08528_066E,B08528_066M,B08528_067E,B08528_067M,B08528_068E,B08528_068M,B08528_069E,B08528_069M,B08528_070E,B08528_070M,NAME,B08528_001EA,B08528_001MA,B08528_002MA,B08528_002EA,B08528_003MA,B08528_003EA,B08528_004MA,B08528_004EA,B08528_005MA,B08528_005EA,B08528_006MA,B08528_006EA,B08528_007EA,B08528_007MA,B08528_008MA,B08528_008EA,B08528_009MA,B08528_009EA,B08528_010EA,B08528_010MA,B08528_011MA,B08528_011EA,B08528_012EA,B08528_012MA,B08528_013EA,B08528_013MA,B08528_014MA,B08528_014EA,B08528_015MA,B08528_015EA,B08528_016EA,B08528_016MA,B08528_017MA,B08528_017EA,B08528_018EA,B08528_018MA,B08528_019EA,B08528_019MA,B08528_020MA,B08528_020EA,B08528_021EA,B08528_021MA,B08528_022EA,B08528_022MA,B08528_023EA,B08528_023MA,B08528_024EA,B08528_024MA,B08528_025EA,B08528_025MA,B08528_026MA,B08528_026EA,B08528_027EA,B08528_027MA,B08528_028EA,B08528_028MA,B08528_029EA,B08528_029MA,B08528_030MA,B08528_030EA,B08528_031MA,B08528_031EA,B08528_032MA,B08528_032EA,B08528_033EA,B08528_033MA,B08528_034EA,B08528_034MA,B08528_035EA,B08528_035MA,B08528_036MA,B08528_036EA,B08528_037MA,B08528_037EA,B08528_038MA,B08528_038EA,B08528_039EA,B08528_039MA,B08528_040EA,B08528_040MA,B08528_041MA,B08528_041EA,B08528_042MA,B08528_042EA,B08528_043MA,B08528_043EA,B08528_044MA,B08528_044EA,B08528_045EA,B08528_045MA,B08528_046MA,B08528_046EA,B08528_047EA,B08528_047MA,B08528_048MA,B08528_048EA,B08528_049MA,B08528_049EA,B08528_050MA,B08528_050EA,B08528_051EA,B08528_051MA,B08528_052EA,B08528_052MA,B08528_053MA,B08528_053EA,B08528_054EA,B08528_054MA,B08528_055MA,B08528_055EA,B08528_056EA,B08528_056MA,B08528_057EA,B08528_057MA,B08528_058MA,B08528_058EA,B08528_059MA,B08528_059EA,B08528_060EA,B08528_060MA,B08528_061EA,B08528_061MA,B08528_062MA,B08528_062EA,B08528_063MA,B08528_063EA,B08528_064MA,B08528_064EA,B08528_065MA,B08528_065EA,B08528_066MA,B08528_066EA,B08528_067EA,B08528_067MA,B08528_068MA,B08528_068EA,B08528_069MA,B08528_069EA,B08528_070MA,B08528_070EA,state
0400000US01,1916877,16226,1350613,14032,1290830,13929,59783,4412,125769,5661,143611,6471,110231,5845,79745,4503,105046,5498,1862,760,1618851,17986,1150632,15393,1102758,15243,47874,3867,107232,5308,127715,6246,90471,5358,70332,4203,71628,4211,841,446,192542,9035,139721,7416,135863,7384,3858,1022,11164,1700,12886,1917,12513,2062,4742,1189,11123,2187,393,339,7463,1907,5094,1726,4886,1669,208,250,574,328,345,206,861,489,75,121,514,391,0,273,25728,2888,12818,2034,11868,1913,950,554,3008,1265,1174,627,3205,1428,2258,943,3249,831,16,30,16511,1796,11854,1614,11146,1508,708,434,842,448,631,369,1168,540,463,382,1553,606,0,273,55782,4508,30494,2999,24309,2937,6185,1121,2949,1056,860,451,2013,933,1875,913,16979,2599,612,435,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,352044,6246,191817,6157,181472,6223,10345,1857,31778,2876,30206,2749,31745,2476,46096,3738,19426,2064,976,681,232190,5902,124846,4904,119219,4977,5627,1069,21207,2230,19606,2243,21986,2197,34822,3762,9420,1259,303,320,46425,4348,25538,2969,24474,2917,1064,645,4379,1153,4491,1094,4145,1067,6543,1627,1174,508,155,173,4244,1067,2636,863,2636,863,0,273,225,155,345,227,646,438,392,288,0,273,0,273,27825,2460,16064,1981,15177,2008,887,456,2589,549,3559,668,2084,595,1868,872,1537,559,124,132,22555,2286,12908,1902,12847,1898,61,49,2514,705,1900,418,1999,902,1170,458,2055,710,9,15,18805,3141,9825,2028,7119,1618,2706,1043,864,438,305,172,885,498,1301,1679,5240,1005,385,526,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2600823,20960,1851503,20920,1755818,20343,95685,5708,171041,7521,205050,7331,119187,5968,97129,5788,154008,7715,2905,949,1990105,19952,1436366,18446,1376205,17703,60161,4601,134549,6247,166490,6428,88449,4945,76728,4866,86610,6123,913,435,303210,11319,219783,9567,211825,9578,7958,1793,17907,2558,23419,2777,16672,2488,10199,2254,14588,2293,642,387,45794,4266,33529,3640,32812,3610,717,455,3165,1001,3177,946,2512,724,1984,635,1427,774,0,273,51919,4588,33389,3844,31602,3679,1787,894,3354,1194,4653,996,2999,869,3276,1633,4117,1084,131,154,58906,5103,40468,4314,38886,4311,1582,783,4177,1220,4438,1186,5276,1260,2329,1115,2058,661,160,264,150889,6705,87968,4903,64488,4178,23480,2902,7889,2636,2873,855,3279,774,2613,1027,45208,3941,1059,661,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1223069,12450,843571,12447,804833,12694,38738,3340,84627,4630,74610,3922,104094,4460,37629,3349,76597,4408,1941,671,1003617,12336,706463,11851,675463,11816,31000,3160,67692,3929,61274,3571,87083,4519,32675,2679,47093,3503,1337,629,138865,6039,94742,5757,91724,5613,3018,1014,9841,1466,10291,1711,11044,1824,3602,1127,9263,1684,82,127,5633,1628,3662,1262,3662,1262,0,273,115,148,536,463,806,545,396,362,118,152,0,273,22111,2903,11411,1929,10699,1891,712,411,2551,1150,879,434,2404,830,601,453,4204,1223,61,102,16584,2695,11917,2286,11416,2265,501,389,692,413,935,450,904,466,146,152,1940,877,50,88,36259,3465,15376,2233,11869,1949,3507,857,3736,1793,695,408,1853,829,209,272,13979,2321,411,242,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15926651,47686,11065192,44895,10522222,45273,542970,12686,1050890,18114,1297307,19410,670291,17193,495771,12253,1324447,23877,22753,3203,11656106,49778,8244857,45209,7881752,44461,363105,11071,768455,15122,1038611,17334,465389,11911,356897,10826,770814,15517,11083,1745,1832747,24538,1298985,21199,1244065,20532,54920,4277,116625,4993,130731,6326,75606,6433,62147,4439,143800,7542,4853,1548,818537,17719,597583,15131,590945,15336,6638,1303,64313,4190,50285,3086,41879,3191,20224,2612,43917,4254,336,285,429468,13296,277641,11382,266573,11634,11068,1939,37064,3573,27407,2502,24951,2744,25041,3178,37111,3761,253,211,365488,10965,257805,9086,250354,9020,7451,1207,28160,3299,19366,2424,23182,2850,10819,1511,25682,2964,474,376,824305,17515,388321,11484,288533,9647,99788,6228,36273,5150,30907,2894,39284,4603,20643,4076,303123,11298,5754,1506,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2417222,16499,1678902,14728,1556236,14140,122666,5945,178694,6588,180978,6370,98241,6026,106222,5321,170973,7009,3212,1366,1827849,17445,1287052,15055,1211238,14825,75814,4903,141471,6686,149696,5840,71210,4596,80108,4965,96407,4851,1905,1183,242244,10488,170675,8725,160415,8070,10260,1605,15204,2133,19351,2485,10767,1758,9202,1771,16526,2064,519,436,70619,4737,53155,4425,52797,4466,358,270,4470,1170,3160,887,3855,921,4290,940,1689,799,0,273,71554,5454,42186,4286,40260,4149,1926,640,5478,1540,2671,651,5436,1273,10203,2091,5334,1431,246,297,49824,3931,31817,2827,29062,2776,2755,875,3798,1050,3025,736,5309,1691,1385,584,4365,1352,125,207,155132,7501,94017,5517,62464,4178,31553,3398,8273,1442,3075,1022,1664,657,1034,464,46652,3154,417,300,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1696736,11314,1182164,13667,1124893,12705,57271,3395,165984,7262,131025,6177,73710,3967,32921,2662,109259,5634,1673,800,1366668,13478,955912,14047,911677,13010,44235,3086,134071,6756,117625,5273,62393,3545,26091,2669,69585,4032,991,702,137517,6829,100269,6394,97918,6219,2351,810,12391,1785,6106,1181,5146,1276,2541,886,10938,2234,126,145,59778,5478,48032,4902,47668,4886,364,220,5815,1219,2870,1569,1611,684,259,189,1191,677,0,273,47394,3604,27354,2770,26236,2827,1118,534,8677,1582,2906,928,2969,978,2522,867,2662,739,304,256,18164,2643,14424,2404,13505,2324,919,735,1585,674,527,290,475,477,376,389,736,323,41,68,67215,4129,36173,2701,27889,2580,8284,1175,3445,882,991,496,1116,648,1132,625,24147,2556,211,186,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,412806,8922,296796,8169,282093,7981,14703,2014,37681,3007,15141,1824,35601,3030,11420,1673,16026,2140,141,140,337223,8567,242192,7471,232675,7389,9517,1492,31833,2813,13562,1742,30053,2779,10308,1548,9197,1677,78,94,36609,3271,26199,2617,25019,2489,1180,524,3092,859,1243,534,3514,1104,1059,500,1502,622,0,273,10651,2004,8826,1898,8710,1905,116,98,653,392,13,25,1112,539,0,273,47,80,0,273,8818,1773,6473,1530,5790,1500,683,557,1239,521,145,142,607,407,0,273,354,228,0,273,4743,1124,3704,1010,3060,983,644,497,242,164,105,107,77,120,0,273,615,507,0,273,14762,1986,9402,1586,6839,1310,2563,928,622,283,73,78,238,194,53,89,4311,1088,63,104,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,784987,13175,346421,9867,329890,9378,16531,2409,122944,7085,34686,3308,13630,2484,242497,7108,24270,2296,539,473,348253,8747,158004,5828,149043,5495,8961,1649,49684,4519,19552,2584,6820,1511,102266,4859,11574,1686,353,423,84560,5382,34341,3516,32014,3335,2327,778,13830,2346,3728,1207,1284,638,29854,2898,1523,563,0,273,282506,9040,121269,6897,118439,6669,2830,1008,46798,3831,9149,1669,4672,1566,96769,4684,3778,908,71,117,35858,3583,17558,2371,16858,2450,700,460,8160,1386,828,416,568,331,7529,1743,1215,467,0,273,18940,2808,8887,2189,8733,2168,154,169,3179,952,1020,608,286,211,4302,962,1266,583,0,273,14870,2071,6362,1400,4803,1183,1559,707,1293,498,409,409,0,273,1777,915,4914,1217,115,184,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7821529,28945,5766710,33611,5312735,33425,453975,11671,492767,12881,608705,13355,250891,9684,234450,7888,458681,13160,9325,1853,6259890,33694,4634357,35198,4316563,34482,317794,10534,407390,10325,535243,12974,208006,9256,187722,6050,281938,11031,5234,1405,754965,18840,564664,17339,519142,15894,45522,4522,47351,3706,52707,3608,25108,3318,18993,2340,44073,4174,2069,814,158874,10822,123538,9997,121582,9953,1956,711,7511,2163,5658,1221,4449,1314,4095,1817,13568,2638,55,94,127943,9924,95311,8926,88920,8642,6391,1339,9779,1655,4133,1251,3775,1132,4650,1490,10027,1935,268,241,157026,9013,122372,8507,114904,8029,7468,1664,8039,1543,6402,1326,4651,1214,4315,1376,10811,2000,436,369,362831,11267,226468,8468,151624,6905,74844,4786,12697,2105,4562,1261,4902,1296,14675,2752,98264,5609,1263,553,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
