B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004MA,B15002A_005MA,B15002A_005EA,B15002A_006MA,B15002A_006EA,B15002A_007EA,B15002A_007MA,B15002A_008EA,B15002A_008MA,B15002A_009EA,B15002A_009MA,B15002A_010MA,B15002A_010EA,B15002A_011EA,B15002A_011MA,B15002A_012MA,B15002A_012EA,B15002A_013EA,B15002A_013MA,B15002A_014MA,B15002A_014EA,B15002A_015EA,B15002A_015MA,B15002A_016EA,B15002A_016MA,B15002A_017EA,B15002A_017MA,B15002A_018MA,B15002A_018EA,B15002A_019MA,B15002A_019EA,NAME,B15002A_001MA,B15002A_001EA,B15002A_002EA,B15002A_002MA,B15002A_003MA,B15002A_003EA,B15002A_004EA,state
4721,265114,7307,73173,4240,239625,6969,69136,3874,177478,6057,98212,4528,1191454,2721,60933,4178,121390,6236,303442,8406,65203,3902,264369,7411,98415,4749,178833,6426,98869,4215,0400000US01,2299315,4337,1107861,3220,69828,4101,115295,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,01
1611,35843,2804,8482,1307,52417,2839,13348,1651,33317,2909,20480,2073,153578,1021,1318,588,5569,964,25473,2076,5000,1201,47569,2713,15834,1623,35320,2516,17495,2113,0400000US02,329119,2022,175541,1637,3017,830,8637,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,02
6277,325053,10299,82331,5181,439973,8784,129692,5889,313000,8026,167771,6714,1754482,7154,93074,4407,120305,6988,387181,9283,55049,3801,495463,9104,149099,6036,292759,7600,161552,6223,0400000US04,3430400,13522,1675918,7533,91046,6027,127052,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,04
4318,215597,5800,48533,3180,171217,6412,39782,3148,109801,4924,51900,3244,806626,3302,41867,2859,75974,4409,231743,6321,49380,3326,186060,5110,59208,3619,108463,4645,53931,3896,0400000US05,1566119,4988,759493,3281,47403,3097,75260,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,05
12149,1390253,18286,210772,8776,1759757,18798,555144,11944,1494487,19028,969190,13788,7952404,20407,692153,14043,588901,12431,1542524,17000,141348,6071,1921773,23665,677778,13338,1520562,16891,867365,12094,0400000US06,15658440,40764,7706036,23590,665251,15784,661182,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,06
4585,255716,7077,63389,3788,311379,8836,102029,5055,349368,8118,204180,6348,1452207,5172,41527,3192,70839,5245,275073,7336,44756,3471,336790,7590,123560,5427,367537,7992,192125,6133,0400000US08,2860835,8900,1408628,5494,47031,3483,75536,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,08
3090,232685,7213,31084,2518,161083,5501,59062,3712,209010,5850,159502,5723,1040057,3300,34563,3053,53194,3594,260513,7496,26729,2169,190536,6022,88675,4479,214361,5609,171486,5952,0400000US09,1982708,6577,942651,4007,34750,3158,55475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,09
1670,60904,3234,8680,1283,43026,2787,14154,1660,36471,2565,26014,2336,234528,1429,7162,1367,17406,2121,71972,3376,7156,1277,45621,2966,19304,2163,41653,2871,24254,1923,0400000US10,448683,2331,214155,1385,8059,1737,16847,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,10
779,3615,1288,522,291,6163,1452,1911,747,30518,2132,41468,2256,86843,1388,3422,1298,1271,615,2694,806,173,172,7379,1546,1897,803,31867,1919,38140,2399,0400000US11,176658,2310,89815,1352,4008,1190,1610,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,11
11663,1219802,14964,249865,8699,1049625,15113,393388,10847,910239,13189,541129,10436,5436705,10448,244550,9201,395236,11510,1495791,16837,186839,7188,1192825,14882,515629,12383,928780,13625,477055,8773,0400000US12,10483828,19750,5047123,12019,259783,9519,423292,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,12
