GEO_ID,B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,NAME,B15003_001MA,B15003_001EA,B15003_002MA,B15003_002EA,B15003_003EA,B15003_003MA,B15003_004EA,B15003_004MA,B15003_005MA,B15003_005EA,B15003_006MA,B15003_006EA,B15003_007EA,B15003_007MA,B15003_008EA,B15003_008MA,B15003_009MA,B15003_009EA,B15003_010EA,B15003_010MA,B15003_011MA,B15003_011EA,B15003_012EA,B15003_012MA,B15003_013EA,B15003_013MA,B15003_014EA,B15003_014MA,B15003_015EA,B15003_015MA,B15003_016EA,B15003_016MA,B15003_017EA,B15003_017MA,B15003_018EA,B15003_018MA,B15003_019EA,B15003_019MA,B15003_020EA,B15003_020MA,B15003_021MA,B15003_021EA,B15003_022MA,B15003_022EA,B15003_023EA,B15003_023MA,B15003_024EA,B15003_024MA,B15003_025MA,B15003_025EA,state
0400000US01,3161521,5158,40249,3511,573,445,991,577,1396,666,3878,1243,7237,1809,6039,1316,10277,1758,36860,3968,30666,3168,57400,3754,85583,5496,110592,6044,114331,5765,58804,3866,817024,13558,171181,6132,184787,7254,505576,9912,225382,6873,439863,10393,182474,6578,42102,3349,28256,2760,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,450577,1719,2517,882,85,102,125,146,346,297,289,184,845,361,492,224,1265,536,2141,535,956,410,3647,856,5901,1158,6163,1273,10138,2050,5466,1212,92880,4182,21175,2412,33437,2674,99780,4184,37106,3084,83346,4531,30697,3027,7333,1274,4447,994,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4146758,3096,46086,3665,458,347,326,216,3557,1116,8217,1920,15958,2402,12464,2459,14475,2086,70578,4771,20388,3218,68954,4971,72454,4825,85910,6203,100626,5529,74900,6144,872239,15682,167958,7820,319403,9657,780822,14254,336950,10590,691889,12456,269415,8727,66393,4436,46338,3764,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1919422,5349,23942,2405,128,152,147,172,1435,762,2512,732,5729,1319,5106,1286,5598,1096,19432,2656,16062,2400,41413,3074,50650,3700,55195,4260,67528,4698,32547,2328,553179,10228,110897,5318,131402,5568,300791,9523,121711,5639,252888,7626,86916,5011,22130,2571,12084,2021,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24097200,5727,573519,13956,3313,769,8932,1515,38140,3651,94368,5436,185415,9317,130510,7290,160883,7301,852521,19090,140356,6513,346994,10581,528694,13861,418000,10727,561538,13215,606859,14343,4496875,28626,515538,13714,1396739,17143,3955068,37431,1831667,22679,4610875,35245,1750623,20483,543242,11623,346531,9906,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3328045,3818,24450,2647,163,192,354,234,1423,592,4397,1291,8644,1569,6229,1291,7650,1546,37045,3909,13623,2071,37928,3664,45006,3753,49679,4333,58072,3795,48769,3908,629426,11444,129900,5970,221119,7124,532205,12757,260733,7984,779055,13090,312761,8272,69802,4802,49612,3932,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2434383,1628,20220,2710,64,106,206,200,1015,522,3860,1204,5227,1475,7170,1484,7563,1647,20565,3023,12700,2144,33324,3155,33208,3449,43703,3805,50186,4306,37997,2915,609078,12591,78540,3930,136644,5151,294767,8549,173047,5995,491990,10983,265228,8889,68795,3674,39286,3447,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,600779,1136,5324,1372,24,42,20,32,399,357,623,499,1028,583,1448,738,1446,749,4784,1703,850,366,7147,1617,10596,1523,15062,2381,17269,2132,8101,1395,174852,5515,21307,2126,37337,3066,82708,4567,43386,3567,99400,4591,45974,3071,12072,1878,9622,1413,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,416824,662,5056,1497,0,292,0,292,623,491,854,429,864,529,1275,568,1888,741,3234,1037,2516,707,3358,1030,6324,1618,9632,1658,10137,1659,6631,1225,71709,4425,12860,2021,12360,1724,45342,3822,13337,2120,96573,4026,63707,3897,33654,2991,14890,1749,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13077179,7576,174312,8673,2897,917,2515,987,9534,2126,20661,2945,41458,4160,33092,3701,52050,5212,174762,10666,72143,5212,167587,7221,229795,8222,295840,12221,315745,11620,306660,10992,3373011,28242,543573,12826,863171,15817,1905622,24688,1121500,20494,2171876,24885,810726,12729,254682,9794,133967,5475,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
