GEO_ID,B17007_001E,B17007_001M,B17007_002E,B17007_002M,B17007_003E,B17007_003M,B17007_004E,B17007_004M,B17007_005E,B17007_005M,B17007_006E,B17007_006M,B17007_007E,B17007_007M,B17007_008E,B17007_008M,B17007_009E,B17007_009M,B17007_010E,B17007_010M,B17007_011E,B17007_011M,B17007_012E,B17007_012M,B17007_013E,B17007_013M,B17007_014E,B17007_014M,B17007_015E,B17007_015M,B17007_016E,B17007_016M,B17007_017E,B17007_017M,B17007_018E,B17007_018M,B17007_019E,B17007_019M,B17007_020E,B17007_020M,B17007_021E,B17007_021M,B17007_022E,B17007_022M,B17007_023E,B17007_023M,B17007_024E,B17007_024M,B17007_025E,B17007_025M,B17007_026E,B17007_026M,B17007_027E,B17007_027M,B17007_028E,B17007_028M,B17007_029E,B17007_029M,B17007_030E,B17007_030M,B17007_031E,B17007_031M,B17007_032E,B17007_032M,B17007_033E,B17007_033M,B17007_034E,B17007_034M,B17007_035E,B17007_035M,B17007_036E,B17007_036M,B17007_037E,B17007_037M,B17007_038E,B17007_038M,B17007_039E,B17007_039M,B17007_040E,B17007_040M,B17007_041E,B17007_041M,B17007_042E,B17007_042M,B17007_043E,B17007_043M,NAME,B17007_001MA,B17007_001EA,B17007_002MA,B17007_002EA,B17007_003EA,B17007_003MA,B17007_004MA,B17007_004EA,B17007_005EA,B17007_005MA,B17007_006MA,B17007_006EA,B17007_007MA,B17007_007EA,B17007_008MA,B17007_008EA,B17007_009EA,B17007_009MA,B17007_010EA,B17007_010MA,B17007_011MA,B17007_011EA,B17007_012MA,B17007_012EA,B17007_013MA,B17007_013EA,B17007_014EA,B17007_014MA,B17007_015MA,B17007_015EA,B17007_016EA,B17007_016MA,B17007_017EA,B17007_017MA,B17007_018MA,B17007_018EA,B17007_019EA,B17007_019MA,B17007_020EA,B17007_020MA,B17007_021MA,B17007_021EA,B17007_022MA,B17007_022EA,B17007_023EA,B17007_023MA,B17007_024MA,B17007_024EA,B17007_025MA,B17007_025EA,B17007_026EA,B17007_026MA,B17007_027MA,B17007_027EA,B17007_028EA,B17007_028MA,B17007_029EA,B17007_029MA,B17007_030MA,B17007_030EA,B17007_031EA,B17007_031MA,B17007_032MA,B17007_032EA,B17007_033MA,B17007_033EA,B17007_034EA,B17007_034MA,B17007_035MA,B17007_035EA,B17007_036MA,B17007_036EA,B17007_037MA,B17007_037EA,B17007_038EA,B17007_038MA,B17007_039MA,B17007_039EA,B17007_040MA,B17007_040EA,B17007_041EA,B17007_041MA,B17007_042MA,B17007_042EA,B17007_043EA,B17007_043MA,state
0400000US01,783029,15528,238516,8212,103962,5503,815,532,1298,564,26190,3095,16819,2488,13052,1907,19544,2412,15414,1934,6374,1286,4456,806,134554,5971,401,319,1119,653,30919,3177,15666,2151,11762,1794,21795,2467,20132,2055,13248,1626,19512,1867,544513,12460,266319,7909,0,273,17,33,22217,2895,60169,4510,45363,3150,47773,3347,44650,3069,25987,2345,20143,1868,278194,7725,0,273,0,273,16987,2567,35916,3496,26084,2582,40198,2974,50348,3413,47788,2713,60873,2633,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,143259,6751,26994,2843,12592,1599,98,100,154,135,3226,1010,2159,706,1965,753,2291,589,2114,669,569,475,16,32,14402,2535,62,108,665,442,4657,1747,2680,892,972,434,2368,744,1489,553,925,484,584,298,116265,6335,66964,4210,0,246,0,246,6883,1336,16253,2064,9630,1397,15676,2100,12142,1586,4169,890,2211,582,49301,3616,0,246,0,246,4061,1011,8434,1182,4443,1123,13000,1567,9687,1478,5528,982,4148,892,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1187456,17540,322097,11713,155343,8749,1116,553,1760,850,41780,4518,28392,3298,23369,2648,26306,3150,19984,2874,7155,1415,5481,1350,166754,7115,1177,617,3583,1076,44326,4124,25998,3165,18727,2663,23581,3216,23215,2635,11857,1919,14290,1859,865359,13728,449240,10221,0,305,366,326,47165,4495,108789,6403,78278,4452,77811,4629,62973,3732,38229,2956,35629,3195,416119,9333,0,305,0,305,31473,2998,67506,5197,41583,3776,60641,3937,75832,3387,62670,3208,76414,3784,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,486409,12063,154745,7380,68860,4361,612,495,1858,727,19058,2217,12946,2547,8269,1671,10942,1445,9599,1699,2731,847,2845,645,85885,5368,384,326,1404,704,21834,2901,10586,1916,7042,1496,11367,1828,12373,1748,7413,1194,13482,1607,331664,9021,169444,6729,0,273,0,273,16454,2320,37867,4018,26462,3016,32836,2757,26602,2620,15293,1678,13930,1535,162220,5357,0,273,211,259,8594,1524,17326,2178,13036,1848,26099,2620,30108,2156,28095,2097,38751,2333,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6523257,45984,1724263,24708,808123,21147,5452,1649,13572,2172,202325,11312,156325,6819,116640,6178,130742,5379,106688,5015,41353,3275,35026,3042,916140,15501,4963,1296,16617,2723,222286,9694,161656,6720,102768,6238,118519,6561,113330,5109,72985,4004,103016,5530,4798994,35231,2479272,27460,166,162,659,318,199689,9684,677913,12832,465735,12023,433036,10262,346727,8651,189665,6330,165682,5534,2319722,20321,233,225,1117,529,166700,7493,478498,10274,275987,9430,338553,9274,377922,8676,282255,7255,398457,8328,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1010930,17156,245402,9413,123264,7137,695,522,1564,719,43347,4957,22686,3119,14145,2195,16545,2004,15225,1773,5725,1173,3332,894,122138,5539,490,350,1619,685,38097,3621,19236,2287,12174,2027,16678,1919,15159,1757,7926,1267,10759,1207,765528,14842,397614,9895,0,279,0,279,40772,3813,110633,5466,69150,3803,71558,3395,57510,3097,27057,2071,20934,1787,367914,8794,50,81,0,279,35412,3490,77915,4333,39855,3478,55599,3566,60732,2902,44498,2483,53853,2342,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,657160,13122,139329,7113,64626,5091,214,183,755,479,13626,2960,13106,2258,10240,2125,13209,1839,8394,1519,2707,867,2375,671,74703,4842,104,165,546,330,15038,2785,10453,1782,7060,1467,14551,2255,10073,1424,6931,1003,9947,1599,517831,12068,252613,8805,45,70,0,281,16351,2266,57827,3791,42073,3509,51388,3582,40354,2949,22472,2233,22103,1632,265218,7420,0,281,0,281,14515,1921,38105,3165,26557,2858,40849,3086,46548,2927,38714,2377,59930,2469,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,157745,8114,36625,3311,16198,2458,0,265,128,118,5113,1735,2279,644,2461,841,2605,958,1967,679,1079,576,566,304,20427,2193,0,265,446,427,5199,1293,2201,961,1160,545,2751,867,3077,992,2719,871,2874,625,121120,6918,57279,4171,0,265,0,265,5204,1255,11519,1847,8568,1851,11961,1687,9338,1520,5701,998,4988,747,63841,4271,0,265,0,265,4442,1416,9946,1450,5298,1251,10977,1559,9916,1415,11455,1476,11807,1080,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,228518,6667,50218,3549,19776,2777,0,292,206,253,3299,1028,4777,1700,1857,806,4150,1061,3531,976,1421,603,535,278,30442,2662,0,292,0,292,9279,1724,6140,1214,2336,764,4580,918,3296,1004,2569,724,2242,737,178300,5953,87880,4141,0,292,0,292,8241,1713,30514,2328,16256,1676,13604,1581,9561,1439,5704,1086,4000,777,90420,3983,0,292,0,292,8408,1379,30612,2273,12176,1545,10937,1276,12181,1472,7199,1086,8907,1098,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3685906,32314,1010666,18802,479002,14314,1999,767,5099,1434,99262,6535,90286,6114,66571,5748,86682,6197,75460,5597,30895,2853,22748,2195,531664,12072,2153,960,6301,1429,107104,6408,71688,5497,52239,4409,77741,4686,82121,4511,56615,4095,75702,4562,2675240,26745,1341805,18598,87,115,557,440,91856,6214,263411,9312,240491,8600,251314,7657,219775,6921,142978,5726,131336,5326,1333435,18952,0,310,456,485,77263,5025,192071,8352,130782,5338,197214,8375,226196,7639,210627,6094,298826,6792,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
