GEO_ID,B17014_001E,B17014_001M,B17014_002E,B17014_002M,B17014_003E,B17014_003M,B17014_004E,B17014_004M,B17014_005E,B17014_005M,B17014_006E,B17014_006M,B17014_007E,B17014_007M,B17014_008E,B17014_008M,B17014_009E,B17014_009M,B17014_010E,B17014_010M,B17014_011E,B17014_011M,B17014_012E,B17014_012M,B17014_013E,B17014_013M,B17014_014E,B17014_014M,B17014_015E,B17014_015M,B17014_016E,B17014_016M,B17014_017E,B17014_017M,B17014_018E,B17014_018M,B17014_019E,B17014_019M,B17014_020E,B17014_020M,B17014_021E,B17014_021M,B17014_022E,B17014_022M,B17014_023E,B17014_023M,B17014_024E,B17014_024M,B17014_025E,B17014_025M,B17014_026E,B17014_026M,B17014_027E,B17014_027M,B17014_028E,B17014_028M,B17014_029E,B17014_029M,B17014_030E,B17014_030M,B17014_031E,B17014_031M,B17014_032E,B17014_032M,B17014_033E,B17014_033M,B17014_034E,B17014_034M,B17014_035E,B17014_035M,NAME,B17014_001MA,B17014_001EA,B17014_002EA,B17014_002MA,B17014_003MA,B17014_003EA,B17014_004EA,B17014_004MA,B17014_005MA,B17014_005EA,B17014_006EA,B17014_006MA,B17014_007MA,B17014_007EA,B17014_008EA,B17014_008MA,B17014_009EA,B17014_009MA,B17014_010MA,B17014_010EA,B17014_011EA,B17014_011MA,B17014_012EA,B17014_012MA,B17014_013EA,B17014_013MA,B17014_014EA,B17014_014MA,B17014_015MA,B17014_015EA,B17014_016EA,B17014_016MA,B17014_017EA,B17014_017MA,B17014_018EA,B17014_018MA,B17014_019EA,B17014_019MA,B17014_020EA,B17014_020MA,B17014_021EA,B17014_021MA,B17014_022MA,B17014_022EA,B17014_023MA,B17014_023EA,B17014_024EA,B17014_024MA,B17014_025MA,B17014_025EA,B17014_026EA,B17014_026MA,B17014_027MA,B17014_027EA,B17014_028EA,B17014_028MA,B17014_029EA,B17014_029MA,B17014_030MA,B17014_030EA,B17014_031EA,B17014_031MA,B17014_032EA,B17014_032MA,B17014_033MA,B17014_033EA,B17014_034EA,B17014_034MA,B17014_035EA,B17014_035MA,state
0400000US01,1227884,13886,180849,6757,56212,3459,19536,1918,23934,2650,11477,1950,1265,618,124637,6103,16878,2581,6502,1420,8123,1892,1841,728,412,386,107759,4952,42932,3179,56250,3764,8082,1623,495,297,1047035,12901,812734,12086,131158,4592,213245,7230,385843,9819,82488,4456,234301,7336,62430,4463,6873,1336,37142,3685,15393,1796,3022,888,171871,6410,20887,2127,94775,5479,48346,3201,7863,1298,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,12277,1505,3588,812,473,327,1903,615,1027,465,185,110,8689,1163,1709,583,779,401,844,434,86,89,0,246,6980,1013,3019,850,3260,704,627,369,74,72,158582,4656,124381,4730,7785,1045,30219,3066,68310,4173,18067,1864,34201,2515,12502,1832,269,225,6804,1342,4785,1047,644,292,21699,2139,1743,740,12462,1507,6077,1202,1417,406,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,194239,8312,81946,4465,23460,2561,39416,3394,17080,2398,1990,752,112293,6405,23173,2641,7068,1391,12573,2104,2855,895,677,559,89120,6024,38187,3776,41904,4089,7624,1536,1405,736,1354189,11236,1052283,11352,192573,5219,281707,8701,470383,9343,107620,5183,301906,8970,100599,6134,6456,1197,60855,4846,28669,3048,4619,1084,201307,6753,15814,1892,118869,5514,53501,3571,13123,2383,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,107243,4728,37321,2720,11687,1554,16056,2005,8947,1712,631,357,69922,4568,12037,2148,3613,1134,7289,1597,997,583,138,223,57885,3869,21061,2481,33315,3035,3288,974,221,270,654118,7896,517625,8143,85643,3348,130077,5439,252952,7720,48953,3033,136493,5972,39583,3040,3631,849,21823,2278,12055,1443,2074,911,96910,4853,10215,1719,55085,3651,25592,2273,6018,1273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,1003305,17807,437443,10169,108066,4732,206901,7022,100576,5719,21900,2403,565862,14438,121378,7334,37448,3270,68483,5584,13045,1872,2402,850,444484,10980,189982,7094,215450,7754,32211,3148,6841,1498,7504551,26422,5645123,26318,629143,8733,1486059,19363,2682425,20802,847496,12453,1859428,20517,615248,12067,42588,3176,303112,8935,188060,7733,81488,5005,1244180,18019,108137,5314,661806,14675,342615,9506,131622,6622,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,118446,6082,45684,3914,11434,1977,20143,2561,12078,1943,2029,758,72762,4791,13751,2325,2870,1007,8376,1948,2067,796,438,335,59011,3914,21257,2526,32949,3058,3938,1042,867,412,1140439,10316,913940,10744,99721,3935,217673,6211,495818,9234,100728,4643,226499,6124,76767,4664,3251,922,40583,3544,26194,2619,6739,1648,149732,5449,9686,1595,83241,4483,45263,3266,11542,1928,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,63695,4324,18642,2308,5313,1226,8562,1390,4101,1101,666,450,45053,3592,5956,1524,2105,898,3563,1096,208,212,80,134,39097,3313,17810,2402,18799,2105,1978,743,510,395,827075,9311,637987,8316,71365,3119,144285,6120,324545,6295,97792,4738,189088,6835,52369,3990,3813,757,24047,2746,18852,2405,5657,1286,136719,6555,11078,1861,75954,4581,36944,3491,12743,1765,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,17881,2221,5527,1251,1449,566,2698,946,1273,565,107,132,12354,1739,1957,722,445,345,1467,688,0,265,45,73,10397,1518,4969,1192,4630,987,731,589,67,83,203352,5101,156048,4811,23719,1735,34565,2647,78038,4036,19726,1907,47304,3417,12167,1778,1234,506,6586,1308,3761,1012,586,272,35137,3242,2914,727,21654,2776,8307,1525,2262,789,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,14285,1749,1765,604,948,492,509,352,251,229,57,92,12520,1612,1209,562,447,369,676,412,86,154,0,292,11311,1444,6564,1303,4014,1076,493,363,240,208,87234,3887,55510,2748,3762,806,13674,1783,33040,2318,5034,900,31724,2645,7531,1181,674,329,4704,902,1844,711,309,249,24193,2321,1510,622,13532,1859,7183,1504,1968,654,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,548767,9830,218862,8016,78803,5127,93086,4743,42023,3877,4950,1023,329905,9401,58942,4362,22191,2819,30180,3009,5493,1266,1078,602,270963,8493,111713,5471,139446,6774,17506,2117,2298,857,4008163,23287,3089022,22163,619094,10484,799319,14656,1362251,17065,308358,8628,919141,15599,254363,9459,21683,2182,138934,7580,73819,4358,19927,2736,664778,11688,57119,3300,380160,8813,181103,6897,46396,4096,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
