GEO_ID,B17018_001E,B17018_001M,B17018_002E,B17018_002M,B17018_003E,B17018_003M,B17018_004E,B17018_004M,B17018_005E,B17018_005M,B17018_006E,B17018_006M,B17018_007E,B17018_007M,B17018_008E,B17018_008M,B17018_009E,B17018_009M,B17018_010E,B17018_010M,B17018_011E,B17018_011M,B17018_012E,B17018_012M,B17018_013E,B17018_013M,B17018_014E,B17018_014M,B17018_015E,B17018_015M,B17018_016E,B17018_016M,B17018_017E,B17018_017M,B17018_018E,B17018_018M,B17018_019E,B17018_019M,B17018_020E,B17018_020M,B17018_021E,B17018_021M,B17018_022E,B17018_022M,B17018_023E,B17018_023M,B17018_024E,B17018_024M,B17018_025E,B17018_025M,B17018_026E,B17018_026M,B17018_027E,B17018_027M,B17018_028E,B17018_028M,B17018_029E,B17018_029M,B17018_030E,B17018_030M,B17018_031E,B17018_031M,B17018_032E,B17018_032M,B17018_033E,B17018_033M,B17018_034E,B17018_034M,B17018_035E,B17018_035M,NAME,B17018_001EA,B17018_001MA,B17018_002MA,B17018_002EA,B17018_003MA,B17018_003EA,B17018_004EA,B17018_004MA,B17018_005MA,B17018_005EA,B17018_006EA,B17018_006MA,B17018_007EA,B17018_007MA,B17018_008EA,B17018_008MA,B17018_009EA,B17018_009MA,B17018_010MA,B17018_010EA,B17018_011MA,B17018_011EA,B17018_012MA,B17018_012EA,B17018_013MA,B17018_013EA,B17018_014EA,B17018_014MA,B17018_015MA,B17018_015EA,B17018_016EA,B17018_016MA,B17018_017EA,B17018_017MA,B17018_018EA,B17018_018MA,B17018_019EA,B17018_019MA,B17018_020MA,B17018_020EA,B17018_021MA,B17018_021EA,B17018_022EA,B17018_022MA,B17018_023EA,B17018_023MA,B17018_024EA,B17018_024MA,B17018_025EA,B17018_025MA,B17018_026EA,B17018_026MA,B17018_027MA,B17018_027EA,B17018_028EA,B17018_028MA,B17018_029EA,B17018_029MA,B17018_030EA,B17018_030MA,B17018_031EA,B17018_031MA,B17018_032MA,B17018_032EA,B17018_033EA,B17018_033MA,B17018_034EA,B17018_034MA,B17018_035EA,B17018_035MA,state
0400000US01,1227884,13886,180849,6757,56212,3459,19489,2135,18677,2564,13645,1875,4401,996,124637,6103,16878,2581,5187,1183,7188,1757,3854,1117,649,440,107759,4952,34983,3398,35275,3202,33282,3148,4219,1030,1047035,12901,812734,12086,86102,4446,224164,6978,254129,7862,248339,6589,234301,7336,62430,4463,12814,2138,24846,2878,15174,2066,9596,1524,171871,6410,29249,2710,48694,3638,61869,3447,32059,2808,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,12277,1505,3588,812,1097,489,971,423,924,414,596,339,8689,1163,1709,583,222,183,939,418,437,261,111,185,6980,1013,1212,527,2636,629,2685,816,447,353,158582,4656,124381,4730,6336,1175,24164,2272,51354,3313,42527,2917,34201,2515,12502,1832,914,354,5077,1376,4731,1214,1780,711,21699,2139,2600,729,4944,1191,11148,1680,3007,801,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,194239,8312,81946,4465,28535,2977,24706,2646,20423,2544,8282,1442,112293,6405,23173,2641,8854,1651,7189,1676,6533,1634,597,310,89120,6024,28164,3473,23820,2765,31574,3425,5562,1438,1354189,11236,1052283,11352,96972,5745,205795,7538,383340,8573,366176,8323,301906,8970,100599,6134,15519,2453,25376,2850,39081,4111,20623,2472,201307,6753,25796,2727,44812,3673,88257,5096,42442,3436,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,107243,4728,37321,2720,11255,1744,13053,1635,11216,2099,1797,485,69922,4568,12037,2148,4766,1584,5008,1308,1966,700,297,240,57885,3869,14153,1853,19854,2337,21549,2559,2329,797,654118,7896,517625,8143,60670,3288,159881,5578,161924,5665,135150,5631,136493,5972,39583,3040,6435,1226,14802,1878,13100,1901,5246,1151,96910,4853,12276,1764,30321,2616,37184,3023,17129,2046,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,1003305,17807,437443,10169,198068,7031,98856,5420,90963,5428,49556,3706,565862,14438,121378,7334,50023,4375,32866,3810,30409,3630,8080,1798,444484,10980,176080,7171,106019,5831,133552,5661,28833,3001,7504551,26422,5645123,26318,763986,15040,919529,15601,1752420,20730,2209188,19786,1859428,20517,615248,12067,131517,6081,145278,6717,203890,7361,134563,6512,1244180,18019,203775,7738,260608,7214,487187,10635,292610,7574,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,118446,6082,45684,3914,13090,1800,12997,1959,11305,1814,8292,1452,72762,4791,13751,2325,3682,1081,4415,1357,4621,1438,1033,516,59011,3914,15875,2691,16187,2109,20733,2426,6216,1203,1140439,10316,913940,10744,59118,3671,161012,5581,279003,8508,414807,8783,226499,6124,76767,4664,8535,1629,21792,2800,26996,2834,19444,2545,149732,5449,15372,1864,37597,3432,55496,3693,41267,3064,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,63695,4324,18642,2308,4837,1155,6799,1672,3689,947,3317,922,45053,3592,5956,1524,1982,825,2394,1001,1446,725,134,161,39097,3313,11090,1526,14007,2383,11896,1948,2104,728,827075,9311,637987,8316,41689,3408,142094,5245,163139,6291,291065,6077,189088,6835,52369,3990,8434,1471,16413,2117,12703,1990,14819,1725,136719,6555,17956,2388,39611,3923,45691,3705,33461,3074,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,17881,2221,5527,1251,1529,612,1893,862,1304,632,801,457,12354,1739,1957,722,862,467,729,469,366,319,0,265,10397,1518,2344,897,4615,1138,3206,915,232,195,203352,5101,156048,4811,11190,1834,41857,2701,46406,3101,56595,3185,47304,3417,12167,1778,1895,698,3488,872,3904,1209,2880,891,35137,3242,2391,865,11803,1927,12350,2038,8593,1499,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,14285,1749,1765,604,559,387,332,353,323,282,551,281,12520,1612,1209,562,497,371,406,299,51,86,255,325,11311,1444,3762,914,4681,1079,2016,696,852,537,87234,3887,55510,2748,3770,960,5904,1203,7709,1191,38127,2500,31724,2645,7531,1181,1153,529,2767,793,1439,648,2172,840,24193,2321,3978,1118,8269,1319,5180,956,6766,1324,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,548767,9830,218862,8016,63063,3867,72520,4847,53101,4238,30178,3140,329905,9401,58942,4362,19265,2452,18962,2567,15018,2364,5697,1348,270963,8493,74873,5369,94069,4813,84736,5370,17285,2537,4008163,23287,3089022,22163,265312,8558,749943,15005,990215,16602,1083552,16269,919141,15599,254363,9459,39581,3604,82418,5081,78118,5569,54246,4192,664778,11688,77918,4495,185817,7455,252899,7102,148144,5744,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
