GEO_ID,B18140_001E,B18140_001M,B18140_002E,B18140_002M,B18140_003E,B18140_003M,B18140_004E,B18140_004M,B18140_005E,B18140_005M,B18140_006E,B18140_006M,B18140_007E,B18140_007M,NAME,B18140_001MA,B18140_001EA,B18140_002EA,B18140_002MA,B18140_003MA,B18140_003EA,B18140_004EA,B18140_004MA,B18140_005MA,B18140_005EA,B18140_006EA,B18140_006MA,B18140_007EA,B18140_007MA,state
0400000US01,25551,276,18679,1283,21886,1232,15900,1044,26107,286,31462,354,21424,321,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,32142,811,27493,5641,31333,6275,26199,2472,32350,1212,41284,1112,26651,1145,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,27934,532,21159,1037,24101,2047,18499,2285,28619,537,31981,306,24942,429,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24036,485,17338,998,20263,1491,15122,1586,24847,488,30243,433,20655,324,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30417,102,21174,507,23639,1076,17932,1222,30714,103,35104,183,26131,174,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30544,223,21406,801,24008,1979,18438,2076,30906,231,36305,428,25808,361,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36118,446,24802,2409,30365,2653,20566,1475,36642,449,45176,859,30451,451,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,31434,486,20369,2107,23430,4713,17646,2617,31824,501,36736,1064,28270,1731,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,42192,1170,23582,6194,21788,5801,30066,12706,43056,2001,45928,1228,40761,1438,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,26090,138,18279,939,21099,651,15839,672,26475,137,30259,184,23749,327,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,27311,205,19500,1058,23247,2532,16436,1016,27921,372,32108,229,23991,402,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30948,383,21794,1798,23877,3607,19614,4200,31197,399,35888,1059,27438,688,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23186,592,18138,1975,20827,2195,15648,1841,23817,612,29950,847,19181,850,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,30505,149,20083,828,24700,1779,16723,1305,30870,153,36853,294,25424,229,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,26820,223,17438,987,20755,1309,15122,1355,27381,236,33646,696,21861,224,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,27080,261,16080,684,20055,2085,11755,909,27826,449,33058,858,22761,494,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,26975,358,18720,1138,23255,2334,13435,1656,27615,560,33392,1189,22299,423,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,25386,317,18384,1200,21230,1471,16116,1434,25926,355,31217,388,21641,294,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26618,325,18953,1315,24134,3101,15193,866,27269,396,35839,601,21588,291,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,26637,426,14958,1865,15735,2556,13883,2419,27267,456,32097,500,23449,750,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,38208,590,25660,1663,30095,3057,22711,2245,39373,650,44159,1162,33982,845,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,35579,300,20782,1070,22386,3080,18275,1917,36224,300,42320,357,30651,327,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,26283,205,15800,649,17308,1495,14168,924,26944,201,32527,568,21875,211,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,30999,194,15508,951,18214,1772,12326,1032,31566,195,37466,512,26481,341,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,24604,512,16827,1290,20557,1628,13852,1041,25395,362,30551,422,21358,446,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,26659,237,18033,1159,21848,1058,14169,1519,27235,240,31897,289,23066,484,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,23669,849,14871,1900,17659,2898,12461,1787,24491,849,30550,792,20272,579,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,26478,298,18541,2610,22919,1917,13931,2812,27058,318,32321,342,22029,346,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,29656,807,23635,2117,25536,1735,21554,1377,30111,423,32389,771,26131,464,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,32232,436,21904,1218,26932,3347,19558,1999,32775,837,40718,676,26705,570,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,37269,276,24038,1538,27337,2576,21507,1001,38298,607,45548,458,31606,304,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
