GEO_ID,B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M,NAME,B19001F_001MA,B19001F_001EA,B19001F_002EA,B19001F_002MA,B19001F_003MA,B19001F_003EA,B19001F_004MA,B19001F_004EA,B19001F_005MA,B19001F_005EA,B19001F_006EA,B19001F_006MA,B19001F_007MA,B19001F_007EA,B19001F_008MA,B19001F_008EA,B19001F_009EA,B19001F_009MA,B19001F_010MA,B19001F_010EA,B19001F_011MA,B19001F_011EA,B19001F_012EA,B19001F_012MA,B19001F_013MA,B19001F_013EA,B19001F_014EA,B19001F_014MA,B19001F_015MA,B19001F_015EA,B19001F_016EA,B19001F_016MA,B19001F_017EA,B19001F_017MA,state
0400000US01,11978,1716,537,335,729,475,1183,703,2442,1093,854,566,851,523,439,355,903,527,591,448,915,505,543,322,1518,559,374,347,39,65,60,106,0,273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,107890,5669,10562,1941,8716,1545,6130,1271,9120,1711,8328,1858,8506,1700,7962,1820,6057,1485,5037,1186,8728,1580,10245,1695,11338,1946,3587,1027,2293,894,685,466,596,377,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14838,1766,1237,650,971,501,1842,744,1179,629,2048,869,676,377,1328,625,967,692,1160,646,1157,546,972,640,670,462,426,312,205,253,0,273,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1168222,16233,74669,4416,74404,4586,74340,4068,84543,5532,78339,5337,79446,5027,70918,4614,68945,4596,58468,4706,107889,5658,127314,6178,126299,6566,72700,4207,32260,3248,25908,2695,11780,2088,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,78968,4655,7798,1406,7701,1443,4941,1159,5813,1341,6280,1340,6892,1768,5957,1340,5453,1325,3023,946,4346,1223,8206,1655,5939,1358,3721,1000,1768,762,755,496,375,204,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56052,3611,9530,1734,3810,1187,4860,1075,5129,1703,4263,1440,3344,1100,3255,1220,4234,976,2349,958,4306,1162,3863,1100,4045,1178,1420,617,565,324,716,499,363,379,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,126755,6622,12190,2364,9933,1894,8951,1718,10679,1941,9926,1972,10689,1848,8750,2006,6348,1327,6800,1539,10245,1879,13855,2211,7871,1586,4667,1124,2900,975,1382,591,1569,808,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,74993,5160,10090,2248,6086,1519,8461,1953,6844,2031,5355,1257,6099,1659,5075,1374,5362,1330,2804,939,5625,1552,5058,1452,4129,1071,1596,725,870,540,921,627,618,480,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4644,938,472,258,406,448,136,193,518,409,250,207,238,239,60,102,270,261,276,251,518,405,291,194,297,268,400,295,276,311,236,228,0,275,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
