GEO_ID,B19013D_001E,B19013D_001M,NAME,B19013D_001EA,B19013D_001MA,state
0400000US01,48014,11864,Alabama,null,null,01
0400000US02,58542,7180,Alaska,null,null,02
0400000US04,63376,6032,Arizona,null,null,04
0400000US05,50221,13111,Arkansas,null,null,05
0400000US06,71988,733,California,null,null,06
0400000US08,56824,5200,Colorado,null,null,08
0400000US09,75242,7300,Connecticut,null,null,09
0400000US10,86276,9001,Delaware,null,null,10
0400000US11,77098,11200,District of Columbia,null,null,11
0400000US12,56376,2228,Florida,null,null,12
0400000US13,60744,2639,Georgia,null,null,13
0400000US15,65938,2548,Hawaii,null,null,15
0400000US16,36928,7564,Idaho,null,null,16
0400000US17,69031,2969,Illinois,null,null,17
0400000US18,51759,3355,Indiana,null,null,18
0400000US19,58854,5977,Iowa,null,null,19
0400000US20,56562,7398,Kansas,null,null,20
0400000US21,60792,6976,Kentucky,null,null,21
0400000US22,50601,5925,Louisiana,null,null,22
0400000US23,49006,17681,Maine,null,null,23
0400000US24,83722,4224,Maryland,null,null,24
0400000US25,70132,3013,Massachusetts,null,null,25
0400000US26,70081,4363,Michigan,null,null,26
0400000US27,60474,3336,Minnesota,null,null,27
0400000US28,49395,10740,Mississippi,null,null,28
0400000US29,56638,6587,Missouri,null,null,29
0400000US30,38493,21749,Montana,null,null,30
0400000US31,52807,6496,Nebraska,null,null,31
0400000US32,54990,3753,Nevada,null,null,32
0400000US33,75997,8904,New Hampshire,null,null,33
0400000US34,94575,3196,New Jersey,null,null,34
0400000US35,52079,22549,New Mexico,null,null,35
0400000US36,58657,2693,New York,null,null,36
0400000US37,55558,8745,North Carolina,null,null,37
0400000US38,61142,16578,North Dakota,null,null,38
0400000US39,62426,4407,Ohio,null,null,39
0400000US40,50250,6267,Oklahoma,null,null,40
0400000US41,59344,5012,Oregon,null,null,41
0400000US42,60104,3465,Pennsylvania,null,null,42
0400000US44,53850,9498,Rhode Island,null,null,44
0400000US45,52406,5061,South Carolina,null,null,45
0400000US46,43524,8716,South Dakota,null,null,46
0400000US47,57936,5038,Tennessee,null,null,47
0400000US48,63947,2597,Texas,null,null,48
0400000US49,49310,7927,Utah,null,null,49
0400000US50,36048,27037,Vermont,null,null,50
0400000US51,85735,4645,Virginia,null,null,51
0400000US53,66979,3476,Washington,null,null,53
0400000US54,46587,16084,West Virginia,null,null,54
0400000US55,47148,4717,Wisconsin,null,null,55
0400000US56,90008,48131,Wyoming,null,null,56
0400000US72,18474,6724,Puerto Rico,null,null,72
