GEO_ID,B19129_001E,B19129_001M,B19129_002E,B19129_002M,B19129_003E,B19129_003M,B19129_004E,B19129_004M,B19129_005E,B19129_005M,B19129_006E,B19129_006M,B19129_007E,B19129_007M,NAME,B19129_001MA,B19129_001EA,B19129_002MA,B19129_002EA,B19129_003MA,B19129_003EA,B19129_004EA,B19129_004MA,B19129_005MA,B19129_005EA,B19129_006MA,B19129_006EA,B19129_007EA,B19129_007MA,state
0400000US01,80708400700,1358094056,7931734300,345174909,23420829000,815417506,33617514600,1024812573,6283416100,396048264,7966923600,493570743,1487983200,191840184,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15946055100,683089048,598544100,89279743,3653800600,353674252,7403932600,516744250,1441150000,263029769,2479681400,377309901,368946400,79291824,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,110837073600,1414703490,12356806700,385218354,32149476000,1030624267,44302324800,1245964679,8644894000,466380375,10662922200,636355795,2720649900,308191289,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,46716171500,896834697,4732348000,221459519,12668714700,653264525,20558563700,805404374,3327784500,215165968,4460273200,312814448,968487400,159631435,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,750209344100,4711742341,49968725200,1174515429,209608438200,2997705574,297614305900,3155705212,69080062800,1511369203,88827492500,1697597395,35110319400,1205384448,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,108269626400,1526077560,6888972000,365555170,28423461400,942046533,51751861000,1303090770,7769663100,415998810,10954986800,548820142,2480682100,315778031,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,96397217300,1927912126,5783299000,421020011,26261995800,1266677453,40414931200,1293702093,7539766200,504870634,13597597500,806891043,2799627700,367770639,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18692282600,672001554,1778754400,308535214,4826430400,432035418,7967233300,458047096,1401803200,141207777,2274721200,282750229,443340100,109355084,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12286554800,743050887,374455300,72389958,3219833200,371880779,6139992400,549761904,1144742200,242966306,1108973200,300810968,298558500,88154691,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,328458513300,3549633674,43903729300,1209223735,95343620700,2251077896,124649722600,2218928528,26076020800,890182074,30226354200,1136871645,8259065700,486497124,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,172854522900,1994973882,12230447600,397007052,50144718100,1300907386,75430153900,1652660792,13615762000,615142119,17278319900,812013793,4155121400,423277375,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,27298517800,593834760,1777894200,165264006,6310138100,403239105,9913610600,501175202,2714306700,257057010,4064085200,399338177,2518483000,337053683,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26020374900,644045824,2350181300,169896626,6772564800,391282846,11795512800,537505099,1605647300,200767539,3051076200,276621513,445392500,85867149,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,264789395300,2426144124,17694783200,609829587,67371527800,1487109738,113169913200,1705667296,22085287000,816005197,36138367800,985225507,8329516200,530079081,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,113344372200,1187185760,8649479800,305591387,29804710000,749945982,50619667300,1026423520,8209221700,440259147,13576248800,643014196,2485044500,236492801,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,58035370400,955052457,4409053500,359507587,11884785800,529215841,30043297500,808034755,3346026500,261217482,7535891000,501452723,816316100,136630528,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,54256693200,1071915869,3746378900,279157402,12779965000,574111122,26383257100,761058245,3632179500,378083778,6652121300,425267384,1062791400,181312107,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,72424057200,1208840627,6929700400,292256429,19640710300,883744434,31351382700,913544065,5320676800,348298355,7900867800,506100588,1280719200,178641872,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,78012728500,1383383669,5325215500,228638443,22860184200,825596328,31957850600,1090853181,7012546100,411268313,8754267200,586890816,2102665000,227886530,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,24336415400,607744346,2079816400,134853710,5276197100,329491329,11708746000,456635196,1604455500,224942372,3207237300,290027093,459963000,105158530,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,149157874900,2011688105,7284151300,322492473,35422126000,1066490051,66774806500,1440842850,13417939100,684191492,21400995100,1074379298,4857857000,409547034,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,160157243500,1785514961,8463000200,400565606,37945555900,1266947694,71926252100,1386649889,13285116900,618167295,23531957800,964436054,5005360600,484554471,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,177829652700,1617796202,17788649300,538754347,48640072200,1008174943,72770354800,1199052757,13706679800,589174866,20613672700,724025508,4310223900,431752553,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,114996617300,1554637347,7646789600,360739535,24238059100,1063331626,57527253500,1052288518,6754356600,316247220,16372718200,714680141,2457440200,273430348,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,43710647500,872967139,3745383300,185905831,12644326100,609242503,18072058900,669293695,3902306700,331795493,4341009300,335042681,1005563300,154374718,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,108615438200,1439385541,8898241000,350007234,26816968900,850740912,48872967300,1237425983,8112827500,427785648,13492035800,621649699,2422397700,251503480,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,17131770800,512306619,1511088000,140674368,3998919000,290044783,8289117900,396857687,1070371300,133164447,2020004200,266580594,242270300,79652658,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,34763043800,722671540,2041761600,173003396,6957738000,346525561,17948999000,618776578,2314008400,236035936,4827623300,377512523,672913400,109777539,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,47514546000,1205134147,3925858700,261024277,14140452800,667477176,18599661200,927958666,4550821800,368184763,4669300000,449882561,1628451300,243201852,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,30918327500,795122869,1934209600,194457804,6908692900,422965061,14155392400,532339656,2032887100,229435259,5112889300,494876858,774256300,151754374,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,231961140000,2200517850,12050804100,485316060,60607155300,1585150352,95921358400,1990746257,20220227100,899793983,33684831500,972195651,9476763600,603576903,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,33326658200,744993078,3249271600,184746824,9874631700,476045592,12847881000,569792498,2960627600,289347726,3472280400,337037048,921965900,172449575,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,423642907200,4243176273,26485598700,783730614,112277972400,2380215227,170919286700,3197095851,40264711100,1179083685,55298585900,1513435633,18396752400,836742836,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,168770180600,2132620212,14918043700,488424220,47968363000,1380641672,75156660600,1623734290,12068558700,532658250,15481911600,728221727,3176643000,278277203,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,13025511900,415204008,798131000,80410030,2534841400,241718171,7029619100,409683826,579940600,86610460,1887056200,191088862,195923600,91594121,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,209140227200,1517445213,17267603200,548955624,53283913900,1142027317,93336537400,1442928726,15779978700,544934501,25322148400,789140663,4150045700,370220500,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,62952542000,838595721,5383448800,233136181,17421412300,653560067,27689468300,738004008,4746309100,313684637,6380206400,364649019,1331697100,170302718,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,69329079700,1172537942,6729461200,302791995,18950315800,775671827,30625865200,915257631,5034625900,355530512,6667450200,468346445,1321361400,190752539,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,253098729800,2301883567,19282628700,555851283,63908614000,1200374968,108339837600,1761099677,19694315900,656889482,35122526800,1000347299,6750806900,546027782,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,20964794000,685803147,1459449900,182273059,5040999000,310655518,8992727900,545074067,1749985900,199280117,3004839200,296924299,716792000,158546898,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,78073202600,1193146637,8119421600,371232724,21729978400,669543507,32491258500,944533963,6250395900,430426237,7844257000,569487798,1637891000,188269576,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,14745168100,523772188,1082990100,136836483,2761286800,312793254,7678580600,391460650,801540700,120781053,2159793900,188758499,260975900,75686177,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,110225594600,1494074185,9712312400,431342857,31100367500,902088134,47579370700,1023411350,8400908000,510637235,10945542600,579695519,2487093500,308769349,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,459951387900,3271623156,27126727800,685291366,129129997600,2285664950,196305026100,2370808507,40627047800,1007491019,52071136400,1363276921,14691452200,718398695,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,50334710800,839059447,3183778700,198211692,13006944100,542521134,19372636200,626429352,4873306700,450333124,7772513500,538154316,2125531600,279304896,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,12380474000,409873783,936991400,123217654,2568063800,238519481,5925987500,303366745,751193100,101480208,1993740300,207983365,204497800,62526952,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,189798755700,1995419253,12318530500,463386955,47304058800,1523573782,87385082700,1833216284,14203983900,743714543,24213653100,976903827,4373446700,417538172,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,140696067000,1907063515,10639904000,328825848,38508653000,1093893960,64158460100,1487387985,9278407500,530628977,14875722400,675386195,3234920000,358292792,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,29393317300,646060260,3377385900,163542251,8374524100,396475609,12283011700,613339227,2276897600,209269681,2680466400,262457065,401031500,95641114,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,108571683500,1216452857,8211466300,285294265,23506636000,628583961,53401145200,1045226609,6753762400,450892452,14765220500,539647841,1933453100,199718550,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,11675982900,585297207,754726800,108597421,3027007400,446144017,5648411800,383535527,609085400,112838966,1450332600,231450124,186418900,71577878,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,31128963200,665141659,4346339100,163039742,10726051300,405785136,9351553500,530776748,3550569700,239268428,2055431700,242534034,1099017900,135822178,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
