GEO_ID,B24031_001E,B24031_001M,B24031_002E,B24031_002M,B24031_003E,B24031_003M,B24031_004E,B24031_004M,B24031_005E,B24031_005M,B24031_006E,B24031_006M,B24031_007E,B24031_007M,B24031_008E,B24031_008M,B24031_009E,B24031_009M,B24031_010E,B24031_010M,B24031_011E,B24031_011M,B24031_012E,B24031_012M,B24031_013E,B24031_013M,B24031_014E,B24031_014M,B24031_015E,B24031_015M,B24031_016E,B24031_016M,B24031_017E,B24031_017M,B24031_018E,B24031_018M,B24031_019E,B24031_019M,B24031_020E,B24031_020M,B24031_021E,B24031_021M,B24031_022E,B24031_022M,B24031_023E,B24031_023M,B24031_024E,B24031_024M,B24031_025E,B24031_025M,B24031_026E,B24031_026M,B24031_027E,B24031_027M,NAME,B24031_001EA,B24031_001MA,B24031_002EA,B24031_002MA,B24031_003EA,B24031_003MA,B24031_004MA,B24031_004EA,B24031_005EA,B24031_005MA,B24031_006MA,B24031_006EA,B24031_007EA,B24031_007MA,B24031_008MA,B24031_008EA,B24031_009EA,B24031_009MA,B24031_010MA,B24031_010EA,B24031_011MA,B24031_011EA,B24031_012MA,B24031_012EA,B24031_013EA,B24031_013MA,B24031_014MA,B24031_014EA,B24031_015MA,B24031_015EA,B24031_016EA,B24031_016MA,B24031_017MA,B24031_017EA,B24031_018MA,B24031_018EA,B24031_019EA,B24031_019MA,B24031_020EA,B24031_020MA,B24031_021MA,B24031_021EA,B24031_022MA,B24031_022EA,B24031_023MA,B24031_023EA,B24031_024MA,B24031_024EA,B24031_025EA,B24031_025MA,B24031_026MA,B24031_026EA,B24031_027MA,B24031_027EA,state
0400000US01,28849,569,32276,4203,25853,1126,51126,1709,26973,734,33891,2029,33221,3289,18508,927,41997,1699,37728,3187,60518,3312,35583,4311,34294,1957,36272,1295,29043,2444,33799,2456,47100,3628,100095,26094,20639,1527,31259,577,35886,958,29736,1434,11229,400,16827,2045,10870,405,20512,1138,42411,1633,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38658,1714,71950,5323,52186,7349,79944,10495,48409,6828,25784,3107,37369,8793,22615,2262,44970,3466,44830,3758,45474,8287,46988,2747,46418,10116,51971,20027,38056,13167,43195,7347,57443,9654,32188,23770,27154,5978,36134,1676,41177,3060,34158,3668,17781,1828,18804,3175,17369,2098,29691,10365,56373,2444,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31191,221,36027,5165,26161,2416,58051,7388,32033,668,45685,2049,39485,3153,21700,553,40093,2096,35710,1980,61528,3599,37502,2749,40317,772,42159,2141,31494,1635,32353,2076,46558,2199,49375,13863,22368,1078,32384,676,33904,1686,31886,571,15308,560,21009,848,13779,799,21492,895,46209,1397,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26445,297,27010,1386,24072,2158,55828,16456,27247,1593,30135,1031,32287,3185,20615,882,40818,790,40311,1668,42316,4414,35393,3793,31008,796,33797,2217,23662,3831,26235,1206,39973,4814,40970,16298,17956,1635,29342,1287,32321,1590,27092,760,11695,539,17077,3331,11290,535,20285,1290,35834,1826,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33016,357,18653,803,17481,668,56108,8803,34073,1666,41961,397,36738,613,22070,233,41700,586,36795,583,72209,1724,52568,1994,45802,668,51027,539,36227,739,41625,416,61151,507,49956,5840,22309,298,36785,302,39207,1056,35945,298,17097,235,22558,767,16006,262,20863,377,57117,1098,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,33577,628,39719,4124,27380,3372,67321,5432,35343,1627,45632,1717,42148,1438,22356,574,46640,1501,43829,2948,55726,7360,50627,1746,45113,1991,48258,2262,37738,2747,41481,922,56078,1953,64853,22291,22052,809,32763,1108,32375,1193,33123,1703,15408,605,20394,1890,14307,890,23138,1790,51774,1078,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40588,368,25104,9787,21004,4817,41824,12500,41253,1151,51666,868,51746,1683,22220,920,50781,1364,41569,2413,75511,5846,52681,6484,62088,2272,71032,2904,38403,2993,46196,2037,61477,1508,56495,10260,25112,1880,39416,1361,41832,1288,37174,1026,18059,1391,24816,3402,16079,1078,25739,1530,61765,1492,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35232,688,26838,11982,26618,11445,50625,58639,40268,4570,46122,3498,44540,7471,22845,2418,43411,6928,40759,7148,61546,8342,40669,6358,43721,3117,46485,2257,30493,6576,45937,4092,64600,6225,47337,12832,22045,5754,34438,3374,40282,1817,31217,1297,14853,2129,19291,2312,12471,2089,25060,4504,42789,3032,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,47210,1239,18404,36424,12089,11190,-666666666,-222222222,38502,4657,51527,15819,44965,22242,22648,2596,38058,8551,31805,12844,50169,21697,61626,5105,51905,10114,67176,19007,41425,7560,60284,4137,70646,5187,250001,-333333333,23847,2979,41321,2254,44976,4394,36884,4323,26033,2040,35665,7489,24142,2367,45470,4017,72962,4004,District of Columbia,null,null,null,null,null,null,**,-,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,***,"250,000+",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,28802,304,16478,1110,15749,1111,50533,5302,29247,1271,36491,953,36383,974,21176,248,37177,691,35368,777,51161,1134,39294,2047,36858,475,41055,562,30342,612,31711,352,45694,1119,55659,9427,22021,411,31691,291,35603,527,30492,307,16587,255,21254,755,15751,284,20437,418,43081,1066,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
