GEO_ID,B25092_001E,B25092_001M,B25092_002E,B25092_002M,B25092_003E,B25092_003M,NAME,B25092_001MA,B25092_001EA,B25092_002EA,B25092_002MA,B25092_003MA,B25092_003EA,state
0400000US01,19.0,0.2,23.0,0.3,12.3,0.3,Alabama,null,null,null,null,null,null,01
0400000US02,20.1,0.6,23.3,0.6,10.8,0.8,Alaska,null,null,null,null,null,null,02
0400000US04,22.2,0.2,26.5,0.3,11.3,0.3,Arizona,null,null,null,null,null,null,04
0400000US05,17.2,0.3,21.5,0.4,10.9,0.4,Arkansas,null,null,null,null,null,null,05
0400000US06,26.3,0.2,30.6,0.2,11.4,0.2,California,null,null,null,null,null,null,06
0400000US08,22.2,0.3,25.2,0.3,10.7,0.4,Colorado,null,null,null,null,null,null,08
0400000US09,24.6,0.3,26.8,0.3,17.6,0.4,Connecticut,null,null,null,null,null,null,09
0400000US10,21.7,0.5,24.8,0.5,11.8,0.7,Delaware,null,null,null,null,null,null,10
0400000US11,22.0,0.8,24.8,1.0,11.0,1.0,District of Columbia,null,null,null,null,null,null,11
0400000US12,24.2,0.2,29.5,0.2,14.4,0.2,Florida,null,null,null,null,null,null,12
0400000US13,22.0,0.2,25.2,0.3,12.3,0.2,Georgia,null,null,null,null,null,null,13
0400000US15,23.7,0.6,30.1,1.0,10.1,0.6,Hawaii,null,null,null,null,null,null,15
0400000US16,20.6,0.4,24.7,0.4,10.6,0.5,Idaho,null,null,null,null,null,null,16
0400000US17,22.5,0.2,25.9,0.2,13.8,0.2,Illinois,null,null,null,null,null,null,17
0400000US18,18.8,0.2,21.6,0.2,11.0,0.3,Indiana,null,null,null,null,null,null,18
0400000US19,18.1,0.2,21.3,0.3,11.5,0.3,Iowa,null,null,null,null,null,null,19
0400000US20,18.7,0.2,21.8,0.3,11.8,0.3,Kansas,null,null,null,null,null,null,20
0400000US21,18.3,0.2,22.2,0.3,11.3,0.3,Kentucky,null,null,null,null,null,null,21
0400000US22,16.9,0.2,21.6,0.3,10.5,0.3,Louisiana,null,null,null,null,null,null,22
0400000US23,20.9,0.4,24.1,0.4,13.9,0.4,Maine,null,null,null,null,null,null,23
0400000US24,23.0,0.2,25.4,0.3,12.9,0.3,Maryland,null,null,null,null,null,null,24
0400000US25,23.6,0.3,26.1,0.2,15.3,0.4,Massachusetts,null,null,null,null,null,null,25
0400000US26,21.4,0.2,24.6,0.2,13.9,0.2,Michigan,null,null,null,null,null,null,26
0400000US27,21.1,0.2,24.1,0.2,11.9,0.2,Minnesota,null,null,null,null,null,null,27
0400000US28,18.4,0.3,23.5,0.4,12.0,0.4,Mississippi,null,null,null,null,null,null,28
0400000US29,19.1,0.2,22.6,0.2,11.7,0.2,Missouri,null,null,null,null,null,null,29
0400000US30,18.8,0.4,24.1,0.7,11.3,0.5,Montana,null,null,null,null,null,null,30
0400000US31,18.6,0.3,21.4,0.3,12.6,0.3,Nebraska,null,null,null,null,null,null,31
0400000US32,24.5,0.4,28.1,0.5,12.2,0.4,Nevada,null,null,null,null,null,null,32
0400000US33,23.9,0.4,26.5,0.5,16.5,0.8,New Hampshire,null,null,null,null,null,null,33
0400000US34,26.4,0.3,28.7,0.2,18.9,0.4,New Jersey,null,null,null,null,null,null,34
0400000US35,18.4,0.4,24.3,0.4,10.0,-333333333.0,New Mexico,null,null,null,null,***,10.0-,35
0400000US36,22.9,0.2,26.3,0.3,15.5,0.3,New York,null,null,null,null,null,null,36
0400000US37,20.6,0.2,24.0,0.2,12.5,0.2,North Carolina,null,null,null,null,null,null,37
0400000US38,15.9,0.4,19.6,0.4,10.0,-333333333.0,North Dakota,null,null,null,null,***,10.0-,38
0400000US39,20.4,0.2,23.4,0.2,13.1,0.2,Ohio,null,null,null,null,null,null,39
0400000US40,18.0,0.2,21.9,0.3,11.2,0.3,Oklahoma,null,null,null,null,null,null,40
0400000US41,23.2,0.3,27.3,0.4,12.9,0.3,Oregon,null,null,null,null,null,null,41
0400000US42,20.3,0.2,23.8,0.2,13.7,0.2,Pennsylvania,null,null,null,null,null,null,42
0400000US44,25.2,0.5,27.7,0.6,15.4,1.0,Rhode Island,null,null,null,null,null,null,44
0400000US45,19.5,0.3,23.5,0.3,12.0,0.3,South Carolina,null,null,null,null,null,null,45
0400000US46,18.0,0.4,21.9,0.5,10.9,0.5,South Dakota,null,null,null,null,null,null,46
0400000US47,19.4,0.2,23.7,0.3,11.4,0.2,Tennessee,null,null,null,null,null,null,47
0400000US48,19.6,0.2,23.4,0.2,12.5,0.1,Texas,null,null,null,null,null,null,48
0400000US49,21.4,0.3,24.8,0.3,10.0,-333333333.0,Utah,null,null,null,null,***,10.0-,49
0400000US50,23.5,0.4,26.0,0.6,16.3,0.8,Vermont,null,null,null,null,null,null,50
0400000US51,21.3,0.2,24.7,0.2,11.4,0.3,Virginia,null,null,null,null,null,null,51
0400000US53,23.1,0.2,26.7,0.3,12.1,0.2,Washington,null,null,null,null,null,null,53
0400000US54,15.0,0.3,20.1,0.5,10.0,-333333333.0,West Virginia,null,null,null,null,***,10.0-,54
0400000US55,21.7,0.2,24.5,0.2,14.0,0.2,Wisconsin,null,null,null,null,null,null,55
0400000US56,17.3,0.6,22.0,0.6,10.0,-333333333.0,Wyoming,null,null,null,null,***,10.0-,56
0400000US72,16.8,0.4,29.5,0.5,10.0,-333333333.0,Puerto Rico,null,null,null,null,***,10.0-,72
