GEO_ID,B27001B_001E,B27001B_001M,B27001B_002E,B27001B_002M,B27001B_003E,B27001B_003M,B27001B_004E,B27001B_004M,B27001B_005E,B27001B_005M,B27001B_006E,B27001B_006M,B27001B_007E,B27001B_007M,B27001B_008E,B27001B_008M,B27001B_009E,B27001B_009M,B27001B_010E,B27001B_010M,B27001B_011E,B27001B_011M,B27001B_012E,B27001B_012M,B27001B_013E,B27001B_013M,B27001B_014E,B27001B_014M,B27001B_015E,B27001B_015M,B27001B_016E,B27001B_016M,B27001B_017E,B27001B_017M,B27001B_018E,B27001B_018M,B27001B_019E,B27001B_019M,B27001B_020E,B27001B_020M,B27001B_021E,B27001B_021M,B27001B_022E,B27001B_022M,B27001B_023E,B27001B_023M,B27001B_024E,B27001B_024M,B27001B_025E,B27001B_025M,B27001B_026E,B27001B_026M,B27001B_027E,B27001B_027M,B27001B_028E,B27001B_028M,NAME,B27001B_001EA,B27001B_001MA,B27001B_002MA,B27001B_002EA,B27001B_003MA,B27001B_003EA,B27001B_004MA,B27001B_004EA,B27001B_005EA,B27001B_005MA,B27001B_006EA,B27001B_006MA,B27001B_007MA,B27001B_007EA,B27001B_008EA,B27001B_008MA,B27001B_009MA,B27001B_009EA,B27001B_010EA,B27001B_010MA,B27001B_011EA,B27001B_011MA,B27001B_012EA,B27001B_012MA,B27001B_013MA,B27001B_013EA,B27001B_014EA,B27001B_014MA,B27001B_015MA,B27001B_015EA,B27001B_016EA,B27001B_016MA,B27001B_017EA,B27001B_017MA,B27001B_018MA,B27001B_018EA,B27001B_019EA,B27001B_019MA,B27001B_020EA,B27001B_020MA,B27001B_021EA,B27001B_021MA,B27001B_022MA,B27001B_022EA,B27001B_023EA,B27001B_023MA,B27001B_024EA,B27001B_024MA,B27001B_025EA,B27001B_025MA,B27001B_026EA,B27001B_026MA,B27001B_027EA,B27001B_027MA,B27001B_028EA,B27001B_028MA,state
0400000US01,1230424,5653,112167,2914,107673,3315,4494,1587,236293,3313,220369,4345,15924,2668,149647,3063,99350,3833,50297,3573,159234,3784,107424,4937,51810,4102,157376,3707,117464,4573,39912,3439,169300,3738,135501,4070,33799,3329,135117,2028,116029,2428,19088,1617,63884,1692,63358,1755,526,441,47406,1589,47264,1587,142,186,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22744,1729,1690,479,1690,479,0,246,5310,1104,5208,1151,102,107,2793,692,1698,567,1095,625,3755,1192,2745,1046,1010,516,2965,792,2454,741,511,367,3303,838,2611,789,692,327,1749,593,1628,581,121,124,587,302,484,258,103,168,592,350,592,350,0,246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,255000,5585,26494,2189,24942,2248,1552,810,52398,3352,48269,3169,4129,1503,31239,2021,22258,2548,8981,1700,36205,1933,28383,2372,7822,1551,36402,1574,29844,2060,6558,1420,33668,1375,26714,1784,6954,1646,21709,855,18934,1391,2775,1034,10698,631,10585,628,113,188,6187,592,6038,642,149,176,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,451341,4234,49655,2272,48606,2329,1049,587,90044,3085,84098,3407,5946,1773,54810,2697,34470,3334,20340,2649,60643,3026,37366,2945,23277,2720,55331,2641,37619,2797,17712,2482,60101,2672,46946,2684,13155,1760,43534,1801,35615,1973,7919,1241,21328,1512,21172,1502,156,166,15895,1340,15895,1340,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2149314,14133,170890,4495,160674,4646,10216,1863,379965,8012,354892,8300,25073,4143,247054,4914,181381,5903,65673,5123,281507,4893,200116,5372,81391,5032,289395,4783,228623,5000,60772,4083,326461,3604,268087,4872,58374,3802,238195,2711,204993,4144,33202,3382,128957,2051,127432,2078,1525,662,86890,1684,85924,1672,966,501,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184423,4881,17163,1827,15292,1970,1871,961,36877,2935,33309,3093,3568,1368,19445,1388,11546,1627,7899,1522,24775,1904,15764,1784,9011,1821,25631,1398,20984,1775,4647,1355,28804,1476,22828,1956,5976,1281,17823,1209,14579,1316,3244,849,8156,1015,8096,1016,60,98,5749,735,5749,735,0,279,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,346300,5474,27912,2034,26767,1977,1145,794,68186,2768,64039,2927,4147,1346,41942,1705,33185,1708,8757,1614,45870,1558,36359,2120,9511,1654,49936,1476,39329,2132,10607,2164,50643,1477,41743,2275,8900,1847,31951,1010,28055,1173,3896,1052,19376,1081,18708,1142,668,469,10484,908,10369,925,115,134,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,186612,2689,17022,1539,16673,1586,349,270,37951,1385,36789,1599,1162,778,22823,1119,18569,1540,4254,1085,21852,1232,19043,1384,2809,845,26260,1069,22860,1525,3400,1238,26641,708,23787,1155,2854,935,18658,399,16986,695,1672,631,9917,346,9848,350,69,91,5488,539,5488,539,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,302446,2696,21253,1043,21003,1072,250,252,45527,1189,44225,1299,1302,671,35939,724,31324,1213,4615,1192,39611,992,32953,1734,6658,1560,35864,521,31531,1302,4333,1286,45884,676,41253,1290,4631,1255,37367,864,34555,1235,2812,952,21909,502,21383,672,526,478,19092,710,19092,710,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2893523,15792,275868,6145,250010,6658,25858,3726,577933,7826,485802,9954,92131,6806,351222,5626,195256,7034,155966,7067,398665,6673,235794,7167,162871,7178,383395,5431,257292,6730,126103,5869,390938,5508,273445,6446,117493,5507,271222,3164,203683,4770,67539,3907,147704,3130,140853,3451,6851,1831,96576,2737,92101,3030,4475,1379,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
