GEO_ID,C15002C_001E,C15002C_001M,C15002C_002E,C15002C_002M,C15002C_003E,C15002C_003M,C15002C_004E,C15002C_004M,C15002C_005E,C15002C_005M,C15002C_006E,C15002C_006M,C15002C_007E,C15002C_007M,C15002C_008E,C15002C_008M,C15002C_009E,C15002C_009M,C15002C_010E,C15002C_010M,C15002C_011E,C15002C_011M,NAME,C15002C_001EA,C15002C_001MA,C15002C_002EA,C15002C_002MA,C15002C_003EA,C15002C_003MA,C15002C_004MA,C15002C_004EA,C15002C_005MA,C15002C_005EA,C15002C_006EA,C15002C_006MA,C15002C_007EA,C15002C_007MA,C15002C_008EA,C15002C_008MA,C15002C_009EA,C15002C_009MA,C15002C_010MA,C15002C_010EA,C15002C_011MA,C15002C_011EA,state
0400000US01,16356,2076,7687,1411,1997,768,2266,653,1838,613,1586,595,8669,1243,2390,768,3100,836,2101,605,1078,502,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,55227,2146,26068,1643,5204,936,13041,1459,6453,1034,1370,597,29159,1471,6197,927,9670,1266,10438,1118,2854,936,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,155332,3757,73034,2326,18998,1713,28469,1925,21159,2452,4408,1110,82298,2363,21683,2009,22495,2338,30386,2225,7734,1281,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,11895,1788,5116,1057,685,379,1611,578,1840,853,980,535,6779,1432,897,485,2039,754,3100,995,743,448,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,177242,6985,85317,4195,23401,2529,20999,2304,29256,2538,11661,1560,91925,4749,21278,2540,22090,2394,35559,2633,12998,1933,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31580,3380,16432,1917,3752,1148,5205,1149,5032,1097,2443,696,15148,2113,2388,967,4607,1006,6201,1291,1952,619,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,4011,964,2094,809,623,518,607,296,462,328,402,343,1917,559,468,318,671,327,347,207,431,281,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,1544,510,873,390,238,163,204,140,160,272,271,225,671,328,118,137,257,220,223,189,73,92,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,43479,4441,22080,2894,6798,1880,5325,1325,6833,1852,3124,870,21399,2929,3723,1068,6833,1367,7222,1787,3621,1243,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
