GEO_ID,C15002E_001E,C15002E_001M,C15002E_002E,C15002E_002M,C15002E_003E,C15002E_003M,C15002E_004E,C15002E_004M,C15002E_005E,C15002E_005M,C15002E_006E,C15002E_006M,C15002E_007E,C15002E_007M,C15002E_008E,C15002E_008M,C15002E_009E,C15002E_009M,C15002E_010E,C15002E_010M,C15002E_011E,C15002E_011M,NAME,C15002E_001MA,C15002E_001EA,C15002E_002EA,C15002E_002MA,C15002E_003EA,C15002E_003MA,C15002E_004MA,C15002E_004EA,C15002E_005MA,C15002E_005EA,C15002E_006MA,C15002E_006EA,C15002E_007EA,C15002E_007MA,C15002E_008EA,C15002E_008MA,C15002E_009EA,C15002E_009MA,C15002E_010MA,C15002E_010EA,C15002E_011MA,C15002E_011EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3012,821,1489,640,123,146,586,413,634,434,146,195,1523,360,247,199,609,261,555,280,112,133,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7523,1367,5018,976,492,331,1632,639,1391,550,1503,796,2505,831,0,305,605,411,1611,820,289,234,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2013,507,988,358,102,116,655,283,231,164,0,273,1025,225,274,251,271,233,372,294,108,138,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,84273,3145,41040,2414,5901,1391,12722,1798,16474,2354,5943,1343,43233,2027,5295,1127,13599,1888,17292,2125,7047,1469,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2729,839,1571,657,444,315,708,506,126,164,293,329,1158,396,0,279,448,307,645,367,65,108,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7593,1664,3891,1223,780,403,1329,624,1217,697,565,355,3702,1146,427,235,995,401,1610,803,670,658,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1726,551,867,461,27,43,458,382,220,230,162,83,859,362,113,134,177,181,379,267,190,139,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
