GEO_ID,C15010_001E,C15010_001M,C15010_002E,C15010_002M,C15010_003E,C15010_003M,C15010_004E,C15010_004M,C15010_005E,C15010_005M,C15010_006E,C15010_006M,NAME,C15010_001EA,C15010_001MA,C15010_002EA,C15010_002MA,C15010_003EA,C15010_003MA,C15010_004MA,C15010_004EA,C15010_005EA,C15010_005MA,C15010_006EA,C15010_006MA,state
0400000US01,692695,11928,201515,6694,68348,4216,162391,7230,128767,5836,131674,5088,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,125823,5649,50089,3459,12632,1713,17959,2298,15798,1788,29345,2644,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1074035,15474,348220,9541,98546,5109,233934,8031,165344,7789,227991,8331,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,374018,10531,109226,5499,35729,3012,80015,4341,78616,4329,70432,4182,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7251271,41850,2932200,26836,562328,11263,1341061,19458,573113,10758,1842569,23472,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1211230,15523,459297,10575,100953,5109,240308,8013,137906,6074,272766,8312,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,865299,14071,312406,7752,70049,4205,173551,6797,101255,5134,208038,7211,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,167068,5686,60007,3576,14811,1500,34735,2705,22167,1816,35348,2991,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,208824,4572,99670,4342,6961,1531,23382,2926,9693,1640,69118,3568,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3371251,27946,1057310,16266,320944,9067,814554,11996,521145,12418,657298,12094,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1701758,20212,540580,11534,152133,6381,413586,10630,241308,8445,354151,8904,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,273574,7490,100021,4972,22895,2550,51859,3247,36505,3125,62294,4107,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,240928,6860,81845,4122,23211,2401,42668,3920,42200,3145,51004,3894,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2603917,21666,848250,14828,234179,7198,563709,11686,374375,9337,583404,12568,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,959113,13192,274993,7204,111270,5860,202098,6604,172661,6137,198091,7431,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,503551,11957,151332,5941,49167,3159,99894,4814,103807,4807,99351,4634,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,547888,10838,158315,5222,52134,3390,118553,5275,100635,4160,118251,5984,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,596383,11560,178836,6810,65850,3620,116745,5067,108203,4982,126749,5604,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,630895,12380,183423,6842,73717,4541,124906,5793,118494,5262,130355,5187,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,250969,6773,87755,4211,23618,2245,35760,2967,41541,2732,62295,4314,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1396843,17610,582603,12212,114778,5338,239265,8358,147514,6008,312683,7620,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1738899,17070,685726,12265,137069,6169,320772,9240,169783,6194,425549,10163,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1655181,17276,530945,11323,168868,5631,357010,8543,270120,8094,328238,8185,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1122836,14058,380188,8826,102539,4156,218992,7371,171963,5072,249154,6439,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,371519,9137,95423,4710,40642,3599,80133,4794,85507,4772,69814,4128,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1019819,14714,299394,5903,102842,4797,219987,6935,179778,6595,217818,7626,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,193860,7025,66597,4508,21001,2390,30085,2764,36211,2705,39966,2990,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,339071,6957,92476,4199,36455,2555,74212,3911,69008,3623,66920,3586,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,388125,10981,118968,5253,39535,3799,89231,4928,52920,3783,87471,5464,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,297481,7537,110552,4433,22756,1732,59175,3236,36666,2742,68332,4075,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2113316,19302,768962,12254,164711,6308,464133,11328,265410,7288,450100,10105,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,335076,8912,125437,5613,28510,2565,49936,3419,57167,4567,74026,4026,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,4259792,28577,1447191,16914,364970,8183,791224,16273,519839,11588,1136568,15981,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1673319,21717,566313,11738,150816,5791,340160,9928,240957,8680,375073,10429,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,122299,4358,31359,2426,15980,1731,22982,1989,27793,1906,24185,2300,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1900790,19109,580300,10103,191136,6544,401341,8312,342816,9062,385197,8912,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,560541,10991,160594,7164,53991,3322,125707,5234,110848,4329,109401,4165,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,751803,11691,291240,7244,58758,4515,108476,4935,97532,4603,195797,6649,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2343485,24868,799674,14383,227372,7515,448130,10152,377067,9921,491242,11263,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,214586,6057,72556,3499,21483,2284,37932,2893,27895,2689,54720,4106,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,754491,13237,232373,8372,72740,4634,170445,7223,119874,4968,159059,6517,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,139786,4967,41969,3165,16839,1556,25260,2002,31470,2745,24248,2262,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,980364,15614,288779,7622,94221,4618,221988,7325,165583,6579,209793,7297,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,4091770,35016,1393006,18667,338870,8587,947652,17546,597671,13329,814571,16779,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,465141,8736,154309,5970,41036,2878,87197,4659,69927,3288,112672,4851,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,144831,4407,54714,3174,12722,1471,14962,1557,19560,1610,42873,2738,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1835618,18618,747371,12262,133002,5205,339000,8601,197350,6812,418895,9384,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1399238,16587,554185,10244,121421,5934,224533,7899,160039,6251,339060,9203,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,226845,7155,63475,4165,24373,2152,42974,3002,53539,3363,42484,3279,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1001353,11838,314899,7277,108858,4133,195352,5959,173755,6179,208489,5571,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,89474,5086,34791,3161,8241,1273,11967,1766,19458,2212,15017,1980,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,544421,9989,145787,6547,53880,3663,163141,6566,111517,5164,70096,4399,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
