GEO_ID,C16001_001E,C16001_001M,C16001_002E,C16001_002M,C16001_003E,C16001_003M,C16001_004E,C16001_004M,C16001_005E,C16001_005M,C16001_006E,C16001_006M,C16001_007E,C16001_007M,C16001_008E,C16001_008M,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M,C16001_012E,C16001_012M,C16001_013E,C16001_013M,NAME,C16001_001MA,C16001_001EA,C16001_002EA,C16001_002MA,C16001_003MA,C16001_003EA,C16001_004MA,C16001_004EA,C16001_005EA,C16001_005MA,C16001_006MA,C16001_006EA,C16001_007EA,C16001_007MA,C16001_008EA,C16001_008MA,C16001_009MA,C16001_009EA,C16001_010MA,C16001_010EA,C16001_011MA,C16001_011EA,C16001_012EA,C16001_012MA,C16001_013EA,C16001_013MA,state
0400000US01,4477229,3071,4246569,9029,152831,6305,9224,1624,11627,1847,2322,1048,15881,2661,5846,1519,8564,2340,6041,1319,3026,1115,8284,2299,7014,2096,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,660403,1218,551159,5408,21950,2946,2008,667,5202,1413,6168,1947,3459,1123,4483,1643,1885,1192,320,219,15017,2341,15285,3429,33467,2603,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5957961,1719,4365286,22587,1214905,18737,17685,2936,23982,3119,21127,3517,48293,5187,10391,3597,28648,4819,21221,4591,18399,3351,32843,4853,155181,8588,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2727155,2544,2539497,7449,136992,5221,5207,1271,7378,2044,1108,523,8908,2158,1104,678,3518,1279,4666,1756,2911,1163,12435,2414,3431,1496,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34820465,2428,19588115,60893,10059973,43652,131742,7946,137092,6520,227514,12175,985245,25372,382768,14761,1046502,22962,510219,17449,761129,21238,657250,23114,332916,17136,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4706794,1540,3901647,19549,573076,16522,18614,2982,25717,3225,27373,4196,34631,4417,16223,3180,16907,3125,22989,3999,7916,2365,27154,3946,34547,4377,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3375388,930,2657608,13477,354079,7611,53401,5509,14673,2436,66859,6666,136912,8954,6748,2342,25525,3869,9321,3638,9059,2024,22306,4038,18897,3051,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,843674,492,742113,5186,58082,3664,4966,1815,4634,1585,2771,1018,12793,2164,538,560,6006,1430,383,332,2595,1021,4726,1275,4067,1535,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,571592,205,488519,5212,39395,3672,9184,1795,3127,1098,2610,853,7700,1439,1610,836,4557,1278,805,534,831,510,2175,786,11079,2245,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17775340,3060,12907073,31111,3566655,20841,478014,19596,95839,7358,94827,7651,287638,12337,19170,3324,54575,6892,57688,6822,54166,6302,72859,6595,86836,6894,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9030273,3859,7848274,17645,702834,10197,50259,4429,33534,3775,28194,4853,113929,7673,45517,5554,39056,4824,42358,5931,9560,2044,51466,5640,65292,7268,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1276928,794,946335,15000,26129,3698,6524,1911,6784,1545,2511,1104,6806,1475,19535,4111,30986,4706,8696,2520,53615,5926,166968,12993,2039,985,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1450742,1276,1298303,6456,115071,5315,4325,1085,5723,1777,6479,2392,5196,1523,1462,705,2696,1206,940,642,527,506,5831,1618,4189,1036,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12010235,1928,9366090,23401,1560521,14496,38612,4593,54891,4187,296916,12559,277822,12609,43935,5375,90376,8188,23775,4217,80592,7290,76992,6945,99713,7874,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6057306,2657,5570100,12647,267486,7070,14160,2673,62198,6550,22770,3484,38902,4055,6272,1753,22956,3471,5670,1964,5492,1491,18892,2987,22408,4056,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2850218,1644,2639788,6136,115252,3878,6794,1629,16325,2676,14714,2947,9228,1489,3917,1611,6729,1719,8361,1951,2368,868,13745,2186,12997,2500,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2654069,2092,2362453,8577,191156,7604,5298,1327,18320,2811,5444,2426,14188,2833,2815,1159,12406,3492,10307,2259,4391,1693,15324,2726,11967,2464,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4066511,2796,3871484,8440,100988,5705,6273,1391,19528,3387,11718,3021,13263,2696,1738,727,7042,1951,6953,2093,3188,1424,12856,2650,11480,2558,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4230220,2141,3853543,11050,147795,5910,142927,6573,6094,1242,4807,1895,15699,2955,2265,1030,8607,1774,25707,3382,3737,1166,10054,2157,8985,2319,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1258997,1059,1174945,4761,9678,1751,46812,3499,2384,744,3363,1250,5683,1240,1070,597,2634,1202,2262,1460,815,462,1809,1092,7542,1245,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5421054,1691,4525048,16611,355323,9911,68090,6616,26357,3518,32049,3966,119705,8462,37665,5600,61452,5028,20432,5339,35011,4926,44772,6260,95150,8919,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
