GEO_ID,C17014_001E,C17014_001M,C17014_002E,C17014_002M,C17014_003E,C17014_003M,C17014_004E,C17014_004M,C17014_005E,C17014_005M,C17014_006E,C17014_006M,C17014_007E,C17014_007M,C17014_008E,C17014_008M,C17014_009E,C17014_009M,C17014_010E,C17014_010M,C17014_011E,C17014_011M,NAME,C17014_001MA,C17014_001EA,C17014_002MA,C17014_002EA,C17014_003EA,C17014_003MA,C17014_004MA,C17014_004EA,C17014_005MA,C17014_005EA,C17014_006MA,C17014_006EA,C17014_007EA,C17014_007MA,C17014_008EA,C17014_008MA,C17014_009EA,C17014_009MA,C17014_010MA,C17014_010EA,C17014_011EA,C17014_011MA,state
0400000US01,1227884,13886,180849,6757,68970,4078,88307,4965,21400,2608,2172,754,1047035,12901,158918,5344,345162,8814,449582,10358,93373,4713,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,12277,1505,4271,992,6007,1016,1740,585,259,132,158582,4656,9797,1317,49485,3437,79172,4225,20128,1969,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,194239,8312,68715,4893,93893,5417,27559,3047,4072,1131,1354189,11236,214843,5631,461431,10588,552553,10278,125362,5807,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,107243,4728,36361,3136,56660,4090,13232,1823,990,429,654118,7896,99489,3769,206985,7676,290599,7675,57045,3459,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,1003305,17807,335496,8412,490834,12723,145832,6430,31143,3140,7504551,26422,779868,9814,2450977,22415,3213100,22562,1060606,15722,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,118446,6082,35561,3232,61468,4494,18083,2183,3334,941,1140439,10316,112658,4193,341497,8371,567275,8938,119009,5023,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,63695,4324,25228,3021,30924,2726,6287,1420,1256,633,827075,9311,86256,3806,244286,8033,380341,7749,116192,5166,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,17881,2221,6863,1338,8795,1633,2004,823,219,177,203352,5101,27867,1968,62805,3921,90106,4041,22574,2098,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,14285,1749,7959,1456,5199,1290,830,433,297,232,87234,3887,5946,1128,31910,2756,42067,2907,7311,1153,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,548767,9830,212707,7332,262712,8442,65022,4787,8326,1449,4008163,23287,697896,11218,1318413,20635,1617173,18173,374681,9779,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2385969,17984,325880,9256,112148,5649,173266,7417,35237,2824,5229,1321,2060089,17879,226679,5232,705023,13134,929365,14141,199022,7621,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,303075,5409,22324,2366,8290,1527,11269,1741,2380,744,385,302,280751,5326,27033,1978,81788,4041,123461,4558,48469,3186,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,401806,7285,46538,2990,11690,2190,24747,2648,8889,1402,1212,550,355268,7116,46430,2783,104943,4959,165054,5493,38841,2724,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3133813,17339,314986,8610,106586,4392,164075,8091,38894,3722,5431,1213,2818827,14565,312152,6190,851083,13691,1280665,13402,374927,7447,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1656386,11547,181892,6598,61989,4368,95795,4679,22140,2604,1968,633,1474494,11123,181150,4967,467085,8215,669065,10310,157194,5691,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,793768,7580,65423,3399,16962,2015,37388,2884,9041,1165,2032,568,728345,7976,84174,3121,180322,5316,383397,7618,80452,3546,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,721592,9016,68317,4100,17908,1745,39818,3053,8663,1509,1928,649,653275,9369,67077,2756,183432,5662,330639,7931,72127,3532,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1126685,9960,163415,6061,69242,3979,74473,4070,17896,2118,1804,691,963270,10364,144668,4142,307899,8691,421118,8408,89585,4765,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1129117,11989,163646,5973,58601,3980,86268,4886,16812,2403,1965,837,965471,10427,115515,4343,330246,8032,420837,8140,98873,5266,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
