GEO_ID,C17023_001E,C17023_001M,C17023_002E,C17023_002M,C17023_003E,C17023_003M,C17023_004E,C17023_004M,C17023_005E,C17023_005M,C17023_006E,C17023_006M,C17023_007E,C17023_007M,C17023_008E,C17023_008M,C17023_009E,C17023_009M,C17023_010E,C17023_010M,C17023_011E,C17023_011M,C17023_012E,C17023_012M,C17023_013E,C17023_013M,C17023_014E,C17023_014M,C17023_015E,C17023_015M,C17023_016E,C17023_016M,C17023_017E,C17023_017M,C17023_018E,C17023_018M,C17023_019E,C17023_019M,C17023_020E,C17023_020M,C17023_021E,C17023_021M,C17023_022E,C17023_022M,C17023_023E,C17023_023M,NAME,C17023_001EA,C17023_001MA,C17023_002MA,C17023_002EA,C17023_003MA,C17023_003EA,C17023_004MA,C17023_004EA,C17023_005EA,C17023_005MA,C17023_006EA,C17023_006MA,C17023_007EA,C17023_007MA,C17023_008MA,C17023_008EA,C17023_009EA,C17023_009MA,C17023_010EA,C17023_010MA,C17023_011EA,C17023_011MA,C17023_012EA,C17023_012MA,C17023_013MA,C17023_013EA,C17023_014EA,C17023_014MA,C17023_015MA,C17023_015EA,C17023_016EA,C17023_016MA,C17023_017EA,C17023_017MA,C17023_018EA,C17023_018MA,C17023_019MA,C17023_019EA,C17023_020EA,C17023_020MA,C17023_021EA,C17023_021MA,C17023_022EA,C17023_022MA,C17023_023EA,C17023_023MA,state
0400000US01,1227884,13886,180849,6757,56212,3459,27187,2303,29025,3048,124637,6103,16878,2581,6537,1353,10341,2215,107759,4952,28200,2583,79559,5021,1047035,12901,812734,12086,520812,8787,291922,7483,234301,7336,62430,4463,36420,3748,26010,2580,171871,6410,97336,4222,74535,4738,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,12277,1505,3588,812,1186,448,2402,713,8689,1163,1709,583,426,289,1283,519,6980,1013,908,382,6072,1008,158582,4656,124381,4730,65608,3239,58773,3636,34201,2515,12502,1832,5238,1154,7264,1340,21699,2139,8568,1344,13131,1761,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,194239,8312,81946,4465,29691,2585,52255,3498,112293,6405,23173,2641,8285,1672,14888,2114,89120,6024,20985,2669,68135,5235,1354189,11236,1052283,11352,663195,9441,389088,9043,301906,8970,100599,6134,50079,4482,50520,3812,201307,6753,95569,4352,105738,4882,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,107243,4728,37321,2720,16325,1756,20996,2281,69922,4568,12037,2148,4043,1125,7994,1722,57885,3869,12252,1572,45633,3318,654118,7896,517625,8143,335953,5818,181672,5149,136493,5972,39583,3040,22580,2431,17003,1926,96910,4853,51442,3289,45468,3633,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,1003305,17807,437443,10169,132347,5385,305096,8335,565862,14438,121378,7334,36298,3787,85080,6331,444484,10980,99940,5417,344544,9050,7504551,26422,5645123,26318,3091236,19200,2553887,20511,1859428,20517,615248,12067,363028,10154,252220,7615,1244180,18019,681564,12900,562616,15499,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,118446,6082,45684,3914,17099,1944,28585,2962,72762,4791,13751,2325,3899,1032,9852,1958,59011,3914,10526,1559,48485,3569,1140439,10316,913940,10744,531217,8502,382723,8539,226499,6124,76767,4664,37447,3008,39320,3522,149732,5449,71443,3936,78289,3968,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,63695,4324,18642,2308,8412,1641,10230,1589,45053,3592,5956,1524,1790,833,4166,1200,39097,3313,7936,1281,31161,3292,827075,9311,637987,8316,367827,6627,270160,6062,189088,6835,52369,3990,31145,2969,21224,2406,136719,6555,65697,4263,71022,4669,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,17881,2221,5527,1251,2333,776,3194,1079,12354,1739,1957,722,345,268,1612,678,10397,1518,1880,557,8517,1477,203352,5101,156048,4811,97094,3741,58954,3015,47304,3417,12167,1778,6322,1239,5845,1282,35137,3242,16799,1908,18338,2516,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,14285,1749,1765,604,918,486,847,421,12520,1612,1209,562,676,454,533,348,11311,1444,3536,861,7775,1396,87234,3887,55510,2748,35625,2549,19885,1759,31724,2645,7531,1181,4482,977,3049,793,24193,2321,14219,1609,9974,1499,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,548767,9830,218862,8016,105817,6110,113045,6129,329905,9401,58942,4362,24783,2536,34159,3637,270963,8493,72762,3913,198201,7870,4008163,23287,3089022,22163,2061009,17657,1028013,14178,919141,15599,254363,9459,148078,7085,106285,6543,664778,11688,354255,9590,310523,7703,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2385969,17984,325880,9256,111597,5605,41415,3015,70182,4709,214283,8016,32918,3142,13162,2045,19756,2605,181365,7566,47998,3441,133367,6266,2060089,17879,1577299,16800,920139,13257,657160,11785,482790,11183,128083,5569,73482,4772,54601,3874,354707,9636,180514,6078,174193,6397,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,303075,5409,22324,2366,9494,1643,4700,1065,4794,1162,12830,1819,1863,773,596,357,1267,626,10967,1632,2980,916,7987,1295,280751,5326,214908,5213,130794,4123,84114,3765,65843,3781,22384,2767,15309,2303,7075,1283,43459,2637,28755,2197,14704,2017,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,401806,7285,46538,2990,23336,2353,8819,1493,14517,1842,23202,2599,4750,1116,1569,638,3181,938,18452,2297,3406,1070,15046,2039,355268,7116,298793,6711,176690,4679,122103,4749,56475,3535,18833,2351,8618,1683,10215,1713,37642,2782,15442,1612,22200,2263,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3133813,17339,314986,8610,105563,5863,35597,2648,69966,4669,209423,7163,34831,3007,11620,1608,23211,2908,174592,6514,38945,2931,135647,6205,2818827,14565,2195446,14935,1270448,12860,924998,11845,623381,10814,185366,6673,106089,5814,79277,4995,438015,9314,235297,7139,202718,7268,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1656386,11547,181892,6598,63741,3808,23014,2266,40727,3374,118151,5751,19998,2803,5530,1190,14468,2467,98153,5297,16119,2117,82034,4549,1474494,11123,1172777,11602,724484,9297,448293,9308,301717,7236,90665,4449,44314,3020,46351,3630,211052,5960,104489,4429,106563,4472,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,793768,7580,65423,3399,25747,2356,10279,1493,15468,1776,39676,3011,5367,1054,1768,512,3599,870,34309,2802,4309,887,30000,2550,728345,7976,607855,8340,377871,5604,229984,5703,120490,5043,41462,3154,18074,2216,23388,2477,79028,3985,34472,2567,44556,3173,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,721592,9016,68317,4100,22530,2426,8347,1205,14183,1974,45787,3510,7354,1360,1878,775,5476,1224,38433,3525,5155,1079,33278,3374,653275,9369,536669,8309,329762,6060,206907,6134,116606,4564,39338,3043,18501,2085,20837,2467,77268,4092,33838,2603,43430,3315,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1126685,9960,163415,6061,61906,4066,29579,2803,32327,2822,101509,4591,19294,2346,6903,1455,12391,1859,82215,4449,16832,2245,65383,3726,963270,10364,771966,10441,488079,7931,283887,7265,191304,7057,57538,4091,29801,2775,27737,3023,133766,5761,70875,3513,62891,4127,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1129117,11989,163646,5973,38472,3191,19157,2215,19315,2499,125174,5294,15315,1986,5708,1224,9607,1637,109859,5149,28630,3163,81229,4439,965471,10427,714951,9990,443782,7947,271169,7795,250520,7824,64245,4055,36584,2879,27661,2967,186275,7280,102490,5106,83785,4718,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,345328,4830,30399,2206,10311,1440,5243,1185,5068,958,20088,1722,3402,935,1095,491,2307,815,16686,1587,2580,691,14106,1462,314929,4967,256359,4612,171423,4073,84936,4048,58570,3265,20218,2216,8939,1540,11279,1521,38352,3025,18018,2076,20334,2036,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1431958,12327,94931,5235,25228,3033,11619,1506,13609,2358,69703,4434,11622,1860,4975,1341,6647,1531,58081,4272,13641,1823,44440,3620,1337027,12969,997385,13246,580553,9990,416832,9053,339642,9995,92490,5678,52258,4373,40232,3741,247152,8355,125097,5904,122055,5706,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1590257,14005,131047,6613,34122,2974,16024,1934,18098,2120,96925,5882,13385,1876,4661,1001,8724,1608,83540,5378,17016,2523,66524,4787,1459210,13611,1132082,12123,651633,9559,480449,8559,327128,9180,87015,4561,50308,3174,36707,3397,240113,8018,124717,6184,115396,5217,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2508780,17418,302858,7772,102300,4512,39683,2445,62617,3698,200558,6679,33163,3103,11796,1483,21367,2379,167395,6356,35075,2574,132320,5550,2205922,15946,1742794,14735,1086971,10951,655823,10739,463128,9559,135174,6154,73032,4369,62142,4076,327954,8004,176534,5867,151420,5537,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1353758,11075,101698,3976,34533,2311,13740,1387,20793,2010,67165,3629,13076,1660,3350,713,9726,1521,54089,3276,6179,1169,47910,3076,1252060,10165,1034467,10298,607970,8070,426497,7397,217593,6684,74681,4050,37713,2630,36968,2961,142912,4974,61239,3454,81673,4122,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,746115,9375,132450,6296,37301,3420,16830,2284,20471,2765,95149,5211,14315,2231,5091,1283,9224,1811,80834,4632,24708,2368,56126,3969,613665,9726,464270,7598,291422,6711,172848,5861,149395,6395,37085,3545,22632,2489,14453,2065,112310,5250,62636,3717,49674,3701,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1524078,14162,161889,5873,59104,3583,26784,2112,32320,2900,102785,5132,17917,2415,4598,925,13319,2179,84868,4467,14791,2014,70077,4080,1362189,13252,1087397,11788,682880,8665,404517,8339,274792,7764,81890,4647,39528,3130,42362,3765,192902,6430,98946,4520,93956,5423,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,255199,5113,25541,2588,12047,1760,5898,1277,6149,1191,13494,1837,2900,967,787,342,2113,857,10594,1758,1952,593,8642,1599,229658,4980,191453,4688,124863,3608,66590,3448,38205,2591,14026,1514,6741,1219,7285,1110,24179,2248,11707,1282,12472,1821,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,468407,6176,41208,3862,15232,2055,5553,958,9679,1762,25976,2861,5807,1434,1359,549,4448,1312,20169,2344,3073,922,17096,2103,427199,5991,352791,5753,214065,4626,138726,4118,74408,3228,25370,2418,12759,1667,12611,1548,49038,2629,21901,1862,27137,2145,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,639686,9203,71187,4686,28275,3132,9231,1481,19044,2522,42912,3843,8957,1688,2113,850,6844,1595,33955,3675,7519,1489,26436,3492,568499,9295,424086,8182,249398,6221,174688,6301,144413,5929,54370,3861,27690,3002,26680,2868,90043,4671,45907,3111,44136,3553,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,344057,6102,18142,2094,5739,1072,2962,681,2777,869,12403,1964,2246,864,394,334,1852,760,10157,1638,1239,634,8918,1580,325915,5818,268456,5690,167687,4851,100769,4002,57459,3802,19959,2437,9262,1677,10697,2028,37500,2677,18879,1882,18621,2097,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2185732,12750,170117,6629,55060,3808,22300,2633,32760,2982,115057,6263,15416,2238,4830,1104,10586,1797,99641,5522,21061,2193,78580,5257,2015615,12335,1559170,11881,861310,10665,697860,7735,456445,9525,138620,4557,82992,4417,55628,3715,317825,8958,185727,8278,132098,6309,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
