GEO_ID,C20005_001E,C20005_001M,C20005_002E,C20005_002M,C20005_003E,C20005_003M,C20005_004E,C20005_004M,C20005_005E,C20005_005M,C20005_006E,C20005_006M,C20005_007E,C20005_007M,C20005_008E,C20005_008M,C20005_009E,C20005_009M,C20005_010E,C20005_010M,C20005_011E,C20005_011M,C20005_012E,C20005_012M,C20005_013E,C20005_013M,C20005_014E,C20005_014M,C20005_015E,C20005_015M,C20005_016E,C20005_016M,C20005_017E,C20005_017M,C20005_018E,C20005_018M,C20005_019E,C20005_019M,C20005_020E,C20005_020M,C20005_021E,C20005_021M,C20005_022E,C20005_022M,C20005_023E,C20005_023M,C20005_024E,C20005_024M,C20005_025E,C20005_025M,C20005_026E,C20005_026M,C20005_027E,C20005_027M,C20005_028E,C20005_028M,C20005_029E,C20005_029M,C20005_030E,C20005_030M,C20005_031E,C20005_031M,C20005_032E,C20005_032M,C20005_033E,C20005_033M,C20005_034E,C20005_034M,C20005_035E,C20005_035M,C20005_036E,C20005_036M,C20005_037E,C20005_037M,C20005_038E,C20005_038M,C20005_039E,C20005_039M,NAME,C20005_001EA,C20005_001MA,C20005_002EA,C20005_002MA,C20005_003MA,C20005_003EA,C20005_004EA,C20005_004MA,C20005_005MA,C20005_005EA,C20005_006EA,C20005_006MA,C20005_007EA,C20005_007MA,C20005_008EA,C20005_008MA,C20005_009MA,C20005_009EA,C20005_010MA,C20005_010EA,C20005_011EA,C20005_011MA,C20005_012MA,C20005_012EA,C20005_013MA,C20005_013EA,C20005_014MA,C20005_014EA,C20005_015MA,C20005_015EA,C20005_016MA,C20005_016EA,C20005_017EA,C20005_017MA,C20005_018MA,C20005_018EA,C20005_019EA,C20005_019MA,C20005_020MA,C20005_020EA,C20005_021MA,C20005_021EA,C20005_022EA,C20005_022MA,C20005_023EA,C20005_023MA,C20005_024EA,C20005_024MA,C20005_025MA,C20005_025EA,C20005_026EA,C20005_026MA,C20005_027MA,C20005_027EA,C20005_028EA,C20005_028MA,C20005_029EA,C20005_029MA,C20005_030MA,C20005_030EA,C20005_031MA,C20005_031EA,C20005_032MA,C20005_032EA,C20005_033EA,C20005_033MA,C20005_034EA,C20005_034MA,C20005_035EA,C20005_035MA,C20005_036MA,C20005_036EA,C20005_037MA,C20005_037EA,C20005_038MA,C20005_038EA,C20005_039EA,C20005_039MA,state
0400000US01,3785555,4340,1810815,3872,793521,11457,54,89,793467,11455,16446,2444,90131,5622,128197,6046,231482,7865,169017,6490,158194,6420,1017294,12516,614200,10507,403094,8922,197276,6696,95762,5452,46239,3650,35654,2949,15804,1996,12359,1906,1974740,3613,613905,8613,31,55,613874,8614,21467,2134,113278,5181,148348,6595,191752,6524,94127,5238,44902,3388,1360835,8482,880207,10997,480628,9377,269784,7777,115126,5703,41919,3186,34365,2551,14485,1460,4949,1050,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,546981,1582,284507,1399,135731,4541,155,164,135576,4541,1819,578,7826,1412,16472,2167,30198,2699,39582,3280,39679,2863,148776,4704,51675,3025,97101,4120,33433,2689,20268,1883,12914,1781,11097,1721,10650,1562,8739,1434,262474,1206,94433,4255,19,33,94414,4257,1931,742,10460,1858,13814,1988,31668,2521,21474,2209,15067,1822,168041,4406,78068,3599,89973,3573,39047,2756,21018,2578,13555,1760,9658,1401,4509,816,2186,788,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4963740,4639,2448501,3913,1050647,12605,239,208,1050408,12564,19823,2492,112713,6759,155533,7824,306349,9519,220404,8938,235586,7374,1397854,12701,816039,11269,581815,11196,269751,8590,132663,6827,69313,4710,62677,3739,24241,2606,23170,3030,2515239,3465,792722,13579,61,102,792661,13578,18740,2456,99027,5013,169767,6629,276313,9519,139847,6849,88967,3944,1722517,13596,1092857,13163,629660,11006,312653,8742,161756,6793,65940,5002,57501,4682,22528,2583,9282,1821,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2290670,4069,1108867,4134,489760,7445,15,24,489745,7446,11520,2113,62301,4050,88683,4572,158813,6074,94444,4948,73984,3886,619107,8690,367535,7096,251572,7743,128574,5585,56734,4326,28817,2544,22155,2345,8733,1605,6559,1267,1181803,3203,388868,7918,0,273,388868,7918,12108,1668,82449,4764,105124,5019,117370,5299,49489,3053,22328,2219,792935,8472,497990,8028,294945,8488,163530,6190,79307,4465,23567,2723,19427,1844,6612,1093,2502,650,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29159527,10611,14383067,8797,6374755,29390,224,188,6374531,29398,123765,8263,680099,15738,883534,16949,1523308,21967,1290316,17910,1873509,18316,8008312,30572,4379863,25114,3628449,25758,1458622,19664,888489,13447,446030,11577,420488,9316,211462,8911,203358,6394,14776460,9125,4536287,30967,478,358,4535809,30957,111183,4839,579036,14573,739588,15523,1298229,20803,933981,16285,873792,15326,10240173,33063,6270977,34640,3969196,33795,1787613,24619,977485,16692,456185,10749,383662,9929,208242,7626,156009,6823,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3955676,4325,1969530,3935,977373,10327,0,279,977373,10327,18437,2187,79495,5268,124075,6202,261883,9016,226104,6684,267379,7754,992157,11177,450716,9096,541441,9485,244121,6967,120723,5859,66075,3915,60570,3652,26056,2582,23896,2470,1986146,3174,707960,10271,460,427,707500,10208,17566,2097,80074,4909,124873,6028,238007,6755,145368,5644,101612,5459,1278186,11157,674974,10817,603212,9356,292425,7729,148145,6562,74147,3661,54915,2906,22462,2435,11118,1477,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2862777,2581,1373102,2159,662152,9307,74,123,662078,9307,8752,1459,32691,3054,61903,4238,150462,6315,168674,6279,239596,6099,710950,9415,356057,7477,354893,8512,158561,6305,69210,3473,38773,3063,42625,3193,24917,2208,20807,2288,1489675,2596,508139,7956,107,126,508032,7920,9205,1435,37777,3878,71805,3987,159899,6265,125458,4965,103888,4939,981536,7788,536307,7291,445229,8521,199834,6524,100578,4878,55862,3889,47126,3220,27116,2272,14713,1714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,716786,1359,342504,1689,154536,4408,0,265,154536,4408,1509,621,13027,1865,19272,2429,44676,3539,36608,2948,39444,3118,187968,4716,108218,3659,79750,4126,37185,2775,16451,1927,8751,1763,8202,1465,5104,1124,4057,848,374282,1557,137108,4930,0,265,137108,4930,2338,806,14149,1949,24877,2490,48959,3720,29528,2735,17257,1962,237174,5108,142131,4885,95043,3782,49349,2956,22259,2367,9240,1453,7877,1210,4576,876,1742,520,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,515434,1028,240738,1083,115255,3575,0,292,115255,3575,1258,539,5053,1276,12702,1855,27297,2824,21979,2225,46966,2481,125483,3782,70447,3617,55036,3296,22703,2322,11388,1958,5845,1256,7820,1590,3658,963,3622,809,274696,987,113771,3831,0,292,113771,3831,1363,730,6251,1439,9560,1513,30237,2831,29544,2542,36816,2566,160925,3985,97016,4216,63909,3990,31713,2707,12985,2123,5882,1139,7008,1517,3057,668,3264,954,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15327982,7856,7413703,7471,3048823,23029,355,269,3048468,23022,72815,5133,366917,11527,547772,13195,872200,16834,591137,12130,597627,11520,4364880,22831,2699030,18076,1665850,20393,752726,13924,445862,11534,191967,7836,156697,7880,57661,4044,60937,3917,7914279,6559,2527703,20832,259,206,2527444,20814,65670,4489,401375,13321,591393,12555,836533,15473,403318,11236,229155,8061,5386576,22753,3540169,25197,1846407,21241,887554,16400,520066,12641,192371,7035,163890,6998,57453,3627,25073,2710,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7497805,6376,3608388,5729,1673889,14003,327,232,1673562,14012,32600,2847,184617,8241,268443,9641,461523,11537,345527,10990,380852,9253,1934499,14051,1121466,13052,813033,10927,381384,10779,201354,7307,90400,5332,72465,4890,35708,3533,31722,3059,3889417,5560,1344954,15905,183,174,1344771,15909,38925,3790,212075,8876,286964,9457,414383,11455,248808,7895,143616,5947,2544463,16627,1602452,16505,942011,14100,492651,10850,235308,7428,98455,5217,67032,3860,35097,2577,13468,1963,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1093645,1814,545137,1730,270707,5435,0,275,270707,5435,6210,1425,24448,4307,41027,3320,77641,4108,66301,3726,55080,2995,274430,6154,152641,4993,121789,5669,49853,3718,24420,2564,15650,2061,17076,2091,9895,1543,4895,1176,548508,1457,207358,5357,0,275,207358,5357,5400,1275,21724,2029,45005,3710,77415,4079,38006,3238,19808,1995,341150,5563,202963,5112,138187,5939,62206,3374,34126,3165,17030,1847,14561,1916,7540,1457,2724,851,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1187623,2092,590665,2207,256281,5527,0,267,256281,5527,4898,960,23161,2295,46657,3861,81627,4569,53072,3536,46866,2930,334384,5936,160863,4800,173521,5602,86545,4407,39467,3370,21799,2218,15922,2005,5895,1399,3893,784,596958,2248,180551,5613,16,28,180535,5613,5932,1298,32823,2644,49197,3978,58655,3819,24781,2363,9147,1345,416407,6295,225875,5338,190532,5352,104102,4420,50104,3014,16455,1685,13750,1734,4325,1032,1796,672,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10084990,6353,4885064,6700,2262787,16777,41,50,2262746,16772,36441,3362,179779,7565,292626,9970,594294,12683,537868,8923,621738,9941,2622277,16152,1408332,16285,1213945,17722,535836,10507,265174,8543,147296,6709,138253,6182,72366,4218,55020,3474,5199926,5571,1756780,13783,0,267,1756780,13783,33073,3050,218093,7530,342154,8816,559188,10364,360449,8144,243823,7542,3443146,15201,1995946,12372,1447200,16386,704469,11178,371302,8161,154160,6782,126933,5564,59021,3654,31315,2983,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5070852,4849,2469969,4548,1103468,11277,0,267,1103468,11277,16059,1902,84256,5472,163582,6940,355985,7678,269194,8196,214392,5346,1366501,11246,722409,11030,644092,11695,316063,8529,138670,5718,70614,4076,72065,3859,29489,2976,17191,1807,2600883,4270,840859,11357,145,138,840714,11369,20008,2085,125459,5361,208906,6637,287011,7222,136864,5169,62466,3736,1760024,11399,1014860,11765,745164,12302,391517,9597,193146,7337,72806,4319,56162,3374,24415,2213,7118,1358,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2409078,3112,1179338,3033,595507,7482,159,150,595348,7489,13044,1810,44116,3122,90461,4226,210126,5348,139021,5237,98580,4082,583831,7267,269286,6235,314545,6867,170262,5219,63651,3654,30325,2509,30448,2300,12332,1398,7527,963,1229740,2937,456760,5699,0,228,456760,5699,13098,1514,59336,3612,111706,4159,169120,4560,75496,4258,28004,2262,772980,6064,396774,5510,376206,6585,206377,5784,92762,4428,36562,2409,27968,2080,9749,1393,2788,803,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2213226,3704,1087039,3445,548768,8417,0,248,548768,8417,11853,1513,49576,3647,83284,4486,167990,6026,127502,4809,108563,4616,538271,9048,265359,6547,272912,6922,137923,4627,61015,4031,28105,2517,24721,2410,12922,1872,8226,1300,1126187,3030,416245,7563,119,114,416126,7590,13853,1900,64851,3836,95934,4989,144630,5134,63630,3543,33228,2854,709942,7849,380645,6004,329297,7378,181016,6208,80821,4318,29220,2254,25777,2473,8651,1232,3812,838,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3437562,4649,1671161,4195,722933,11700,0,271,722933,11700,18736,2141,87333,7431,118691,7027,220593,6856,160237,6543,117343,5395,948228,11461,558265,10269,389963,8410,197877,7227,86655,5234,41731,3347,36926,3116,16570,1842,10204,1432,1766401,3554,559315,9024,222,307,559093,9072,16760,2169,98042,5710,134812,5106,185698,5933,84062,4034,39719,2853,1207086,8955,760313,8521,446773,8027,240634,6999,113942,5211,41749,3012,33674,2765,12190,1618,4584,1016,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
