GEO_ID,C24010B_001E,C24010B_001M,C24010B_002E,C24010B_002M,C24010B_003E,C24010B_003M,C24010B_004E,C24010B_004M,C24010B_005E,C24010B_005M,C24010B_006E,C24010B_006M,C24010B_007E,C24010B_007M,C24010B_008E,C24010B_008M,C24010B_009E,C24010B_009M,C24010B_010E,C24010B_010M,C24010B_011E,C24010B_011M,C24010B_012E,C24010B_012M,C24010B_013E,C24010B_013M,NAME,C24010B_001EA,C24010B_001MA,C24010B_002EA,C24010B_002MA,C24010B_003EA,C24010B_003MA,C24010B_004MA,C24010B_004EA,C24010B_005MA,C24010B_005EA,C24010B_006EA,C24010B_006MA,C24010B_007EA,C24010B_007MA,C24010B_008MA,C24010B_008EA,C24010B_009EA,C24010B_009MA,C24010B_010MA,C24010B_010EA,C24010B_011MA,C24010B_011EA,C24010B_012EA,C24010B_012MA,C24010B_013MA,C24010B_013EA,state
0400000US01,453502,8314,198184,5860,33817,2606,41479,3497,30130,3225,25989,2750,66769,4581,255318,5491,72896,4944,72484,4372,80740,4879,3078,1012,26120,3187,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12187,1313,6468,897,1868,730,1081,522,1408,659,478,438,1633,588,5719,804,2563,838,1168,546,1764,692,0,246,224,268,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,99028,3858,48902,2917,18217,2403,8325,1560,10693,1903,4327,1432,7340,1465,50126,2642,18256,2020,12098,2096,17234,2165,271,306,2267,1344,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,170677,5500,74855,3990,12412,2305,16214,2383,12070,1958,8697,1554,25462,2441,95822,3773,29107,2478,27478,2590,27618,2410,533,406,11086,1751,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,852894,13164,412398,7862,126976,6561,85963,4609,93913,5389,38436,3496,67110,4818,440496,8825,171094,6235,98302,5165,147701,6505,2339,889,21060,2658,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,77217,3934,40825,2966,10467,1414,8994,1638,9306,1608,3090,1012,8968,2053,36392,2174,10148,1615,11253,1954,11881,1783,608,522,2502,922,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,153216,4648,68380,3044,17653,2070,16465,2387,13727,1987,5142,1261,15393,2131,84836,3500,24591,2399,24968,2565,30330,2719,520,388,4427,1013,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,77256,2584,33543,2134,8434,1235,4939,1017,6111,1301,4145,1169,9914,1713,43713,1985,15561,1929,11526,2000,13904,1945,115,151,2607,785,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,113193,4122,49038,2765,14838,1836,10676,1799,9830,1837,4661,1073,9033,1754,64155,2850,27014,2036,15380,1906,18392,2114,531,320,2838,941,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1127622,12714,500581,8473,99963,5241,126138,6583,106052,5979,70860,4304,97568,5232,627041,9566,190160,7935,197223,7058,203846,7732,4364,1426,31448,2682,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1159107,10899,505366,7620,116867,5860,97065,5726,96363,6345,58580,4438,136491,7017,653741,9148,221312,7779,157352,7941,212606,6674,5679,1465,56792,4056,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,8905,1599,5726,1347,2663,1016,1856,793,614,363,473,412,120,150,3179,713,1336,580,587,420,1256,586,0,275,0,275,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,647749,10567,275032,7597,63228,4142,71636,4647,56681,4230,20679,2723,62808,3983,372717,6564,126199,5153,95204,4760,121394,5924,2073,902,27847,3589,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,207470,5858,88810,4136,18471,2038,21682,2554,17338,2129,6436,1489,24883,2787,118660,4474,36328,3079,30363,3054,38078,3304,890,558,13001,2169,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
