GEO_ID,C27012_001E,C27012_001M,C27012_002E,C27012_002M,C27012_003E,C27012_003M,C27012_004E,C27012_004M,C27012_005E,C27012_005M,C27012_006E,C27012_006M,C27012_007E,C27012_007M,C27012_008E,C27012_008M,C27012_009E,C27012_009M,C27012_010E,C27012_010M,C27012_011E,C27012_011M,C27012_012E,C27012_012M,C27012_013E,C27012_013M,C27012_014E,C27012_014M,C27012_015E,C27012_015M,C27012_016E,C27012_016M,C27012_017E,C27012_017M,C27012_018E,C27012_018M,C27012_019E,C27012_019M,C27012_020E,C27012_020M,C27012_021E,C27012_021M,C27012_022E,C27012_022M,C27012_023E,C27012_023M,C27012_024E,C27012_024M,C27012_025E,C27012_025M,C27012_026E,C27012_026M,C27012_027E,C27012_027M,C27012_028E,C27012_028M,C27012_029E,C27012_029M,C27012_030E,C27012_030M,C27012_031E,C27012_031M,C27012_032E,C27012_032M,C27012_033E,C27012_033M,C27012_034E,C27012_034M,C27012_035E,C27012_035M,C27012_036E,C27012_036M,C27012_037E,C27012_037M,C27012_038E,C27012_038M,C27012_039E,C27012_039M,C27012_040E,C27012_040M,C27012_041E,C27012_041M,C27012_042E,C27012_042M,C27012_043E,C27012_043M,C27012_044E,C27012_044M,C27012_045E,C27012_045M,C27012_046E,C27012_046M,NAME,C27012_001MA,C27012_001EA,C27012_002MA,C27012_002EA,C27012_003MA,C27012_003EA,C27012_004EA,C27012_004MA,C27012_005EA,C27012_005MA,C27012_006EA,C27012_006MA,C27012_007MA,C27012_007EA,C27012_008MA,C27012_008EA,C27012_009EA,C27012_009MA,C27012_010EA,C27012_010MA,C27012_011EA,C27012_011MA,C27012_012EA,C27012_012MA,C27012_013MA,C27012_013EA,C27012_014EA,C27012_014MA,C27012_015EA,C27012_015MA,C27012_016MA,C27012_016EA,C27012_017EA,C27012_017MA,C27012_018MA,C27012_018EA,C27012_019EA,C27012_019MA,C27012_020EA,C27012_020MA,C27012_021EA,C27012_021MA,C27012_022MA,C27012_022EA,C27012_023EA,C27012_023MA,C27012_024MA,C27012_024EA,C27012_025MA,C27012_025EA,C27012_026MA,C27012_026EA,C27012_027EA,C27012_027MA,C27012_028EA,C27012_028MA,C27012_029MA,C27012_029EA,C27012_030MA,C27012_030EA,C27012_031MA,C27012_031EA,C27012_032MA,C27012_032EA,C27012_033EA,C27012_033MA,C27012_034MA,C27012_034EA,C27012_035MA,C27012_035EA,C27012_036MA,C27012_036EA,C27012_037MA,C27012_037EA,C27012_038EA,C27012_038MA,C27012_039EA,C27012_039MA,C27012_040MA,C27012_040EA,C27012_041EA,C27012_041MA,C27012_042MA,C27012_042EA,C27012_043MA,C27012_043EA,C27012_044EA,C27012_044MA,C27012_045MA,C27012_045EA,C27012_046EA,C27012_046MA,state
0400000US01,3569131,2998,1392166,14404,1349031,13409,1184112,13538,1071302,13022,123928,5765,5044,1310,24107,2562,164919,8213,43135,2972,42934,2916,27121,2392,13144,1540,38584,2771,1908,646,201,307,842163,13986,782223,13527,534135,10401,389962,9790,93242,4979,9805,1468,56299,4638,248088,10179,59940,3073,59436,2954,25761,2076,21776,2024,58184,2846,6633,1244,504,410,1334802,15293,800282,13799,595574,12651,264186,8417,92069,4918,147476,6378,214649,9723,204708,8867,534520,4559,533306,4624,182170,5598,188782,5757,529948,4647,93422,3852,1214,773,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,501265,1968,212727,6203,207237,5931,174209,6236,154279,6059,11685,1908,387,345,4852,1071,33028,2589,5490,1127,5237,1099,3976,1078,879,409,4300,989,508,324,253,279,174445,5034,165073,4951,105205,3800,75698,3769,12302,2069,1953,611,14186,1635,59868,4092,9372,1241,9011,1154,4219,737,1481,634,8515,1159,978,447,361,322,114093,4102,77125,3799,57198,3756,28075,2587,4898,1223,8085,1743,18746,2274,19927,2103,36968,1592,36408,1650,14406,1548,7619,1311,36013,1613,9042,1366,560,377,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4680243,2323,1820532,19801,1768757,19334,1481343,16765,1283307,16026,144198,7536,5719,1484,88735,6324,287414,11488,51775,3601,50602,3622,28087,2486,11417,1541,43736,3395,3486,1355,1173,655,1164350,16174,1069574,16511,755926,15493,464295,13428,113717,5582,13793,2090,186460,7811,313648,11778,94776,4231,93456,4161,32447,2531,34606,2674,92083,4129,7223,1146,1320,722,1695361,18190,966352,16970,719987,14295,294175,9093,99704,5262,97138,5394,309487,11425,246365,9994,729009,6233,721764,6052,230629,6855,265023,7638,712117,6161,96567,4730,7245,1907,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2158237,3062,870498,11861,843695,11868,701539,12082,629374,12141,77810,4505,3985,1014,17485,2435,142156,7580,26803,2541,26656,2515,14601,1616,8783,1239,24710,2335,1994,619,147,144,520074,12293,471237,11926,282473,10693,197386,8167,51212,4022,10730,1774,34914,2857,188764,9021,48837,2867,48758,2885,15066,1449,20525,2162,48013,2873,4263,940,79,100,767665,10663,438501,9821,316289,8219,118446,6505,42881,3896,95858,4690,120338,5627,122212,5689,329164,4864,328404,4942,87052,4312,132323,4312,326503,4990,55952,3037,760,529,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27526878,5929,10770580,43939,10448689,45612,8692469,47076,7647564,44911,895323,18694,38833,3847,356785,12212,1756220,25723,321891,7934,312539,7530,193024,5724,72871,4098,245693,6672,19242,2363,9352,1832,7405105,39423,6939324,37618,4608548,30992,3116316,28792,845946,17861,68031,4851,758747,15154,2330776,26988,465781,9151,453795,9004,187400,5772,150521,5826,433243,9006,37624,2650,11986,2248,9351193,42521,5961894,42575,4128322,34236,1882520,24397,695677,16691,487026,12668,1541060,25408,1833572,27171,3389299,13487,3339044,13608,1031326,14153,945862,13662,3278787,13426,788999,11293,50255,4105,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3730665,3105,1654678,15385,1609699,15105,1394666,17292,1216752,16463,162986,6890,5200,1385,33098,3489,215033,10045,44979,3017,44478,2957,24430,2223,12478,1622,37543,2764,2016,681,501,369,1085280,14189,1008897,13739,708187,12537,474325,11190,152405,7734,11620,1846,85563,4367,300710,9908,76383,3651,75699,3600,25996,1815,30493,2470,74068,3499,4292,879,684,409,990707,13370,575934,12076,429718,11033,207076,7174,79628,5531,61480,4491,120071,7115,146216,6800,414773,4997,412936,4937,144275,5069,168444,5413,407443,4830,61090,3270,1837,713,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2704903,1035,1161537,12173,1119811,12017,1036889,11767,942656,11153,91341,6174,4345,1116,39912,3472,82922,6380,41726,2667,40977,2657,31403,2565,8814,1304,31884,2153,1993,639,749,516,756156,13082,688554,12733,556276,11002,408965,8741,79997,4448,11805,1873,89869,5967,132278,6275,67602,3358,67084,3377,33927,2641,24738,1941,64994,3337,4951,1085,518,372,787210,9097,411713,9046,335484,7633,176822,6002,45952,3729,50249,4530,108261,5805,76229,5169,375497,4129,372174,4305,146475,4912,149989,5152,368430,4524,51188,3683,3323,910,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,679186,1049,288394,6908,279073,6906,254148,6581,230862,6503,19439,2369,1194,461,14328,2617,24925,2805,9321,1402,9321,1402,7203,1307,2366,817,7143,1050,368,209,0,265,168574,5369,153702,5176,122854,4171,83663,4021,16004,2019,2723,666,25616,2875,30848,3310,14872,1415,14872,1415,7891,1173,5811,1070,14774,1411,965,382,0,265,222218,5860,120994,5758,102173,5509,50417,3544,15425,1916,18126,2463,38461,3618,18821,2692,101224,2063,101029,2082,50028,2522,33650,2475,100682,2089,12417,1620,195,175,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,493292,614,226540,4901,219031,4651,205197,4659,185357,4935,35557,4110,1416,798,14856,2457,13834,2561,7509,1203,7331,1159,6058,1019,1037,420,5279,944,280,200,178,173,113959,5005,104646,4872,88568,4640,52446,3725,21553,2052,1835,758,22675,3196,16078,2438,9313,1350,9221,1327,6000,1103,2573,747,8727,1309,1236,463,92,153,152793,5529,102498,5409,90474,5301,35968,3800,25089,3246,8430,1746,45934,3894,12024,2027,50295,1497,49646,1457,26091,1758,15031,1914,47524,1478,12748,1379,649,515,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14543834,6379,5519810,29987,5314733,29536,4201634,31745,3697883,31778,452816,12721,18596,2023,109371,6391,1113099,18611,205077,6345,199155,6209,113189,5081,45652,2978,170650,6120,9579,1412,5922,1365,3404056,31513,3063272,28722,1813833,22403,1210673,20789,344501,11192,38151,3752,247181,8569,1249439,22947,340784,9522,336326,9294,111817,5500,120801,5469,327227,9174,25383,2583,4458,1050,5619968,28213,2957274,26011,1931598,24202,844472,17864,339187,12088,355165,10972,629442,14506,1025676,21680,2662694,11035,2627162,11423,767457,13079,952101,14163,2591360,11459,404093,10313,35532,3852,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
