GEO_ID,B01001G_001E,B01001G_001M,B01001G_002E,B01001G_002M,B01001G_003E,B01001G_003M,B01001G_004E,B01001G_004M,B01001G_005E,B01001G_005M,B01001G_006E,B01001G_006M,B01001G_007E,B01001G_007M,B01001G_008E,B01001G_008M,B01001G_009E,B01001G_009M,B01001G_010E,B01001G_010M,B01001G_011E,B01001G_011M,B01001G_012E,B01001G_012M,B01001G_013E,B01001G_013M,B01001G_014E,B01001G_014M,B01001G_015E,B01001G_015M,B01001G_016E,B01001G_016M,B01001G_017E,B01001G_017M,B01001G_018E,B01001G_018M,B01001G_019E,B01001G_019M,B01001G_020E,B01001G_020M,B01001G_021E,B01001G_021M,B01001G_022E,B01001G_022M,B01001G_023E,B01001G_023M,B01001G_024E,B01001G_024M,B01001G_025E,B01001G_025M,B01001G_026E,B01001G_026M,B01001G_027E,B01001G_027M,B01001G_028E,B01001G_028M,B01001G_029E,B01001G_029M,B01001G_030E,B01001G_030M,B01001G_031E,B01001G_031M,NAME,B01001G_001EA,B01001G_001MA,B01001G_002EA,B01001G_002MA,B01001G_003MA,B01001G_003EA,B01001G_004MA,B01001G_004EA,B01001G_005EA,B01001G_005MA,B01001G_006EA,B01001G_006MA,B01001G_007EA,B01001G_007MA,B01001G_008EA,B01001G_008MA,B01001G_009MA,B01001G_009EA,B01001G_010MA,B01001G_010EA,B01001G_011MA,B01001G_011EA,B01001G_012MA,B01001G_012EA,B01001G_013EA,B01001G_013MA,B01001G_014MA,B01001G_014EA,B01001G_015MA,B01001G_015EA,B01001G_016MA,B01001G_016EA,B01001G_017MA,B01001G_017EA,B01001G_018EA,B01001G_018MA,B01001G_019EA,B01001G_019MA,B01001G_020MA,B01001G_020EA,B01001G_021MA,B01001G_021EA,B01001G_022MA,B01001G_022EA,B01001G_023EA,B01001G_023MA,B01001G_024EA,B01001G_024MA,B01001G_025MA,B01001G_025EA,B01001G_026MA,B01001G_026EA,B01001G_027MA,B01001G_027EA,B01001G_028EA,B01001G_028MA,B01001G_029EA,B01001G_029MA,B01001G_030EA,B01001G_030MA,B01001G_031MA,B01001G_031EA,state
0400000US01,64450,5189,31224,2939,5850,1315,2906,848,3938,966,1592,640,1354,584,1636,635,1763,699,576,338,2938,868,3390,814,3488,976,1328,494,392,265,73,96,33226,3733,5951,1387,3673,716,3112,861,2055,810,1554,829,2539,976,1461,720,1998,783,3338,897,3391,677,2015,506,1080,494,592,297,467,304,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,60229,4733,29038,2677,5641,988,5140,1079,3515,929,1866,582,1279,590,2888,911,1722,569,1519,482,2630,931,1639,470,786,270,215,129,166,109,32,51,31191,3022,4841,1050,4086,843,4782,1038,2186,737,709,421,2631,889,1994,606,1057,498,3884,851,2879,835,1553,520,420,317,147,122,22,30,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,194293,11560,98350,7341,15919,2643,13949,2594,11620,2070,7167,1695,4602,1249,7149,1607,6140,1436,5631,1565,10072,1978,6102,1395,5540,1256,3256,833,960,405,243,232,95943,7245,17809,2564,12789,2375,11008,2460,6084,1494,3773,1419,6912,1592,6480,1448,5185,1642,9642,2399,7958,1590,5372,1458,1945,553,820,625,166,171,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57229,5642,28718,3696,4790,1306,3076,1004,2962,1044,1807,587,1062,445,2175,1021,1651,907,1946,895,2361,984,2944,977,2218,624,1085,438,565,265,76,126,28511,3287,4280,1256,3025,950,3966,1084,1685,644,908,632,1269,520,1269,737,1222,474,3049,952,2545,672,2516,901,1223,472,1273,450,281,319,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1594007,33877,804230,20548,117674,6250,95302,5714,91916,5354,51506,3995,36031,3756,73045,5782,56236,4421,47509,4647,77640,4922,72793,4540,50497,3829,21423,2140,9706,1509,2952,810,789777,19090,112149,5712,89955,5224,87704,5425,54853,3835,30387,3057,65693,4450,59532,3885,44513,3653,80852,4906,72222,4090,50401,3304,24197,2257,12195,1553,5124,1095,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172773,9552,87444,5435,12393,1771,11521,1811,12169,2149,6122,868,3683,1197,7179,1403,6146,1403,4375,1005,9424,1672,6156,1153,5700,1085,1519,592,807,334,250,329,85329,6295,12776,2106,10750,2167,10142,1652,5005,1307,2555,604,6439,1445,6343,1240,5991,1534,9609,1875,6980,1236,4628,914,2404,765,1278,519,429,274,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,88584,5802,45048,3816,7941,1657,6560,1306,5049,1401,2344,589,1796,651,3864,945,3499,1179,2926,798,2769,811,3473,938,2832,755,1885,750,110,116,0,198,43536,3316,5773,1038,5245,1072,4302,936,2945,767,2688,749,2737,954,2969,869,2733,876,4722,1038,4598,982,2179,829,1657,575,778,393,210,158,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24128,3358,11752,2149,1986,847,2587,958,1401,665,925,470,958,630,625,457,213,172,631,411,761,450,884,644,369,265,79,79,333,318,0,192,12376,1767,2329,839,1901,636,1405,631,813,484,380,264,802,436,992,625,481,395,717,416,1881,781,278,224,246,219,151,158,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12760,1744,5842,1170,968,321,318,249,208,199,229,209,0,200,535,413,1072,544,921,477,597,373,275,175,378,245,278,215,63,104,0,200,6918,1296,1101,401,147,139,677,467,129,145,187,202,435,295,1167,509,897,408,859,461,207,195,669,294,291,180,44,71,108,115,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,423481,20163,211607,12020,31612,4190,28120,3720,24227,3664,13631,2156,9121,1729,16394,3153,12461,2285,12077,2360,19393,3187,19891,2853,13249,1981,6918,1529,3956,1111,557,295,211874,12171,32553,3804,26286,3721,23560,3573,12955,2179,10287,2325,16686,2885,13101,2472,9465,1864,20446,3029,20198,2903,13303,1939,7215,1357,4418,1209,1401,663,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
