GEO_ID,B06008_001E,B06008_001M,B06008_002E,B06008_002M,B06008_003E,B06008_003M,B06008_004E,B06008_004M,B06008_005E,B06008_005M,B06008_006E,B06008_006M,B06008_007E,B06008_007M,B06008_008E,B06008_008M,B06008_009E,B06008_009M,B06008_010E,B06008_010M,B06008_011E,B06008_011M,B06008_012E,B06008_012M,B06008_013E,B06008_013M,B06008_014E,B06008_014M,B06008_015E,B06008_015M,B06008_016E,B06008_016M,B06008_017E,B06008_017M,B06008_018E,B06008_018M,B06008_019E,B06008_019M,B06008_020E,B06008_020M,B06008_021E,B06008_021M,B06008_022E,B06008_022M,B06008_023E,B06008_023M,B06008_024E,B06008_024M,B06008_025E,B06008_025M,B06008_026E,B06008_026M,B06008_027E,B06008_027M,B06008_028E,B06008_028M,B06008_029E,B06008_029M,B06008_030E,B06008_030M,NAME,B06008_001EA,B06008_001MA,B06008_002MA,B06008_002EA,B06008_003MA,B06008_003EA,B06008_004MA,B06008_004EA,B06008_005MA,B06008_005EA,B06008_006EA,B06008_006MA,B06008_007MA,B06008_007EA,B06008_008MA,B06008_008EA,B06008_009MA,B06008_009EA,B06008_010MA,B06008_010EA,B06008_011EA,B06008_011MA,B06008_012EA,B06008_012MA,B06008_013MA,B06008_013EA,B06008_014MA,B06008_014EA,B06008_015EA,B06008_015MA,B06008_016EA,B06008_016MA,B06008_017EA,B06008_017MA,B06008_018MA,B06008_018EA,B06008_019MA,B06008_019EA,B06008_020EA,B06008_020MA,B06008_021EA,B06008_021MA,B06008_022EA,B06008_022MA,B06008_023EA,B06008_023MA,B06008_024MA,B06008_024EA,B06008_025MA,B06008_025EA,B06008_026EA,B06008_026MA,B06008_027EA,B06008_027MA,B06008_028EA,B06008_028MA,B06008_029MA,B06008_029EA,B06008_030MA,B06008_030EA,state
0400000US01,3874758,2952,1125936,15441,1892769,25175,479401,14591,103630,5817,273022,7480,2601352,18244,809073,13899,1192936,19855,325160,11382,72641,4051,201542,6313,1086924,17229,259401,9864,594086,13088,140971,7123,26466,3227,66000,4750,35001,3921,10505,1826,18685,2534,3889,1148,1071,541,851,508,151481,6093,46957,4730,87062,4892,9381,2012,3452,1209,4629,1107,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,565162,1193,182642,5351,279473,7536,70063,4553,11655,2056,21329,1731,169815,5431,89721,4059,54744,3627,16860,1812,3099,783,5391,820,333579,4949,77803,4582,187764,7332,47263,3936,6935,1536,13814,1509,13590,2142,4161,1005,7644,1614,1376,730,331,280,78,65,48178,3411,10957,2039,29321,2749,4564,963,1290,460,2046,579,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5129409,1939,1647834,21707,2447314,30437,645688,17951,102398,7339,286175,9164,1424559,23635,746674,14822,462915,16189,149624,8696,27409,3569,37937,3859,2809653,23392,684232,18574,1457156,25034,416188,13460,45650,4516,206427,7489,68339,5241,23030,2961,31848,4112,9162,2351,1242,664,3057,1035,826858,16226,193898,9341,495395,13240,70714,5757,28097,3706,38754,3448,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2342376,2165,611820,12180,1200940,16856,313627,9050,57339,4573,158650,5756,1322803,13964,384731,9889,633849,14053,172212,7270,33412,3357,98599,4922,886487,14014,192640,6866,485059,12413,132549,6032,20646,2413,55593,3355,15911,1940,4175,1151,7725,1520,2741,857,569,559,701,480,117175,4428,30274,3690,74307,4736,6125,1323,2712,978,3757,1017,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30062390,3289,10916035,44301,13967231,66315,2919172,33426,707823,15724,1552129,15235,13614353,42801,6827500,40205,4826427,41745,1289838,20218,273952,9995,396636,8418,6217867,36587,1489195,21341,3111065,29596,896365,17029,121578,6680,599664,11125,378533,12448,136713,7690,177506,8336,39824,3374,9951,1826,14539,2044,9851637,46245,2462627,29903,5852233,47091,693145,16646,302342,10028,541290,12144,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4087156,2841,1262092,14577,2080824,24016,486086,13093,69334,5395,188820,6157,1367732,19172,572108,13999,561259,13253,157124,7161,24795,3546,52446,3558,2192616,17444,555213,12193,1201743,16379,288626,9687,31318,3129,115716,4824,61021,4337,21427,2549,30001,3102,7576,1475,718,429,1299,522,465787,12848,113344,7112,287821,8716,32760,3430,12503,2094,19359,2712,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2925822,761,969318,11988,1416436,16328,312096,9148,47552,3899,180420,6355,1466745,14619,591901,9798,619723,14541,156163,6177,16341,2033,82617,4418,885357,13516,224427,7412,485695,11556,98092,4982,11867,1817,65276,3880,117061,6215,40536,4383,45912,4152,17190,2231,6953,1445,6470,1214,456659,12394,112454,6601,265106,9095,40651,3883,12391,2173,26057,2362,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,737847,647,246171,5154,347487,6136,83329,4867,14121,1873,46739,3022,282939,8492,120749,5516,109652,5901,32287,2977,4646,1102,15605,1815,367246,9564,101031,5136,185898,6462,44957,3856,7709,1385,27651,2569,14271,2616,4855,1568,7391,1942,1421,575,437,378,167,181,73391,4869,19536,3136,44546,3211,4664,1263,1329,621,3316,985,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,529068,414,307042,5840,132073,6368,49521,3673,12519,1956,27913,2464,168262,6224,110391,5520,24730,3038,18896,2169,5625,1385,8620,1442,270553,6293,152589,5633,74594,4700,22368,2618,4848,1139,16154,1828,9803,1568,5906,1196,2758,796,744,462,0,200,395,440,80450,4866,38156,3610,29991,3244,7513,1446,2046,866,2744,690,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15770265,5407,4899961,34106,7286980,44538,2033184,26681,415213,12740,1134927,18795,4156786,47633,2179685,29763,1317046,27580,421952,12121,103048,7301,135055,5881,7498732,41957,1662638,29355,3849023,34784,1109487,20550,152458,7056,725126,15640,548881,17276,173188,9829,247838,10716,76839,6312,17279,2975,33737,3944,3565866,35585,884450,21777,1873073,29904,424906,12971,142428,9935,241009,8736,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
