GEO_ID,B07004F_001E,B07004F_001M,B07004F_002E,B07004F_002M,B07004F_003E,B07004F_003M,B07004F_004E,B07004F_004M,B07004F_005E,B07004F_005M,B07004F_006E,B07004F_006M,NAME,B07004F_001EA,B07004F_001MA,B07004F_002MA,B07004F_002EA,B07004F_003MA,B07004F_003EA,B07004F_004MA,B07004F_004EA,B07004F_005MA,B07004F_005EA,B07004F_006EA,B07004F_006MA,state
0400000US01,57208,6963,47063,6485,5217,2614,2294,1741,2496,1376,138,185,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8445,1910,5518,1744,1260,848,148,189,301,266,1218,1045,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,398249,21163,299107,18768,84666,12210,6611,2048,6023,1740,1842,1083,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,62125,7433,50727,7093,6824,3466,2542,2539,1410,828,622,422,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4662546,64681,3874799,58146,630079,26557,112077,9288,22719,4883,22872,4005,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,217439,15582,167649,13779,26936,5286,15943,4530,3934,1705,2977,1954,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,192373,10611,153984,10254,27827,5452,4019,1051,3889,1934,2654,1683,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19530,4503,16123,4303,1831,1283,226,267,1200,925,150,177,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24101,3635,21148,3725,1494,884,0,200,960,702,499,385,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,505178,27216,383453,23833,74298,12101,22438,5007,14944,4686,10045,3067,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,282437,19243,231798,17576,33507,8232,8413,3202,5897,2181,2822,1450,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,17679,3232,13255,3132,3077,1991,141,210,853,545,353,415,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,27931,4864,23314,4598,2949,1437,902,711,294,259,472,414,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,769212,27899,671108,26686,75893,9932,7850,2242,8159,3102,6202,2236,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,153914,10062,125934,9301,18566,4647,2127,638,5901,3218,1386,752,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,42188,4979,31323,4439,6942,2020,2522,1195,1144,675,257,200,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,70237,5953,54818,5890,11159,3460,2205,1031,1560,790,495,375,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,40322,5122,27545,4435,5370,2263,2773,1531,2437,979,2197,1651,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,46897,6276,38317,6148,4800,2156,1585,734,1778,780,417,378,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
