GEO_ID,B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,NAME,B08503_001MA,B08503_001EA,B08503_002MA,B08503_002EA,B08503_003EA,B08503_003MA,B08503_004EA,B08503_004MA,B08503_005EA,B08503_005MA,B08503_006MA,B08503_006EA,B08503_007MA,B08503_007EA,state
0400000US01,42.3,0.2,42.7,0.3,39.2,0.8,37.4,6.2,34.8,4.3,40.7,5.2,47.8,1.2,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41.1,0.5,41.2,0.7,38.8,2.3,34.0,5.9,41.5,2.5,42.0,2.5,46.5,3.7,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,41.1,0.2,41.3,0.3,38.8,0.9,35.7,3.4,34.9,3.3,39.3,1.8,48.0,1.1,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41.7,0.3,42.1,0.4,38.5,1.0,36.5,8.3,31.5,2.8,39.4,3.9,46.5,2.2,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41.2,0.1,41.6,0.2,39.4,0.4,37.8,0.5,34.6,0.7,36.2,0.7,47.7,0.3,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41.4,0.2,41.8,0.3,37.3,1.0,35.8,1.1,31.0,1.7,35.7,1.4,48.8,0.8,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44.3,0.2,45.2,0.3,39.4,1.6,36.9,1.6,30.0,1.8,39.9,1.4,49.5,0.7,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,43.1,0.5,44.0,0.6,37.4,2.2,40.2,1.7,41.1,5.6,31.6,6.0,47.8,2.4,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,42.3,0.4,44.7,0.6,43.4,1.7,40.4,0.8,31.9,1.3,40.1,2.0,43.1,4.1,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,43.1,0.1,43.5,0.1,40.0,0.8,39.2,1.6,35.4,2.4,38.7,2.1,48.1,0.6,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,41.4,0.2,41.9,0.2,38.4,0.6,38.3,2.2,30.7,2.3,36.8,2.2,45.3,1.0,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,42.5,0.3,42.8,0.5,42.1,1.2,44.3,2.0,34.9,2.8,39.0,4.7,47.1,2.3,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,41.4,0.4,41.5,0.5,39.1,1.5,43.4,8.7,34.4,4.9,34.3,3.8,49.0,1.5,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,42.0,0.1,42.8,0.2,39.8,0.6,37.3,0.5,31.6,1.0,38.7,1.5,47.3,0.7,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,42.4,0.2,42.9,0.2,39.3,0.7,35.9,3.9,30.0,2.5,38.2,3.1,48.3,0.8,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,42.4,0.2,42.8,0.3,39.2,1.0,28.9,2.1,31.9,2.8,40.0,3.1,47.9,1.0,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,42.3,0.3,42.4,0.4,40.0,1.0,41.2,9.4,33.5,3.0,42.3,4.6,49.0,1.0,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41.9,0.3,42.3,0.3,38.7,0.9,38.2,3.1,31.2,3.3,35.0,4.0,49.6,1.4,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,41.4,0.3,42.0,0.3,37.3,1.2,38.5,2.6,35.5,3.0,38.1,2.2,46.8,1.6,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,44.9,0.3,45.5,0.4,39.6,1.4,46.0,5.3,31.0,3.1,38.6,4.7,49.0,1.2,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,42.7,0.2,43.6,0.3,38.5,0.8,36.4,1.0,31.8,1.4,34.4,2.1,48.2,0.8,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,43.3,0.2,44.9,0.2,39.9,0.8,35.4,0.6,29.2,1.0,36.2,1.4,48.1,0.8,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
