GEO_ID,B11001F_001E,B11001F_001M,B11001F_002E,B11001F_002M,B11001F_003E,B11001F_003M,B11001F_004E,B11001F_004M,B11001F_005E,B11001F_005M,B11001F_006E,B11001F_006M,B11001F_007E,B11001F_007M,B11001F_008E,B11001F_008M,B11001F_009E,B11001F_009M,NAME,B11001F_001EA,B11001F_001MA,B11001F_002EA,B11001F_002MA,B11001F_003EA,B11001F_003MA,B11001F_004EA,B11001F_004MA,B11001F_005EA,B11001F_005MA,B11001F_006EA,B11001F_006MA,B11001F_007EA,B11001F_007MA,B11001F_008MA,B11001F_008EA,B11001F_009MA,B11001F_009EA,state
0400000US01,15176,2097,11584,1909,7246,1545,4338,1284,2305,915,2033,849,3592,1215,2308,1012,1284,936,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2930,839,2429,803,1512,681,917,423,557,378,360,221,501,384,501,384,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109906,5857,85463,5539,52460,4173,33003,3123,11349,2502,21654,2256,24443,3162,19458,2609,4985,1508,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17603,2264,12911,2000,8754,1793,4157,1371,1314,587,2843,1154,4692,1432,3857,1369,835,449,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1135764,16593,940832,13883,572583,14376,368249,11596,124946,6418,243303,9300,194932,8124,129871,6516,65061,4725,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,64237,4695,49607,3988,32091,3001,17516,2481,4898,1445,12618,1916,14630,2440,11085,2365,3545,1081,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,55915,3469,40667,2615,18036,2073,22631,2162,4669,1183,17962,2049,15248,1950,11200,1681,4048,1184,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5158,1183,4118,1082,2135,747,1983,864,429,384,1554,828,1040,503,392,303,648,459,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7982,1357,4763,1133,2444,860,2319,955,991,728,1328,632,3219,1013,1866,734,1353,713,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,134231,8397,103063,7415,63458,5658,39605,4073,11336,1904,28269,3633,31168,4018,20174,3031,10994,2227,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,65907,5437,49816,4774,33710,3979,16106,2942,6652,1608,9454,1985,16091,2766,9377,2488,6714,2016,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5229,1232,3949,1003,2575,865,1374,627,304,262,1070,562,1280,659,760,542,520,419,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7896,1502,6663,1420,4045,1018,2618,1057,1067,836,1551,599,1233,439,807,384,426,272,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,189323,6551,159182,6428,99518,5580,59664,4156,22372,2662,37292,3826,30141,2614,21667,2438,8474,1529,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,41301,2893,31264,2417,18817,1973,12447,2100,5281,1445,7166,1529,10037,1805,7139,1443,2898,947,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,13204,1714,9423,1348,5246,1157,4177,936,1757,682,2420,776,3781,998,2746,899,1035,475,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,19428,1771,15080,1583,9116,1454,5964,1134,2798,805,3166,699,4348,897,2699,726,1649,703,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9053,1482,6822,1290,4272,1160,2550,919,767,437,1783,772,2231,889,943,537,1288,675,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,14113,1841,9252,1618,5960,1188,3292,1050,1083,580,2209,846,4861,1177,3615,1119,1246,582,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,997,402,366,258,334,259,32,39,0,157,32,39,631,338,150,136,481,341,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,43597,3140,34095,2955,20112,2549,13983,1901,6895,1579,7088,1568,9502,1618,5007,1302,4495,1026,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,88451,4059,66987,3426,26458,2173,40529,3076,5938,1338,34591,2501,21464,2405,16714,2219,4750,1089,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,29451,2475,23067,2234,14897,1902,8170,1479,1944,870,6226,1256,6384,1375,4476,1184,1908,785,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,19461,1945,15375,1680,8699,1385,6676,1271,2807,875,3869,1075,4086,975,2297,742,1789,768,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,4364,1266,3170,992,2310,879,860,541,265,304,595,488,1194,739,707,612,487,373,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,15854,2095,12161,1785,7840,1348,4321,1199,1961,864,2360,817,3693,910,2316,797,1377,489,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,1127,474,529,326,349,230,180,192,0,165,180,192,598,381,472,349,126,116,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,11472,1524,9177,1351,5419,1113,3758,879,1491,732,2267,668,2295,808,1570,647,725,498,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,48211,3942,40365,3322,23899,2801,16466,2482,6584,1271,9882,2373,7846,1789,5619,1395,2227,866,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
