GEO_ID,B17001I_001E,B17001I_001M,B17001I_002E,B17001I_002M,B17001I_003E,B17001I_003M,B17001I_004E,B17001I_004M,B17001I_005E,B17001I_005M,B17001I_006E,B17001I_006M,B17001I_007E,B17001I_007M,B17001I_008E,B17001I_008M,B17001I_009E,B17001I_009M,B17001I_010E,B17001I_010M,B17001I_011E,B17001I_011M,B17001I_012E,B17001I_012M,B17001I_013E,B17001I_013M,B17001I_014E,B17001I_014M,B17001I_015E,B17001I_015M,B17001I_016E,B17001I_016M,B17001I_017E,B17001I_017M,B17001I_018E,B17001I_018M,B17001I_019E,B17001I_019M,B17001I_020E,B17001I_020M,B17001I_021E,B17001I_021M,B17001I_022E,B17001I_022M,B17001I_023E,B17001I_023M,B17001I_024E,B17001I_024M,B17001I_025E,B17001I_025M,B17001I_026E,B17001I_026M,B17001I_027E,B17001I_027M,B17001I_028E,B17001I_028M,B17001I_029E,B17001I_029M,B17001I_030E,B17001I_030M,B17001I_031E,B17001I_031M,B17001I_032E,B17001I_032M,B17001I_033E,B17001I_033M,B17001I_034E,B17001I_034M,B17001I_035E,B17001I_035M,B17001I_036E,B17001I_036M,B17001I_037E,B17001I_037M,B17001I_038E,B17001I_038M,B17001I_039E,B17001I_039M,B17001I_040E,B17001I_040M,B17001I_041E,B17001I_041M,B17001I_042E,B17001I_042M,B17001I_043E,B17001I_043M,B17001I_044E,B17001I_044M,B17001I_045E,B17001I_045M,B17001I_046E,B17001I_046M,B17001I_047E,B17001I_047M,B17001I_048E,B17001I_048M,B17001I_049E,B17001I_049M,B17001I_050E,B17001I_050M,B17001I_051E,B17001I_051M,B17001I_052E,B17001I_052M,B17001I_053E,B17001I_053M,B17001I_054E,B17001I_054M,B17001I_055E,B17001I_055M,B17001I_056E,B17001I_056M,B17001I_057E,B17001I_057M,B17001I_058E,B17001I_058M,B17001I_059E,B17001I_059M,NAME,B17001I_001MA,B17001I_001EA,B17001I_002MA,B17001I_002EA,B17001I_003EA,B17001I_003MA,B17001I_004EA,B17001I_004MA,B17001I_005EA,B17001I_005MA,B17001I_006MA,B17001I_006EA,B17001I_007MA,B17001I_007EA,B17001I_008EA,B17001I_008MA,B17001I_009EA,B17001I_009MA,B17001I_010EA,B17001I_010MA,B17001I_011MA,B17001I_011EA,B17001I_012MA,B17001I_012EA,B17001I_013MA,B17001I_013EA,B17001I_014EA,B17001I_014MA,B17001I_015EA,B17001I_015MA,B17001I_016EA,B17001I_016MA,B17001I_017MA,B17001I_017EA,B17001I_018MA,B17001I_018EA,B17001I_019EA,B17001I_019MA,B17001I_020EA,B17001I_020MA,B17001I_021EA,B17001I_021MA,B17001I_022MA,B17001I_022EA,B17001I_023MA,B17001I_023EA,B17001I_024MA,B17001I_024EA,B17001I_025EA,B17001I_025MA,B17001I_026EA,B17001I_026MA,B17001I_027EA,B17001I_027MA,B17001I_028MA,B17001I_028EA,B17001I_029MA,B17001I_029EA,B17001I_030EA,B17001I_030MA,B17001I_031EA,B17001I_031MA,B17001I_032EA,B17001I_032MA,B17001I_033MA,B17001I_033EA,B17001I_034MA,B17001I_034EA,B17001I_035MA,B17001I_035EA,B17001I_036EA,B17001I_036MA,B17001I_037EA,B17001I_037MA,B17001I_038EA,B17001I_038MA,B17001I_039MA,B17001I_039EA,B17001I_040MA,B17001I_040EA,B17001I_041EA,B17001I_041MA,B17001I_042EA,B17001I_042MA,B17001I_043EA,B17001I_043MA,B17001I_044MA,B17001I_044EA,B17001I_045MA,B17001I_045EA,B17001I_046EA,B17001I_046MA,B17001I_047EA,B17001I_047MA,B17001I_048EA,B17001I_048MA,B17001I_049EA,B17001I_049MA,B17001I_050MA,B17001I_050EA,B17001I_051MA,B17001I_051EA,B17001I_052EA,B17001I_052MA,B17001I_053EA,B17001I_053MA,B17001I_054EA,B17001I_054MA,B17001I_055EA,B17001I_055MA,B17001I_056MA,B17001I_056EA,B17001I_057MA,B17001I_057EA,B17001I_058EA,B17001I_058MA,B17001I_059EA,B17001I_059MA,state
0400000US01,181684,1581,59640,6714,29051,3163,6224,1645,1732,1015,4149,922,1981,907,409,343,1361,793,2823,967,6119,1313,1974,730,1760,843,363,277,103,126,53,87,30589,4375,5678,1622,881,600,6152,1636,1574,635,914,423,846,489,3847,1079,6839,1623,2357,834,710,487,316,280,415,243,60,85,122044,6765,66604,4804,6157,1460,228,196,4523,1206,2042,829,631,568,1552,766,9081,1386,17722,2900,11867,2163,7285,1642,3050,1102,1700,660,766,437,55440,5042,4954,1347,627,368,8110,2232,3451,1461,1046,1028,1550,746,4066,1117,10001,1720,8491,2060,7213,1825,2383,854,1927,892,1621,705,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40694,394,2811,998,1248,613,251,185,0,149,208,216,90,103,89,134,117,199,154,153,26,38,22,27,55,69,181,152,22,49,33,63,1563,646,101,115,0,149,93,130,222,282,37,62,0,149,574,399,65,65,192,155,100,138,84,168,28,45,67,76,37883,1064,19171,972,2307,389,377,278,2662,733,1149,527,23,36,472,318,3211,843,3261,880,2461,522,1823,642,926,482,403,280,96,128,18712,932,1749,248,557,324,2562,486,513,331,329,248,873,366,2217,594,3039,613,3198,783,1614,549,1418,307,348,132,295,148,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1900732,3860,563098,29233,264297,15541,40851,4121,9063,1725,44052,4725,22021,3499,5850,1494,13797,2168,35053,3242,26918,2989,25958,3175,21335,2535,11025,1950,4885,1074,3489,916,298801,16797,37712,3990,7932,2231,39594,3816,18082,3471,7877,1926,11127,1671,44785,4288,44657,4322,38209,4159,24244,2645,14336,2313,5656,1351,4590,1066,1337634,29945,679527,15461,60778,4320,9347,2247,69980,5021,41117,4890,10455,1704,25192,2270,85083,3732,116127,3656,102194,3407,74670,2868,47678,2107,23549,1444,13357,1246,658107,17392,58477,3907,13570,2828,73761,5675,36879,4902,10963,1913,25392,2715,69568,4327,100769,4401,94519,4152,77322,2744,49391,2314,29366,1499,18130,1269,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,186093,1816,62124,9496,30573,5465,6050,1524,818,468,5441,1574,2079,1010,845,607,914,541,2982,950,5842,1431,4137,1515,790,528,296,276,323,306,56,99,31551,5023,7013,1626,954,593,5514,1098,1431,782,596,450,519,355,3520,1375,6563,1673,3708,1256,855,563,707,480,63,86,108,151,123969,9609,68341,5434,6683,1576,703,371,8548,1793,3774,1092,1108,578,2435,957,9096,1526,12610,1739,9558,1990,8614,1590,3461,853,705,404,1046,647,55628,5250,6398,1300,1722,918,6359,1627,2584,986,1158,667,1649,675,6879,1381,9606,1496,8447,1859,5969,1474,3436,751,651,339,770,405,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14107699,7575,3297566,56745,1516792,29862,220583,7709,41172,3391,243919,8714,109566,5708,38502,3851,71350,4129,189421,8835,190141,7728,188831,7172,115123,5320,63779,5016,25782,2456,18623,2262,1780774,32958,219088,8054,40709,3656,239168,10228,113765,5460,33327,2864,78291,5008,230485,8968,274299,9597,251941,7685,144557,5642,79569,4223,43393,2906,32182,2843,10810133,55906,5567479,29958,460348,7474,91474,5051,541598,12357,282418,9485,93421,4608,204770,6385,716482,8863,975830,8340,846467,7433,677898,5477,389333,5110,178791,2554,108649,2618,5242654,32370,434277,8386,89835,5186,510451,12709,266115,9130,90162,4215,191521,5676,618807,9173,826895,9788,768071,7743,653892,6255,419570,4266,212516,2727,160542,2952,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1046607,2135,254054,15856,121883,8668,24774,2771,4102,1142,18696,2908,8179,2014,2557,1058,3809,1077,13282,1936,19983,2727,12332,2165,6698,1350,4517,988,1761,554,1193,484,132171,8598,17745,2462,3097,1047,21498,2505,5509,1328,2093,724,4042,983,19076,2612,23615,3082,15992,2269,9488,1443,5035,1123,3029,781,1952,576,792553,16219,408372,9312,34085,3173,9169,1960,43466,3132,23443,2880,5795,1131,14627,1852,49706,2510,65321,2828,63740,2407,47344,1741,29438,1388,14691,1015,7547,759,384181,8898,35166,2588,5466,1205,48461,2996,19473,2403,8229,1454,12750,1661,39673,2471,59211,3200,56358,2526,44174,2030,30120,1331,15161,989,9939,907,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,481123,1777,131564,9466,57477,4842,8822,1417,1625,726,9454,1661,4405,1039,1412,632,3011,718,7411,1437,6745,1624,7048,1420,4443,1234,1805,759,988,406,308,213,74087,5953,8182,1423,1786,750,9581,1743,3922,1077,1836,665,2197,657,9633,1528,12698,1832,9000,1281,6615,1415,4519,973,2575,611,1543,531,349559,9515,180651,5220,14416,1507,1724,587,18433,2017,9690,1509,2568,682,6253,820,22281,1876,34108,2040,27475,1766,23154,1554,12573,754,5355,596,2621,411,168908,5984,14517,1364,3248,829,15604,1816,8388,1573,2519,836,5890,977,18746,1594,27360,1839,27527,1424,23423,1533,12065,1075,6231,677,3390,596,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,74285,1037,16059,3550,7601,1994,1436,624,501,420,1383,607,412,429,62,98,349,359,912,563,1491,935,689,489,215,255,109,160,0,192,42,66,8458,1974,1682,612,287,297,991,712,228,250,81,137,343,251,1293,497,2305,899,962,581,0,192,69,78,0,192,217,256,58226,3596,29899,2172,2618,787,913,534,2904,742,1151,557,379,418,767,450,3912,764,5984,592,5023,861,3509,965,1659,325,429,254,651,399,28327,2024,2903,657,183,168,4922,837,1168,566,620,302,827,395,3084,703,4609,737,3792,609,3201,387,1512,286,498,262,1008,454,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,57263,589,10371,2887,5085,1838,530,360,0,200,459,635,291,376,0,200,157,259,999,889,802,550,253,188,665,564,666,544,0,200,263,320,5286,1532,201,209,0,200,738,705,0,200,0,200,0,200,1290,703,1180,544,585,587,313,285,219,254,323,313,437,224,46892,2881,24733,1904,2236,360,145,185,1681,614,584,361,397,327,700,373,2353,934,6923,553,5045,188,2633,575,1134,544,743,328,159,148,22159,1539,2480,209,170,284,1288,609,828,567,261,247,124,168,1954,718,5692,544,3731,588,2599,285,1918,254,830,312,284,224,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4292336,4679,973953,37574,449689,20354,58921,4733,11664,2238,55175,5884,24498,3250,7024,1911,15694,2697,57067,5819,57032,5372,58992,5648,42309,4480,26814,2857,17578,2334,16921,2210,524264,20956,54585,5237,10221,2108,52281,5886,24609,3017,10911,2519,13663,2183,56089,5343,73944,6058,76742,6221,51515,4649,35926,3993,30841,3063,32937,3532,3318383,36568,1663300,20463,101325,5153,19150,2582,128576,6625,70319,5895,22236,2870,52886,3544,186574,6552,268236,6462,269913,5700,243765,4869,147659,3552,91893,3173,60768,2672,1655083,20403,100775,5554,20197,2683,121736,5801,65542,4948,20744,2765,44731,3414,162466,5161,236834,5795,255738,5932,252420,5533,174238,4140,109416,3392,90246,3598,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
