GEO_ID,B17013_001E,B17013_001M,B17013_002E,B17013_002M,B17013_003E,B17013_003M,B17013_004E,B17013_004M,B17013_005E,B17013_005M,B17013_006E,B17013_006M,B17013_007E,B17013_007M,B17013_008E,B17013_008M,B17013_009E,B17013_009M,B17013_010E,B17013_010M,B17013_011E,B17013_011M,B17013_012E,B17013_012M,B17013_013E,B17013_013M,B17013_014E,B17013_014M,B17013_015E,B17013_015M,B17013_016E,B17013_016M,B17013_017E,B17013_017M,B17013_018E,B17013_018M,B17013_019E,B17013_019M,B17013_020E,B17013_020M,B17013_021E,B17013_021M,B17013_022E,B17013_022M,B17013_023E,B17013_023M,B17013_024E,B17013_024M,B17013_025E,B17013_025M,B17013_026E,B17013_026M,B17013_027E,B17013_027M,B17013_028E,B17013_028M,B17013_029E,B17013_029M,B17013_030E,B17013_030M,B17013_031E,B17013_031M,B17013_032E,B17013_032M,B17013_033E,B17013_033M,B17013_034E,B17013_034M,B17013_035E,B17013_035M,NAME,B17013_001EA,B17013_001MA,B17013_002MA,B17013_002EA,B17013_003EA,B17013_003MA,B17013_004MA,B17013_004EA,B17013_005MA,B17013_005EA,B17013_006EA,B17013_006MA,B17013_007MA,B17013_007EA,B17013_008EA,B17013_008MA,B17013_009MA,B17013_009EA,B17013_010EA,B17013_010MA,B17013_011EA,B17013_011MA,B17013_012MA,B17013_012EA,B17013_013MA,B17013_013EA,B17013_014EA,B17013_014MA,B17013_015EA,B17013_015MA,B17013_016EA,B17013_016MA,B17013_017MA,B17013_017EA,B17013_018MA,B17013_018EA,B17013_019EA,B17013_019MA,B17013_020EA,B17013_020MA,B17013_021EA,B17013_021MA,B17013_022EA,B17013_022MA,B17013_023MA,B17013_023EA,B17013_024MA,B17013_024EA,B17013_025EA,B17013_025MA,B17013_026EA,B17013_026MA,B17013_027EA,B17013_027MA,B17013_028MA,B17013_028EA,B17013_029MA,B17013_029EA,B17013_030MA,B17013_030EA,B17013_031EA,B17013_031MA,B17013_032EA,B17013_032MA,B17013_033EA,B17013_033MA,B17013_034EA,B17013_034MA,B17013_035MA,B17013_035EA,state
0400000US01,1251795,13646,185909,6956,59150,3773,18411,2094,25286,2738,12044,2039,3409,1308,126759,6010,17144,2148,10493,1762,5306,1084,1161,714,184,200,109615,5436,40816,3250,55186,3975,10832,1845,2781,971,1065886,12576,830660,13121,412741,7435,328909,10053,81252,5251,7758,1539,235226,9305,62434,4569,36868,3509,21605,2683,3813,1244,148,178,172792,7372,95157,4935,66575,4616,9556,1766,1504,615,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,12024,1704,3842,813,1046,497,1166,394,636,251,994,399,8182,1485,2416,849,594,311,1415,717,172,96,235,287,5766,1148,2157,740,2598,907,618,223,393,190,161255,4646,123435,4083,54520,2953,47667,3421,17745,2207,3503,647,37820,2584,13328,1464,7773,1294,4642,1098,818,451,95,62,24492,2226,12247,1658,9759,1518,1853,707,633,392,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,217603,9605,86195,6025,20828,2777,31683,3975,25964,2493,7720,1265,131408,7640,29605,3457,11489,2025,12817,2212,4164,1220,1135,606,101803,6253,35248,4303,45268,3752,15870,1997,5417,1521,1326320,15922,1024155,15246,517352,10855,360704,10998,125246,6984,20853,3244,302165,11081,97891,6129,53766,3988,37457,4334,5302,1298,1366,569,204274,9043,99963,6193,85564,5924,15274,2403,3473,1120,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,112534,5422,41651,3089,14590,1788,16487,1838,8469,1729,2105,943,70883,4674,11297,1840,5376,1424,4398,1208,1037,552,486,459,59586,4236,22293,2384,30172,3242,6045,1255,1076,467,644671,9383,514457,9045,267770,6834,193795,6339,48612,3165,4280,991,130214,5525,36704,3575,21535,2418,13216,2192,1567,611,386,318,93510,4397,49246,3224,37209,2927,6593,1404,462,313,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,1056152,15484,455238,10817,90589,4741,171031,6178,151989,6681,41629,3366,600914,12384,126510,6051,48316,3526,54929,4532,18062,2089,5203,1462,474404,11719,145970,5925,234836,9853,74365,5307,19233,2592,7462366,32642,5603947,36627,2126820,23175,2418067,23816,870159,13731,188901,7389,1858419,25132,621922,13214,315017,9912,239752,7918,51216,3645,15937,2157,1236497,18248,584107,13879,506676,11899,115523,6807,30191,3002,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,114546,5172,45650,3697,12426,1710,17390,2563,10878,1530,4956,1497,68896,4246,13492,2118,5984,1307,5331,1371,2002,1039,175,151,55404,3914,18300,2314,28471,2912,7140,1396,1493,707,1141925,11786,924906,12060,436144,9334,362822,8990,111180,5247,14760,2720,217019,7600,74302,5184,43617,4091,27117,3095,2985,882,583,416,142717,5553,78103,4425,57692,4395,6125,1226,797,406,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,70551,4637,19023,2289,6071,1128,7785,1634,4412,1141,755,575,51528,4149,7519,1540,4172,1238,2664,947,423,366,260,314,44009,3672,14828,2039,22155,2661,6189,1382,837,475,822550,9225,641276,8599,278257,7053,279102,6517,77656,3280,6261,1376,181274,6406,45948,3395,26960,2891,17395,2170,1296,534,297,298,135326,5171,70273,3924,57444,3349,6643,1143,966,546,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,18261,1977,4541,1002,1527,607,1875,585,946,494,193,207,13720,1944,2561,1057,1303,831,968,605,219,200,71,114,11159,1600,4973,1044,4039,869,1811,744,336,297,208840,3727,157214,3452,71988,3052,63989,3273,19169,1950,2068,695,51626,3455,16124,2367,9217,1632,5423,1382,1293,682,191,179,35502,2826,17786,2028,16059,2045,1211,484,446,274,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,17608,2027,2165,759,951,463,1005,599,209,163,0,200,15443,2076,2022,732,1225,630,603,474,194,219,0,200,13421,1862,5295,1367,5157,1161,2770,968,199,260,96437,3750,55082,3009,29698,2499,20710,1538,4078,926,596,298,41355,3014,9106,1575,5253,1389,2988,842,785,539,80,94,32249,2514,16800,1942,12846,1730,2189,738,414,318,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,564395,15175,227560,9748,81095,6276,84026,5615,49606,3876,12833,2560,336835,10750,64057,5288,32033,3718,24784,3174,6194,1550,1046,568,272778,8881,100931,5626,131597,6259,34215,3321,6035,1273,3995463,26744,3065495,26185,1615752,17965,1136125,17201,281420,10425,32198,3768,929968,15536,260028,9424,153264,7318,89676,6320,15322,2595,1766,756,669940,12950,354071,10342,271739,9169,38306,3437,5824,1359,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
