GEO_ID,B17021_001E,B17021_001M,B17021_002E,B17021_002M,B17021_003E,B17021_003M,B17021_004E,B17021_004M,B17021_005E,B17021_005M,B17021_006E,B17021_006M,B17021_007E,B17021_007M,B17021_008E,B17021_008M,B17021_009E,B17021_009M,B17021_010E,B17021_010M,B17021_011E,B17021_011M,B17021_012E,B17021_012M,B17021_013E,B17021_013M,B17021_014E,B17021_014M,B17021_015E,B17021_015M,B17021_016E,B17021_016M,B17021_017E,B17021_017M,B17021_018E,B17021_018M,B17021_019E,B17021_019M,B17021_020E,B17021_020M,B17021_021E,B17021_021M,B17021_022E,B17021_022M,B17021_023E,B17021_023M,B17021_024E,B17021_024M,B17021_025E,B17021_025M,B17021_026E,B17021_026M,B17021_027E,B17021_027M,B17021_028E,B17021_028M,B17021_029E,B17021_029M,B17021_030E,B17021_030M,B17021_031E,B17021_031M,B17021_032E,B17021_032M,B17021_033E,B17021_033M,B17021_034E,B17021_034M,B17021_035E,B17021_035M,NAME,B17021_001MA,B17021_001EA,B17021_002MA,B17021_002EA,B17021_003MA,B17021_003EA,B17021_004EA,B17021_004MA,B17021_005EA,B17021_005MA,B17021_006EA,B17021_006MA,B17021_007MA,B17021_007EA,B17021_008MA,B17021_008EA,B17021_009EA,B17021_009MA,B17021_010EA,B17021_010MA,B17021_011EA,B17021_011MA,B17021_012MA,B17021_012EA,B17021_013MA,B17021_013EA,B17021_014MA,B17021_014EA,B17021_015EA,B17021_015MA,B17021_016EA,B17021_016MA,B17021_017EA,B17021_017MA,B17021_018MA,B17021_018EA,B17021_019MA,B17021_019EA,B17021_020EA,B17021_020MA,B17021_021EA,B17021_021MA,B17021_022EA,B17021_022MA,B17021_023MA,B17021_023EA,B17021_024MA,B17021_024EA,B17021_025EA,B17021_025MA,B17021_026EA,B17021_026MA,B17021_027EA,B17021_027MA,B17021_028MA,B17021_028EA,B17021_029EA,B17021_029MA,B17021_030MA,B17021_030EA,B17021_031EA,B17021_031MA,B17021_032EA,B17021_032MA,B17021_033MA,B17021_033EA,B17021_034MA,B17021_034EA,B17021_035MA,B17021_035EA,state
0400000US01,4687363,2037,892483,23804,680693,21118,230396,15100,222338,15011,8058,1979,450297,19755,60862,7000,51422,6435,9440,1858,389435,18897,373410,18701,16025,2611,211790,9293,151905,6451,127437,5991,24468,2323,59885,5634,3794880,23675,3295532,26409,2542363,37219,2538621,37200,3742,1423,753169,28283,200299,14302,189419,13761,10880,1838,552870,23003,535693,22616,17177,2306,499348,12139,440846,10163,392804,9620,48042,4030,58502,4822,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,706860,918,73905,5839,56004,6191,20189,4177,18941,4107,1248,422,35815,5200,11694,2918,8168,2703,3526,1028,24121,4212,20796,4308,3325,1053,17901,1922,9877,1529,7891,1333,1986,735,8024,1332,632955,5681,528277,8250,401064,10694,399342,10581,1722,785,127213,8673,42640,4588,38140,3994,4500,943,84573,7456,78090,6779,6483,1501,104678,5389,74174,3645,56955,3382,17219,2032,30504,2745,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6336449,3861,1203501,38097,948752,37185,387992,25344,376294,25274,11698,2062,560760,29575,135708,15078,105207,13332,30501,4353,425052,25144,393770,24409,31282,3640,254749,10608,162667,7556,123634,6437,39033,3949,92082,6045,5132948,38522,4322231,39364,3264268,47778,3249909,48361,14359,3577,1057963,37684,330419,21640,307073,20337,23346,3547,727544,33189,687798,32233,39746,3816,810717,19519,649465,14370,526978,13876,122487,5850,161252,9230,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2856663,2079,555876,17602,416092,17667,158288,12613,154092,12568,4196,1032,257804,15321,45831,6624,36078,5831,9753,1893,211973,13879,203746,13468,8227,1663,139784,5819,100419,4801,83643,4610,16776,2220,39365,3727,2300787,17290,1989865,18848,1560002,25574,1557246,25627,2756,1082,429863,16400,116903,10572,111565,10254,5338,1352,312960,14940,302258,15013,10702,1959,310922,8740,269997,7493,232708,7428,37289,3149,40925,4182,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36941931,7933,6118803,71852,4740295,65607,2154976,55191,2032096,54498,122880,7819,2585319,52724,631464,28924,459607,26181,171857,9481,1953855,49286,1781574,46089,172281,10236,1378508,26435,760643,15624,563655,12670,196988,8769,617865,17504,30823128,71089,26640170,87143,19946631,124739,19798913,123334,147718,7471,6693539,91819,2220289,45425,2055000,43410,165289,7905,4473250,76410,4189694,72065,283556,10193,4182958,35745,3189582,23364,2486517,21980,703065,13395,993376,20422,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5002128,3154,674195,21621,462749,20179,199869,17574,189391,17589,10478,1818,262880,16635,54859,7433,41539,6659,13320,1869,208021,15002,192302,14409,15719,2749,211446,8625,129220,5715,94381,5611,34839,2750,82226,6012,4327933,21979,3588354,25317,2908916,35222,2898231,35286,10685,2473,679438,26030,227967,16963,208924,14485,19043,3642,451471,18453,424126,17860,27345,3207,739579,14820,589697,10153,474582,9437,115115,5851,149882,7408,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3471802,1406,377856,17034,264296,16829,75535,8643,69859,8520,5676,1606,188761,14823,29430,5127,21468,4468,7962,1811,159331,13139,148099,12746,11232,1943,113560,5555,72760,3413,59850,3129,12910,1927,40800,3945,3093946,16999,2629635,19468,2059557,21961,2052829,21799,6728,1639,570078,18602,144570,10087,132498,9717,12072,1686,425508,16538,405319,15979,20189,2897,464311,11177,385782,8633,324285,7688,61497,4069,78529,4901,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882353,1386,104831,8149,74619,7536,18347,4254,16405,4008,1942,715,56272,7106,12913,4418,9482,3751,3431,1273,43359,6120,39923,5778,3436,1090,30212,3025,16377,1772,11042,1328,5335,1289,13835,2199,777522,8409,666582,9428,498236,12273,496455,11983,1781,877,168346,10132,52832,7847,48194,7310,4638,1477,115514,8926,108649,8546,6865,1271,110940,5201,89714,3795,73145,3386,16569,1906,21226,2948,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,584583,305,109363,8006,68003,7148,8481,3327,7643,3069,838,675,59522,6829,8604,2476,6728,2312,1876,801,50918,6425,49194,6431,1724,653,41360,3152,25752,2119,20052,1916,5700,1116,15608,1892,475220,7944,304317,9939,165095,8004,162776,7918,2319,803,139222,9513,29860,4955,28660,4737,1200,707,109362,8955,105517,8685,3845,1036,170903,5948,128873,3977,101470,4060,27403,2352,42030,3900,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18652057,5175,3173456,53070,2323014,55297,945141,40914,903692,40429,41449,5563,1377873,40146,285986,19685,219143,16905,66843,6559,1091887,33969,1012867,32025,79020,7498,850442,17627,517184,11678,407537,11806,109647,6077,333258,13173,15478601,53494,12950942,62027,9591699,79656,9559976,79584,31723,4694,3359243,63600,953121,38206,873805,35063,79316,7287,2406122,53768,2284782,51664,121340,7906,2527659,32820,2029241,25171,1670747,22742,358494,12768,498418,17465,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
