GEO_ID,B24010I_001E,B24010I_001M,B24010I_002E,B24010I_002M,B24010I_003E,B24010I_003M,B24010I_004E,B24010I_004M,B24010I_005E,B24010I_005M,B24010I_006E,B24010I_006M,B24010I_007E,B24010I_007M,B24010I_008E,B24010I_008M,B24010I_009E,B24010I_009M,B24010I_010E,B24010I_010M,B24010I_011E,B24010I_011M,B24010I_012E,B24010I_012M,B24010I_013E,B24010I_013M,B24010I_014E,B24010I_014M,B24010I_015E,B24010I_015M,B24010I_016E,B24010I_016M,B24010I_017E,B24010I_017M,B24010I_018E,B24010I_018M,B24010I_019E,B24010I_019M,B24010I_020E,B24010I_020M,B24010I_021E,B24010I_021M,B24010I_022E,B24010I_022M,B24010I_023E,B24010I_023M,B24010I_024E,B24010I_024M,B24010I_025E,B24010I_025M,B24010I_026E,B24010I_026M,B24010I_027E,B24010I_027M,B24010I_028E,B24010I_028M,B24010I_029E,B24010I_029M,B24010I_030E,B24010I_030M,B24010I_031E,B24010I_031M,B24010I_032E,B24010I_032M,B24010I_033E,B24010I_033M,B24010I_034E,B24010I_034M,B24010I_035E,B24010I_035M,B24010I_036E,B24010I_036M,B24010I_037E,B24010I_037M,B24010I_038E,B24010I_038M,B24010I_039E,B24010I_039M,B24010I_040E,B24010I_040M,B24010I_041E,B24010I_041M,B24010I_042E,B24010I_042M,B24010I_043E,B24010I_043M,B24010I_044E,B24010I_044M,B24010I_045E,B24010I_045M,B24010I_046E,B24010I_046M,B24010I_047E,B24010I_047M,B24010I_048E,B24010I_048M,B24010I_049E,B24010I_049M,B24010I_050E,B24010I_050M,B24010I_051E,B24010I_051M,B24010I_052E,B24010I_052M,B24010I_053E,B24010I_053M,B24010I_054E,B24010I_054M,B24010I_055E,B24010I_055M,B24010I_056E,B24010I_056M,B24010I_057E,B24010I_057M,B24010I_058E,B24010I_058M,B24010I_059E,B24010I_059M,B24010I_060E,B24010I_060M,B24010I_061E,B24010I_061M,B24010I_062E,B24010I_062M,B24010I_063E,B24010I_063M,B24010I_064E,B24010I_064M,B24010I_065E,B24010I_065M,B24010I_066E,B24010I_066M,B24010I_067E,B24010I_067M,B24010I_068E,B24010I_068M,B24010I_069E,B24010I_069M,B24010I_070E,B24010I_070M,B24010I_071E,B24010I_071M,B24010I_072E,B24010I_072M,B24010I_073E,B24010I_073M,NAME,B24010I_001EA,B24010I_001MA,B24010I_002EA,B24010I_002MA,B24010I_003EA,B24010I_003MA,B24010I_004MA,B24010I_004EA,B24010I_005MA,B24010I_005EA,B24010I_006EA,B24010I_006MA,B24010I_007EA,B24010I_007MA,B24010I_008EA,B24010I_008MA,B24010I_009MA,B24010I_009EA,B24010I_010MA,B24010I_010EA,B24010I_011MA,B24010I_011EA,B24010I_012EA,B24010I_012MA,B24010I_013EA,B24010I_013MA,B24010I_014EA,B24010I_014MA,B24010I_015MA,B24010I_015EA,B24010I_016MA,B24010I_016EA,B24010I_017MA,B24010I_017EA,B24010I_018MA,B24010I_018EA,B24010I_019EA,B24010I_019MA,B24010I_020MA,B24010I_020EA,B24010I_021MA,B24010I_021EA,B24010I_022MA,B24010I_022EA,B24010I_023MA,B24010I_023EA,B24010I_024EA,B24010I_024MA,B24010I_025EA,B24010I_025MA,B24010I_026MA,B24010I_026EA,B24010I_027MA,B24010I_027EA,B24010I_028EA,B24010I_028MA,B24010I_029EA,B24010I_029MA,B24010I_030EA,B24010I_030MA,B24010I_031MA,B24010I_031EA,B24010I_032MA,B24010I_032EA,B24010I_033EA,B24010I_033MA,B24010I_034EA,B24010I_034MA,B24010I_035EA,B24010I_035MA,B24010I_036EA,B24010I_036MA,B24010I_037MA,B24010I_037EA,B24010I_038EA,B24010I_038MA,B24010I_039EA,B24010I_039MA,B24010I_040EA,B24010I_040MA,B24010I_041EA,B24010I_041MA,B24010I_042MA,B24010I_042EA,B24010I_043MA,B24010I_043EA,B24010I_044MA,B24010I_044EA,B24010I_045EA,B24010I_045MA,B24010I_046EA,B24010I_046MA,B24010I_047EA,B24010I_047MA,B24010I_048EA,B24010I_048MA,B24010I_049MA,B24010I_049EA,B24010I_050EA,B24010I_050MA,B24010I_051EA,B24010I_051MA,B24010I_052EA,B24010I_052MA,B24010I_053EA,B24010I_053MA,B24010I_054MA,B24010I_054EA,B24010I_055MA,B24010I_055EA,B24010I_056EA,B24010I_056MA,B24010I_057EA,B24010I_057MA,B24010I_058EA,B24010I_058MA,B24010I_059MA,B24010I_059EA,B24010I_060MA,B24010I_060EA,B24010I_061EA,B24010I_061MA,B24010I_062EA,B24010I_062MA,B24010I_063MA,B24010I_063EA,B24010I_064EA,B24010I_064MA,B24010I_065MA,B24010I_065EA,B24010I_066EA,B24010I_066MA,B24010I_067MA,B24010I_067EA,B24010I_068MA,B24010I_068EA,B24010I_069EA,B24010I_069MA,B24010I_070EA,B24010I_070MA,B24010I_071EA,B24010I_071MA,B24010I_072EA,B24010I_072MA,B24010I_073EA,B24010I_073MA,state
0400000US01,78100,3654,53009,3640,5377,1383,2419,870,2235,828,184,193,1250,750,839,693,364,271,47,87,1409,725,607,447,0,190,735,474,67,79,299,315,107,126,192,296,10526,2404,28,45,430,319,231,207,199,287,5364,1975,4406,1279,298,412,4557,1296,2744,1136,1813,655,19510,2529,1383,653,14525,2403,3602,1342,13039,2880,9392,2629,484,408,3163,1142,25091,2995,5426,1735,1371,895,499,394,872,792,351,309,189,222,0,190,162,213,1607,677,134,154,251,333,917,511,305,241,2097,1162,1773,1225,324,309,9211,1674,0,190,261,310,41,69,220,300,3526,1329,3640,1234,1784,858,5460,1587,2203,954,3257,1124,476,462,175,231,0,190,301,384,4518,1343,3864,1285,0,190,654,500,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,721367,11490,405446,6829,59961,5772,28682,3998,19120,3286,9562,2154,10999,2057,4656,1294,5583,1591,760,503,14662,3096,4958,1919,877,425,6677,1918,2150,892,5618,1696,2741,1246,2877,1428,104427,7321,4722,1490,18337,3679,7904,1956,10433,2894,30296,3631,46982,5280,4090,1034,69015,5012,33957,4148,35058,4274,102440,6560,9013,1937,64800,5336,28627,3978,69603,5459,26589,3329,20851,3858,22163,2974,315921,9308,75094,6110,28607,4305,16333,3045,12274,3029,5077,1727,3000,1335,1046,585,1031,699,27707,3441,6500,1414,3182,1146,16461,2746,1564,622,13703,2963,7289,2346,6414,1686,101147,6370,14868,2871,6143,1810,2574,1094,3569,1468,33029,4076,28940,3317,18167,2768,111827,6818,38106,4358,73721,6223,4257,945,2244,718,1809,704,204,164,23596,3597,14333,2919,3101,1205,6162,1512,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,75828,3000,48132,2024,4907,1208,2073,767,1714,659,359,304,934,799,661,761,42,84,231,209,1221,716,276,276,0,192,406,325,539,524,679,550,679,550,0,192,8517,2093,108,199,311,239,162,190,149,133,4404,1572,3660,1450,34,67,3825,1366,2044,1044,1781,739,14027,2693,3696,971,9661,2328,670,505,16856,2277,9265,1596,1597,765,5994,2152,27696,2521,4025,1059,700,401,385,262,315,289,103,117,57,79,0,192,46,85,2494,934,355,352,0,192,1815,894,324,251,728,454,584,424,144,167,8799,2049,647,697,171,159,90,135,81,82,4030,1413,2343,1120,1608,710,5926,1384,3014,1187,2912,986,1682,955,1420,848,262,403,0,192,7264,1589,6271,1431,47,82,946,672,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5782803,26420,3294888,17997,468333,13082,225030,10490,166978,9024,58052,4721,86588,5683,35347,3835,38699,4187,12542,2303,121496,6032,21925,2710,9078,1914,47122,3845,43371,3850,35219,3108,16218,2200,19001,2328,729049,16989,20801,2468,97630,6833,57929,4568,39701,4573,255696,12130,307111,9912,47811,3879,529179,11272,266419,9926,262760,8919,813778,14709,187682,9802,423053,12360,203043,8875,754549,14960,321877,11363,217308,7533,215364,9450,2487915,19213,575089,11035,218578,7433,131508,6316,87070,4363,32831,3375,14079,2303,7881,1788,10871,1858,239714,8237,44917,5001,17232,2410,150894,6956,26671,3008,83966,4701,46774,3863,37192,3301,763467,15224,115199,5798,20423,2792,11141,1769,9282,2158,196935,9365,233042,8966,197868,7414,815570,13577,321674,9743,493896,10854,75538,4554,63887,4422,6818,1366,4833,1181,258251,9604,166845,7435,20924,2493,70482,5443,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,434471,7169,242780,5012,40621,3289,19028,2373,14419,2179,4609,1377,8356,1624,4269,1225,2486,967,1601,741,9319,1794,2236,1066,563,320,3999,1077,2521,921,3918,1474,2485,1227,1433,800,57027,4706,866,478,6010,1484,2964,1034,3046,960,25452,3696,20789,2724,3910,1247,32302,3014,16731,2420,15571,1940,67005,4597,4672,1406,47880,3862,14453,2656,45825,3617,21316,2519,11780,1677,12729,2191,191691,5020,44841,3264,17856,2272,10730,1701,7126,1402,4360,1252,2063,750,1297,878,1000,565,15947,1922,2912,760,1586,521,9852,1661,1597,576,6678,1194,3746,1064,2932,742,68190,4913,12014,2047,1473,636,1126,587,347,197,22266,3285,20489,2753,11948,1881,60862,4460,20124,2202,40738,3933,1936,705,882,404,753,511,301,263,15862,2456,11258,1989,1549,672,3055,1530,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,210625,4955,112997,3332,16442,2165,7534,1175,5351,953,2183,785,2745,979,992,648,1208,609,545,407,3631,976,1135,605,232,183,1248,526,1016,477,2532,938,1606,671,926,683,34907,3623,459,291,2979,872,2266,885,713,423,15026,2778,13224,2599,3219,1084,17900,2134,9156,1548,8744,1820,22385,3305,1506,1747,15123,2384,5756,1555,21363,2683,10939,1775,5210,1414,5214,1574,97628,3445,24383,2425,7368,1296,4076,893,3292,1178,1151,565,519,424,128,131,504,442,10969,1605,2816,998,665,361,6588,1222,900,518,4895,1350,2061,701,2834,1019,34058,2873,7262,1402,536,266,424,226,112,147,8825,1776,9428,1700,8007,1503,28806,2455,10629,1354,18177,2309,638,289,177,246,168,132,293,231,9743,1671,7582,1471,1460,755,701,373,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32382,2169,19364,1335,2513,763,1042,501,727,448,315,282,767,531,199,251,536,462,32,53,396,295,54,93,0,192,175,179,167,238,308,291,194,190,114,195,3503,944,0,192,311,238,206,171,105,175,1174,633,1968,743,50,80,2059,985,1045,590,1014,824,3630,1013,1320,892,1297,573,1013,502,7659,1379,3188,1088,2042,916,2429,963,13018,1409,3587,992,1051,597,326,282,725,538,342,255,94,163,213,240,35,58,1523,687,538,533,259,294,679,400,47,82,671,464,312,335,359,341,4206,895,296,235,179,257,179,257,0,192,1884,692,1402,663,445,328,3183,1198,1092,665,2091,1054,194,174,135,153,0,192,59,95,1848,760,1120,471,0,192,728,495,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,31024,1839,17692,1452,5726,1167,2493,932,1345,629,1148,729,1227,550,72,64,220,209,935,525,1798,735,97,121,540,381,386,262,775,590,208,257,208,257,0,200,5124,1381,149,204,85,140,0,200,85,140,2814,1119,1894,770,182,223,2017,759,847,523,1170,498,4062,1442,0,200,3452,1423,610,459,763,571,569,545,108,174,86,104,13332,1113,4816,945,2227,716,1268,593,959,496,631,408,213,268,48,77,370,278,1898,661,214,198,764,379,350,293,570,371,60,76,60,76,0,200,5299,1125,94,162,0,200,0,200,0,200,1161,660,2710,884,1334,648,2722,909,937,606,1785,642,158,196,0,200,158,196,0,200,337,373,337,373,0,200,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1911634,17316,1035298,13570,208285,9669,104630,6940,79748,6098,24882,3677,32306,3610,16655,2767,13987,2701,1664,883,43669,4625,4525,1356,5682,1655,15801,2816,17661,2731,27680,3348,16518,2350,11162,2573,232034,11699,6380,1509,32065,4307,21521,3746,10544,2234,75467,6773,100071,6825,18051,3120,204906,10407,119585,8601,85321,6396,230562,11690,29316,4251,128779,8857,72467,6903,159511,7951,52234,6303,65692,5199,41585,4686,876336,12752,247606,7892,91525,7100,54105,5321,37420,4067,10582,1877,5341,1393,2236,856,3005,1049,96055,6255,10909,2148,10980,1967,60281,5372,13885,2428,49444,5044,30300,4220,19144,2947,245320,11192,41861,4856,7506,1676,5903,1431,1603,863,67458,6730,90427,7617,38068,4200,316477,10542,128855,7761,187622,8489,14801,3132,9682,2389,2487,997,2632,1396,52132,4877,32789,4002,8251,1872,11092,2272,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
