GEO_ID,B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,NAME,B25116_001MA,B25116_001EA,B25116_002MA,B25116_002EA,B25116_003MA,B25116_003EA,B25116_004EA,B25116_004MA,B25116_005EA,B25116_005MA,B25116_006MA,B25116_006EA,B25116_007MA,B25116_007EA,B25116_008EA,B25116_008MA,B25116_009EA,B25116_009MA,B25116_010EA,B25116_010MA,B25116_011MA,B25116_011EA,B25116_012MA,B25116_012EA,B25116_013MA,B25116_013EA,B25116_014EA,B25116_014MA,B25116_015EA,B25116_015MA,B25116_016EA,B25116_016MA,B25116_017MA,B25116_017EA,B25116_018MA,B25116_018EA,B25116_019EA,B25116_019MA,B25116_020EA,B25116_020MA,B25116_021EA,B25116_021MA,B25116_022MA,B25116_022EA,B25116_023MA,B25116_023EA,state
0400000US01,1844546,11416,1289217,12212,312996,7879,103039,4634,74079,3970,59134,3093,76744,3469,976221,11405,539445,10016,214931,4523,139302,3713,82543,2662,555329,9348,207245,8057,122188,6399,38158,3079,21817,2021,25082,2174,348084,9351,295742,9190,30160,2171,13746,1730,8436,1232,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,162312,3867,33888,2663,14019,1764,9966,1522,5324,942,4579,819,128424,4055,78721,3674,30002,1840,13674,1141,6027,588,95018,4471,30958,2892,20161,2530,5836,1078,2982,763,1979,504,64060,3810,56325,3715,5951,1050,1061,474,723,299,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,1501528,15067,357627,10373,112355,6861,83033,5672,82391,5266,79848,4480,1143901,14387,588691,12296,248845,5947,187565,4492,118800,4381,854527,15846,292985,10915,178888,8264,51822,4499,27151,2928,35124,3141,561542,13513,481058,13135,50022,4409,19323,2551,11139,1665,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,750984,9249,175700,6105,51819,4234,41670,3201,36514,2270,45697,2591,575284,8330,311146,6866,122745,3747,87508,2660,53885,2268,376637,8537,140651,6159,82030,5088,27102,2704,14801,1705,16718,1785,235986,7835,201298,6827,19524,2412,9613,1438,5551,1119,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,6843369,25886,1385446,14144,406092,9151,332661,8036,280817,8656,365876,7581,5457923,27245,2991904,22292,1246930,14589,722857,9447,496232,7547,5625374,23999,1664726,20682,957707,15947,293695,9744,181097,6545,232227,7251,3960648,25793,3298699,25342,401675,9825,155813,5944,104461,4512,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,1271804,10881,299105,8799,115633,6582,78340,4347,52370,2759,52762,2702,972699,10410,576799,8433,217896,5503,112854,2970,65150,2766,703584,11056,269858,7859,174995,6905,41235,3457,23220,2608,30408,2125,433726,9035,378147,8923,32617,3035,13980,2025,8982,1288,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,911059,6941,206234,6244,67482,4561,49085,3147,37354,2379,52313,3191,704825,7313,395899,6033,161825,4080,87839,2959,59262,3086,440584,7734,177901,6164,89752,5177,32078,2969,23445,2119,32626,2361,262683,8188,217850,7335,26093,2756,9359,1520,9381,1431,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,238560,4816,53960,3589,18214,2250,11745,1408,11394,1425,12607,1514,184600,3621,98708,3554,42421,1814,28864,1546,14607,1311,94632,4248,30227,2585,14649,2173,6013,1112,4343,918,5222,1067,64405,3513,56089,3541,4274,844,1858,678,2184,757,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,110625,3425,41724,2401,21004,2016,8690,1056,6489,832,5541,836,68901,3051,37056,2461,14257,1402,9743,982,7845,900,158045,3930,79798,3819,53408,3201,12141,1573,7418,1129,6831,1083,78247,3641,66709,3212,6271,1115,3498,892,1769,698,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,4741169,31771,1241981,19027,345117,10291,275122,8236,268778,8813,352964,8852,3499188,28600,1688465,21341,775243,12336,606362,9969,429118,7762,2365114,25972,836303,16708,485463,13662,139135,7257,89536,4508,122169,5237,1528811,22886,1262443,21097,152557,8399,65388,4638,48423,3752,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
