GEO_ID,B992703_001E,B992703_002E,B992703_003E,NAME,B992703_001EA,B992703_002EA,B992703_003EA,state
0400000US01,4720067,472359,4247708,Alabama,null,null,null,01
0400000US02,699272,45014,654258,Alaska,null,null,null,02
0400000US04,6378280,678138,5700142,Arizona,null,null,null,04
0400000US05,2885212,252577,2632635,Arkansas,null,null,null,05
0400000US06,37161789,3018450,34143339,California,null,null,null,06
0400000US08,5024885,445009,4579876,Colorado,null,null,null,08
0400000US09,3522709,308735,3213974,Connecticut,null,null,null,09
0400000US10,892132,86668,805464,Delaware,null,null,null,10
0400000US11,608165,66519,541646,District of Columbia,null,null,null,11
0400000US12,18752294,2129547,16622747,Florida,null,null,null,12
0400000US13,9619740,831976,8787764,Georgia,null,null,null,13
0400000US15,1326065,138698,1187367,Hawaii,null,null,null,15
0400000US16,1565645,134994,1430651,Idaho,null,null,null,16
0400000US17,12688006,1115991,11572015,Illinois,null,null,null,17
0400000US18,6417644,591056,5826588,Indiana,null,null,null,18
0400000US19,3017465,287798,2729667,Iowa,null,null,null,19
0400000US20,2813530,233990,2579540,Kansas,null,null,null,20
0400000US21,4284357,390814,3893543,Kentucky,null,null,null,21
0400000US22,4473068,372756,4100312,Louisiana,null,null,null,22
0400000US23,1314121,116871,1197250,Maine,null,null,null,23
0400000US24,5736588,541233,5195355,Maryland,null,null,null,24
0400000US25,6507596,679409,5828187,Massachusetts,null,null,null,25
0400000US26,9762306,989406,8772900,Michigan,null,null,null,26
0400000US27,5286728,477795,4808933,Minnesota,null,null,null,27
0400000US28,2911811,242114,2669697,Mississippi,null,null,null,28
0400000US29,5898968,538191,5360777,Missouri,null,null,null,29
0400000US30,983214,89183,894031,Montana,null,null,null,30
0400000US31,1814388,143804,1670584,Nebraska,null,null,null,31
0400000US32,2686989,209320,2477669,Nevada,null,null,null,32
0400000US33,1303868,107725,1196143,New Hampshire,null,null,null,33
0400000US34,8712982,765652,7947330,New Jersey,null,null,null,34
0400000US35,2047242,192044,1855198,New Mexico,null,null,null,35
0400000US36,19208419,1853292,17355127,New York,null,null,null,36
0400000US37,9461018,822311,8638707,North Carolina,null,null,null,37
0400000US38,669425,53089,616336,North Dakota,null,null,null,38
0400000US39,11369102,1032925,10336177,Ohio,null,null,null,39
0400000US40,3710368,326093,3384275,Oklahoma,null,null,null,40
0400000US41,3832640,372637,3460003,Oregon,null,null,null,41
0400000US42,12539757,1297435,11242322,Pennsylvania,null,null,null,42
0400000US44,1035117,99739,935378,Rhode Island,null,null,null,44
0400000US45,4579231,454370,4124861,South Carolina,null,null,null,45
0400000US46,805505,63644,741861,South Dakota,null,null,null,46
0400000US47,6302351,574588,5727763,Tennessee,null,null,null,47
0400000US48,25197453,1874122,23323331,Texas,null,null,null,48
0400000US49,2789648,214505,2575143,Utah,null,null,null,49
0400000US50,620159,52836,567323,Vermont,null,null,null,50
0400000US51,7887164,735945,7151219,Virginia,null,null,null,51
0400000US53,6716822,561288,6155534,Washington,null,null,null,53
0400000US54,1826485,160337,1666148,West Virginia,null,null,null,54
0400000US55,5634063,508041,5126022,Wisconsin,null,null,null,55
0400000US56,558832,41018,517814,Wyoming,null,null,null,56
0400000US72,3680339,166225,3514114,Puerto Rico,null,null,null,72
