GEO_ID,C01001H_001E,C01001H_001M,C01001H_002E,C01001H_002M,C01001H_003E,C01001H_003M,C01001H_004E,C01001H_004M,C01001H_005E,C01001H_005M,C01001H_006E,C01001H_006M,C01001H_007E,C01001H_007M,C01001H_008E,C01001H_008M,C01001H_009E,C01001H_009M,NAME,C01001H_001EA,C01001H_001MA,C01001H_002EA,C01001H_002MA,C01001H_003EA,C01001H_003MA,C01001H_004EA,C01001H_004MA,C01001H_005MA,C01001H_005EA,C01001H_006MA,C01001H_006EA,C01001H_007EA,C01001H_007MA,C01001H_008EA,C01001H_008MA,C01001H_009EA,C01001H_009MA,state
0400000US01,3202563,2187,1564621,1586,340505,1206,991418,665,232698,213,1637942,1722,325006,1320,1008559,682,304377,70,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,459836,438,242498,329,50398,292,170199,129,21901,6,217338,384,47553,282,148597,220,21188,122,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3713340,2476,1835742,1976,343350,1549,1141823,1530,350569,256,1877598,2075,325796,1657,1143334,1075,408468,60,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2181458,1323,1071631,1701,237859,1567,666970,642,166802,405,1109827,1672,223508,1690,674872,678,211447,327,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14917153,7949,7431065,4399,1283199,2344,4950849,3814,1197017,850,7486088,4823,1212097,2751,4773806,2876,1500185,864,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3560652,2129,1779086,2045,363760,1771,1198512,1283,216814,292,1781566,2106,340457,2143,1172936,949,268173,136,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2531612,2420,1230998,1411,248496,783,791693,993,190809,120,1300614,1344,236346,382,806691,1113,257577,269,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,589845,271,286024,110,55456,109,181971,20,48597,11,303821,251,52725,192,189806,251,61290,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,217819,305,107833,169,10444,71,87195,131,10194,51,109986,188,9945,77,88518,134,11523,58,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10927459,5457,5358891,3284,928351,2627,3261691,1898,1168849,582,5568568,4503,877937,2416,3287284,3171,1403347,1259,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5441439,2693,2683588,3872,600592,3516,1732918,1323,350078,312,2757851,3777,561014,3604,1746481,1420,450356,137,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,314810,420,170038,828,21399,763,123612,358,25027,187,144772,795,20647,777,99299,109,24826,187,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1323093,2327,659270,1492,167973,861,402807,1228,88490,365,663823,1435,158327,879,403041,1004,102455,311,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8123890,5060,3977646,4190,834027,1349,2590376,3819,553243,498,4146244,2548,793820,1307,2605677,1909,746747,638,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5295511,2567,2601343,1931,604332,1498,1660868,1027,336143,165,2694168,1698,572171,1403,1675290,715,446707,211,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2706524,982,1333780,1043,302410,793,840946,501,190424,50,1372744,857,285497,754,833818,571,253429,212,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2231358,1492,1098462,1688,251776,1518,695268,514,151418,347,1132896,1621,240138,1453,695162,626,197596,110,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3761039,2852,1842225,2324,422143,1430,1181346,1340,238736,184,1918814,1831,400931,1437,1205404,838,312479,181,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2743421,2146,1349773,1974,298818,1808,868823,752,182132,181,1393648,2302,285836,1748,871678,1256,236134,156,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1251992,380,612667,489,124999,464,394004,150,93664,18,639325,578,116630,490,404428,308,118267,72,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3161062,2576,1544909,1581,316798,1106,1004404,930,223707,143,1616153,1564,301991,1034,1023217,890,290945,370,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
