GEO_ID,C07408_001E,C07408_001M,C07408_002E,C07408_002M,C07408_003E,C07408_003M,C07408_004E,C07408_004M,C07408_005E,C07408_005M,C07408_006E,C07408_006M,C07408_007E,C07408_007M,C07408_008E,C07408_008M,C07408_009E,C07408_009M,C07408_010E,C07408_010M,C07408_011E,C07408_011M,C07408_012E,C07408_012M,C07408_013E,C07408_013M,C07408_014E,C07408_014M,C07408_015E,C07408_015M,C07408_016E,C07408_016M,C07408_017E,C07408_017M,C07408_018E,C07408_018M,C07408_019E,C07408_019M,C07408_020E,C07408_020M,C07408_021E,C07408_021M,C07408_022E,C07408_022M,C07408_023E,C07408_023M,C07408_024E,C07408_024M,C07408_025E,C07408_025M,NAME,C07408_001EA,C07408_001MA,C07408_002EA,C07408_002MA,C07408_003MA,C07408_003EA,C07408_004EA,C07408_004MA,C07408_005MA,C07408_005EA,C07408_006EA,C07408_006MA,C07408_007EA,C07408_007MA,C07408_008MA,C07408_008EA,C07408_009EA,C07408_009MA,C07408_010EA,C07408_010MA,C07408_011MA,C07408_011EA,C07408_012EA,C07408_012MA,C07408_013MA,C07408_013EA,C07408_014EA,C07408_014MA,C07408_015EA,C07408_015MA,C07408_016MA,C07408_016EA,C07408_017EA,C07408_017MA,C07408_018EA,C07408_018MA,C07408_019MA,C07408_019EA,C07408_020EA,C07408_020MA,C07408_021EA,C07408_021MA,C07408_022MA,C07408_022EA,C07408_023EA,C07408_023MA,C07408_024MA,C07408_024EA,C07408_025EA,C07408_025MA,state
0400000US01,3853848,9994,1118518,17211,1886315,25586,576702,15510,272313,7215,3305733,17102,869381,16438,1710700,22886,477445,13280,248207,6973,333740,13453,147573,7847,109576,8559,61252,4242,15339,2079,128229,7681,64415,4457,31228,4097,26549,3164,6037,1391,86146,8075,37149,4216,34811,5610,11456,2103,2730,945,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,601274,7859,201759,6552,289433,8666,87385,5814,22697,1750,453768,5685,134726,5140,236151,7519,64623,3826,18268,1602,63759,4747,28407,3236,22775,3611,10250,2225,2327,785,15423,2325,6743,1196,5779,1713,2601,910,300,326,68324,7317,31883,4078,24728,4761,9911,2777,1802,842,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5070848,17164,1630347,22340,2414313,32067,746896,20739,279292,8875,4121671,29439,1200846,21489,2100522,30914,573723,16509,246580,8533,682497,24604,311484,14400,223893,15097,124251,8973,22869,2797,99483,9066,50228,5589,26749,4213,19607,3785,2899,1506,167197,12002,67789,5446,63149,7400,29315,4096,6944,1830,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2337879,7772,608057,13219,1199205,16942,371667,11017,158950,6224,1966427,13467,463622,11849,1067984,17090,293826,9099,140995,5248,228748,9845,86828,5909,82322,6675,49512,4762,10086,1525,83004,6782,35046,3882,27011,3968,17094,2754,3853,1114,59700,4554,22561,3068,21888,2935,11235,2082,4016,1398,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29910217,27084,10847730,48652,13892699,65954,3627295,39336,1542493,14852,25274272,53804,8598901,43607,12321655,67751,2954451,31394,1399265,15152,3256938,47506,1542194,33190,1123998,24971,489114,15708,101632,5697,901891,21573,477884,14213,272644,12216,123234,6671,28129,3195,477116,16235,228751,10130,174402,11574,60496,4503,13467,2443,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4024982,12396,1236264,15747,2054857,23221,548175,13551,185686,6171,3277187,17133,874915,15041,1803688,21474,430981,11417,167603,5810,390584,12617,183050,7994,131063,9552,66707,4584,9764,1537,219787,10042,114847,7386,66339,6472,33611,3215,4990,1190,137424,8228,63452,4329,53767,5638,16876,2359,3329,906,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2928176,8307,972602,13262,1416013,15592,359289,9215,180272,6388,2594554,11717,800355,12713,1321015,15125,306352,8252,166832,6043,195726,10663,91794,6632,56550,5449,38286,4211,9096,1653,58083,4387,35254,3742,12115,2230,8162,1576,2552,647,79813,5961,45199,3883,26333,4392,6489,1426,1792,820,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,726660,4855,240025,6001,342182,6509,99042,5263,45411,3059,636836,6509,190555,6002,321981,6353,82168,4917,42132,3093,59565,4732,33916,3495,12832,2418,10398,1781,2419,709,7249,1699,3545,961,1600,661,1667,942,437,341,23010,3119,12009,2096,5769,1699,4809,1791,423,315,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,523617,6105,296183,6843,137303,7307,61887,4027,28244,2545,420530,5558,226694,5760,114931,6065,52921,3541,25984,2344,57175,5244,41736,4517,8362,2015,5709,1056,1368,775,0,193,0,193,0,193,0,193,0,193,45912,4451,27753,3147,14010,2927,3257,1068,892,457,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15565650,25790,4848827,38381,7175084,44150,2420403,28792,1121336,19113,13238554,48954,3786158,40136,6459608,46675,1974045,24239,1018743,18487,1483446,37411,660111,21095,461128,20256,301270,13588,60937,4983,479034,16939,243177,9843,125998,8801,89739,6899,20120,3284,364616,14419,159381,8467,128350,9495,55349,4708,21536,3032,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7681662,17586,2543770,26709,3622501,34933,1087451,21974,427940,9838,6482516,31425,1962241,28330,3259556,36300,869789,18871,390930,9064,616781,23357,295119,14232,185764,12577,115477,7606,20421,2770,382401,15709,191388,9160,108618,8729,71654,5356,10741,1981,199964,9708,95022,6420,68563,5191,30531,3783,5848,1269,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1107583,6725,357282,8490,560029,10301,121200,6270,69072,3282,958749,8494,295649,8513,497056,9950,101948,5275,64096,3198,94092,6876,39350,3929,38563,4217,12994,2158,3185,812,7077,2172,3498,1223,1924,744,683,329,972,1154,47665,4630,18785,2251,22486,3379,5575,1349,819,419,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
