GEO_ID,C17015_001E,C17015_001M,C17015_002E,C17015_002M,C17015_003E,C17015_003M,C17015_004E,C17015_004M,C17015_005E,C17015_005M,C17015_006E,C17015_006M,C17015_007E,C17015_007M,C17015_008E,C17015_008M,C17015_009E,C17015_009M,C17015_010E,C17015_010M,C17015_011E,C17015_011M,C17015_012E,C17015_012M,C17015_013E,C17015_013M,C17015_014E,C17015_014M,C17015_015E,C17015_015M,NAME,C17015_001EA,C17015_001MA,C17015_002EA,C17015_002MA,C17015_003EA,C17015_003MA,C17015_004MA,C17015_004EA,C17015_005MA,C17015_005EA,C17015_006EA,C17015_006MA,C17015_007EA,C17015_007MA,C17015_008EA,C17015_008MA,C17015_009MA,C17015_009EA,C17015_010MA,C17015_010EA,C17015_011MA,C17015_011EA,C17015_012EA,C17015_012MA,C17015_013EA,C17015_013MA,C17015_014EA,C17015_014MA,C17015_015MA,C17015_015EA,state
0400000US01,1251795,13646,185909,6956,39221,3196,9337,1636,29884,2586,146688,6161,27773,2745,118915,5291,1065886,12576,346274,5583,31363,2165,314911,5475,719612,10569,35221,3048,684391,10511,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,12024,1704,1503,674,724,456,779,460,10521,1585,2136,724,8385,1367,161255,4646,29674,1654,4238,890,25436,1748,131581,4263,5267,1135,126314,4199,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,217603,9605,27767,2899,5718,1274,22049,2744,189836,9017,24740,2804,165096,8464,1326320,15922,413676,9233,31051,3633,382625,8964,912644,15642,41111,3741,871533,15759,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,112534,5422,23447,2270,6165,1417,17282,2057,89087,4985,18338,2185,70749,4372,644671,9383,213513,4827,18831,1936,194682,4709,431158,8048,25953,2476,405205,7651,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,1056152,15484,122468,4941,33476,3345,88992,4481,933684,14330,226501,7781,707183,12799,7462366,32642,1823477,16321,227881,7465,1595596,15298,5638889,28493,365057,10838,5273832,26927,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,114546,5172,11537,1848,2354,767,9183,1690,103009,5116,12148,1702,90861,5087,1141925,11786,254591,5156,18605,1829,235986,5021,887334,10578,30941,2737,856393,10489,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,70551,4637,9616,1575,2436,884,7180,1313,60935,4295,16426,2342,44509,4039,822550,9225,214286,4780,16517,2103,197769,5107,608264,8214,23768,2291,584496,8639,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,18261,1977,2744,928,363,251,2381,890,15517,1905,2648,773,12869,1863,208840,3727,63921,2569,4581,975,59340,2481,144919,3779,8162,1679,136757,4033,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,17608,2027,2789,796,941,410,1848,638,14819,1864,7052,1391,7767,1415,96437,3750,21546,1495,2520,679,19026,1307,74891,3733,4873,958,70018,3795,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,564395,15175,98579,6675,18551,2078,80028,6098,465816,12648,66421,4768,399395,11762,3995463,26744,1399644,14585,97164,4769,1302480,13616,2595819,23093,114862,6083,2480957,23266,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2376008,17596,349145,12059,60618,4093,12725,2137,47893,3708,288527,11928,42017,3639,246510,10899,2026863,18425,529749,9661,48528,3872,481221,10219,1497114,16680,61717,4420,1435397,16899,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,311789,5861,26678,2586,5204,1312,1056,551,4148,1190,21474,2472,5539,1368,15935,2130,285111,5942,97114,3154,8369,1498,88745,3190,187997,5138,8512,1591,179485,5108,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398682,6942,46241,3273,5231,997,927,449,4304,980,41010,3101,4605,1075,36405,2877,352441,7686,99825,3785,6314,1115,93511,3651,252616,6966,12227,1910,240389,6809,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3098864,16403,340244,8556,45512,3321,9273,1494,36239,2847,294732,8102,48720,3195,246012,7154,2758620,16709,687693,8220,52581,3260,635112,7570,2070927,15626,81951,4372,1988976,16026,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1641389,13221,192775,7271,26634,2385,5596,1139,21038,2144,166141,7268,31454,3005,134687,6495,1448614,12106,400696,6096,30062,2103,370634,5973,1047918,11169,44556,2774,1003362,11580,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,784895,8576,63772,3387,7715,1069,1874,502,5841,907,56057,3505,12396,1605,43661,3089,721123,8768,195733,3950,12431,1324,183302,3662,525390,8018,18184,1760,507206,7884,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,722016,7825,66664,3600,8396,1164,2167,694,6229,957,58268,3615,10177,1586,48091,3434,655352,7579,165749,3645,10801,1339,154948,3567,489603,6619,17588,2009,472015,6629,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1119880,11401,164243,6798,34795,2688,10025,1270,24770,2360,129448,5844,29629,2577,99819,5616,955637,11084,303271,5898,32316,2550,270955,5951,652366,9462,33084,2833,619282,9449,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1118217,11607,179881,6179,34779,2818,8595,1400,26184,2696,145102,5862,26228,2324,118874,6133,938336,11018,268034,6221,30654,2837,237380,5882,670302,9798,35128,2781,635174,9904,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,347960,7218,32495,2540,5429,1038,1918,617,3511,904,27066,2379,7947,1401,19119,1834,315465,6969,99767,3066,7455,1139,92312,2906,215698,6265,10105,1148,205593,6339,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1415576,12103,99824,5151,15905,1802,3855,1039,12050,1536,83919,5123,20533,2350,63386,4631,1315752,12332,315727,6408,25416,2606,290311,5960,1000025,10744,42496,3582,957529,10779,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1597920,13701,132011,6211,22362,2413,6458,1021,15904,2011,109649,6080,36166,3531,73483,5082,1465909,13868,367190,7662,35917,2668,331273,7022,1098719,11779,57286,4040,1041433,12078,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2472884,13827,309722,7285,51665,3306,14465,1657,37200,2535,258057,6443,67047,3501,191010,5325,2163162,13062,671019,6760,60865,2743,610154,7084,1492143,12224,82642,4011,1409501,11343,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1356466,10910,102942,4216,15882,1958,4118,1034,11764,1517,87060,4033,24199,2420,62861,3872,1253524,10605,299333,5025,17322,1579,282011,5152,954191,9433,38257,3091,915934,8754,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,740958,10100,128617,4967,24637,2766,7444,1265,17193,2199,103980,4254,22853,2624,81127,4481,612341,10378,194085,5144,23760,2311,170325,4799,418256,8791,22146,2434,396110,8599,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1534831,12746,176069,6353,28012,2788,6927,1245,21085,2409,148057,6394,31085,2670,116972,5849,1358762,12420,402611,6873,33477,2638,369134,6412,956151,11021,39762,3027,916389,11123,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,253131,4418,24521,2093,4019,780,904,370,3115,677,20502,2013,3036,693,17466,1851,228610,4454,67503,2225,3599,774,63904,2126,161107,4419,6395,1050,154712,4410,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
