GEO_ID,C20005A_001E,C20005A_001M,C20005A_002E,C20005A_002M,C20005A_003E,C20005A_003M,C20005A_004E,C20005A_004M,C20005A_005E,C20005A_005M,C20005A_006E,C20005A_006M,C20005A_007E,C20005A_007M,C20005A_008E,C20005A_008M,C20005A_009E,C20005A_009M,C20005A_010E,C20005A_010M,C20005A_011E,C20005A_011M,C20005A_012E,C20005A_012M,C20005A_013E,C20005A_013M,C20005A_014E,C20005A_014M,C20005A_015E,C20005A_015M,C20005A_016E,C20005A_016M,C20005A_017E,C20005A_017M,C20005A_018E,C20005A_018M,C20005A_019E,C20005A_019M,C20005A_020E,C20005A_020M,C20005A_021E,C20005A_021M,C20005A_022E,C20005A_022M,C20005A_023E,C20005A_023M,C20005A_024E,C20005A_024M,C20005A_025E,C20005A_025M,C20005A_026E,C20005A_026M,C20005A_027E,C20005A_027M,C20005A_028E,C20005A_028M,C20005A_029E,C20005A_029M,C20005A_030E,C20005A_030M,C20005A_031E,C20005A_031M,C20005A_032E,C20005A_032M,C20005A_033E,C20005A_033M,C20005A_034E,C20005A_034M,C20005A_035E,C20005A_035M,C20005A_036E,C20005A_036M,C20005A_037E,C20005A_037M,C20005A_038E,C20005A_038M,C20005A_039E,C20005A_039M,NAME,C20005A_001EA,C20005A_001MA,C20005A_002MA,C20005A_002EA,C20005A_003MA,C20005A_003EA,C20005A_004EA,C20005A_004MA,C20005A_005MA,C20005A_005EA,C20005A_006MA,C20005A_006EA,C20005A_007EA,C20005A_007MA,C20005A_008MA,C20005A_008EA,C20005A_009MA,C20005A_009EA,C20005A_010MA,C20005A_010EA,C20005A_011MA,C20005A_011EA,C20005A_012EA,C20005A_012MA,C20005A_013MA,C20005A_013EA,C20005A_014MA,C20005A_014EA,C20005A_015EA,C20005A_015MA,C20005A_016EA,C20005A_016MA,C20005A_017EA,C20005A_017MA,C20005A_018EA,C20005A_018MA,C20005A_019MA,C20005A_019EA,C20005A_020MA,C20005A_020EA,C20005A_021MA,C20005A_021EA,C20005A_022EA,C20005A_022MA,C20005A_023EA,C20005A_023MA,C20005A_024EA,C20005A_024MA,C20005A_025EA,C20005A_025MA,C20005A_026EA,C20005A_026MA,C20005A_027EA,C20005A_027MA,C20005A_028EA,C20005A_028MA,C20005A_029EA,C20005A_029MA,C20005A_030MA,C20005A_030EA,C20005A_031EA,C20005A_031MA,C20005A_032MA,C20005A_032EA,C20005A_033EA,C20005A_033MA,C20005A_034EA,C20005A_034MA,C20005A_035EA,C20005A_035MA,C20005A_036EA,C20005A_036MA,C20005A_037EA,C20005A_037MA,C20005A_038EA,C20005A_038MA,C20005A_039MA,C20005A_039EA,state
0400000US01,2688287,6554,1302240,5447,618242,10000,150,191,618092,9993,13476,2395,45574,3862,88656,5518,175479,6894,150882,6079,144025,5473,683998,11174,415417,7765,268581,7822,124393,5305,64565,4743,30173,3294,24982,2311,12982,2203,11486,1630,1386047,3803,431108,9849,334,455,430774,9838,12474,1914,71048,4224,93484,5220,145599,6401,73093,3900,35076,3079,954939,10029,631009,9847,323930,8338,168030,6697,83623,5219,31107,3383,27411,3066,10093,1744,3666,833,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,388500,2148,204418,1410,107922,3686,0,149,107922,3686,1385,511,4921,1125,9803,1244,24915,2782,29203,3160,37695,3084,96496,3775,38120,2367,58376,3401,16039,1689,9936,1523,7271,1297,8230,1243,7001,1426,9899,1710,184082,1211,71386,3642,202,278,71184,3644,1351,512,5636,1220,11558,1805,22391,2252,18941,2351,11307,1729,112696,3826,51752,3113,60944,3477,24717,2223,12174,1707,9765,1445,7250,1117,4968,836,2070,728,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4096686,15927,2009993,9205,885408,14979,128,121,885280,14959,16774,2297,85927,7014,131454,9138,250970,11399,191376,9047,208779,8179,1124585,14861,683340,13694,441245,13642,196070,10207,115398,7298,48130,3933,45448,4820,18860,2631,17339,2490,2086693,9227,653136,13995,74,105,653062,13986,14757,2291,78809,5517,125479,7705,229996,10367,121093,6958,82928,5020,1433557,15527,934097,12601,499460,13548,242468,9869,126541,7334,56426,5325,48178,4459,18343,2764,7504,1640,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1843590,5174,901888,3091,417331,9047,0,192,417331,9047,9164,1442,42759,3666,84536,5646,125599,5553,82819,4093,72454,4156,484557,9122,295066,6100,189491,7097,95231,5132,42646,3656,20923,2590,15220,2101,9435,2259,6036,1169,941702,3485,307788,6589,0,192,307788,6589,8156,1630,59342,4098,74545,4613,98375,5229,47597,3426,19773,2152,633914,7591,418986,7043,214928,7410,114164,5547,58403,4310,19069,2406,13833,1862,6832,1409,2627,1031,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18934984,44518,9394691,25962,4191807,28047,565,527,4191242,27865,76647,4617,383551,12071,558126,13490,930134,14855,844240,16593,1398544,17105,5202884,28161,2860055,21450,2342829,23007,925891,16450,569026,12314,291450,9899,252930,8163,143692,6947,159840,6562,9540293,24974,2799455,28919,138,129,2799317,28917,55581,4125,311442,10293,435102,10462,787987,17000,599381,13448,609824,11742,6740838,30372,4104842,26778,2635996,28223,1150999,19991,648448,14171,299384,9737,269323,9792,146457,6459,121385,5093,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3453660,11812,1721427,7235,878424,9862,41,48,878383,9870,15222,2329,54521,4407,101454,4789,230936,7751,209500,7016,266750,7382,843003,11922,400000,8598,443003,10569,188845,6921,100983,6156,51100,4176,55598,4051,25344,2524,21133,2413,1732233,6286,622390,11125,23,38,622367,11132,13599,2119,67436,4445,104865,5988,206767,7736,132357,6242,97343,5434,1109843,11436,579645,8293,530198,9470,251854,7696,126586,6146,67585,4406,49725,3697,22649,3011,11799,2126,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2292614,7941,1103113,4972,547063,6438,0,198,547063,6438,5041,1187,19711,2363,42627,3630,119996,5432,135667,5067,224021,5369,556050,6648,291194,6598,264856,6751,114831,4321,51263,4002,30818,2580,31737,2648,16927,1843,19280,1960,1189501,4409,401017,8531,0,198,401017,8531,5516,1122,22927,2609,48189,3682,119209,5484,106008,4683,99168,4094,788484,8724,427805,6438,360679,7771,152014,5745,83525,4295,45849,3141,42179,3070,23903,1992,13209,1431,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,527404,3122,254217,1920,124851,4466,0,192,124851,4466,1116,480,7068,1671,12108,1785,37958,3101,32307,2820,34294,2225,129366,4303,72683,2911,56683,3543,26891,2435,11017,1558,6040,1225,5946,1221,3695,814,3094,819,273187,1647,92558,3818,42,72,92516,3807,1126,611,7953,1446,14453,1982,33813,2555,21109,2087,14062,1509,180629,4064,106862,3399,73767,3382,35973,2673,17043,2005,8382,1351,7156,1196,3300,927,1913,669,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,222685,2741,111639,1875,70624,2832,0,200,70624,2832,370,380,573,302,4943,1401,8824,1624,16870,1962,39044,2195,41015,2945,17161,2119,23854,2710,7254,1479,5031,1239,2864,914,4197,1158,1472,560,3036,752,111046,1430,59578,2734,0,200,59578,2734,305,247,1167,582,2048,760,11079,1524,18297,1784,26682,2193,51468,2857,23327,2122,28141,2726,13086,2360,4917,1176,2237,614,3371,808,2220,699,2310,699,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12167412,23840,5915544,13989,2484863,20925,221,180,2484642,20920,48131,5342,260837,10838,411658,12350,698585,15125,513451,13744,551980,13641,3430681,22736,2182824,21038,1247857,21656,565550,14876,319989,10640,133065,7170,127080,7687,52436,4908,49737,3962,6251868,14981,1934647,21984,193,253,1934454,22001,43596,4554,278517,12702,413760,13159,659440,14467,334114,10667,205027,8369,4317221,23940,2905759,21590,1411462,21751,659368,15891,387540,13757,161075,8653,136535,5877,47308,3617,19636,2385,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
