GEO_ID,C22001_001E,C22001_001M,C22001_002E,C22001_002M,C22001_003E,C22001_003M,NAME,C22001_001EA,C22001_001MA,C22001_002MA,C22001_002EA,C22001_003EA,C22001_003MA,state
0400000US01,1844546,11416,313871,8277,1530675,10586,Alabama,null,null,null,null,null,null,01
0400000US02,257330,3380,26807,2450,230523,3279,Alaska,null,null,null,null,null,null,02
0400000US04,2356055,12130,325811,10308,2030244,13791,Arizona,null,null,null,null,null,null,04
0400000US05,1127621,7837,172475,7533,955146,8493,Arkansas,null,null,null,null,null,null,05
0400000US06,12468743,22250,1040799,14953,11427944,25858,California,null,null,null,null,null,null,06
0400000US08,1975388,9057,164571,6275,1810817,10896,Colorado,null,null,null,null,null,null,08
0400000US09,1351643,7309,152131,5261,1199512,8434,Connecticut,null,null,null,null,null,null,09
0400000US10,333192,3426,39761,2908,293431,3938,Delaware,null,null,null,null,null,null,10
0400000US11,268670,3200,38777,2972,229893,4238,District of Columbia,null,null,null,null,null,null,11
0400000US12,7106283,31131,1009671,16292,6096612,34131,Florida,null,null,null,null,null,null,12
0400000US13,3494542,15336,528925,11735,2965617,15052,Georgia,null,null,null,null,null,null,13
0400000US15,448563,5562,48347,3770,400216,6354,Hawaii,null,null,null,null,null,null,15
0400000US16,580193,6204,78411,4431,501782,6576,Idaho,null,null,null,null,null,null,16
0400000US17,4737208,12865,574248,10994,4162960,15855,Illinois,null,null,null,null,null,null,17
0400000US18,2467111,11107,309162,8196,2157949,12996,Indiana,null,null,null,null,null,null,18
0400000US19,1216765,7072,131640,5418,1085125,8270,Iowa,null,null,null,null,null,null,19
0400000US20,1101701,5567,107137,4443,994564,7378,Kansas,null,null,null,null,null,null,20
0400000US21,1672134,9367,290470,7415,1381664,10026,Kentucky,null,null,null,null,null,null,21
0400000US22,1702030,9725,279937,8094,1422093,10446,Louisiana,null,null,null,null,null,null,22
0400000US23,552051,5238,96409,4677,455642,6085,Maine,null,null,null,null,null,null,23
0400000US24,2134517,9936,212016,7143,1922501,10879,Maryland,null,null,null,null,null,null,24
0400000US25,2532067,9349,307473,7794,2224594,11646,Massachusetts,null,null,null,null,null,null,25
0400000US26,3772433,14208,683932,9276,3088501,13401,Michigan,null,null,null,null,null,null,26
0400000US27,2096477,7824,179303,5379,1917174,8979,Minnesota,null,null,null,null,null,null,27
0400000US28,1080991,8431,186626,6405,894365,8171,Mississippi,null,null,null,null,null,null,28
0400000US29,2341074,10807,328652,8229,2012422,12300,Missouri,null,null,null,null,null,null,29
0400000US30,404250,4567,43998,3042,360252,4789,Montana,null,null,null,null,null,null,30
0400000US31,723800,4514,66679,3508,657121,4941,Nebraska,null,null,null,null,null,null,31
0400000US32,982352,9598,105596,5587,876756,10582,Nevada,null,null,null,null,null,null,32
0400000US33,516454,4150,42705,3173,473749,4944,New Hampshire,null,null,null,null,null,null,33
0400000US34,3167629,9918,252112,6424,2915517,12691,New Jersey,null,null,null,null,null,null,34
0400000US35,767285,6715,117904,4825,649381,7690,New Mexico,null,null,null,null,null,null,35
0400000US36,7187938,18167,1090747,15280,6097191,20793,New York,null,null,null,null,null,null,36
0400000US37,3683364,19202,543033,12447,3140331,19018,North Carolina,null,null,null,null,null,null,37
0400000US38,283440,2528,24881,2117,258559,3239,North Dakota,null,null,null,null,null,null,38
0400000US39,4538555,15280,687866,11504,3850689,16293,Ohio,null,null,null,null,null,null,39
0400000US40,1442731,7338,205876,5351,1236855,7562,Oklahoma,null,null,null,null,null,null,40
0400000US41,1516979,8379,286711,8110,1230268,10754,Oregon,null,null,null,null,null,null,41
0400000US42,4937333,13801,627156,11239,4310177,14987,Pennsylvania,null,null,null,null,null,null,42
0400000US44,412259,3948,60367,3235,351892,4866,Rhode Island,null,null,null,null,null,null,44
0400000US45,1768834,12783,273282,9639,1495552,12891,South Carolina,null,null,null,null,null,null,45
0400000US46,323215,3255,34242,2650,288973,3968,South Dakota,null,null,null,null,null,null,46
0400000US47,2467428,12592,435209,9539,2032219,13369,Tennessee,null,null,null,null,null,null,47
0400000US48,8850370,21114,1205123,16422,7645247,26035,Texas,null,null,null,null,null,null,48
0400000US49,884253,5722,87628,4506,796625,6792,Utah,null,null,null,null,null,null,49
0400000US50,257358,2656,35258,2573,222100,3039,Vermont,null,null,null,null,null,null,50
0400000US51,2990650,13887,287378,9050,2703272,14719,Virginia,null,null,null,null,null,null,51
0400000US53,2632621,9876,382422,8810,2250199,10782,Washington,null,null,null,null,null,null,53
0400000US54,735408,6147,117950,4471,617458,6785,West Virginia,null,null,null,null,null,null,54
0400000US55,2275352,8388,289996,7227,1985356,10509,Wisconsin,null,null,null,null,null,null,55
0400000US56,222539,3310,13161,1730,209378,3619,Wyoming,null,null,null,null,null,null,56
0400000US72,1256151,8804,471272,8107,784879,9411,Puerto Rico,null,null,null,null,null,null,72
