GEO_ID,C24020_001E,C24020_001M,C24020_002E,C24020_002M,C24020_003E,C24020_003M,C24020_004E,C24020_004M,C24020_005E,C24020_005M,C24020_006E,C24020_006M,C24020_007E,C24020_007M,C24020_008E,C24020_008M,C24020_009E,C24020_009M,C24020_010E,C24020_010M,C24020_011E,C24020_011M,C24020_012E,C24020_012M,C24020_013E,C24020_013M,C24020_014E,C24020_014M,C24020_015E,C24020_015M,C24020_016E,C24020_016M,C24020_017E,C24020_017M,C24020_018E,C24020_018M,C24020_019E,C24020_019M,C24020_020E,C24020_020M,C24020_021E,C24020_021M,C24020_022E,C24020_022M,C24020_023E,C24020_023M,C24020_024E,C24020_024M,C24020_025E,C24020_025M,C24020_026E,C24020_026M,C24020_027E,C24020_027M,C24020_028E,C24020_028M,C24020_029E,C24020_029M,C24020_030E,C24020_030M,C24020_031E,C24020_031M,C24020_032E,C24020_032M,C24020_033E,C24020_033M,C24020_034E,C24020_034M,C24020_035E,C24020_035M,C24020_036E,C24020_036M,C24020_037E,C24020_037M,C24020_038E,C24020_038M,C24020_039E,C24020_039M,C24020_040E,C24020_040M,C24020_041E,C24020_041M,C24020_042E,C24020_042M,C24020_043E,C24020_043M,C24020_044E,C24020_044M,C24020_045E,C24020_045M,C24020_046E,C24020_046M,C24020_047E,C24020_047M,C24020_048E,C24020_048M,C24020_049E,C24020_049M,C24020_050E,C24020_050M,C24020_051E,C24020_051M,C24020_052E,C24020_052M,C24020_053E,C24020_053M,C24020_054E,C24020_054M,C24020_055E,C24020_055M,C24020_056E,C24020_056M,C24020_057E,C24020_057M,C24020_058E,C24020_058M,C24020_059E,C24020_059M,C24020_060E,C24020_060M,C24020_061E,C24020_061M,C24020_062E,C24020_062M,C24020_063E,C24020_063M,C24020_064E,C24020_064M,C24020_065E,C24020_065M,C24020_066E,C24020_066M,C24020_067E,C24020_067M,C24020_068E,C24020_068M,C24020_069E,C24020_069M,C24020_070E,C24020_070M,C24020_071E,C24020_071M,C24020_072E,C24020_072M,C24020_073E,C24020_073M,NAME,C24020_001MA,C24020_001EA,C24020_002EA,C24020_002MA,C24020_003EA,C24020_003MA,C24020_004MA,C24020_004EA,C24020_005MA,C24020_005EA,C24020_006MA,C24020_006EA,C24020_007EA,C24020_007MA,C24020_008EA,C24020_008MA,C24020_009MA,C24020_009EA,C24020_010MA,C24020_010EA,C24020_011MA,C24020_011EA,C24020_012EA,C24020_012MA,C24020_013EA,C24020_013MA,C24020_014EA,C24020_014MA,C24020_015MA,C24020_015EA,C24020_016MA,C24020_016EA,C24020_017MA,C24020_017EA,C24020_018EA,C24020_018MA,C24020_019EA,C24020_019MA,C24020_020MA,C24020_020EA,C24020_021MA,C24020_021EA,C24020_022MA,C24020_022EA,C24020_023EA,C24020_023MA,C24020_024EA,C24020_024MA,C24020_025EA,C24020_025MA,C24020_026MA,C24020_026EA,C24020_027MA,C24020_027EA,C24020_028MA,C24020_028EA,C24020_029EA,C24020_029MA,C24020_030EA,C24020_030MA,C24020_031MA,C24020_031EA,C24020_032MA,C24020_032EA,C24020_033MA,C24020_033EA,C24020_034EA,C24020_034MA,C24020_035EA,C24020_035MA,C24020_036EA,C24020_036MA,C24020_037MA,C24020_037EA,C24020_038MA,C24020_038EA,C24020_039MA,C24020_039EA,C24020_040EA,C24020_040MA,C24020_041EA,C24020_041MA,C24020_042EA,C24020_042MA,C24020_043MA,C24020_043EA,C24020_044MA,C24020_044EA,C24020_045EA,C24020_045MA,C24020_046EA,C24020_046MA,C24020_047EA,C24020_047MA,C24020_048MA,C24020_048EA,C24020_049MA,C24020_049EA,C24020_050MA,C24020_050EA,C24020_051MA,C24020_051EA,C24020_052EA,C24020_052MA,C24020_053MA,C24020_053EA,C24020_054MA,C24020_054EA,C24020_055MA,C24020_055EA,C24020_056MA,C24020_056EA,C24020_057EA,C24020_057MA,C24020_058EA,C24020_058MA,C24020_059MA,C24020_059EA,C24020_060MA,C24020_060EA,C24020_061MA,C24020_061EA,C24020_062EA,C24020_062MA,C24020_063EA,C24020_063MA,C24020_064MA,C24020_064EA,C24020_065MA,C24020_065EA,C24020_066MA,C24020_066EA,C24020_067EA,C24020_067MA,C24020_068EA,C24020_068MA,C24020_069EA,C24020_069MA,C24020_070MA,C24020_070EA,C24020_071MA,C24020_071EA,C24020_072MA,C24020_072EA,C24020_073EA,C24020_073MA,state
0400000US01,1413424,18010,791093,11866,248847,6953,117081,5983,89238,4963,27843,2882,57521,3665,24018,2209,28497,2977,5006,1124,51698,3670,12570,1907,7397,1100,23383,2883,8348,1495,22547,2525,16118,2085,6429,1465,94266,4918,2785,899,31776,3261,13890,2182,17886,2525,19297,2717,34009,3958,6399,1273,118215,5315,76129,4544,42086,3269,147820,7293,7240,1326,71702,4806,68878,5056,181945,8566,102263,5361,47538,4296,32144,3202,622331,10822,262722,8165,87987,5072,51971,3667,36016,3148,15806,2242,9437,1729,3123,893,3246,957,84071,4806,12162,1583,8271,1364,58362,4318,5276,1294,74858,3731,46329,3509,28529,2606,96413,4999,26637,3200,5593,1425,3028,912,2565,1126,25587,2899,14742,2011,23854,2994,211840,7077,63602,3676,148238,6777,5801,1343,910,455,2132,758,2759,958,45555,3811,33493,2914,6003,1421,6059,1397,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,222348,6529,123388,4488,45063,3553,22284,2429,18630,2156,3654,894,11244,1411,2767,768,5372,1251,3105,822,7033,1268,1955,733,849,311,3450,905,779,313,4502,1233,3144,1023,1358,688,15381,2570,513,296,5597,1540,3043,1215,2554,863,3949,1223,4136,1084,1186,510,19333,2191,11107,1887,8226,1337,25125,2851,1252,549,13734,2162,10139,1482,18486,2650,6411,1247,8084,1612,3991,1155,98960,4281,44830,3296,18724,2428,11706,2001,7018,1402,2947,857,967,487,752,397,1228,534,13549,1495,2293,735,1246,439,8541,1228,1469,594,9610,1803,6728,1580,2882,820,14217,1816,3953,1046,1019,407,403,237,616,358,3423,937,2090,754,3732,873,35290,3339,10314,1921,24976,2731,1236,569,140,119,492,396,604,418,3387,884,1498,573,1067,523,822,383,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1845139,22207,1052444,15240,370304,9682,184796,8016,130726,6790,54070,5063,89844,5399,41485,4273,40334,3791,8025,1963,63509,5079,13998,2456,9618,1606,26805,3413,13088,1849,32155,3938,21813,2508,10342,2464,171790,8434,9030,2175,54366,5318,23216,3499,31150,4409,40854,5297,50814,4392,16726,2853,204609,9784,123869,7304,80740,7109,165851,8459,8418,1789,76929,5789,80504,6050,139890,7886,59781,4845,52847,5156,27262,3446,792695,15393,333292,9782,141992,6834,83950,5703,58042,4795,27924,3359,15231,2631,6348,1804,6345,1570,93676,6089,20921,2615,12571,1986,51564,4448,8620,2040,69700,5483,50121,4754,19579,2784,133358,7639,31677,3866,13993,2485,7490,1713,6503,1825,29547,3703,21597,3371,36544,3808,279744,10227,78750,6220,200994,8648,6779,1414,1020,436,2959,953,2800,943,39522,4753,22670,3911,11283,2868,5569,1454,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,873712,12831,489228,9447,141030,6200,74118,4559,56973,4587,17145,2014,23746,2511,10840,1690,8988,1549,3918,1150,29563,2938,6760,1467,5070,1283,12521,1858,5212,1248,13603,2021,9753,1704,3850,958,52841,4072,2383,801,17593,2410,7231,1618,10362,1796,12354,2533,16548,2288,3963,1155,82092,4667,53469,4144,28623,2947,93812,4562,12085,1734,44832,3458,36895,3137,119453,5901,61025,4216,33612,3217,24816,3217,384484,7727,160818,6271,53212,3381,31669,2806,21543,2355,7111,1476,4220,1155,1408,625,1483,529,55742,4284,7608,1342,3964,949,40174,3403,3996,1176,44753,3722,29661,3304,15092,2030,58013,3272,16159,1985,1949,774,919,460,1030,623,13827,1871,10469,2137,15609,2052,125706,5809,34233,3215,91473,4904,4991,1220,1182,685,1716,695,2093,797,34956,3232,26755,2817,3154,876,5047,1305,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10773167,42923,6315700,28951,2399079,23657,1120468,16133,832763,13048,287705,9505,635173,11740,310467,8126,252069,8147,72637,4897,454821,13295,72270,5830,86030,5584,140238,6259,156283,6986,188617,7322,134941,6476,53676,4212,898837,17308,39006,2918,238925,9646,124360,6963,114565,6635,241524,11290,294735,8795,84647,5708,1122726,22440,662031,18468,460695,12967,905779,18775,113799,7069,425332,13379,366648,11579,989279,19377,463963,13769,322621,10127,202695,8388,4457467,30205,1992229,22155,875047,14055,525336,11122,349711,9100,196464,6988,94911,5180,45789,3605,55764,4237,568132,14203,112480,6181,78605,4389,284493,10030,92554,5362,352586,10056,252893,8854,99693,5710,722655,14732,166866,7172,50891,4364,24017,2833,26874,3110,144507,7183,129226,6476,231165,7727,1425529,16806,453734,11773,971795,15157,46203,3296,24102,2338,9004,1573,13097,2036,270851,10274,185632,7915,35561,3298,49658,4436,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1675442,16365,968034,10496,418267,10372,210513,7471,157588,6357,52925,4147,118925,5829,65138,4092,41506,3397,12281,1702,63324,4451,11429,1827,10719,1794,25022,2492,16154,2376,25505,2698,18420,2236,7085,1803,104892,6107,3111,910,34499,3169,14542,2124,19957,2532,30787,3752,26764,2821,9731,1602,166903,6914,104390,5815,62513,4231,152283,5900,6992,1464,81759,4640,63532,4213,125689,6416,56242,4315,47192,3736,22255,2554,707408,11457,345710,8389,153968,7205,92126,5685,61842,4372,36049,3042,21446,2411,6863,1235,7740,1389,100559,4391,17230,1843,12329,1967,58600,3700,12400,1908,55134,4413,40166,3663,14968,2039,106483,4766,25615,2736,7894,1425,4156,1125,3738,849,27920,3347,16064,2519,28990,2960,219766,7635,68328,4907,151438,6595,6358,1740,1595,591,1570,629,3193,1496,29091,3408,17479,2421,7184,1549,4428,1797,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1158553,12256,655956,7852,278942,6975,137255,4659,95155,4563,42100,3377,63698,4377,30368,3310,25728,2164,7602,1427,56111,3517,8494,1400,10978,1411,24262,2649,12377,1579,21878,2810,16027,2190,5851,1508,79156,4820,3800,1009,20909,2296,9343,1582,11566,1856,19646,3446,25298,3126,9503,1568,118586,4810,77900,4030,40686,2872,86833,5053,1930,1818,44301,3410,40602,3192,92439,4846,53103,3306,26065,3064,13271,1936,502597,8796,247981,7002,98485,3992,53936,3384,44549,3212,20788,2270,11904,1646,3217,833,5667,1244,82267,4145,16109,2076,10173,1700,47695,2956,8290,1349,46441,3222,32952,2456,13489,1893,71968,4304,21754,2255,3710,988,1270,472,2440,867,16151,2375,10706,1870,19647,2272,153313,6646,40910,3368,112403,5628,2716,765,726,633,918,443,1072,417,26619,3066,20269,2741,3793,1006,2557,814,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,293128,6715,160413,4384,58288,3284,28737,2647,21431,2375,7306,1267,14371,1957,6216,1154,5793,1427,2362,646,10834,1761,1993,851,1845,656,5496,1328,1500,654,4346,1296,3012,964,1334,711,18929,2354,719,503,5780,1504,3101,1108,2679,838,4578,1251,7202,1425,650,311,27275,2627,15597,2019,11678,1814,29109,2668,1707,920,13270,1932,14132,2096,26812,2415,12045,1999,9472,1422,5295,1345,132715,4737,62496,4065,22521,2677,12936,1716,9585,1795,6113,1062,3160,724,904,477,2049,661,19605,2149,4500,1174,2883,673,11321,1566,901,326,14257,2215,9646,1954,4611,1240,20439,2105,6055,1281,1626,765,862,636,764,498,5939,1320,1622,629,5197,1128,41624,3278,10578,1753,31046,2977,1419,621,255,207,89,112,1075,543,6737,1535,4875,1331,1130,673,732,421,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,238362,5837,118391,3847,74430,3047,32577,2658,18715,2125,13862,1873,16151,1913,8870,1344,1759,677,5522,1142,23035,2192,1854,625,9266,1457,4945,1251,6970,1276,2667,743,2328,712,339,221,14529,2267,667,475,3011,869,2102,774,909,446,4727,1441,4031,1099,2093,981,14972,2270,6506,1326,8466,1694,7572,2015,17,28,5340,1803,2215,839,6888,1354,1277,653,4170,1112,1441,623,119971,4171,81175,3468,34180,2711,19904,2358,14276,1652,11130,1708,6267,1330,744,293,4119,1083,30570,2588,3663,947,9546,1643,8835,1492,8526,1620,5295,1266,4010,1087,1285,621,14402,2002,2873,971,2373,947,1693,798,680,443,2523,870,3462,889,3171,1002,21314,2083,5367,994,15947,1828,510,455,0,200,376,397,134,218,2570,840,687,442,1834,712,49,80,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5570022,32482,3031622,23272,1025341,18688,523750,15312,396164,13363,127586,8199,198744,8467,99779,6440,79603,5265,19362,2628,191729,9727,30280,3576,41770,3944,69372,5757,50307,4604,111118,6711,78606,5634,32512,3748,509181,16014,16754,2414,141436,7636,71291,6229,70145,5463,140505,9065,166824,9132,43662,4786,607185,16870,382304,13931,224881,9728,490608,16475,30536,4394,240245,11435,219827,11076,399307,11144,148758,8890,175023,8411,75526,6182,2538400,23933,1054500,19031,413500,14761,253330,12081,160170,8198,64444,4747,38647,3865,11036,2168,14761,1915,324685,9287,46139,4265,49449,4504,191968,7899,37129,3441,251871,8866,167269,6851,84602,5583,466784,15278,127268,8324,34879,3851,15883,2302,18996,2681,121061,8927,93773,7301,89803,6344,891496,19132,284180,12180,607316,15272,21053,3153,8542,2072,5711,1278,6800,1900,104567,7233,63081,5561,25729,3967,15757,2404,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
