C27012_024M,C27012_025E,C27012_025M,C27012_026E,C27012_026M,C27012_027E,C27012_027M,C27012_028E,C27012_028M,C27012_029E,C27012_029M,C27012_030E,C27012_030M,C27012_031E,C27012_031M,C27012_032E,C27012_032M,C27012_033E,C27012_033M,C27012_034E,C27012_034M,C27012_035E,C27012_035M,C27012_036E,C27012_036M,C27012_037E,C27012_037M,C27012_038E,C27012_038M,C27012_039E,C27012_039M,C27012_040E,C27012_040M,C27012_041E,C27012_041M,C27012_042E,C27012_042M,C27012_043E,C27012_043M,C27012_044E,C27012_044M,C27012_045E,C27012_045M,C27012_046E,C27012_046M,GEO_ID,C27012_001E,C27012_001M,C27012_002E,C27012_002M,C27012_003E,C27012_003M,C27012_004E,C27012_004M,C27012_005E,C27012_005M,C27012_006E,C27012_006M,C27012_007E,C27012_007M,C27012_008E,C27012_008M,C27012_009E,C27012_009M,C27012_010E,C27012_010M,C27012_011E,C27012_011M,C27012_012E,C27012_012M,C27012_013E,C27012_013M,C27012_014E,C27012_014M,C27012_015E,C27012_015M,C27012_016E,C27012_016M,C27012_017E,C27012_017M,C27012_018E,C27012_018M,C27012_019E,C27012_019M,C27012_020E,C27012_020M,C27012_021E,C27012_021M,C27012_022E,C27012_022M,C27012_023E,C27012_023M,C27012_024E,C27012_024MA,C27012_025EA,C27012_025MA,C27012_026MA,C27012_026EA,C27012_027MA,C27012_027EA,C27012_028EA,C27012_028MA,C27012_029EA,C27012_029MA,C27012_030EA,C27012_030MA,C27012_031MA,C27012_031EA,C27012_032MA,C27012_032EA,C27012_033EA,C27012_033MA,C27012_034EA,C27012_034MA,C27012_035EA,C27012_035MA,C27012_036EA,C27012_036MA,C27012_037MA,C27012_037EA,C27012_038EA,C27012_038MA,C27012_039EA,C27012_039MA,C27012_040EA,C27012_040MA,C27012_041EA,C27012_041MA,C27012_042EA,C27012_042MA,C27012_043EA,C27012_043MA,C27012_044EA,C27012_044MA,C27012_045EA,C27012_045MA,C27012_046EA,C27012_046MA,NAME,C27012_001EA,C27012_001MA,C27012_002EA,C27012_002MA,C27012_003EA,C27012_003MA,C27012_004MA,C27012_004EA,C27012_005MA,C27012_005EA,C27012_006MA,C27012_006EA,C27012_007EA,C27012_007MA,C27012_008EA,C27012_008MA,C27012_009MA,C27012_009EA,C27012_010MA,C27012_010EA,C27012_011MA,C27012_011EA,C27012_012EA,C27012_012MA,C27012_013EA,C27012_013MA,C27012_014EA,C27012_014MA,C27012_015MA,C27012_015EA,C27012_016MA,C27012_016EA,C27012_017MA,C27012_017EA,C27012_018EA,C27012_018MA,C27012_019EA,C27012_019MA,C27012_020MA,C27012_020EA,C27012_021MA,C27012_021EA,C27012_022MA,C27012_022EA,C27012_023EA,C27012_023MA,C27012_024EA,state
8660,64514,3645,64203,3608,26204,2069,22067,2292,62815,3586,4926,747,311,248,1364862,16240,823088,15269,623829,13382,272813,9310,87598,5399,159825,6822,216340,9193,199259,7603,541774,5046,540472,5047,181738,5127,186240,5992,536762,5158,103368,4620,1302,615,0400000US01,3597942,3382,1423212,17980,1375582,17618,1198933,17520,1085656,14750,120641,5552,5526,1014,23249,2566,176649,9813,47630,2966,47022,2910,29820,2390,12192,1589,40959,2513,2409,644,608,532,809868,14410,745354,14263,508580,11843,372292,9940,85815,5814,10838,1799,51067,4659,236774,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
3738,10198,1536,10069,1536,5174,944,1468,487,9488,1494,1224,524,129,110,120080,4979,79079,4558,55799,3667,27230,2325,3685,1035,8498,1404,19151,2302,23280,2488,41001,1606,40183,1637,17338,1611,7427,1102,39762,1623,8856,1267,818,527,0400000US02,511564,1925,223786,6600,218001,6652,178747,6631,154674,6355,14046,1966,512,282,5884,1178,39254,3408,5785,1066,5669,1060,3397,749,1073,561,4339,1017,273,244,116,102,167698,6136,157500,6235,102546,4753,76592,4274,9204,1530,1398,768,14595,1909,54954,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
13915,95101,5193,93453,5096,33528,2961,29409,3147,91453,5132,6518,1017,1648,632,1781827,19124,1020942,18401,757445,15740,308427,13215,99617,7013,103700,5461,324517,11196,263497,9463,760885,6092,754220,6413,235773,8350,250174,8640,743767,6659,105702,6119,6665,1431,0400000US04,4756450,2424,1856480,22085,1801450,20749,1492850,23041,1290303,22118,151443,10830,7617,1653,89717,5655,308600,13853,55030,4995,53654,4948,29530,2971,14322,3274,43963,4818,2083,559,1376,1010,1118143,23015,1023042,21997,718237,16595,440225,13116,107685,5648,14796,2730,181304,9563,304805,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
6818,44915,2792,44552,2765,14837,1700,17914,1759,44171,2762,4161,933,363,320,801568,10190,463073,9857,334031,9256,130453,6288,46830,2887,97956,4831,127304,6388,129042,6486,338495,3532,338044,3464,81340,3567,130263,4863,336367,3560,61272,3589,451,296,0400000US05,2176324,1917,878990,12897,849804,12432,704366,12784,632176,12617,82663,4888,3140,850,17265,2456,145438,7555,29186,2639,29091,2639,17732,1951,7408,1151,25101,2426,1854,628,95,97,495766,10562,450851,9947,273880,9327,188562,8074,48927,4137,10594,1579,40514,3621,176971,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
27621,466192,10252,456124,10299,183611,5991,133641,4635,436053,10011,38860,3406,10068,1754,9657942,41763,6153710,38037,4319270,39697,1952508,28218,717590,12512,495138,13752,1646864,22971,1834440,21959,3504232,12961,3450081,13035,1048629,14716,880266,12406,3388841,13501,807666,13657,54151,4589,0400000US06,27909323,5329,10852493,43518,10521062,42011,8733394,39943,7684415,44559,905312,19369,31466,3060,371101,10061,1787668,23978,331431,7901,321258,7827,188642,6483,69628,4866,250782,6391,16046,1773,10173,2213,7398888,49709,6932696,47433,4648389,40224,3144417,33677,831159,15115,70819,4880,788533,16176,2284307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
11925,78727,3680,77795,3720,28620,2552,26881,2530,74647,3803,5486,1117,932,580,1024446,11719,591929,10969,448657,10193,212910,8133,81074,5238,67239,3928,133936,6952,143272,6321,432517,5485,430256,5290,143151,5699,148890,5574,423912,5221,63159,3550,2261,819,0400000US08,3798057,3075,1688005,16353,1640017,15905,1424181,17568,1238384,18602,164530,6212,5914,1601,39541,3591,215836,8465,47988,3113,47624,3140,27661,2722,12313,1774,39460,2932,2751,777,364,257,1085606,15254,1006879,15556,725651,15947,477771,13380,157005,7577,12696,1806,93386,5826,281228,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
6300,70279,3437,69989,3355,34084,2405,23040,2135,66631,3343,6265,1119,290,274,804938,9839,427174,8217,354912,7931,176682,6402,47256,3804,54498,3263,127736,5703,72262,4187,377764,4431,374752,4374,145747,4209,137088,5115,369693,4379,58005,3468,3012,1054,0400000US09,2720359,1220,1165186,12251,1120168,11825,1032293,11932,936382,11886,89192,4676,3319,912,42490,3660,87875,5709,45018,3004,44054,2878,31112,2537,9539,1094,35963,2772,1387,497,964,613,750235,11581,679956,10793,558791,10624,401945,10233,79759,4048,11033,1624,96829,5428,121165,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
3551,17023,1823,16983,1822,8407,1404,4885,980,16634,1773,1358,453,40,68,221695,5120,119326,4519,100972,4160,49298,3254,9826,1665,18520,2155,40698,3092,18354,2582,102369,2176,101735,2248,51700,2998,32319,2263,101266,2239,12834,1630,634,514,0400000US10,687837,960,295025,6834,284357,6512,255584,6054,234136,5952,23728,3112,1576,591,13004,2179,28773,3227,10668,1557,10668,1557,6747,1376,2457,953,8498,1319,366,258,0,192,171117,5950,154094,5902,127279,5258,89575,4519,14567,1798,2942,918,26915,2907,26815,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1906,7737,1059,7664,1059,4901,876,2098,556,7197,1056,1357,499,73,89,148527,5340,98027,5304,87223,4832,34877,3880,12191,1804,7828,1685,47865,3561,10804,1962,50500,1442,50073,1539,27693,1795,14068,1332,47066,1688,14102,1373,427,390,0400000US11,502853,418,241679,5732,232221,5592,219060,5397,193527,5295,28205,3474,964,507,16103,2639,13161,2157,9458,1248,9458,1248,8075,1099,2212,745,7261,1145,867,388,0,200,112647,5800,104910,5566,91501,5411,58042,4290,20026,2521,1031,391,22567,2685,13409,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
24739,324425,9253,318971,9265,103699,5548,100644,5369,312191,8996,24039,2354,5454,1329,5790538,34890,3026765,32429,1992314,29774,856547,20715,339338,14217,375293,11804,673419,19951,1034451,23439,2763773,12259,2725486,13056,788913,16420,860153,14954,2689966,13343,443029,12402,38287,4609,0400000US12,14765348,4813,5607707,31759,5399044,31737,4262544,35738,3743402,38071,463992,14610,18332,2601,127187,8215,1136500,23572,208663,7099,204441,6872,115654,5417,38621,3246,171417,5996,12267,2248,4222,1600,3367103,32554,3042678,29339,1825323,27407,1219288,22337,333975,10666,41839,3846,265525,11798,1217355,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
