GEO_ID,B01002D_001E,B01002D_001M,B01002D_002E,B01002D_002M,B01002D_003E,B01002D_003M,NAME,B01002D_001MA,B01002D_001EA,B01002D_002EA,B01002D_002MA,B01002D_003MA,B01002D_003EA,state
0400000US06,38.4,0.1,36.8,0.2,39.8,0.2,California,null,null,null,null,null,null,06
0400000US08,34.8,0.6,32.8,0.9,37.0,1.5,Colorado,null,null,null,null,null,null,08
0400000US09,33.3,0.5,32.9,0.6,33.6,0.7,Connecticut,null,null,null,null,null,null,09
0400000US10,34.4,0.9,33.9,1.7,34.7,0.8,Delaware,null,null,null,null,null,null,10
0400000US11,32.3,1.0,33.5,0.8,31.4,1.0,District of Columbia,null,null,null,null,null,null,11
0400000US12,36.8,0.5,35.4,0.6,37.9,0.7,Florida,null,null,null,null,null,null,12
0400000US13,34.1,0.5,33.4,0.5,35.1,0.6,Georgia,null,null,null,null,null,null,13
0400000US15,48.0,0.5,46.1,0.7,49.3,0.4,Hawaii,null,null,null,null,null,null,15
0400000US16,33.3,4.9,29.0,3.1,40.1,3.0,Idaho,null,null,null,null,null,null,16
0400000US17,35.3,0.3,34.1,0.4,36.3,0.5,Illinois,null,null,null,null,null,null,17
0400000US18,31.7,0.8,29.7,1.1,32.9,1.2,Indiana,null,null,null,null,null,null,18
0400000US19,29.3,1.0,28.5,1.3,30.0,0.9,Iowa,null,null,null,null,null,null,19
0400000US20,31.3,0.9,30.2,1.4,32.2,1.3,Kansas,null,null,null,null,null,null,20
0400000US21,31.5,1.0,31.5,2.4,31.5,1.3,Kentucky,null,null,null,null,null,null,21
0400000US22,32.3,0.7,32.0,0.8,32.7,1.4,Louisiana,null,null,null,null,null,null,22
0400000US23,31.2,2.3,27.5,6.3,31.7,4.5,Maine,null,null,null,null,null,null,23
0400000US24,36.7,0.5,36.0,0.6,37.2,0.5,Maryland,null,null,null,null,null,null,24
0400000US25,32.6,0.4,32.4,0.9,32.7,0.5,Massachusetts,null,null,null,null,null,null,25
0400000US26,32.7,0.7,31.8,0.6,33.6,0.7,Michigan,null,null,null,null,null,null,26
0400000US27,28.9,0.4,28.1,0.7,29.4,0.5,Minnesota,null,null,null,null,null,null,27
0400000US28,34.4,1.8,33.2,4.5,35.0,3.6,Mississippi,null,null,null,null,null,null,28
0400000US29,32.9,0.8,31.3,1.9,34.0,0.9,Missouri,null,null,null,null,null,null,29
0400000US30,34.8,10.6,29.5,32.4,35.0,8.0,Montana,null,null,null,null,null,null,30
0400000US31,30.8,1.1,30.2,1.1,31.4,1.4,Nebraska,null,null,null,null,null,null,31
0400000US32,39.0,0.8,37.0,2.2,40.2,1.1,Nevada,null,null,null,null,null,null,32
0400000US33,34.9,1.5,35.9,1.6,32.2,2.7,New Hampshire,null,null,null,null,null,null,33
0400000US34,35.9,0.3,35.5,0.3,36.4,0.3,New Jersey,null,null,null,null,null,null,34
0400000US35,36.1,1.3,32.6,4.1,37.9,4.4,New Mexico,null,null,null,null,null,null,35
0400000US36,35.8,0.3,35.2,0.2,36.4,0.2,New York,null,null,null,null,null,null,36
0400000US37,32.6,0.5,31.8,0.8,33.3,0.6,North Carolina,null,null,null,null,null,null,37
0400000US38,31.1,9.7,25.0,13.3,33.1,9.9,North Dakota,null,null,null,null,null,null,38
0400000US39,32.9,0.5,32.7,0.8,33.1,0.8,Ohio,null,null,null,null,null,null,39
0400000US40,32.1,1.3,30.5,0.9,34.9,1.2,Oklahoma,null,null,null,null,null,null,40
0400000US41,36.1,0.8,34.3,1.4,37.2,0.8,Oregon,null,null,null,null,null,null,41
0400000US42,32.8,0.4,32.5,0.7,33.1,0.6,Pennsylvania,null,null,null,null,null,null,42
0400000US44,29.6,0.7,28.2,2.3,31.1,1.5,Rhode Island,null,null,null,null,null,null,44
0400000US45,34.2,1.4,31.7,1.7,36.3,1.4,South Carolina,null,null,null,null,null,null,45
0400000US46,27.4,2.0,27.2,2.2,28.2,6.4,South Dakota,null,null,null,null,null,null,46
0400000US47,33.7,0.7,33.1,1.1,34.3,1.2,Tennessee,null,null,null,null,null,null,47
0400000US48,34.4,0.2,33.6,0.3,35.1,0.3,Texas,null,null,null,null,null,null,48
0400000US49,33.0,1.5,30.8,2.5,34.1,1.2,Utah,null,null,null,null,null,null,49
0400000US50,33.4,2.9,28.8,6.6,34.1,2.4,Vermont,null,null,null,null,null,null,50
0400000US51,35.4,0.3,34.1,0.5,36.2,0.3,Virginia,null,null,null,null,null,null,51
0400000US53,36.3,0.4,34.3,0.5,37.9,0.6,Washington,null,null,null,null,null,null,53
0400000US54,32.6,2.7,31.9,3.3,32.8,5.1,West Virginia,null,null,null,null,null,null,54
0400000US55,27.9,0.7,27.2,1.4,28.2,0.8,Wisconsin,null,null,null,null,null,null,55
0400000US56,31.3,10.1,38.7,10.5,22.2,9.6,Wyoming,null,null,null,null,null,null,56
0400000US72,34.9,8.1,43.1,8.1,32.3,5.7,Puerto Rico,null,null,null,null,null,null,72
0400000US01,34.7,1.3,33.9,3.2,34.9,1.3,Alabama,null,null,null,null,null,null,01
0400000US02,34.9,1.5,32.6,2.6,35.8,1.6,Alaska,null,null,null,null,null,null,02
0400000US04,35.1,0.6,33.2,0.9,37.0,1.2,Arizona,null,null,null,null,null,null,04
0400000US05,31.4,1.7,30.2,2.0,33.1,2.5,Arkansas,null,null,null,null,null,null,05
