GEO_ID,B06009_001E,B06009_001M,B06009_002E,B06009_002M,B06009_003E,B06009_003M,B06009_004E,B06009_004M,B06009_005E,B06009_005M,B06009_006E,B06009_006M,B06009_007E,B06009_007M,B06009_008E,B06009_008M,B06009_009E,B06009_009M,B06009_010E,B06009_010M,B06009_011E,B06009_011M,B06009_012E,B06009_012M,B06009_013E,B06009_013M,B06009_014E,B06009_014M,B06009_015E,B06009_015M,B06009_016E,B06009_016M,B06009_017E,B06009_017M,B06009_018E,B06009_018M,B06009_019E,B06009_019M,B06009_020E,B06009_020M,B06009_021E,B06009_021M,B06009_022E,B06009_022M,B06009_023E,B06009_023M,B06009_024E,B06009_024M,B06009_025E,B06009_025M,B06009_026E,B06009_026M,B06009_027E,B06009_027M,B06009_028E,B06009_028M,B06009_029E,B06009_029M,B06009_030E,B06009_030M,NAME,B06009_001EA,B06009_001MA,B06009_002MA,B06009_002EA,B06009_003MA,B06009_003EA,B06009_004MA,B06009_004EA,B06009_005EA,B06009_005MA,B06009_006EA,B06009_006MA,B06009_007MA,B06009_007EA,B06009_008MA,B06009_008EA,B06009_009MA,B06009_009EA,B06009_010MA,B06009_010EA,B06009_011MA,B06009_011EA,B06009_012EA,B06009_012MA,B06009_013MA,B06009_013EA,B06009_014MA,B06009_014EA,B06009_015MA,B06009_015EA,B06009_016EA,B06009_016MA,B06009_017EA,B06009_017MA,B06009_018MA,B06009_018EA,B06009_019MA,B06009_019EA,B06009_020MA,B06009_020EA,B06009_021EA,B06009_021MA,B06009_022MA,B06009_022EA,B06009_023MA,B06009_023EA,B06009_024MA,B06009_024EA,B06009_025MA,B06009_025EA,B06009_026EA,B06009_026MA,B06009_027EA,B06009_027MA,B06009_028MA,B06009_028EA,B06009_029MA,B06009_029EA,B06009_030MA,B06009_030EA,state
0400000US06,24779784,3987,4586733,26712,5107967,32360,7424555,29590,4865203,31380,2795326,26887,9534797,43710,853228,13440,2249880,23803,3678248,28243,1869107,19642,884334,14969,5778669,32140,406987,11423,1059168,14860,1892804,21197,1427184,18219,992526,14855,321849,11269,39501,3088,55417,4641,110086,6466,74586,4199,42259,3499,9144469,42541,3287017,27740,1743502,23814,1743417,21362,1494326,21538,876207,16764,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3444654,3718,323935,9397,752200,13142,1077513,13205,818469,13724,472537,10186,1010783,15505,90455,5083,285536,9549,351307,8474,200619,7155,82866,4829,1957274,15989,88163,4582,367855,9334,624361,12037,541623,10769,335272,9004,57079,4192,3830,1075,9650,1514,19699,2571,15894,2059,8006,1281,419518,10276,141487,6512,89159,5928,82146,4234,60333,4552,46393,3701,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2457978,1904,249186,8063,682207,10667,615448,10227,503440,9936,407697,8513,1154046,13315,88809,4458,384687,7882,324963,9121,212393,6945,143194,5893,780123,11410,44516,3195,158188,5763,183295,6119,206506,6376,187618,5454,99785,4482,35010,2886,29965,2978,20462,2362,7768,1363,6580,1256,424024,12380,80851,5140,109367,6588,86728,4943,76773,5143,70305,3635,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,618612,1103,71301,4396,194904,5422,169718,5306,111921,5213,70768,4488,217856,5892,26046,2122,85563,4501,59474,3741,32056,2663,14717,1492,323831,5897,29190,2880,94183,4609,93312,4004,63906,4030,43240,3469,11972,1494,2036,771,3301,1040,3661,1013,1996,772,978,390,64953,3693,14029,2032,11857,2235,13271,1680,13963,2142,11833,1541,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,439531,534,50139,3050,81081,4421,75520,3882,100904,4522,131887,4227,124640,4976,22350,2452,42647,3676,34546,2709,15336,2046,9761,1581,230117,5953,12781,1961,23741,2316,28012,2357,68257,3868,97326,3887,8152,1532,161,215,509,417,1839,781,2531,811,3112,912,76622,4341,14847,2236,14184,2303,11123,1791,14780,2340,21688,2264,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13503747,6413,1821458,27349,4020195,33058,4039025,26953,2329936,24428,1293133,17821,2834863,29048,372167,11544,944851,20492,891119,15189,436984,10565,189742,7123,6916117,29792,599069,13566,2024561,25655,2241427,21101,1283230,16827,767830,13313,476278,15195,84351,5452,131870,7733,147748,7706,72172,4895,40137,3703,3276489,25497,765871,17645,918913,21763,758731,16176,537550,14406,295424,9026,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6403838,8246,960025,16688,1810866,18967,1825672,20945,1140757,18884,666518,12881,2954572,21851,536739,12088,1035364,15314,815237,13289,368674,9357,198558,6802,2571327,22525,188998,6787,577212,12294,832722,16299,613513,13295,358882,8734,95815,5672,8370,1788,21557,3476,32269,3035,19771,2630,13848,1978,782124,15563,225918,10457,176733,9593,145444,7418,138799,7377,95230,5593,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,952281,1173,91486,5236,269304,7500,305275,6708,186586,5291,99630,4028,448252,7742,36545,2950,152197,6139,142964,5269,79539,3762,37007,2646,256306,5139,6947,1236,47674,3498,94162,3981,63671,3770,43852,3026,28052,2753,2245,740,8428,1492,9401,1301,5475,1161,2503,767,219671,7698,45749,4038,61005,4200,58748,3402,37901,3180,16268,1660,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1012786,2996,103357,5122,280462,8113,371074,9684,175020,7778,82873,5281,371762,7914,28033,2253,118147,5551,140780,6202,60953,3941,23849,2497,553822,8621,41401,2940,142718,6072,211135,7185,105470,5943,53098,4295,8756,1512,651,452,2060,682,3147,888,1795,692,1103,498,78446,5008,33272,3333,17537,3159,16012,2127,6802,1375,4823,1121,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8558895,4172,1061131,15535,2313202,24171,2477209,19468,1684348,17797,1023005,14047,5043491,20659,406212,9424,1521785,17434,1670752,17300,948429,12504,496313,9715,1852225,17786,173309,6305,397341,9700,503139,8954,454748,10509,323688,8872,103438,4587,26132,3095,22142,2249,28404,2544,16508,1914,10252,1534,1559741,16276,455478,11623,371934,11518,274914,9025,264663,7514,192752,7945,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
