GEO_ID,B13001_001E,B13001_001M,B13001_002E,B13001_002M,B13001_003E,B13001_003M,B13001_004E,B13001_004M,B13001_005E,B13001_005M,B13001_006E,B13001_006M,B13001_007E,B13001_007M,B13001_008E,B13001_008M,B13001_009E,B13001_009M,NAME,B13001_001EA,B13001_001MA,B13001_002MA,B13001_002EA,B13001_003MA,B13001_003EA,B13001_004MA,B13001_004EA,B13001_005MA,B13001_005EA,B13001_006MA,B13001_006EA,B13001_007MA,B13001_007EA,B13001_008MA,B13001_008EA,B13001_009EA,B13001_009MA,state
0400000US06,9566715,8215,4205502,23809,20586,2139,1405045,16226,2779871,16180,5361213,23131,1302484,4856,2660380,16490,1398349,15144,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1264490,3344,611220,9176,3624,921,223792,6112,383804,6390,653270,9186,161275,2677,315779,5912,176216,6273,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,865205,3029,371283,7099,802,466,101350,3944,269131,5583,493922,6958,125161,1673,225988,3804,142773,5273,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,222132,1392,92845,3446,178,175,30612,1891,62055,2951,129287,3827,31095,1139,58700,2157,39492,3155,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,192543,956,45706,2776,100,130,20165,1848,25441,1809,146837,2923,21669,1543,85379,2404,39789,1915,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4467985,8400,1884358,19098,8117,1624,602714,11501,1273527,14676,2583627,19771,574039,5207,1227359,12768,782229,14894,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2525314,7658,1133696,15576,5669,1317,393548,9803,734479,10207,1391618,17058,338657,5922,637411,9623,415550,9544,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,321458,1934,150039,4065,1149,454,56037,2757,92853,2796,171419,4122,38290,1172,83465,2806,49664,2810,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,372138,2642,193528,4852,1407,749,81460,3875,110661,3526,178610,5326,55273,2532,77119,4161,46218,3191,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3162903,5749,1382384,14027,4256,932,454449,8519,923679,10104,1780519,13553,428724,3193,872429,9135,479366,8872,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1559984,4116,710616,9855,2003,642,256511,6765,452102,6295,849368,10299,223904,3412,391923,6926,233541,5928,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,705777,3188,342659,5645,1515,558,126029,3872,215115,3961,363118,5974,103025,2277,172879,3917,87214,3587,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,670688,3131,328941,5396,3097,917,126662,4437,199182,3272,341747,6304,98282,2572,159328,4674,84137,3169,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1041455,3146,501848,7339,2682,811,185334,5169,313832,5321,539607,7606,137177,3377,243623,5120,158807,5755,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1121744,3376,459117,9074,2162,824,167477,6248,289478,6373,662627,9219,152265,3439,326283,6549,184079,5905,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,299334,2171,135800,4217,92,103,41063,2552,94645,2915,163534,4373,41001,1038,72846,2708,49687,3066,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1476743,3684,631641,9733,1495,612,199399,6208,430747,6295,845102,9770,189636,2332,406908,6775,248558,6195,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1667892,4223,691188,8838,1205,513,197474,6470,492509,6513,976704,9364,232715,2263,484849,7015,259140,6622,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2324778,3855,1005638,10898,3458,888,317754,5680,684426,8608,1319140,10844,336209,2601,617931,6005,365000,8395,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1276539,3057,607764,7543,1757,639,212295,5159,393712,6078,668775,7618,174979,2138,324858,5049,168938,5590,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,727586,3675,300860,7996,2164,747,107822,4967,190874,6463,426726,7919,106059,4223,197943,5794,122724,5624,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1425470,4822,646299,10888,2611,771,236204,6287,407484,7205,779171,10788,196647,3225,369391,6158,213133,6730,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,222047,1738,108666,3054,436,313,40268,2008,67962,2419,113381,3250,29285,1186,55386,2109,28710,2267,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,431222,1861,212046,4561,657,350,80610,3053,130779,3142,219176,4372,60674,1573,105451,3255,53051,2568,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,667070,2473,295632,7252,1513,644,110111,4522,184008,5667,371438,7215,82071,1195,175321,4695,114046,5712,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,311200,1937,145368,4509,836,555,39128,2470,105404,3273,165832,4135,46390,1516,75520,2744,43922,2985,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2150607,4772,989080,9428,1977,593,278218,6193,708885,7298,1161527,9921,285467,2312,551922,6988,324138,7183,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,481018,2574,198908,5515,1567,721,77096,3816,120245,4039,282110,5586,72785,2721,125486,4017,83839,3764,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,4921388,6035,2019469,14801,5982,1153,623509,10401,1389978,11067,2901919,13127,639381,4377,1476371,10847,786167,9006,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2385018,5852,1123364,11248,4171,1044,387446,7658,731747,9502,1261654,12653,315874,5096,579133,8036,366647,8966,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,160042,1576,76389,3013,276,268,31673,2337,44440,1702,83653,3352,22025,1191,44199,2527,17429,1592,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2701115,4989,1183583,12674,3254,883,395721,8413,784608,8848,1517532,13393,381085,3750,713418,8300,423029,9833,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,895347,3214,431382,5861,3420,698,178738,4176,249224,4479,463965,6278,121850,2165,210346,4213,131769,4799,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,918114,3533,415230,7051,1542,660,147862,4900,265826,4996,502884,7585,116677,2470,247467,5268,138740,4840,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2990114,5017,1303581,10480,2591,689,402403,7241,898587,6901,1686533,11246,428396,3254,813694,7711,444443,7516,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,257485,1717,100420,3554,399,310,29457,2078,70564,2905,157065,3743,37424,938,77307,2170,42334,2841,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1135674,3711,495781,8053,2350,768,166825,5845,326606,5922,639893,8623,152258,3891,308699,6066,178936,5788,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,187230,1978,87322,3203,507,402,34867,2234,51948,2055,99908,3214,29528,1372,45507,2444,24873,1941,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1565928,4201,722899,10014,4272,1094,262452,6389,456175,7777,843029,10484,204597,3733,389542,6798,248890,8047,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6528380,8911,3155882,22436,22527,2422,1194252,14207,1939103,15019,3372498,22202,899356,6969,1580242,14844,892900,15358,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,712927,2289,381110,5692,2349,793,182744,4386,196017,4345,331817,6210,107373,1948,153269,4586,71175,3651,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,143854,997,61724,2114,119,94,17572,1323,44033,1536,82130,1980,22670,710,38863,1398,20597,1352,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2048640,4951,975774,10518,2868,841,330516,6614,642390,7783,1072866,11250,268874,5454,518746,7810,285246,6751,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1658331,4757,788305,9737,3529,1071,293523,6952,491253,6050,870026,9995,213509,3251,416102,7249,240415,5010,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,417183,2561,194374,5423,624,377,68192,3251,125558,3818,222809,5865,53253,2764,103456,3386,66100,3775,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1336183,3559,610612,7260,1480,556,208716,4505,400416,5552,725571,7658,188503,1908,343281,5308,193787,5148,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,131853,1809,64826,2518,418,265,26923,2056,37485,1896,67027,2868,19445,1987,29672,2315,17910,1867,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,907717,2973,308466,7739,2622,861,99485,4368,206359,6099,599251,7735,132866,3715,268023,4793,198362,5894,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,1162380,4356,532304,8753,2297,790,194616,6279,335391,6225,630076,8791,158152,3697,291776,6987,180148,6205,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,177526,2032,87302,3063,498,311,35753,2541,51051,2083,90224,3201,21637,1298,44206,2907,24381,2155,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1535916,3815,659664,11233,3565,940,243687,7241,412412,7426,876252,11726,214206,2461,408058,7341,253988,7146,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,694605,3464,338211,6077,1539,469,134256,4359,202416,4736,356394,6509,95414,2905,157764,4858,103216,4341,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
