GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001MA,B13002I_001EA,B13002I_002EA,B13002I_002MA,B13002I_003MA,B13002I_003EA,B13002I_004EA,B13002I_004MA,B13002I_005MA,B13002I_005EA,B13002I_006MA,B13002I_006EA,B13002I_007EA,B13002I_007MA,state
0400000US06,3942488,4615,241182,8221,138713,6059,102469,4912,3701306,9489,1570558,15408,2130748,15380,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,280735,1604,20438,2028,12927,1909,7511,1383,260297,2438,117993,4704,142304,4900,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,142850,1053,8385,1435,3517,903,4868,1340,134465,1732,47090,3077,87375,2766,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21516,637,2150,852,997,470,1153,739,19366,1015,9920,1158,9446,1474,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18383,251,1194,488,965,474,229,207,17189,541,4636,982,12553,891,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1193127,4302,62922,5063,36388,3569,26534,3496,1130205,6611,502464,8821,627741,10678,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,230757,3525,21268,2801,15966,2866,5302,1577,209489,4395,111075,4432,98414,4885,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,33349,731,1868,717,1125,624,743,415,31481,946,12440,1260,19041,1371,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,47633,1475,3849,1186,2135,926,1714,837,43784,1946,22380,1917,21404,2091,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,559122,2438,34077,2837,19729,1934,14348,1979,525045,3670,234435,5448,290610,5231,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,105000,2369,10078,1639,5178,1255,4900,1159,94922,2910,41262,2846,53660,3094,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,41523,1766,3488,645,1916,544,1572,461,38035,1780,17811,1528,20224,2128,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,80564,1494,6606,1286,4340,1008,2266,853,73958,1670,39038,2042,34920,2317,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
