GEO_ID,B14007H_001E,B14007H_001M,B14007H_002E,B14007H_002M,B14007H_003E,B14007H_003M,B14007H_004E,B14007H_004M,B14007H_005E,B14007H_005M,B14007H_006E,B14007H_006M,B14007H_007E,B14007H_007M,B14007H_008E,B14007H_008M,B14007H_009E,B14007H_009M,B14007H_010E,B14007H_010M,B14007H_011E,B14007H_011M,B14007H_012E,B14007H_012M,B14007H_013E,B14007H_013M,B14007H_014E,B14007H_014M,B14007H_015E,B14007H_015M,B14007H_016E,B14007H_016M,B14007H_017E,B14007H_017M,B14007H_018E,B14007H_018M,B14007H_019E,B14007H_019M,NAME,B14007H_001MA,B14007H_001EA,B14007H_002MA,B14007H_002EA,B14007H_003MA,B14007H_003EA,B14007H_004EA,B14007H_004MA,B14007H_005EA,B14007H_005MA,B14007H_006EA,B14007H_006MA,B14007H_007EA,B14007H_007MA,B14007H_008MA,B14007H_008EA,B14007H_009MA,B14007H_009EA,B14007H_010MA,B14007H_010EA,B14007H_011MA,B14007H_011EA,B14007H_012EA,B14007H_012MA,B14007H_013MA,B14007H_013EA,B14007H_014MA,B14007H_014EA,B14007H_015MA,B14007H_015EA,B14007H_016MA,B14007H_016EA,B14007H_017EA,B14007H_017MA,B14007H_018EA,B14007H_018MA,B14007H_019MA,B14007H_019EA,state
0400000US06,14531201,9473,3208923,15485,175678,5890,134089,5304,128585,5127,130490,5596,132208,4959,135323,6347,135796,4827,140839,5593,138190,5578,141241,5487,143241,5600,150380,5686,155050,5839,166326,6215,957147,13039,244340,8107,11322278,15644,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3492026,3957,863344,7808,55907,3569,43609,3295,37598,2581,39722,2863,40406,2921,37430,2808,37377,2761,41418,3017,38777,3148,39964,2967,40578,2488,40274,2350,36184,2331,43450,2684,226299,7044,64351,3562,2628682,7952,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2451445,3497,588220,5366,35276,2162,24472,2610,22116,1815,27448,1859,25093,1977,25882,1918,29780,2436,28929,2465,28838,2370,28483,2497,31228,2383,33578,1865,29895,2013,33688,2459,143634,4640,39880,2291,1863225,5099,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,573706,1953,131272,3344,9214,1468,6199,1030,5023,1037,6665,1229,6700,1012,4227,721,5305,1084,6041,1011,6277,1205,5467,851,7665,1323,5077,981,6456,1130,7782,1279,35291,2301,7883,1450,442434,3377,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,215913,1060,47192,2433,3287,677,1211,430,1353,511,1287,651,938,468,738,351,976,365,503,265,1109,460,517,293,589,274,662,301,675,245,242,199,16425,1711,16680,2088,168721,2400,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10699762,9134,2161243,16269,125443,6666,98406,4656,92181,5369,100132,4819,100465,5492,95938,5055,105661,5726,97925,4746,105798,5934,109782,6115,107443,5944,109072,5269,112651,5155,104505,4809,585162,13392,110679,6217,8538519,16444,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5294510,4683,1302179,9399,91333,4569,68135,4237,59341,3899,60396,4339,63687,3492,64857,3669,63379,3817,71294,4333,72850,3629,66656,4283,67757,4473,69610,3758,62026,3779,61572,3720,300445,7231,58841,4634,3992331,9613,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,308980,1002,56222,2785,3262,831,2604,597,2855,765,2194,561,1637,632,1997,568,2120,574,1823,547,1516,409,2294,614,2202,693,1392,443,2171,638,2316,746,19681,2129,6158,1299,252758,2634,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1280751,1879,357210,5938,17035,1877,17787,2079,17173,2066,16921,1872,17699,2173,19697,2280,19405,2086,17248,2093,20008,2060,18468,2141,17403,1867,17834,1843,18683,1835,18524,1969,89443,4842,13882,2118,923541,6003,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7852409,5873,1911348,10912,128920,4715,83314,4104,85126,3725,87799,4349,88409,4017,87142,4284,89340,3992,95552,4128,92915,3766,95332,4406,96813,4431,98467,3199,96121,3638,99830,4249,460923,8824,125345,5354,5941061,10900,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5111664,4632,1309243,9110,79248,4091,59408,3064,66268,3211,64063,3818,64470,3421,65392,3301,66123,3899,70501,3986,65183,3712,66413,3853,67694,3883,72450,3067,66765,3364,60157,2829,315333,6836,59775,4318,3802421,9269,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
