GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001MA,B16005I_001EA,B16005I_002MA,B16005I_002EA,B16005I_003MA,B16005I_003EA,B16005I_004MA,B16005I_004EA,B16005I_005EA,B16005I_005MA,B16005I_006MA,B16005I_006EA,B16005I_007MA,B16005I_007EA,B16005I_008EA,B16005I_008MA,B16005I_009MA,B16005I_009EA,B16005I_010EA,B16005I_010MA,B16005I_011MA,B16005I_011EA,state
0400000US06,13175241,560,7843334,34028,3054180,37107,4789154,33184,4082888,30184,706266,15229,5331907,34020,195313,7806,5136594,35180,1447187,18691,3689407,29061,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,978378,904,716837,9309,441579,12191,275258,9141,230101,8848,45157,4382,261541,9326,10252,1968,251289,8894,83139,5831,168150,7313,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,463561,399,330069,5936,102328,5922,227741,6502,160991,6416,66750,4151,133492,5900,6316,1389,127176,5860,40180,3480,86996,5442,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,69684,-555555555,44619,2952,18209,2718,26410,2769,18935,2332,7475,1967,25065,2952,1540,948,23525,2920,7533,1632,15992,2606,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,56448,-555555555,24088,2195,9999,1775,14089,1750,11912,1673,2177,767,32360,2195,6675,2351,25685,2975,9762,1861,15923,2357,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4168624,1562,2049980,19648,576988,16519,1472992,21868,1196136,19905,276856,11352,2118644,19189,97176,5731,2021468,20069,738543,15077,1282925,16808,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,792674,4179,391296,10787,134361,8062,256935,9166,203442,8969,53493,4807,401378,9525,18049,3196,383329,9548,124533,6670,258796,8196,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,115438,-555555555,102585,2893,84584,4028,18001,2531,13251,2293,4750,1117,12853,2893,2360,906,10493,2488,5396,1354,5097,1650,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,164010,1064,106664,4474,59565,5893,47099,4335,39386,4130,7713,1514,57346,4196,4434,1763,52912,4222,15744,2329,37168,3305,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1891714,2066,1085153,12139,364081,11835,721072,12920,592961,14030,128111,6551,806561,11857,31345,3118,775216,11920,234017,7882,541199,11566,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
